,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,0.31,$0.26,1.21,$0.08,4.01,$-1.06,0.0,$-0.35,0.0,$0.01B,$0.00B,2.55,$0.00B,$0.01B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.01B,-1200.00%,$0.00B,$-0.01B,-1200.00%,$0.00B,$-0.01B,-1200.00%,$0.00B,$-0.01B,-1200.00%,$0.00B,$-0.01B,-1100.00%,$-0.01B,$0.01B,-157.14%,$-0.01B,$0.01B,-293.33%,$-0.01B,$0.02B,-72.13%,$-0.01B,$0.01B,-171.43%,$0,$0,$0,$2,$1,$3,$-3,$0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$43,43,$-0.07,$-0.07,$10,$0,$0,$11,$0,$0,$2,$4,$6,$17,$4,$0,$1,$1,$6,$0,$-91,$0,$11,$17,$-8,$0,$1,$1,$0,$0,$-0,$-0,$-1,$-9,$-0,$0,$0,$0,$0,$0,$-0,$-0,$-0,$0,$-0,$10,$10,$0,$1,$11,$2,$1,$0
1,2018-06-30,0.53,$0.32,1.66,$0.07,7.13,$-1.15,0.0,$-0.59,0.0,$0.01B,$0.00B,3.21,$0.00B,$0.01B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.01B,-1300.00%,$0.00B,$-0.01B,-1300.00%,$0.00B,$-0.01B,-1300.00%,$0.00B,$-0.01B,-1300.00%,$0.00B,$-0.01B,-1200.00%,$-0.01B,$0.01B,-266.67%,$-0.01B,$0.01B,inf%,$-0.01B,$0.02B,-80.00%,$-0.01B,$0.01B,-288.89%,$0,$0,$0,$2,$1,$3,$-3,$0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$37,37,$-0.07,$-0.07,$13,$0,$0,$13,$0,$0,$5,$0,$6,$19,$4,$0,$1,$1,$6,$0,$-87,$0,$14,$19,$-5,$0,$0,$0,$0,$0,$-0,$-0,$-1,$-6,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$-0,$11,$11,$0,$0,$11,$5,$0,$0
2,2018-03-31,0.38,$0.31,1.24,$0.08,4.74,$-1.19,0.0,$-0.80,0.0,$0.01B,$0.00B,1.19,$0.00B,$0.01B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.01B,-1300.00%,$0.00B,$-0.01B,-1300.00%,$0.00B,$-0.01B,-1300.00%,$0.00B,$-0.01B,-1300.00%,$0.00B,$-0.01B,-1200.00%,$-0.01B,$0.01B,-533.33%,$-0.01B,$0.00B,533.33%,$-0.01B,$0.01B,-81.36%,$-0.01B,$0.01B,-577.78%,$1,$0,$1,$3,$1,$3,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$17,17,$-0.14,$-0.14,$4,$0,$1,$5,$0,$0,$5,$0,$6,$11,$4,$0,$1,$1,$6,$0,$-85,$0,$5,$11,$-2,$0,$0,$0,$0,$0,$-0,$-1,$-2,$-4,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$-0,$0,$0,$0,$-0,$-0,$-4,$0,$0
3,2017-12-31,1.07,$-0.11,-9.58,$0.03,31.22,$-0.96,0.0,$-0.94,0.0,$0.01B,$0.02B,0.57,$0.00B,$-0.00B,-0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$-0.00B,-1733.33%,$-0.01B,$-0.00B,325.00%,$-0.01B,$0.01B,-86.67%,$-0.01B,$-0.00B,-1866.67%,$0,$0,$0,$3,$1,$4,$-4,$0,$-4,$0,$-3,$-3,$-3,$-4,$-4,$14,14,$-0.13,$-0.13,$8,$0,$0,$8,$0,$0,$2,$4,$6,$14,$15,$0,$1,$1,$16,$0,$-92,$0,$-2,$14,$-13,$0,$-0,$-0,$0,$0,$-1,$8,$7,$-6,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$12,$12,$0,$-1,$11,$4,$1,$0
4,2017-09-30,1.17,$0.04,29.62,$0.05,22.31,$-1.45,0.0,$-1.18,0.0,$0.01B,$0.01B,0.81,$0.00B,$0.00B,0.01,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.00B,-1120.00%,$-0.01B,$-0.01B,294.74%,$-0.01B,$0.02B,-100.00%,$-0.01B,$0.00B,-1120.00%,$0,$0,$0,$3,$1,$4,$-4,$0,$-4,$0,$-4,$-4,$-4,$-4,$-4,$17,17,$-0.24,$-0.24,$9,$0,$0,$10,$0,$0,$5,$0,$6,$16,$13,$0,$1,$3,$15,$0,$-89,$0,$1,$16,$-10,$0,$1,$1,$-1,$0,$-1,$6,$5,$-5,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$-0,$11,$11,$0,$0,$11,$6,$1,$0
5,2017-06-30,1.37,$0.27,5.16,$0.08,17.64,$-1.85,0.0,$-1.30,0.0,$0.01B,$0.01B,1.13,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.01B,-742.86%,$-0.01B,$-0.00B,472.73%,$-0.01B,$0.02B,-101.96%,$-0.01B,$0.01B,-742.86%,$0,$0,$0,$2,$1,$3,$-3,$0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$12,12,$-0.28,$-0.28,$12,$0,$0,$12,$0,$0,$5,$0,$6,$18,$11,$0,$1,$3,$14,$0,$-85,$0,$5,$18,$-6,$0,$1,$1,$-0,$0,$-0,$4,$3,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$-0,$11,$11,$0,$0,$11,$8,$1,$0
6,2017-03-31,2.55,$-0.11,-24.19,$0.09,27.3,$-2.12,0.0,$-1.48,0.0,$0.01B,$0.01B,0.62,$0.00B,$-0.00B,-0.01,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$-0.00B,-700.00%,$-0.01B,$-0.01B,1400.00%,$-0.01B,$0.01B,-121.74%,$-0.01B,$-0.00B,-700.00%,$0,$0,$0,$2,$1,$3,$-3,$0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$10,10,$-0.28,$-0.28,$5,$0,$0,$6,$0,$0,$5,$0,$6,$12,$10,$0,$1,$3,$13,$0,$-82,$0,$-1,$12,$-3,$0,$0,$0,$0,$0,$-0,$4,$3,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$-0,$2,$2,$0,$-0,$2,$2,$0,$0
7,2016-12-31,1.63,$-0.03,-50.15,$0.08,21.52,$-2.29,0.0,$-1.51,0.0,$0.00B,$0.01B,0.57,$0.00B,$0.00B,-0.05,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.00B,-325.00%,$-0.01B,$-0.01B,-520.00%,$-0.01B,$0.01B,-113.04%,$-0.01B,$0.00B,-325.00%,$0,$0,$0,$3,$1,$4,$-4,$0,$-4,$0,$-4,$-4,$-4,$-4,$-4,$9,9,$-0.38,$-0.38,$4,$0,$0,$4,$0,$0,$5,$0,$6,$10,$7,$0,$1,$3,$10,$0,$-79,$0,$-0,$10,$-13,$0,$1,$1,$0,$0,$1,$3,$4,$-8,$-0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$-0,$4,$4,$0,$-0,$3,$-5,$1,$0
8,2016-09-30,1.72,$0.34,5.08,$0.06,29.86,$-2.06,0.0,$-1.37,0.0,$0.01B,$0.01B,1.02,$0.00B,$0.00B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.00B,-218.18%,$-0.01B,$0.00B,-218.18%,$-0.01B,$0.01B,-104.35%,$-0.01B,$0.00B,-218.18%,$0,$0,$0,$2,$1,$4,$-3,$0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$9,9,$-0.36,$-0.36,$6,$0,$0,$6,$0,$0,$0,$4,$4,$11,$6,$0,$1,$1,$7,$0,$-75,$0,$3,$11,$-10,$0,$0,$0,$0,$0,$1,$2,$3,$-6,$-0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$4,$4,$0,$-0,$4,$-3,$0,$0
9,2016-06-30,2.59,$0.72,3.58,$0.03,92.46,$-1.78,0.0,$-1.20,0.0,$0.01B,$0.01B,1.72,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.01B,-142.86%,$-0.01B,$0.01B,-142.86%,$-0.01B,$0.01B,-88.89%,$-0.01B,$0.01B,-142.86%,$0,$0,$0,$2,$2,$4,$-4,$0,$-4,$0,$-4,$-4,$-4,$-4,$-4,$8,8,$-0.46,$-0.46,$8,$0,$0,$9,$0,$0,$0,$4,$4,$13,$5,$0,$1,$1,$6,$0,$-72,$0,$6,$13,$-6,$0,$0,$0,$0,$0,$1,$1,$2,$-4,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$3,$3,$0,$0,$4,$-0,$0,$0
