,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,17.51,$13.68,1.28,$85.87,0.2,$5.62,3.12,$2.39,7.33,$47.58B,$55.63B,0.86,$12.09B,$26.81B,0.45,$133.97B,$19.37B,14.46%,$133.97B,$6.49B,4.84%,$133.97B,$6.49B,4.84%,$133.97B,$12.68B,9.47%,$133.97B,$5.42B,4.04%,$133.97B,$3.73B,2.78%,$3.73B,$26.81B,14.30%,$3.73B,$-2.60B,-3802.04%,$3.73B,$114.13B,3.25%,$6.49B,$38.90B,16.86%,$32084,$27421,$4662,$820,$2664,$30905,$1179,$-259,$920,$322,$598,$598,$648,$2413,$1179,$1551,1569,$0.42,$0.42,$14215,$15274,$3178,$47579,$30486,$2749,$29408,$822,$66549,$114128,$55633,$12089,$9392,$31685,$87318,$22,$0,$0,$26811,$114128,$2510,$4854,$891,$5745,$0,$-2297,$0,$976,$-1322,$6933,$-4401,$0,$-2,$0,$0,$0,$-1086,$-5489,$-793,$-1482,$-2275,$0,$0,$-1,$-58,$-2335,$-1418,$0,$-1
1,2018-06-30,18.89,$13.80,1.37,$85.33,0.22,$4.07,4.64,$2.66,7.1,$47.53B,$58.01B,0.82,$12.46B,$27.04B,0.46,$132.93B,$19.57B,14.72%,$132.93B,$7.24B,5.44%,$132.93B,$7.24B,5.44%,$132.93B,$14.09B,10.60%,$132.93B,$6.19B,4.66%,$132.93B,$4.15B,3.12%,$4.15B,$27.04B,16.35%,$4.15B,$10.11B,-534.84%,$4.15B,$118.71B,3.62%,$7.24B,$39.50B,18.88%,$34577,$29782,$4795,$1014,$2149,$32944,$1633,$-262,$1370,$471,$899,$899,$892,$3354,$1633,$1550,1550,$0.57,$0.57,$16723,$16783,$3411,$47531,$33426,$3003,$16929,$14472,$71177,$118708,$58009,$12458,$9924,$33659,$91668,$23,$0,$0,$27040,$118708,$2117,$3621,$413,$4033,$0,$-264,$0,$296,$32,$6182,$-3190,$0,$0,$0,$0,$0,$-810,$-4000,$-340,$-1238,$-1578,$0,$0,$0,$13,$-1565,$722,$0,$0
2,2018-03-31,20.52,$13.62,1.51,$83.05,0.25,$2.20,9.35,$2.90,7.08,$45.46B,$57.10B,0.8,$13.01B,$26.68B,0.49,$129.07B,$19.65B,15.22%,$129.07B,$7.44B,5.77%,$129.07B,$7.44B,5.77%,$129.07B,$14.29B,11.07%,$129.07B,$7.36B,5.70%,$129.07B,$4.52B,3.50%,$4.52B,$26.68B,18.72%,$4.52B,$-3.45B,-94.22%,$4.52B,$117.54B,4.04%,$7.44B,$39.69B,19.68%,$33222,$28342,$4880,$1074,$1996,$31412,$1809,$-277,$1533,$278,$1255,$1255,$1249,$3708,$1809,$1542,1566,$0.81,$0.80,$14888,$16878,$2798,$45457,$34457,$2994,$30125,$1017,$72086,$117544,$57096,$13014,$9775,$33769,$90865,$23,$0,$0,$26679,$117544,$1255,$1899,$250,$2149,$0,$-490,$0,$-27,$-517,$2886,$-1667,$0,$0,$0,$0,$0,$-513,$-2179,$-15,$-1537,$-1551,$0,$0,$0,$-157,$-1709,$-1302,$0,$0
3,2017-12-31,17.84,$12.17,1.47,$80.88,0.22,$0.97,18.44,$2.54,7.02,$41.00B,$53.43B,0.77,$12.12B,$23.72B,0.51,$125.39B,$19.17B,15.29%,$125.39B,$7.17B,5.72%,$125.39B,$7.17B,5.72%,$125.39B,$13.83B,11.03%,$125.39B,$6.96B,5.55%,$125.39B,$3.95B,3.15%,$3.95B,$23.72B,17.31%,$3.95B,$-4.46B,-69.25%,$3.95B,$108.85B,3.60%,$7.17B,$35.85B,19.29%,$34089,$29054,$5035,$892,$2277,$32223,$1866,$-272,$1595,$650,$944,$944,$937,$3207,$1866,$1536,1556,$0.60,$0.59,$14835,$14606,$2402,$41001,$32795,$2814,$28181,$945,$67846,$108847,$53428,$12124,$9432,$31697,$85125,$21,$0,$0,$23722,$108847,$3967,$6657,$-177,$6480,$-233,$-1883,$1228,$2179,$1291,$11738,$-9726,$0,$-20,$0,$5,$5,$-765,$-10507,$-2946,$-2526,$-5472,$419,$419,$-1,$-2,$-5056,$-5290,$0,$-1
4,2017-09-30,17.91,$12.36,1.45,$80.00,0.22,$0.99,18.09,$2.23,8.03,$42.63B,$55.41B,0.77,$14.26B,$24.05B,0.59,$123.38B,$18.84B,15.27%,$123.38B,$6.76B,5.48%,$123.38B,$6.76B,5.48%,$123.38B,$13.69B,11.09%,$123.38B,$6.38B,5.17%,$123.38B,$3.45B,2.80%,$3.45B,$24.05B,15.54%,$3.45B,$-5.31B,-52.33%,$3.45B,$113.80B,3.10%,$6.76B,$38.31B,17.78%,$31044,$26186,$4859,$918,$2012,$29116,$1929,$-236,$1692,$623,$1070,$1070,$1071,$3822,$1929,$1537,1559,$0.70,$0.69,$14510,$16106,$3036,$42634,$34543,$2905,$29355,$846,$71170,$113804,$55405,$14258,$9921,$34352,$89756,$22,$0,$0,$24048,$113804,$3180,$5317,$-273,$5044,$0,$-1399,$0,$894,$-504,$7721,$-7618,$0,$-19,$0,$0,$0,$-16,$-7654,$-2730,$-2620,$-5350,$0,$0,$0,$-6,$-5356,$-6541,$0,$0
5,2017-06-30,10.63,$11.33,0.94,$79.22,0.13,$0.66,16.12,$1.97,5.4,$39.73B,$50.71B,0.78,$15.33B,$22.06B,0.7,$122.29B,$18.29B,14.96%,$122.29B,$6.23B,5.09%,$122.29B,$6.23B,5.09%,$122.29B,$12.89B,10.54%,$122.29B,$5.59B,4.57%,$122.29B,$3.06B,2.50%,$3.06B,$22.06B,14.53%,$3.06B,$-5.96B,-41.06%,$3.06B,$107.22B,2.76%,$6.23B,$37.39B,15.43%,$30715,$25842,$4873,$939,$2096,$28878,$1837,$701,$2537,$1267,$1270,$1270,$1259,$3556,$1837,$1537,1534,$0.82,$0.81,$14178,$14058,$3090,$39725,$32537,$2660,$28014,$803,$67494,$107219,$50713,$15333,$9392,$34450,$85163,$21,$0,$0,$22056,$107219,$1975,$3424,$-155,$3269,$0,$-392,$0,$117,$-275,$4969,$-4880,$0,$0,$0,$0,$0,$-35,$-4915,$-2164,$-2642,$-4805,$0,$0,$0,$-4,$-4810,$-5513,$0,$0
6,2017-03-31,10.93,$10.99,0.99,$79.38,0.14,$1.17,9.37,$1.38,7.92,$39.89B,$51.58B,0.77,$15.76B,$21.38B,0.74,$123.08B,$17.65B,14.34%,$123.08B,$5.56B,4.52%,$123.08B,$5.56B,4.52%,$123.08B,$12.29B,9.99%,$123.08B,$3.70B,3.01%,$123.08B,$2.15B,1.75%,$2.15B,$21.38B,10.62%,$2.15B,$-7.07B,-25.96%,$2.15B,$109.10B,1.90%,$5.56B,$37.14B,12.96%,$29540,$25138,$4402,$902,$1962,$28001,$1539,$-400,$1139,$456,$683,$683,$679,$3244,$1539,$1530,1552,$0.44,$0.44,$15527,$13980,$2229,$39885,$32678,$2557,$28450,$806,$69217,$109102,$51577,$15755,$10545,$36144,$87721,$20,$0,$0,$21381,$109102,$683,$1705,$-32,$1673,$0,$-619,$0,$-56,$-676,$1681,$-2378,$0,$0,$0,$0,$0,$330,$-2047,$-1834,$-906,$-2740,$0,$0,$0,$-425,$-3165,$-3632,$0,$0
7,2016-12-31,9.12,$11.06,0.82,$79.36,0.11,$0.86,10.58,$1.28,7.13,$43.96B,$54.74B,0.8,$17.83B,$21.42B,0.83,$122.85B,$17.40B,14.16%,$122.85B,$5.40B,4.40%,$122.85B,$5.40B,4.40%,$122.85B,$11.99B,9.76%,$122.85B,$3.44B,2.80%,$122.85B,$2.00B,1.62%,$2.00B,$21.42B,10.29%,$2.00B,$-8.07B,-22.79%,$2.00B,$115.47B,1.77%,$5.40B,$39.24B,11.90%,$32084,$27377,$4706,$995,$2259,$30631,$1453,$-443,$1010,$569,$441,$441,$445,$3064,$1453,$1513,1526,$0.29,$0.31,$20007,$13413,$2127,$43956,$33675,$2702,$29484,$809,$71510,$115466,$54742,$17828,$11247,$39308,$94050,$21,$0,$0,$21416,$115466,$2007,$6591,$259,$6850,$196,$-521,$859,$2333,$2866,$11723,$-9715,$0,$-128,$0,$61,$61,$-220,$-10003,$-3625,$-1243,$-4868,$0,$0,$-20,$-786,$-5674,$-3700,$0,$-20
8,2016-09-30,6.4,$11.44,0.56,$80.16,0.08,$0.25,25.34,$1.17,5.47,$45.77B,$37.36B,1.23,$28.23B,$19.43B,1.45,$123.74B,$18.20B,14.71%,$123.74B,$6.71B,5.43%,$123.74B,$6.71B,5.43%,$123.74B,$12.98B,10.49%,$123.74B,$2.00B,1.61%,$123.74B,$1.83B,1.48%,$1.83B,$19.43B,9.84%,$1.83B,$-8.73B,-20.07%,$1.83B,$112.40B,1.61%,$6.71B,$47.65B,14.04%,$29949,$25636,$4313,$881,$2036,$28552,$1397,$-490,$907,$231,$676,$676,$679,$3026,$1397,$1513,1566,$0.45,$0.43,$19645,$13991,$6011,$45769,$31771,$2608,$28159,$263,$66632,$112401,$37355,$28226,$27171,$55620,$92975,$19,$0,$0,$19426,$112401,$1568,$4980,$106,$5086,$0,$0,$0,$-491,$-491,$6163,$-6578,$0,$-114,$0,$50,$50,$-83,$-6724,$-3129,$279,$-2850,$0,$0,$0,$-753,$-3604,$-4504,$0,$0
9,2016-06-30,6.12,$11.16,0.55,$81.70,0.07,$-0.22,0.0,$0.51,12.0,$48.17B,$39.96B,1.21,$28.66B,$18.94B,1.51,$124.35B,$17.19B,13.82%,$124.35B,$5.68B,4.57%,$124.35B,$5.68B,4.57%,$124.35B,$11.92B,9.58%,$124.35B,$0.80B,0.64%,$124.35B,$0.81B,0.65%,$0.81B,$18.94B,4.59%,$0.81B,$-9.32B,-8.28%,$0.81B,$115.38B,0.71%,$5.68B,$47.61B,11.68%,$31508,$27284,$4224,$910,$2143,$30338,$1170,$-528,$643,$280,$363,$363,$351,$2957,$1170,$1512,1561,$0.23,$0.23,$21748,$13633,$6122,$48171,$32110,$2592,$28259,$254,$67204,$115375,$39955,$28662,$27609,$56478,$96433,$19,$0,$0,$18942,$115375,$903,$3350,$105,$3455,$0,$0,$0,$898,$898,$5256,$-4375,$0,$-115,$0,$45,$45,$-72,$-4517,$-3285,$282,$-3002,$0,$0,$0,$-375,$-3378,$-2844,$0,$0
