,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,1.3,$1.04,1.26,$1.90,0.69,$-1.52,0.0,$-0.72,0.0,$0.16B,$0.08B,1.94,$0.08B,$0.10B,0.81,$0.12B,$0.01B,4.17%,$0.12B,$-0.04B,-34.17%,$0.12B,$-0.04B,-34.17%,$0.12B,$-0.03B,-21.67%,$0.12B,$-0.05B,-38.33%,$0.12B,$-0.06B,-45.83%,$-0.06B,$0.10B,-54.19%,$-0.06B,$0.08B,-62.50%,$-0.06B,$0.36B,-14.81%,$-0.04B,$0.17B,-23.77%,$12,$14,$-2,$6,$6,$27,$-14,$-1,$-16,$0,$-16,$-16,$-18,$-12,$-14,$86,86,$-0.20,$-0.20,$54,$60,$9,$163,$46,$0,$14,$136,$196,$358,$84,$77,$0,$179,$263,$0,$-977,$-0,$96,$358,$-33,$7,$4,$11,$33,$22,$4,$-2,$52,$29,$-36,$0,$0,$0,$0,$0,$0,$-36,$0,$0,$0,$10,$10,$-3,$-0,$7,$-0,$2,$0
1,2018-04-30,1.86,$1.20,1.54,$1.94,0.96,$-2.85,0.0,$-0.83,0.0,$0.18B,$0.08B,2.33,$0.08B,$0.10B,0.81,$0.12B,$0.00B,3.39%,$0.12B,$-0.04B,-34.75%,$0.12B,$-0.04B,-34.75%,$0.12B,$-0.03B,-22.03%,$0.12B,$-0.05B,-39.83%,$0.12B,$-0.06B,-46.61%,$-0.06B,$0.10B,-53.66%,$-0.06B,$0.09B,-61.80%,$-0.06B,$0.37B,-15.24%,$-0.04B,$0.19B,-23.87%,$21,$21,$-1,$5,$7,$34,$-13,$-0,$-13,$0,$-13,$-13,$-18,$-11,$-13,$80,80,$-0.23,$-0.23,$72,$55,$8,$182,$45,$0,$14,$128,$186,$368,$78,$83,$0,$187,$265,$0,$-961,$-0,$102,$368,$-17,$4,$2,$6,$24,$31,$3,$-1,$53,$42,$-27,$0,$0,$0,$0,$0,$0,$-27,$2,$0,$2,$0,$3,$-2,$-0,$3,$18,$1,$0
2,2018-01-31,1.67,$1.38,1.21,$2.16,0.77,$-4.36,0.0,$-0.93,0.0,$0.19B,$0.09B,2.06,$0.06B,$0.11B,0.56,$0.12B,$0.01B,4.27%,$0.12B,$-0.04B,-33.33%,$0.12B,$-0.04B,-33.33%,$0.12B,$-0.02B,-20.51%,$0.12B,$-0.05B,-40.17%,$0.12B,$-0.05B,-43.59%,$-0.05B,$0.11B,-49.88%,$-0.05B,$0.09B,-57.63%,$-0.05B,$0.38B,-14.61%,$-0.04B,$0.17B,-22.94%,$39,$34,$5,$4,$6,$44,$-6,$-2,$-7,$-3,$-4,$-4,$-8,$-3,$-6,$72,72,$-0.12,$-0.12,$82,$60,$8,$194,$44,$0,$14,$124,$181,$375,$94,$60,$0,$174,$268,$0,$-948,$-0,$107,$375,$-4,$2,$-0,$2,$27,$15,$-3,$1,$42,$40,$-7,$0,$0,$0,$0,$0,$0,$-7,$-6,$0,$-6,$3,$3,$-1,$0,$-5,$28,$1,$0
3,2017-10-31,2.19,$1.46,1.5,$2.07,1.06,$-5.70,0.0,$-1.20,0.0,$0.20B,$0.10B,2.08,$0.06B,$0.10B,0.63,$0.10B,$0.00B,2.11%,$0.10B,$-0.04B,-46.32%,$0.10B,$-0.04B,-46.32%,$0.10B,$-0.03B,-31.58%,$0.10B,$-0.05B,-56.84%,$0.10B,$-0.06B,-60.00%,$-0.06B,$0.10B,-55.88%,$-0.06B,$0.09B,-64.59%,$-0.06B,$0.38B,-16.90%,$-0.04B,$0.17B,-25.11%,$48,$45,$3,$4,$7,$56,$-8,$-2,$-10,$0,$-10,$-10,$-11,$0,$-8,$50,50,$-0.11,$-0.11,$54,$74,$7,$204,$44,$0,$14,$123,$180,$384,$98,$64,$0,$184,$283,$0,$-944,$-0,$101,$384,$-54,$15,$5,$20,$-51,$-8,$25,$-2,$-38,$-72,$-32,$0,$1,$0,$0,$0,$0,$-31,$9,$0,$9,$39,$67,$-4,$-0,$72,$-31,$5,$0
4,2017-07-31,1.55,$1.64,0.95,$1.93,0.8,$-6.58,0.0,$-1.44,0.0,$0.15B,$0.05B,2.71,$0.07B,$0.10B,0.71,$0.07B,$-0.00B,-1.41%,$0.07B,$-0.05B,-67.61%,$0.07B,$-0.05B,-67.61%,$0.07B,$-0.04B,-52.11%,$0.07B,$-0.06B,-80.28%,$0.07B,$-0.06B,-84.51%,$-0.06B,$0.10B,-57.01%,$-0.06B,$0.09B,-65.57%,$-0.06B,$0.32B,-18.38%,$-0.05B,$0.17B,-26.27%,$10,$13,$-3,$5,$6,$25,$-14,$-3,$-17,$-0,$-17,$-17,$-18,$-12,$-14,$57,57,$-0.31,$-0.31,$40,$72,$6,$145,$42,$0,$14,$117,$173,$317,$53,$70,$0,$164,$217,$0,$-934,$-0,$100,$317,$-44,$7,$9,$16,$-9,$-5,$-8,$1,$-30,$-58,$-23,$0,$0,$0,$0,$0,$0,$-23,$10,$0,$10,$29,$29,$-3,$-0,$36,$-45,$3,$0
5,2017-04-30,1.15,$2.11,0.54,$2.45,0.47,$-7.01,0.0,$-1.51,0.0,$0.16B,$0.05B,3.23,$0.08B,$0.10B,0.77,$0.08B,$0.00B,2.41%,$0.08B,$-0.04B,-53.01%,$0.08B,$-0.04B,-53.01%,$0.08B,$-0.03B,-40.96%,$0.08B,$-0.05B,-61.45%,$0.08B,$-0.05B,-65.06%,$-0.05B,$0.10B,-48.43%,$-0.05B,$0.09B,-55.24%,$-0.05B,$0.32B,-16.38%,$-0.04B,$0.18B,-24.18%,$20,$20,$0,$5,$6,$32,$-11,$-2,$-13,$-0,$-13,$-13,$-14,$-9,$-11,$43,43,$-0.33,$-0.33,$51,$76,$7,$158,$41,$0,$14,$107,$161,$320,$49,$77,$0,$170,$219,$0,$-917,$-1,$101,$320,$-27,$4,$5,$9,$-9,$-2,$-5,$0,$-21,$-39,$-18,$0,$0,$0,$0,$0,$0,$-18,$12,$0,$12,$0,$13,$-2,$-0,$22,$-34,$2,$0
6,2017-01-31,1.5,$2.56,0.59,$2.97,0.51,$-6.68,0.0,$-1.74,0.0,$0.18B,$0.05B,3.9,$0.08B,$0.11B,0.78,$0.09B,$0.00B,2.17%,$0.09B,$-0.05B,-50.00%,$0.09B,$-0.05B,-50.00%,$0.09B,$-0.04B,-40.22%,$0.09B,$-0.05B,-57.61%,$0.09B,$-0.06B,-60.87%,$-0.06B,$0.11B,-51.03%,$-0.06B,$0.09B,-58.33%,$-0.06B,$0.33B,-17.11%,$-0.05B,$0.19B,-26.71%,$17,$15,$2,$5,$6,$28,$-11,$-3,$-14,$0,$-14,$-14,$-14,$-9,$-11,$38,38,$-0.39,$-0.39,$67,$82,$6,$180,$39,$0,$14,$95,$148,$328,$46,$83,$0,$176,$223,$0,$-903,$-1,$106,$328,$-14,$2,$3,$5,$-3,$-8,$-5,$2,$-16,$-25,$-9,$0,$0,$0,$0,$0,$0,$-9,$13,$0,$13,$5,$5,$-1,$-0,$17,$-17,$1,$0
7,2016-10-31,3.35,$3.25,1.03,$3.79,0.88,$-5.58,0.0,$-1.83,0.0,$0.20B,$0.05B,3.89,$0.08B,$0.11B,0.71,$0.11B,0,0.00%,$0.11B,$-0.05B,-43.52%,$0.11B,$-0.05B,-43.52%,$0.11B,$-0.04B,-35.19%,$0.11B,$-0.05B,-47.22%,$0.11B,$-0.06B,-50.93%,$-0.06B,$0.11B,-51.28%,$-0.06B,$0.10B,-58.67%,$-0.06B,$0.34B,-17.24%,$-0.05B,$0.20B,-29.98%,$24,$25,$-0,$5,$6,$36,$-12,$-1,$-13,$0,$-13,$-13,$-14,$-7,$-12,$30,30,$-0.40,$-0.40,$94,$74,$10,$202,$37,$0,$14,$88,$139,$341,$52,$81,$0,$174,$226,$0,$-890,$-1,$114,$341,$-51,$8,$4,$12,$30,$-8,$-3,$-27,$-7,$-47,$-41,$0,$0,$0,$0,$0,$0,$-41,$55,$0,$55,$71,$71,$-4,$-2,$121,$33,$3,$0
8,2016-07-31,5.39,$3.72,1.45,$5.07,1.06,$-4.72,0.0,$-1.80,0.0,$0.23B,$0.07B,3.41,$0.04B,$0.13B,0.34,$0.14B,$0.00B,2.22%,$0.14B,$-0.04B,-31.85%,$0.14B,$-0.04B,-31.85%,$0.14B,$-0.04B,-26.67%,$0.14B,$-0.05B,-34.81%,$0.14B,$-0.05B,-37.78%,$-0.05B,$0.13B,-49.76%,$-0.05B,$0.11B,-57.46%,$-0.05B,$0.33B,-16.83%,$-0.04B,$0.17B,-31.85%,$22,$21,$0,$5,$5,$32,$-10,$-1,$-11,$0,$-11,$-11,$-12,$-9,$-10,$31,31,$-0.38,$-0.38,$104,$78,$23,$234,$30,$0,$14,$52,$96,$330,$69,$43,$0,$136,$205,$0,$-877,$-1,$125,$330,$-38,$4,$5,$9,$27,$-12,$-0,$-31,$-17,$-47,$-10,$0,$0,$0,$0,$0,$0,$-10,$35,$0,$35,$69,$69,$-3,$-1,$100,$43,$3,$0
9,2016-04-30,5.96,$3.06,1.95,$6.03,0.99,$-4.46,0.0,$-1.66,0.0,$0.22B,$0.08B,2.91,$0.05B,$0.09B,0.48,$0.15B,$0.01B,4.55%,$0.15B,$-0.04B,-25.97%,$0.15B,$-0.04B,-25.97%,$0.15B,$-0.03B,-21.43%,$0.15B,$-0.04B,-27.92%,$0.15B,$-0.05B,-29.87%,$-0.05B,$0.09B,-48.04%,$-0.05B,$0.08B,-56.10%,$-0.05B,$0.31B,-15.70%,$-0.04B,$0.14B,-33.06%,$29,$29,$-0,$5,$7,$41,$-13,$-3,$-15,$0,$-15,$-15,$-16,$-12,$-13,$29,29,$-0.56,$-0.56,$91,$66,$22,$223,$29,$0,$14,$44,$87,$310,$76,$45,$0,$139,$216,$0,$-866,$-0,$94,$310,$-27,$2,$4,$6,$17,$-0,$-1,$-22,$-0,$-21,$-7,$0,$0,$0,$0,$0,$0,$-7,$36,$0,$36,$27,$27,$-2,$-1,$59,$31,$2,$0
