,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,13.92,$9.29,1.5,$13.72,1.01,$5.89,2.36,$2.15,6.47,$10.92B,$3.85B,2.84,$11.12B,$13.45B,0.83,$19.99B,$6.54B,32.72%,$19.99B,$5.86B,29.32%,$19.99B,$5.86B,29.32%,$19.99B,$7.67B,38.37%,$19.99B,$5.40B,27.01%,$19.99B,$3.16B,15.80%,$3.16B,$13.45B,25.51%,$3.16B,$13.45B,25.51%,$3.16B,$37.75B,8.49%,$5.86B,$24.58B,24.78%,$4908,$3527,$1381,$27,$101,$3593,$1315,$-129,$1186,$522,$664,$668,$556,$1773,$1315,$1450,1458,$0.38,$0.38,$4556,$4047,$1028,$10921,$23013,$0,$0,$2460,$26828,$37749,$3851,$11123,$5482,$20444,$24295,$158,$-12526,$-532,$13454,$37749,$2516,$1351,$212,$1563,$321,$-326,$0,$-16,$-154,$3925,$-1381,$-91,$0,$0,$0,$0,$0,$-1472,$-1935,$0,$-1935,$0,$0,$-386,$-19,$-2340,$168,$70,$-386
1,2018-06-30,17.21,$8.86,1.94,$13.31,1.29,$5.56,3.09,$1.96,8.78,$10.34B,$3.80B,2.72,$11.12B,$12.84B,0.87,$19.39B,$6.26B,32.27%,$19.39B,$5.47B,28.23%,$19.39B,$5.47B,28.23%,$19.39B,$7.24B,37.35%,$19.39B,$4.84B,24.95%,$19.39B,$2.88B,14.87%,$2.88B,$12.84B,24.90%,$2.88B,$12.84B,24.90%,$2.88B,$37.03B,7.77%,$5.47B,$23.97B,23.59%,$5168,$3357,$1811,$24,$109,$3504,$1664,$-113,$1551,$515,$1036,$1039,$869,$2106,$1664,$1449,1458,$0.60,$0.59,$3859,$4176,$1006,$10343,$22923,$0,$0,$2391,$26685,$37028,$3799,$11123,$5562,$20387,$24186,$158,$-13161,$-464,$12842,$37028,$1852,$893,$146,$1039,$309,$-468,$0,$-20,$-213,$2678,$-884,$-86,$0,$0,$0,$0,$0,$-970,$-1945,$0,$-1945,$0,$0,$-314,$-18,$-2277,$-525,$60,$-314
2,2018-03-31,17.47,$8.23,2.12,$12.32,1.42,$5.10,3.42,$1.55,11.27,$10.11B,$4.34B,2.33,$11.12B,$11.93B,0.93,$17.93B,$5.23B,29.15%,$17.93B,$4.50B,25.07%,$17.93B,$4.50B,25.07%,$17.93B,$6.27B,34.97%,$17.93B,$3.80B,21.19%,$17.93B,$2.28B,12.72%,$2.28B,$11.93B,21.00%,$2.28B,$11.93B,21.00%,$2.28B,$36.64B,6.15%,$4.50B,$23.05B,19.55%,$4868,$3259,$1609,$21,$131,$3409,$1459,$-123,$1336,$506,$830,$828,$692,$1910,$1459,$1449,1458,$0.47,$0.47,$3702,$3885,$1075,$10106,$22792,$0,$0,$2352,$26531,$36637,$4344,$11123,$5602,$20367,$24711,$158,$-14030,$-475,$11926,$36637,$817,$451,$122,$573,$136,$-142,$0,$-42,$-21,$1369,$-402,$-90,$0,$0,$0,$0,$0,$-492,$-1511,$0,$-1511,$0,$0,$0,$-77,$-1588,$-679,$49,$0
3,2017-12-31,18.85,$7.80,2.42,$11.28,1.67,$4.75,3.97,$1.24,15.2,$10.69B,$5.01B,2.13,$11.70B,$11.30B,1.04,$16.40B,$4.38B,26.71%,$16.40B,$3.63B,22.15%,$16.40B,$3.63B,22.15%,$16.40B,$5.35B,32.60%,$16.40B,$2.90B,17.69%,$16.40B,$1.82B,11.08%,$1.82B,$11.30B,17.68%,$1.82B,$11.30B,17.68%,$1.82B,$37.30B,4.90%,$3.63B,$23.00B,15.86%,$5041,$3303,$1738,$34,$122,$3619,$1422,$-97,$1325,$136,$1189,$1193,$1041,$1879,$1422,$1447,1454,$0.72,$0.72,$4447,$3893,$778,$10689,$22934,$0,$0,$2270,$26613,$37302,$5011,$11703,$5643,$20995,$26006,$158,$-14722,$-487,$11296,$37302,$2095,$1714,$284,$1998,$427,$-393,$0,$-28,$589,$4682,$-1410,$0,$0,$0,$0,$0,$47,$-1363,$-2857,$0,$-2857,$0,$0,$-176,$-22,$-3055,$202,$71,$-176
4,2017-09-30,13.96,$7.06,1.98,$11.14,1.25,$3.19,4.37,$0.74,18.87,$11.15B,$5.52B,2.02,$12.57B,$10.23B,1.23,$15.74B,$3.68B,23.37%,$15.74B,$2.91B,18.51%,$15.74B,$2.91B,18.51%,$15.74B,$4.76B,30.27%,$15.74B,$2.07B,13.15%,$15.74B,$1.07B,6.79%,$1.07B,$10.23B,10.94%,$1.07B,$10.23B,10.94%,$1.07B,$37.33B,2.88%,$2.91B,$22.80B,12.57%,$4310,$3212,$1098,$27,$104,$3382,$928,$-302,$626,$387,$239,$242,$280,$1346,$928,$1448,1454,$0.19,$0.19,$4957,$3857,$790,$11150,$22914,$0,$0,$1790,$26177,$37327,$5517,$12567,$5242,$21580,$27097,$158,$-15763,$-443,$10230,$37327,$886,$1257,$480,$1737,$420,$-314,$0,$-17,$389,$3012,$-952,$-2,$0,$0,$0,$0,$0,$-954,$-1196,$0,$-1196,$0,$0,$-69,$-22,$-1287,$726,$58,$-69
5,2017-06-30,11.94,$6.91,1.73,$11.04,1.08,$2.29,5.21,$0.71,16.82,$10.42B,$4.94B,2.11,$13.14B,$9.99B,1.32,$15.31B,$3.05B,19.90%,$15.31B,$2.35B,15.32%,$15.31B,$2.35B,15.32%,$15.31B,$4.42B,28.88%,$15.31B,$1.62B,10.58%,$15.31B,$1.01B,6.57%,$1.01B,$9.99B,10.61%,$1.01B,$9.99B,10.61%,$1.01B,$37.04B,2.64%,$2.35B,$23.13B,9.66%,$3711,$2930,$781,$19,$107,$3025,$686,$-173,$513,$186,$327,$326,$268,$1136,$686,$1447,1453,$0.18,$0.18,$4667,$3642,$674,$10417,$23067,$0,$0,$1957,$26626,$37043,$4944,$13138,$5098,$22106,$27050,$158,$-16043,$-456,$9993,$37043,$641,$839,$6,$845,$589,$-101,$0,$-2,$343,$1829,$-706,$3,$0,$0,$0,$0,$0,$-703,$-644,$0,$-644,$0,$0,$-41,$-19,$-704,$429,$44,$-41
6,2017-03-31,13.28,$6.63,2.01,$11.12,1.2,$1.59,8.37,$0.15,88.56,$9.77B,$4.84B,2.02,$13.14B,$9.59B,1.37,$14.93B,$1.72B,11.52%,$14.93B,$1.68B,11.23%,$14.93B,$1.68B,11.23%,$14.93B,$3.95B,26.49%,$14.93B,$0.99B,6.65%,$14.93B,$0.26B,1.73%,$0.26B,$9.59B,2.85%,$0.26B,$9.59B,2.85%,$0.26B,$36.58B,0.66%,$1.68B,$22.72B,6.65%,$3341,$2577,$764,$14,$151,$2744,$597,$-159,$438,$174,$264,$268,$228,$986,$597,$1446,1454,$0.16,$0.16,$4001,$3763,$604,$9767,$23117,$0,$0,$2010,$26809,$36576,$4842,$13135,$5226,$22147,$26989,$158,$-16311,$-537,$9587,$36576,$306,$389,$-92,$297,$623,$-135,$0,$-13,$189,$792,$-344,$-17,$0,$0,$0,$0,$0,$-361,$-658,$0,$-658,$0,$0,$-1,$-20,$-679,$-240,$34,$-1
7,2016-12-31,13.12,$6.41,2.05,$11.41,1.15,$1.09,12.08,$-3.36,0.0,$10.44B,$4.27B,2.45,$14.80B,$9.26B,1.6,$14.83B,$-2.75B,-18.54%,$14.83B,$-2.79B,-18.83%,$14.83B,$-2.79B,-18.83%,$14.83B,$-0.18B,-1.23%,$14.83B,$-3.47B,-23.41%,$14.83B,$-4.15B,-28.01%,$-4.15B,$9.26B,-48.01%,$-4.15B,$9.26B,-48.01%,$-4.15B,$37.32B,-10.21%,$-2.79B,$24.05B,-10.56%,$4377,$3342,$1035,$18,$199,$3674,$703,$-211,$492,$292,$200,$202,$292,$1296,$703,$1318,1318,$0.41,$0.41,$4245,$3642,$543,$10435,$23219,$0,$0,$1956,$26882,$37317,$4265,$14795,$5232,$23795,$28060,$157,$-16540,$-548,$9257,$37317,$-4025,$2610,$5057,$7667,$-175,$117,$0,$37,$87,$3729,$-2813,$0,$5932,$0,$0,$0,$431,$3550,$-3944,$0,$-3944,$1515,$1515,$-699,$-38,$-3166,$4068,$86,$-699
8,2016-09-30,10.8,$6.66,1.62,$10.99,0.98,$-2.50,0.0,$-7.04,0.0,$11.51B,$4.49B,2.56,$18.18B,$9.07B,2.01,$13.59B,$-7.78B,-57.26%,$13.59B,$-7.66B,-56.37%,$13.59B,$-7.66B,-56.37%,$13.59B,$-4.86B,-35.78%,$13.59B,$-8.30B,-61.10%,$13.59B,$-8.53B,-62.76%,$-8.53B,$9.07B,-91.20%,$-8.53B,$9.07B,-91.20%,$-8.53B,$41.40B,-19.84%,$-7.66B,$27.25B,-27.01%,$3877,$3411,$466,$13,$110,$3518,$359,$-182,$177,$-114,$291,$292,$217,$1002,$359,$1346,1351,$0.16,$0.16,$1108,$3685,$4962,$11505,$23415,$0,$0,$2134,$29895,$41400,$4488,$18180,$5343,$27846,$32334,$149,$-16832,$-476,$9066,$41400,$-4225,$2017,$4319,$6336,$257,$251,$0,$-120,$483,$2594,$-1899,$0,$0,$0,$0,$0,$1005,$-894,$-1076,$0,$-1076,$442,$442,$-92,$-22,$-748,$909,$0,$-92
9,2016-06-30,11.08,$6.31,1.75,$11.27,0.98,$-5.16,0.0,$-10.78,0.0,$10.70B,$4.54B,2.36,$18.55B,$8.32B,2.23,$13.09B,$-12.03B,-91.85%,$13.09B,$-11.98B,-91.52%,$13.09B,$-11.98B,-91.52%,$13.09B,$-8.94B,-68.29%,$13.09B,$-12.64B,-96.55%,$13.09B,$-12.57B,-96.04%,$-12.57B,$8.32B,-115.52%,$-12.57B,$8.32B,-115.52%,$-12.57B,$41.30B,-27.80%,$-11.98B,$26.87B,-39.55%,$3334,$3879,$-545,$15,$160,$3316,$18,$-132,$-114,$116,$-230,$-229,$-479,$670,$18,$1269,1269,$-0.38,$-0.38,$352,$3744,$4892,$10700,$23609,$0,$0,$2208,$30596,$41296,$4540,$18549,$5359,$28437,$32977,$145,$-17049,$-488,$8319,$41296,$-4511,$1374,$4384,$5758,$259,$91,$0,$-53,$367,$1614,$-1525,$0,$0,$0,$0,$0,$990,$-535,$-838,$0,$-838,$32,$32,$-44,$-23,$-873,$153,$42,$-44
