,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-08-31,243.95,$60.29,4.05,$247.55,0.99,$-19.35,0.0,$17.68,13.8,$12.64B,$9.61B,1.32,$15.24B,$19.17B,0.8,$67.21B,$47.93B,71.31%,$67.21B,$4.97B,7.40%,$67.21B,$4.97B,7.40%,$67.21B,$8.50B,12.65%,$67.21B,$4.47B,6.65%,$67.21B,$4.81B,7.16%,$4.81B,$19.17B,25.82%,$4.81B,$12.30B,41.92%,$4.81B,$51.90B,9.33%,$4.97B,$34.41B,14.59%,$17052,$4953,$12099,$0,$6260,$15981,$1071,$30,$1101,$266,$835,$835,$835,$1879,$1071,$265,269,$3.15,$3.10,$2369,$523,$0,$12641,$28779,$0,$6869,$3612,$39260,$51901,$9606,$15241,$2257,$23122,$32728,$32,$25315,$-763,$19173,$51901,$835,$808,$173,$981,$-380,$0,$0,$-151,$-1115,$701,$-1101,$0,$0,$0,$0,$0,$0,$-1101,$-2,$299,$297,$-600,$-600,$-173,$4,$-472,$-896,$68,$-173
1,2018-05-31,248.45,$61.06,4.07,$240.40,1.03,$-19.51,0.0,$16.77,14.82,$13.34B,$9.63B,1.39,$15.24B,$19.42B,0.79,$65.45B,$46.98B,71.77%,$65.45B,$4.87B,7.44%,$65.45B,$4.87B,7.44%,$65.45B,$8.35B,12.75%,$65.45B,$4.35B,6.65%,$65.45B,$4.57B,6.99%,$4.57B,$19.42B,25.41%,$4.57B,$12.44B,42.69%,$4.57B,$52.33B,8.97%,$4.87B,$34.66B,14.59%,$17314,$4820,$12494,$0,$5820,$15678,$1636,$-278,$1358,$231,$1127,$1127,$1127,$2818,$1636,$267,272,$4.23,$4.17,$3265,$525,$0,$13341,$28154,$0,$6973,$3862,$38989,$52330,$9627,$15243,$2318,$23287,$32914,$32,$24823,$-578,$19416,$52330,$4572,$3475,$87,$3562,$-1049,$0,$0,$-2552,$-3460,$4674,$-5621,$0,$-56,$0,$0,$0,$0,$-5677,$1442,$0,$1442,$-690,$-690,$-535,$10,$227,$-704,$167,$-535
2,2018-02-28,245.25,$59.42,4.13,$235.00,1.04,$-16.22,0.0,$16.37,14.98,$13.58B,$9.50B,1.43,$16.02B,$18.89B,0.85,$63.86B,$46.02B,72.06%,$63.86B,$4.82B,7.54%,$63.86B,$4.82B,7.54%,$63.86B,$7.86B,12.31%,$63.86B,$4.46B,6.98%,$63.86B,$4.47B,6.99%,$4.47B,$18.89B,26.02%,$4.47B,$11.43B,45.43%,$4.47B,$51.85B,8.93%,$4.82B,$34.91B,14.83%,$16526,$4849,$11677,$0,$5981,$15525,$1001,$-127,$874,$-1200,$2074,$2074,$2074,$1787,$1001,$268,273,$7.74,$7.59,$2789,$523,$0,$13575,$27697,$0,$7464,$3115,$38276,$51851,$9503,$16017,$2199,$23454,$32957,$32,$23710,$-357,$18894,$51851,$3445,$2293,$-602,$1691,$-986,$0,$0,$-207,$-3974,$1162,$-3973,$0,$-44,$0,$0,$0,$0,$-4017,$1450,$797,$2247,$-274,$-274,$-402,$6,$1577,$-1180,$135,$-402
3,2017-11-30,229.9,$53.63,4.29,$229.80,1.0,$-9.69,0.0,$10.85,21.19,$12.88B,$8.23B,1.57,$15.18B,$17.06B,0.89,$62.34B,$45.11B,72.36%,$62.34B,$4.84B,7.76%,$62.34B,$4.84B,7.76%,$62.34B,$7.86B,12.61%,$62.34B,$4.48B,7.19%,$62.34B,$2.95B,4.74%,$2.95B,$17.06B,18.19%,$2.95B,$9.73B,32.75%,$2.95B,$50.28B,6.06%,$4.84B,$32.24B,15.50%,$16313,$4658,$11655,$0,$5742,$15051,$1262,$-123,$1139,$364,$775,$775,$775,$2018,$1262,$268,272,$2.89,$2.84,$2768,$533,$0,$12881,$27290,$0,$7325,$2785,$37400,$50281,$8227,$15180,$2108,$24999,$33226,$32,$21785,$-434,$17055,$50281,$1371,$1507,$546,$2053,$-983,$0,$0,$-379,$-1926,$1498,$-2609,$0,$-44,$0,$0,$0,$0,$-2653,$-28,$250,$222,$-65,$-65,$-268,$3,$-108,$-1201,$103,$-268
4,2017-08-31,212.43,$52.26,4.06,$225.13,0.94,$-5.41,0.0,$10.60,20.04,$12.72B,$7.79B,1.63,$15.14B,$16.62B,0.91,$60.95B,$44.29B,72.67%,$60.95B,$4.74B,7.78%,$60.95B,$4.74B,7.78%,$60.95B,$7.75B,12.72%,$60.95B,$4.42B,7.25%,$60.95B,$2.88B,4.72%,$2.88B,$16.62B,18.45%,$2.88B,$9.24B,33.91%,$2.88B,$49.35B,6.03%,$4.74B,$31.76B,15.72%,$15297,$4148,$11149,$0,$5664,$14326,$971,$11,$982,$386,$596,$596,$596,$1722,$971,$268,272,$2.22,$2.19,$3503,$516,$0,$12722,$26235,$0,$7382,$3011,$36628,$49350,$7790,$15137,$2061,$24942,$32732,$32,$21156,$-325,$16618,$49350,$596,$751,$219,$970,$-271,$0,$0,$-165,$-976,$590,$-1038,$0,$0,$0,$0,$0,$0,$-1038,$-12,$0,$-12,$64,$64,$-134,$-6,$-88,$-466,$62,$-134
5,2017-05-31,191.62,$50.54,3.79,$223.40,0.86,$-4.63,0.0,$11.06,17.33,$12.63B,$7.92B,1.6,$14.91B,$16.07B,0.93,$60.32B,$43.92B,72.81%,$60.32B,$5.04B,8.35%,$60.32B,$5.04B,8.35%,$60.32B,$8.03B,13.32%,$60.32B,$4.58B,7.59%,$60.32B,$3.00B,4.97%,$3.00B,$16.07B,20.00%,$3.00B,$8.92B,37.38%,$3.00B,$48.55B,6.40%,$5.04B,$30.98B,17.24%,$15728,$4191,$11537,$0,$5483,$14147,$1581,$-121,$1460,$440,$1020,$1020,$1020,$2335,$1581,$266,270,$3.81,$3.76,$3969,$514,$0,$12628,$25981,$0,$7154,$2789,$35924,$48552,$7918,$14909,$2012,$24561,$32479,$32,$20833,$-415,$16073,$48552,$2997,$2995,$1140,$4135,$-556,$0,$0,$-1749,$-2202,$4930,$-4981,$0,$0,$0,$0,$0,$0,$-4981,$1108,$0,$1108,$-172,$-172,$-426,$18,$528,$435,$154,$-426
6,2017-02-28,190.37,$47.75,3.99,$211.67,0.9,$-1.29,0.0,$7.05,27.0,$11.94B,$7.45B,1.6,$14.71B,$15.18B,0.97,$57.57B,$42.36B,73.58%,$57.57B,$3.39B,5.89%,$57.57B,$3.39B,5.89%,$57.57B,$6.30B,10.94%,$57.57B,$2.94B,5.10%,$57.57B,$1.91B,3.31%,$1.91B,$15.18B,13.23%,$1.91B,$8.18B,25.27%,$1.91B,$46.78B,4.13%,$3.39B,$29.90B,11.95%,$14997,$4233,$10764,$0,$5395,$13972,$1025,$-126,$899,$337,$562,$562,$562,$1787,$1025,$266,271,$2.11,$2.07,$3173,$527,$0,$11938,$25613,$0,$7000,$2230,$34843,$46781,$7450,$14713,$1867,$24147,$31597,$32,$19830,$-334,$15184,$46781,$1977,$2241,$677,$2918,$-340,$0,$0,$-268,$-2250,$2645,$-3667,$0,$0,$0,$0,$0,$0,$-3667,$1141,$0,$1141,$-93,$-93,$-319,$2,$731,$-361,$123,$-319
7,2016-11-30,188.69,$45.70,4.13,$202.34,0.93,$3.27,57.71,$6.82,27.67,$12.05B,$7.81B,1.54,$13.55B,$14.53B,0.93,$55.23B,$41.09B,74.41%,$55.23B,$3.23B,5.84%,$55.23B,$3.23B,5.84%,$55.23B,$6.04B,10.93%,$55.23B,$2.82B,5.11%,$55.23B,$1.85B,3.35%,$1.85B,$14.53B,13.05%,$1.85B,$7.61B,22.75%,$1.85B,$46.35B,4.22%,$3.23B,$28.08B,12.15%,$14931,$4089,$10842,$0,$5353,$13764,$1167,$-89,$1078,$378,$700,$700,$700,$1907,$1167,$266,270,$2.63,$2.59,$3059,$517,$0,$12052,$25307,$0,$6921,$2068,$34296,$46348,$7807,$13553,$1772,$24010,$31817,$32,$19410,$-425,$14531,$46348,$1415,$1479,$454,$1933,$-513,$0,$0,$-267,$-713,$2635,$-2581,$0,$0,$0,$0,$0,$0,$-2581,$-43,$0,$-43,$-170,$-170,$-213,$-5,$-431,$-475,$93,$-213
8,2016-08-31,161.98,$44.47,3.64,$191.05,0.85,$2.73,59.32,$6.67,24.28,$11.40B,$7.47B,1.53,$13.74B,$14.14B,0.97,$52.75B,$39.55B,74.98%,$52.75B,$3.20B,6.06%,$52.75B,$3.20B,6.06%,$52.75B,$5.92B,11.22%,$52.75B,$2.80B,5.30%,$52.75B,$1.84B,3.49%,$1.84B,$14.14B,12.88%,$1.84B,$7.36B,20.40%,$1.84B,$45.58B,4.40%,$3.20B,$27.88B,12.58%,$14663,$3890,$10773,$0,$5311,$13399,$1264,$-122,$1142,$427,$715,$715,$715,$2003,$1264,$265,269,$2.69,$2.65,$2989,$512,$0,$11401,$24804,$0,$6783,$2587,$34174,$45575,$7474,$13735,$1792,$23959,$31433,$32,$18862,$-176,$14142,$45575,$715,$739,$269,$1008,$20,$0,$0,$-19,$-752,$971,$-1206,$0,$0,$0,$0,$0,$0,$-1206,$-12,$0,$-12,$-182,$-182,$-106,$-13,$-313,$-545,$57,$-106
9,2016-05-31,161.61,$43.35,3.73,$179.47,0.9,$3.75,43.09,$6.44,25.09,$11.99B,$8.01B,1.5,$13.73B,$13.78B,1.0,$50.37B,$38.00B,75.45%,$50.37B,$3.08B,6.11%,$50.37B,$3.08B,6.11%,$50.37B,$5.71B,11.33%,$50.37B,$2.74B,5.44%,$50.37B,$1.82B,3.61%,$1.82B,$13.78B,12.47%,$1.82B,$7.04B,18.08%,$1.82B,$45.96B,4.57%,$3.08B,$27.52B,12.78%,$12979,$2996,$9983,$0,$4774,$13047,$-68,$-113,$-181,$-111,$-70,$-70,$-70,$599,$-68,$276,279,$-0.19,$-0.19,$3534,$496,$0,$11989,$24284,$0,$6747,$2939,$33970,$45959,$8008,$13733,$2085,$24167,$32175,$32,$18371,$-169,$13784,$45959,$1820,$2631,$1794,$4425,$-199,$0,$0,$-805,$-537,$5708,$-4828,$0,$-4618,$0,$0,$0,$0,$-9446,$6478,$0,$6478,$-2539,$-2539,$-277,$-51,$3611,$-229,$144,$-277
10,2016-02-29,133.86,$45.05,2.97,$175.16,0.76,$4.23,31.64,$3.54,37.81,$10.24B,$5.94B,1.72,$8.48B,$14.33B,0.59,$49.50B,$37.31B,75.38%,$49.50B,$1.82B,3.68%,$49.50B,$1.82B,3.68%,$49.50B,$4.45B,8.98%,$49.50B,$1.51B,3.04%,$49.50B,$1.00B,2.01%,$1.00B,$14.33B,6.69%,$1.00B,$10.56B,8.97%,$1.00B,$37.82B,2.66%,$1.82B,$22.80B,8.01%,$12654,$3160,$9494,$0,$4712,$11790,$864,$-82,$782,$275,$507,$507,$507,$1527,$864,$272,275,$1.86,$1.84,$2841,$476,$0,$10237,$22552,$0,$3764,$1266,$27582,$37819,$5939,$8477,$1518,$17553,$23492,$32,$18481,$-159,$14327,$37819,$1890,$1964,$493,$2457,$-78,$0,$0,$-327,$-551,$3796,$-3579,$0,$0,$0,$0,$0,$0,$-3579,$1210,$0,$1210,$-2054,$-2054,$-210,$-7,$-1061,$-922,$115,$-210
11,2015-11-30,154.78,$47.14,3.28,$169.97,0.91,$5.25,29.46,$3.71,41.72,$11.15B,$5.95B,1.87,$8.48B,$14.99B,0.57,$48.56B,$36.56B,75.29%,$48.56B,$2.00B,4.11%,$48.56B,$2.00B,4.11%,$48.56B,$4.61B,9.49%,$48.56B,$1.71B,3.52%,$48.56B,$1.12B,2.30%,$1.12B,$14.99B,7.29%,$1.12B,$11.18B,9.70%,$1.12B,$38.37B,3.01%,$2.00B,$23.47B,8.74%,$12453,$3153,$9300,$0,$4570,$11316,$1137,$-82,$1055,$364,$691,$691,$691,$1790,$1137,$279,283,$2.47,$2.44,$3647,$493,$0,$11152,$22278,$0,$3806,$1135,$27219,$38371,$5951,$8481,$1481,$17430,$23381,$32,$18048,$-41,$14990,$38371,$1383,$1301,$95,$1396,$-263,$0,$0,$-128,$-325,$2454,$-2550,$0,$0,$0,$0,$0,$0,$-2550,$1221,$0,$1221,$-1039,$-1039,$-141,$-8,$33,$-116,$86,$-141
12,2015-08-31,146.8,$48.06,3.05,$167.56,0.88,$6.53,22.49,$3.41,43.05,$10.70B,$5.84B,1.83,$7.24B,$15.28B,0.47,$48.05B,$35.96B,74.85%,$48.05B,$1.95B,4.06%,$48.05B,$1.95B,4.06%,$48.05B,$4.56B,9.48%,$48.05B,$1.70B,3.54%,$48.05B,$1.09B,2.27%,$1.09B,$15.28B,7.04%,$1.09B,$11.49B,9.13%,$1.09B,$37.25B,3.05%,$1.95B,$22.53B,8.83%,$12279,$3056,$9223,$0,$4525,$11135,$1144,$-60,$1084,$392,$692,$692,$692,$1792,$1144,$282,286,$2.45,$2.42,$3543,$488,$0,$10703,$21483,$0,$3792,$1267,$26542,$37245,$5844,$7244,$1347,$16118,$21962,$32,$17434,$10,$15283,$37245,$692,$648,$101,$749,$50,$0,$0,$-99,$-200,$1241,$-1199,$0,$0,$0,$0,$0,$0,$-1199,$-15,$0,$-15,$-144,$-144,$-71,$6,$-224,$-220,$53,$-71
13,2015-05-31,168.6,$47.15,3.58,$165.06,1.02,$7.30,23.1,$3.09,54.56,$10.34B,$5.96B,1.74,$7.25B,$14.99B,0.48,$47.45B,$35.25B,74.28%,$47.45B,$1.87B,3.93%,$47.45B,$1.87B,3.93%,$47.45B,$4.48B,9.44%,$47.45B,$1.63B,3.43%,$47.45B,$1.05B,2.21%,$1.05B,$14.99B,6.81%,$1.05B,$11.18B,8.65%,$1.05B,$36.53B,3.04%,$1.87B,$22.24B,8.72%,$12114,$2817,$9297,$0,$4432,$13435,$-1321,$-95,$-1416,$-522,$-894,$-894,$-894,$-664,$-1321,$283,287,$-3.14,$-3.10,$3763,$498,$0,$10335,$20875,$0,$3810,$1511,$26196,$36531,$5956,$7249,$1338,$15582,$21538,$32,$16900,$172,$14993,$36531,$1050,$2611,$2142,$4753,$-392,$0,$0,$-704,$-437,$5366,$-4323,$0,$-1429,$0,$0,$0,$0,$-5752,$2486,$0,$2486,$-934,$-934,$-227,$24,$1349,$855,$133,$-227
