,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,8.3,$7.20,1.15,$4.32,1.92,$0.46,18.07,$-1.35,0.0,$0.05B,$0.00B,11.73,$0.00B,$0.06B,0.0,$0.04B,$0.00B,10.53%,$0.04B,$-0.01B,-31.58%,$0.04B,$-0.01B,-31.58%,$0.04B,$-0.01B,-31.58%,$0.04B,$-0.01B,-31.58%,$0.04B,$-0.02B,-63.16%,$-0.02B,$0.06B,-32.54%,$-0.02B,$0.06B,-32.88%,$-0.02B,$0.08B,-24.94%,$-0.01B,$0.06B,-16.27%,$11,$7,$4,$2,$3,$11,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$9,9,$0.00,$0.00,$10,$26,$7,$52,$14,$0,$1,$17,$31,$84,$4,$0,$14,$15,$20,$9,$0,$-1,$64,$84,$0,$0,$1,$1,$0,$0,$0,$-5,$-5,$-4,$-0,$0,$0,$-1,$0,$-1,$0,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-5,$0,$0
1,2018-04-30,8.81,$7.13,1.23,$4.44,1.99,$1.21,7.27,$-1.28,0.0,$0.05B,$0.01B,9.91,$0.00B,$0.06B,0.0,$0.04B,$0.01B,12.82%,$0.04B,$-0.01B,-30.77%,$0.04B,$-0.01B,-30.77%,$0.04B,$-0.01B,-30.77%,$0.04B,$-0.01B,-28.21%,$0.04B,$-0.02B,-58.97%,$-0.02B,$0.06B,-28.66%,$-0.02B,$0.06B,-28.93%,$-0.02B,$0.08B,-22.17%,$-0.01B,$0.06B,-14.95%,$7,$6,$1,$2,$3,$11,$-3,$-0,$-3,$8,$-12,$-12,$-13,$-3,$-3,$9,9,$-1.41,$-1.41,$14,$26,$5,$52,$14,$0,$1,$17,$32,$84,$5,$0,$14,$15,$20,$9,$-0,$-1,$63,$84,$-22,$2,$16,$18,$6,$-2,$0,$1,$9,$5,$-1,$0,$0,$2,$0,$2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$5,$0,$0
2,2018-01-31,9.5,$8.88,1.07,$5.41,1.76,$0.71,13.46,$-1.28,0.0,$0.06B,$0.01B,7.05,$0.00B,$0.08B,0.0,$0.05B,$0.00B,8.33%,$0.05B,$-0.01B,-29.17%,$0.05B,$-0.01B,-29.17%,$0.05B,$-0.01B,-29.17%,$0.05B,$-0.01B,-27.08%,$0.05B,$-0.01B,-27.08%,$-0.01B,$0.08B,-14.99%,$-0.01B,$0.08B,-15.12%,$-0.01B,$0.10B,-11.71%,$-0.01B,$0.08B,-16.14%,$11,$13,$-3,$2,$3,$18,$-7,$0,$-7,$3,$-10,$-10,$-10,$-7,$-7,$9,9,$-1.18,$-1.18,$13,$26,$4,$63,$14,$0,$1,$16,$42,$104,$9,$0,$14,$17,$26,$9,$12,$2,$79,$104,$-11,$0,$9,$9,$0,$0,$0,$6,$6,$4,$-1,$0,$0,$2,$0,$2,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$4,$0,$0
3,2017-10-31,9.28,$10.05,0.92,$5.48,1.69,$0.23,39.66,$-0.06,0.0,$0.07B,$0.01B,9.17,$0.00B,$0.09B,0.0,$0.05B,$0.01B,20.83%,$0.05B,$-0.01B,-16.67%,$0.05B,$-0.01B,-16.67%,$0.05B,$-0.01B,-16.67%,$0.05B,$-0.01B,-14.58%,$0.05B,$-0.00B,-6.25%,$-0.00B,$0.09B,-3.32%,$-0.00B,$0.09B,-3.34%,$-0.00B,$0.11B,-2.65%,$-0.01B,$0.09B,-8.86%,$9,$7,$2,$2,$2,$11,$-2,$-0,$-2,$-1,$-1,$-1,$-1,$-2,$-2,$9,9,$-0.17,$-0.17,$12,$31,$6,$70,$14,$0,$1,$16,$43,$113,$8,$0,$13,$16,$24,$9,$23,$2,$89,$113,$-0,$0,$2,$2,$0,$0,$0,$2,$2,$3,$-1,$0,$0,$6,$0,$6,$-0,$6,$0,$0,$0,$0,$0,$0,$0,$0,$9,$0,$0
4,2017-07-31,8.64,$10.18,0.85,$5.73,1.51,$-0.54,0.0,$-0.01,0.0,$0.07B,$0.01B,8.69,$0.00B,$0.09B,0.0,$0.05B,$0.01B,24.00%,$0.05B,$-0.01B,-14.00%,$0.05B,$-0.01B,-14.00%,$0.05B,$-0.01B,-14.00%,$0.05B,$-0.01B,-12.00%,$0.05B,$-0.00B,-6.00%,$-0.00B,$0.09B,-3.29%,$-0.00B,$0.09B,-3.31%,$-0.00B,$0.11B,-2.62%,$-0.01B,$0.09B,-7.55%,$12,$8,$5,$2,$3,$12,$0,$1,$1,$0,$1,$1,$1,$0,$0,$9,9,$0.07,$0.07,$13,$30,$8,$71,$15,$0,$1,$16,$44,$114,$8,$0,$13,$16,$24,$9,$24,$2,$90,$114,$1,$0,$1,$1,$0,$0,$0,$2,$2,$3,$-0,$0,$0,$6,$0,$6,$-0,$6,$0,$0,$0,$0,$0,$0,$0,$0,$8,$0,$0
5,2017-04-30,10.5,$10.13,1.04,$5.71,1.84,$-1.03,0.0,$-0.16,0.0,$0.07B,$0.01B,8.61,$0.00B,$0.09B,0.0,$0.05B,$0.01B,22.00%,$0.05B,$-0.01B,-14.00%,$0.05B,$-0.01B,-14.00%,$0.05B,$-0.01B,-14.00%,$0.05B,$-0.01B,-14.00%,$0.05B,$-0.01B,-10.00%,$-0.01B,$0.09B,-5.43%,$-0.01B,$0.09B,-5.46%,$-0.01B,$0.11B,-4.30%,$-0.01B,$0.09B,-7.37%,$16,$16,$0,$2,$3,$21,$-5,$0,$-5,$-1,$-4,$-4,$-3,$-5,$-5,$9,9,$-0.39,$-0.39,$10,$29,$8,$70,$15,$0,$1,$16,$43,$113,$8,$0,$13,$16,$24,$9,$24,$2,$89,$113,$-5,$3,$9,$12,$-4,$2,$-1,$3,$-3,$4,$-5,$0,$0,$4,$0,$4,$-0,$-1,$0,$-6,$-6,$0,$0,$0,$-1,$-7,$-4,$1,$0
6,2017-01-31,11.08,$10.58,1.05,$4.93,2.25,$-0.92,0.0,$-0.17,0.0,$0.08B,$0.01B,11.75,$0.00B,$0.09B,0.0,$0.04B,$0.02B,34.88%,$0.04B,$-0.00B,-2.33%,$0.04B,$-0.00B,-2.33%,$0.04B,$-0.00B,-2.33%,$0.04B,$-0.00B,-2.33%,$0.04B,$-0.00B,-4.65%,$-0.00B,$0.09B,-2.15%,$-0.00B,$0.09B,-2.16%,$-0.00B,$0.11B,-1.69%,$-0.00B,$0.09B,-1.03%,$11,$8,$3,$1,$3,$12,$-1,$0,$-1,$-1,$0,$0,$0,$-1,$-1,$9,9,$0.04,$0.04,$11,$41,$9,$76,$15,$0,$1,$15,$37,$113,$6,$0,$12,$13,$20,$9,$27,$2,$93,$113,$-1,$0,$4,$4,$0,$0,$0,$-1,$-1,$3,$-4,$0,$0,$4,$0,$4,$-0,$0,$-6,$0,$-6,$0,$0,$0,$0,$-6,$-4,$0,$0
7,2016-10-31,9.18,$10.55,0.87,$5.17,1.78,$-0.74,0.0,$-0.18,0.0,$0.08B,$0.01B,12.29,$0.01B,$0.09B,0.07,$0.05B,$0.02B,37.78%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$-0.00B,-4.44%,$-0.00B,$0.09B,-2.15%,$-0.00B,$0.09B,-2.16%,$-0.00B,$0.12B,-1.66%,$0.00B,$0.10B,0.00%,$11,$8,$4,$2,$3,$13,$-1,$0,$-1,$-0,$-1,$-1,$-1,$-1,$-1,$9,9,$-0.12,$-0.12,$14,$42,$11,$82,$14,$0,$1,$15,$36,$118,$7,$6,$12,$19,$26,$9,$27,$2,$93,$118,$-1,$0,$3,$3,$0,$0,$0,$-4,$-4,$-2,$-2,$0,$0,$1,$0,$1,$-0,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$-2,$0,$0
8,2016-07-31,10.72,$10.57,1.01,$5.70,1.88,$-0.67,0.0,$-0.07,0.0,$0.09B,$0.01B,9.29,$0.01B,$0.09B,0.07,$0.05B,$0.02B,36.00%,$0.05B,$0.00B,2.00%,$0.05B,$0.00B,2.00%,$0.05B,$0.00B,2.00%,$0.05B,$0.00B,2.00%,$0.05B,$-0.00B,-2.00%,$-0.00B,$0.09B,-1.07%,$-0.00B,$0.09B,-1.08%,$-0.00B,$0.12B,-0.83%,$0.00B,$0.10B,1.01%,$12,$8,$4,$1,$3,$12,$-0,$0,$-0,$-0,$-0,$-0,$-1,$-0,$-0,$9,9,$-0.08,$-0.08,$16,$43,$12,$85,$13,$0,$1,$14,$36,$121,$9,$6,$12,$19,$28,$9,$28,$2,$93,$121,$-0,$0,$1,$1,$0,$0,$0,$-1,$-1,$-1,$-1,$0,$0,$0,$0,$0,$-0,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$-2,$0,$0
9,2016-04-30,10.13,$10.67,0.95,$6.24,1.62,$-0.75,0.0,$0.11,92.09,$0.09B,$0.01B,8.33,$0.01B,$0.09B,0.06,$0.06B,$0.02B,36.36%,$0.06B,$0.00B,3.64%,$0.06B,$0.00B,3.64%,$0.06B,$0.00B,3.64%,$0.06B,$0.00B,5.45%,$0.06B,$0.00B,1.82%,$0.00B,$0.09B,1.07%,$0.00B,$0.09B,1.08%,$0.00B,$0.12B,0.83%,$0.00B,$0.10B,2.02%,$9,$6,$4,$1,$1,$8,$1,$0,$1,$0,$1,$1,$-0,$1,$1,$9,9,$0.00,$-0.01,$17,$36,$12,$86,$12,$0,$1,$15,$36,$122,$10,$6,$12,$19,$29,$9,$29,$2,$93,$122,$2,$2,$-1,$2,$-1,$-4,$1,$2,$-1,$3,$-3,$0,$0,$-0,$0,$-0,$-0,$-4,$0,$0,$0,$0,$0,$0,$0,$0,$-1,$1,$0
10,2016-01-31,8.88,$10.67,0.83,$7.36,1.21,$-0.97,0.0,$0.11,80.73,$0.09B,$0.01B,9.88,$0.01B,$0.09B,0.06,$0.07B,$0.02B,32.31%,$0.07B,$0.00B,1.54%,$0.07B,$0.00B,1.54%,$0.07B,$0.00B,1.54%,$0.07B,$0.00B,3.08%,$0.07B,$0.00B,1.54%,$0.00B,$0.09B,1.08%,$0.00B,$0.09B,1.08%,$0.00B,$0.12B,0.84%,$0.00B,$0.10B,1.01%,$13,$9,$5,$1,$3,$13,$0,$0,$0,$0,$0,$0,$0,$0,$0,$9,9,$0.03,$0.03,$18,$41,$12,$85,$12,$0,$1,$14,$35,$120,$9,$6,$12,$18,$27,$9,$29,$2,$93,$120,$1,$0,$3,$3,$0,$0,$0,$-2,$-2,$2,$-2,$0,$0,$-0,$0,$-0,$0,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$0
