,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,60.75,$5.78,10.51,$1.60,37.93,$-3.03,0.0,$-1.55,0.0,$0.68B,$0.10B,6.76,$0.10B,$0.49B,0.2,$0.13B,$0.13B,100.00%,$0.13B,$-0.15B,-113.85%,$0.13B,$-0.15B,-113.85%,$0.13B,$-0.14B,-107.69%,$0.13B,$-0.15B,-111.54%,$0.13B,$-0.15B,-112.31%,$-0.15B,$0.49B,-28.17%,$-0.15B,$0.49B,-28.17%,$-0.15B,$0.86B,-16.72%,$-0.15B,$0.59B,-24.05%,$29,$0,$29,$56,$15,$72,$-43,$0,$-42,$0,$-43,$-43,$-43,$-41,$-43,$85,85,$-0.50,$-0.50,$653,$0,$0,$679,$128,$41,$0,$8,$177,$856,$100,$97,$27,$265,$365,$1,$-737,$-3,$491,$856,$-107,$5,$38,$44,$-15,$0,$5,$25,$5,$-59,$-5,$0,$0,$0,$-55,$-55,$0,$-59,$-0,$0,$-0,$25,$25,$0,$-13,$11,$-107,$38,$0
1,2018-06-30,62.6,$6.12,10.24,$1.79,34.92,$-3.20,0.0,$-1.55,0.0,$0.72B,$0.09B,7.95,$0.10B,$0.52B,0.19,$0.14B,$0.14B,100.00%,$0.14B,$-0.13B,-90.14%,$0.14B,$-0.13B,-90.14%,$0.14B,$-0.12B,-84.51%,$0.14B,$-0.13B,-89.44%,$0.14B,$-0.13B,-89.44%,$-0.13B,$0.52B,-23.38%,$-0.13B,$0.52B,-23.38%,$-0.13B,$0.87B,-14.38%,$-0.13B,$0.61B,-19.98%,$44,$0,$44,$52,$15,$67,$-23,$-0,$-23,$0,$-23,$-23,$-23,$-21,$-23,$84,84,$-0.28,$-0.28,$672,$0,$0,$720,$129,$11,$0,$10,$150,$870,$91,$97,$26,$265,$355,$1,$-694,$-3,$515,$870,$-65,$4,$24,$28,$-22,$0,$-2,$8,$-30,$-67,$-4,$0,$0,$0,$33,$33,$0,$30,$-0,$0,$-0,$17,$17,$0,$-10,$7,$-30,$24,$0
2,2018-03-31,46.2,$6.22,7.43,$1.70,27.14,$-3.06,0.0,$-1.75,0.0,$0.72B,$0.08B,8.61,$0.10B,$0.52B,0.19,$0.13B,$0.13B,100.00%,$0.13B,$-0.14B,-105.47%,$0.13B,$-0.14B,-105.47%,$0.13B,$-0.13B,-99.22%,$0.13B,$-0.14B,-106.25%,$0.13B,$-0.14B,-106.25%,$-0.14B,$0.52B,-28.53%,$-0.14B,$0.52B,-28.53%,$-0.14B,$0.87B,-16.97%,$-0.14B,$0.62B,-23.51%,$32,$0,$32,$57,$16,$73,$-41,$-1,$-41,$0,$-41,$-41,$-41,$-39,$-41,$83,83,$-0.50,$-0.50,$704,$0,$0,$717,$130,$11,$0,$10,$150,$868,$83,$98,$26,$265,$349,$1,$-671,$-4,$519,$868,$-41,$2,$11,$13,$-2,$0,$-2,$1,$-3,$-32,$-2,$0,$0,$0,$17,$17,$0,$15,$-0,$0,$-0,$9,$9,$0,$-7,$2,$-15,$11,$0
3,2017-12-31,47.4,$6.64,7.14,$1.78,26.68,$-3.08,0.0,$-1.77,0.0,$0.75B,$0.09B,8.71,$0.10B,$0.55B,0.18,$0.13B,$0.13B,100.00%,$0.13B,$-0.12B,-98.40%,$0.13B,$-0.12B,-98.40%,$0.13B,$-0.12B,-92.00%,$0.13B,$-0.13B,-100.80%,$0.13B,$-0.13B,-100.80%,$-0.13B,$0.55B,-32.75%,$-0.13B,$0.55B,-32.75%,$-0.13B,$0.90B,-18.14%,$-0.12B,$0.65B,-25.49%,$25,$0,$25,$52,$14,$66,$-41,$2,$-39,$0,$-39,$-39,$-39,$-39,$-41,$73,73,$-0.47,$-0.47,$736,$0,$0,$749,$129,$11,$0,$10,$150,$899,$86,$98,$25,$265,$351,$1,$-631,$-2,$548,$899,$-126,$8,$37,$45,$2,$0,$-1,$4,$14,$-67,$-8,$0,$0,$0,$78,$78,$0,$70,$-0,$0,$-0,$506,$506,$0,$-9,$496,$500,$38,$0
4,2017-09-30,53.8,$7.22,7.45,$1.94,27.77,$-1.96,0.0,$-2.04,0.0,$0.74B,$0.07B,10.82,$0.10B,$0.59B,0.17,$0.13B,$0.13B,100.00%,$0.13B,$-0.11B,-85.61%,$0.13B,$-0.11B,-85.61%,$0.13B,$-0.11B,-79.55%,$0.13B,$-0.12B,-91.67%,$0.13B,$-0.12B,-91.67%,$-0.12B,$0.59B,-41.51%,$-0.12B,$0.59B,-41.51%,$-0.12B,$0.90B,-20.60%,$-0.11B,$0.69B,-29.05%,$41,$0,$41,$50,$13,$63,$-23,$-2,$-24,$0,$-24,$-24,$-24,$-21,$-23,$76,76,$-0.32,$-0.32,$730,$0,$0,$741,$127,$17,$0,$10,$153,$895,$68,$97,$24,$236,$304,$1,$-574,$-2,$591,$895,$-87,$6,$27,$34,$-13,$0,$0,$1,$-12,$-65,$-5,$0,$0,$0,$55,$55,$0,$50,$-0,$0,$-0,$500,$500,$0,$-6,$493,$478,$28,$0
5,2017-06-30,32.3,$3.51,9.19,$1.88,17.16,$-0.65,0.0,$-1.92,0.0,$0.37B,$0.06B,6.21,$0.10B,$0.25B,0.39,$0.12B,$0.12B,100.00%,$0.12B,$-0.11B,-92.56%,$0.12B,$-0.11B,-92.56%,$0.12B,$-0.10B,-85.95%,$0.12B,$-0.12B,-100.00%,$0.12B,$-0.12B,-100.00%,$-0.12B,$0.25B,-62.61%,$-0.12B,$0.25B,-62.61%,$-0.12B,$0.54B,-24.94%,$-0.11B,$0.35B,-38.52%,$30,$0,$30,$47,$13,$60,$-30,$-2,$-32,$0,$-32,$-32,$-32,$-28,$-30,$70,70,$-0.46,$-0.46,$359,$0,$0,$371,$123,$39,$0,$9,$171,$543,$60,$97,$23,$233,$293,$1,$-536,$-1,$249,$543,$-63,$4,$18,$22,$2,$0,$-3,$-2,$-6,$-47,$-2,$0,$0,$0,$42,$42,$0,$40,$-0,$0,$-0,$127,$127,$0,$-4,$123,$116,$18,$0
6,2017-03-31,24.65,$2.34,10.52,$2.74,8.99,$0.43,56.97,$-1.09,0.0,$0.26B,$0.06B,4.27,$0.10B,$0.15B,0.65,$0.18B,$0.18B,100.00%,$0.18B,$-0.06B,-30.56%,$0.18B,$-0.06B,-30.56%,$0.18B,$-0.05B,-26.11%,$0.18B,$-0.07B,-36.11%,$0.18B,$-0.07B,-36.11%,$-0.07B,$0.15B,-35.33%,$-0.07B,$0.15B,-35.33%,$-0.07B,$0.44B,-13.71%,$-0.06B,$0.25B,-19.54%,$29,$0,$29,$47,$12,$58,$-29,$-2,$-31,$0,$-31,$-31,$-31,$-27,$-29,$64,64,$-0.48,$-0.48,$243,$0,$0,$257,$123,$53,$0,$9,$185,$442,$60,$98,$21,$231,$291,$1,$-503,$-1,$151,$442,$-31,$2,$8,$11,$3,$0,$-3,$-5,$-7,$-27,$-1,$0,$0,$0,$24,$24,$0,$23,$-0,$0,$-0,$3,$3,$0,$-2,$1,$-3,$8,$0
7,2016-12-31,21.4,$2.75,7.78,$2.74,7.82,$0.57,37.26,$-1.02,0.0,$0.27B,$0.07B,4.09,$0.10B,$0.18B,0.56,$0.18B,$0.18B,100.00%,$0.18B,$-0.05B,-29.61%,$0.18B,$-0.05B,-29.61%,$0.18B,$-0.05B,-25.14%,$0.18B,$-0.06B,-34.64%,$0.18B,$-0.06B,-34.64%,$-0.06B,$0.18B,-32.59%,$-0.06B,$0.18B,-32.59%,$-0.06B,$0.47B,-13.07%,$-0.05B,$0.27B,-18.43%,$32,$0,$32,$51,$13,$63,$-31,$-3,$-34,$0,$-34,$-34,$-34,$-29,$-31,$63,63,$-0.54,$-0.50,$253,$0,$0,$267,$124,$71,$0,$8,$203,$470,$65,$97,$21,$229,$294,$1,$-470,$-1,$175,$470,$-62,$9,$32,$41,$5,$0,$-0,$21,$28,$7,$-1,$0,$0,$0,$8,$8,$0,$7,$-0,$0,$-0,$10,$10,$0,$-3,$7,$20,$32,$0
8,2016-09-30,20.7,$3.13,6.61,$2.63,7.86,$0.14,147.33,$-1.33,0.0,$0.25B,$0.06B,4.11,$0.10B,$0.20B,0.49,$0.17B,$0.17B,100.00%,$0.17B,$-0.07B,-40.94%,$0.17B,$-0.07B,-40.94%,$0.17B,$-0.06B,-36.26%,$0.17B,$-0.08B,-46.20%,$0.17B,$-0.08B,-46.20%,$-0.08B,$0.20B,-40.36%,$-0.08B,$0.20B,-40.36%,$-0.08B,$0.49B,-16.64%,$-0.07B,$0.30B,-23.89%,$30,$0,$30,$41,$12,$52,$-22,$-2,$-24,$0,$-24,$-24,$-24,$-20,$-22,$63,63,$-0.38,$-0.38,$242,$0,$0,$253,$125,$99,$0,$9,$233,$486,$62,$97,$21,$227,$289,$1,$-436,$-1,$198,$486,$-28,$7,$23,$30,$8,$0,$-4,$16,$23,$26,$-1,$0,$0,$0,$17,$17,$0,$16,$-0,$0,$-0,$6,$6,$0,$-2,$4,$45,$24,$0
9,2016-06-30,16.41,$3.38,4.85,$2.47,6.63,$0.06,257.61,$-1.69,0.0,$0.25B,$0.07B,3.8,$0.10B,$0.21B,0.46,$0.16B,$0.16B,100.00%,$0.16B,$-0.09B,-57.14%,$0.16B,$-0.09B,-57.14%,$0.16B,$-0.08B,-52.17%,$0.16B,$-0.10B,-62.11%,$0.16B,$-0.10B,-62.11%,$-0.10B,$0.21B,-48.66%,$-0.10B,$0.21B,-48.66%,$-0.10B,$0.50B,-20.92%,$-0.09B,$0.31B,-30.39%,$89,$0,$89,$52,$10,$63,$27,$-2,$24,$-0,$24,$24,$24,$29,$27,$63,69,$0.39,$0.35,$231,$0,$0,$252,$126,$112,$0,$9,$247,$499,$66,$97,$21,$220,$287,$1,$-412,$-1,$212,$499,$-4,$4,$15,$19,$-3,$0,$-3,$17,$12,$27,$-1,$0,$0,$0,$8,$8,$0,$7,$-0,$0,$-0,$4,$4,$0,$-2,$3,$37,$16,$0
