,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,17.26,$14.64,1.18,$7.07,2.44,$-1.29,0.0,$1.15,15.01,$31.97B,$33.93B,0.94,$1.20B,$4.65B,0.26,$2.18B,$1.91B,87.47%,$2.18B,$0.62B,28.42%,$2.18B,0,0.00%,$2.18B,0,0.00%,$2.18B,$0.62B,28.28%,$2.18B,$0.39B,17.91%,$0.39B,$4.74B,8.46%,$0.39B,$3.17B,12.84%,$0.39B,$40.64B,0.95%,$0.62B,$5.94B,10.62%,$743,$88,$655,$0,$290,$384,$359,$0,$359,$84,$275,$275,$270,$0,$0,$324,327,$0.83,$0.83,$3906,$0,$0,$31974,$506,$4618,$1571,$1966,$8662,$40636,$33934,$1200,$723,$1923,$35894,$202,$1485,$-438,$4742,$40636,$456,$45,$-95,$-50,$-974,$494,$17,$-72,$-537,$-131,$-10,$0,$-74,$655,$403,$1058,$371,$1346,$-12,$-1497,$-1509,$-20,$-20,$-113,$418,$-1224,$-9,$17,$-100
1,2018-06-30,17.84,$14.00,1.27,$6.33,2.82,$-2.30,0.0,$0.60,29.73,$32.15B,$34.62B,0.93,$1.23B,$4.45B,0.28,$1.80B,$1.57B,87.53%,$1.80B,$0.35B,19.21%,$1.80B,0,0.00%,$1.80B,0,0.00%,$1.80B,$0.34B,19.04%,$1.80B,$0.19B,10.41%,$0.19B,$4.55B,4.51%,$0.19B,$2.97B,6.46%,$0.19B,$41.08B,0.49%,$0.35B,$5.78B,6.48%,$515,$77,$438,$0,$326,$410,$106,$0,$106,$20,$86,$86,$82,$0,$0,$325,328,$0.25,$0.25,$3877,$0,$0,$32154,$525,$4734,$1577,$2086,$8923,$41077,$34623,$1227,$662,$1889,$36527,$203,$1254,$-412,$4550,$41077,$181,$28,$46,$74,$-626,$472,$4,$-60,$-211,$44,$-18,$0,$-74,$436,$79,$514,$7,$429,$16,$-781,$-765,$-0,$-0,$-70,$387,$-448,$25,$11,$-61
2,2018-03-31,18.71,$13.98,1.34,$6.30,2.97,$-4.34,0.0,$0.73,25.63,$31.43B,$34.04B,0.92,$1.22B,$4.48B,0.27,$1.64B,$1.46B,88.93%,$1.64B,$0.35B,21.35%,$1.64B,0,0.00%,$1.64B,0,0.00%,$1.64B,$0.35B,21.17%,$1.64B,$0.20B,11.92%,$0.20B,$4.57B,5.27%,$0.20B,$3.00B,7.03%,$0.20B,$40.46B,0.56%,$0.35B,$5.79B,7.24%,$499,$62,$437,$0,$306,$374,$125,$0,$125,$30,$95,$95,$91,$0,$0,$326,330,$0.28,$0.27,$3502,$0,$0,$31429,$532,$4836,$1573,$2093,$9034,$40463,$34043,$1215,$626,$1841,$35891,$204,$1212,$-390,$4573,$40463,$95,$17,$21,$38,$-422,$179,$10,$-105,$-337,$-204,$-15,$0,$-28,$876,$6,$882,$429,$1269,$-2,$-1286,$-1288,$2,$2,$-26,$228,$-1083,$-19,$6,$-21
3,2017-12-31,19.75,$14.02,1.41,$6.20,3.18,$-4.02,0.0,$0.69,28.62,$32.29B,$34.94B,0.92,$1.22B,$4.49B,0.27,$1.48B,$1.33B,89.94%,$1.48B,$0.31B,21.00%,$1.48B,0,0.00%,$1.48B,0,0.00%,$1.48B,$0.31B,20.80%,$1.48B,$0.16B,10.74%,$0.16B,$4.58B,4.88%,$0.16B,$3.01B,5.95%,$0.16B,$41.42B,0.49%,$0.31B,$5.80B,7.16%,$421,$46,$375,$0,$343,$392,$29,$0,$26,$74,$-48,$-48,$-53,$0,$0,$241,244,$-0.25,$-0.24,$4054,$0,$0,$32291,$532,$5180,$1571,$1848,$9132,$41423,$34942,$1218,$634,$1852,$36843,$204,$1160,$-323,$4580,$41423,$177,$71,$155,$225,$-263,$-304,$6,$141,$-420,$-17,$-50,$0,$-337,$-121,$-34,$-155,$-795,$-1336,$-18,$2080,$2062,$1,$1,$-98,$-197,$1768,$414,$21,$-80
4,2017-09-30,18.83,$12.31,1.53,$5.94,3.17,$-3.18,0.0,$1.12,16.81,$23.54B,$25.13B,0.94,$1.06B,$2.79B,0.38,$1.40B,$1.28B,90.95%,$1.40B,$0.36B,25.93%,$1.40B,0,0.00%,$1.40B,0,0.00%,$1.40B,$0.36B,25.93%,$1.40B,$0.27B,18.87%,$0.27B,$2.88B,9.50%,$0.27B,$2.60B,10.42%,$0.27B,$29.62B,0.90%,$0.36B,$3.94B,9.50%,$361,$38,$322,$0,$235,$275,$85,$0,$85,$14,$72,$72,$67,$0,$0,$234,236,$0.29,$0.28,$3161,$0,$0,$23541,$293,$3973,$279,$1535,$6081,$29623,$25125,$1060,$510,$1570,$26739,$146,$1177,$-232,$2884,$29623,$225,$53,$9,$62,$-5,$-417,$9,$-187,$-599,$-311,$-28,$0,$-124,$460,$2,$463,$-571,$-261,$5,$1261,$1267,$-0,$-0,$-72,$-573,$622,$50,$15,$-59
5,2017-06-30,17.03,$12.07,1.41,$5.93,2.87,$-3.00,0.0,$1.11,15.34,$23.32B,$24.99B,0.93,$1.03B,$2.73B,0.38,$1.40B,$1.29B,92.14%,$1.40B,$0.38B,26.80%,$1.40B,0,0.00%,$1.40B,0,0.00%,$1.40B,$0.38B,26.80%,$1.40B,$0.26B,18.66%,$0.26B,$2.83B,9.48%,$0.26B,$2.55B,10.34%,$0.26B,$29.37B,0.90%,$0.38B,$3.86B,9.87%,$363,$35,$328,$0,$214,$251,$112,$0,$112,$17,$95,$95,$91,$0,$0,$233,236,$0.39,$0.38,$2969,$0,$0,$23321,$292,$3960,$281,$1515,$6049,$29370,$24992,$1033,$489,$1522,$26543,$146,$1131,$-237,$2827,$29370,$154,$34,$-31,$3,$-88,$-286,$1,$-230,$-603,$-446,$-18,$0,$-124,$491,$7,$498,$-391,$-36,$-7,$918,$910,$-2,$-2,$-47,$-339,$523,$41,$10,$-38
6,2017-03-31,17.99,$11.72,1.54,$5.87,3.07,$-1.24,0.0,$0.97,18.55,$23.67B,$25.32B,0.94,$1.04B,$2.65B,0.39,$1.38B,$1.28B,93.04%,$1.38B,$0.35B,25.67%,$1.38B,0,0.00%,$1.38B,0,0.00%,$1.38B,$0.35B,25.67%,$1.38B,$0.23B,16.46%,$0.23B,$2.74B,8.34%,$0.23B,$2.53B,9.05%,$0.23B,$29.62B,0.80%,$0.35B,$3.78B,9.38%,$336,$29,$307,$0,$220,$250,$85,$0,$85,$27,$58,$58,$54,$0,$0,$233,237,$0.23,$0.23,$4510,$0,$0,$23672,$290,$3954,$211,$1492,$5947,$29619,$25319,$1035,$503,$1538,$26878,$146,$1061,$-250,$2740,$29619,$58,$16,$11,$26,$7,$16,$7,$-186,$-156,$-71,$-9,$0,$0,$-1046,$-1,$-1047,$502,$-554,$-3,$40,$37,$0,$0,$-21,$808,$824,$198,$5,$-16
7,2016-12-31,19.37,$11.58,1.67,$5.83,3.32,$-1.42,0.0,$0.94,20.61,$22.55B,$24.19B,0.93,$1.04B,$2.61B,0.4,$1.37B,$1.28B,93.51%,$1.37B,$0.35B,25.16%,$1.37B,0,0.00%,$1.37B,0,0.00%,$1.37B,$0.35B,25.16%,$1.37B,$0.22B,16.12%,$0.22B,$2.71B,8.20%,$0.22B,$2.49B,8.90%,$0.22B,$28.56B,0.79%,$0.35B,$3.75B,9.02%,$344,$24,$320,$0,$237,$262,$82,$0,$82,$24,$58,$58,$53,$0,$0,$233,235,$0.24,$0.23,$2995,$0,$0,$22551,$289,$3958,$212,$1545,$6004,$28555,$24185,$1041,$604,$1644,$25850,$146,$1029,$-248,$2705,$28555,$239,$65,$94,$159,$17,$-22,$-5,$-205,$-215,$183,$-51,$0,$0,$-455,$-59,$-514,$-1904,$-2469,$-267,$10,$-257,$-75,$-75,$-81,$2706,$2293,$7,$18,$-64
8,2016-09-30,14.69,$11.77,1.25,$5.73,2.57,$-0.42,0.0,$0.91,16.15,$22.30B,$23.95B,0.93,$1.07B,$2.65B,0.4,$1.35B,$1.26B,93.62%,$1.35B,$0.32B,23.46%,$1.35B,0,0.00%,$1.35B,0,0.00%,$1.35B,$0.32B,23.53%,$1.35B,$0.22B,15.96%,$0.22B,$2.75B,8.02%,$0.22B,$2.53B,8.72%,$0.22B,$28.45B,0.79%,$0.32B,$3.81B,8.16%,$356,$22,$334,$0,$236,$259,$96,$0,$96,$29,$68,$68,$63,$0,$0,$232,234,$0.27,$0.27,$2698,$0,$0,$22299,$279,$4042,$214,$1615,$6150,$28449,$23949,$1066,$621,$1686,$25705,$146,$992,$-161,$2745,$28449,$181,$47,$86,$133,$-31,$-305,$1,$-241,$-576,$-262,$-32,$0,$0,$385,$-30,$356,$-1872,$-1549,$-264,$733,$468,$-78,$-78,$-60,$1607,$1937,$126,$12,$-47
9,2016-06-30,13.23,$11.60,1.14,$5.52,2.4,$1.81,7.31,$0.93,14.23,$21.42B,$22.92B,0.93,$1.08B,$2.60B,0.42,$1.30B,$1.22B,93.54%,$1.30B,$0.29B,22.46%,$1.30B,0,0.00%,$1.30B,0,0.00%,$1.30B,$0.29B,22.54%,$1.30B,$0.21B,16.23%,$0.21B,$2.69B,8.00%,$0.21B,$2.48B,8.67%,$0.21B,$27.54B,0.80%,$0.29B,$3.77B,7.48%,$343,$21,$322,$0,$230,$252,$91,$0,$91,$30,$61,$61,$57,$0,$0,$232,234,$0.24,$0.24,$2691,$0,$0,$21418,$280,$4024,$215,$1605,$6123,$27541,$22923,$1077,$759,$1836,$24849,$145,$946,$-152,$2692,$27541,$113,$29,$45,$74,$15,$-60,$-5,$-161,$-211,$-23,$-24,$0,$0,$283,$5,$288,$-903,$-639,$-260,$563,$303,$-89,$-89,$-40,$663,$837,$175,$8,$-31
