,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,7.49,$0.57,13.14,$2.91,2.58,$-2.36,0.0,$-1.03,0.0,$0.07B,$0.04B,1.85,$0.17B,$0.02B,7.56,$0.11B,$0.06B,52.78%,$0.11B,$-0.05B,-43.52%,$0.11B,$-0.05B,-43.52%,$0.11B,$-0.02B,-21.30%,$0.11B,$-0.06B,-51.85%,$0.11B,$-0.05B,-50.00%,$-0.05B,$0.02B,-157.66%,$-0.05B,$-0.14B,40.22%,$-0.05B,$0.25B,-20.22%,$-0.05B,$0.19B,-22.57%,$29,$13,$16,$7,$20,$41,$-12,$-4,$-16,$-1,$-15,$-15,$-15,$-5,$-12,$39,39,$-0.38,$-0.38,$36,$15,$0,$72,$10,$0,$164,$6,$180,$252,$39,$169,$2,$191,$230,$0,$-544,$-1,$22,$252,$-44,$18,$6,$24,$-3,$-1,$2,$-3,$-5,$-25,$-0,$0,$0,$0,$5,$5,$0,$5,$0,$0,$0,$1,$1,$0,$-3,$-2,$-22,$6,$0
1,2018-06-30,5.96,$0.89,6.7,$2.89,2.07,$-2.48,0.0,$-1.49,0.0,$0.08B,$0.04B,2.05,$0.17B,$0.04B,4.79,$0.10B,$0.05B,50.96%,$0.10B,$-0.05B,-49.04%,$0.10B,$-0.05B,-49.04%,$0.10B,$-0.03B,-27.88%,$0.10B,$-0.06B,-54.81%,$0.10B,$-0.06B,-52.88%,$-0.06B,$0.04B,-142.86%,$-0.06B,$-0.13B,41.43%,$-0.06B,$0.26B,-19.86%,$-0.05B,$0.20B,-23.31%,$26,$13,$14,$7,$19,$39,$-13,$-4,$-16,$-0,$-16,$-16,$-16,$-6,$-13,$39,39,$-0.42,$-0.42,$40,$15,$0,$75,$10,$0,$167,$6,$184,$259,$37,$167,$2,$188,$224,$0,$-529,$-1,$35,$259,$-29,$12,$4,$15,$-2,$-1,$2,$-6,$-6,$-20,$-0,$0,$0,$0,$4,$4,$0,$4,$0,$0,$0,$1,$1,$0,$-3,$-2,$-19,$4,$0
2,2018-03-31,5.84,$1.25,4.68,$3.02,1.93,$-2.55,0.0,$-1.65,0.0,$0.08B,$0.03B,2.4,$0.16B,$0.05B,3.38,$0.10B,$0.05B,50.00%,$0.10B,$-0.05B,-52.94%,$0.10B,$-0.05B,-52.94%,$0.10B,$-0.04B,-34.31%,$0.10B,$-0.06B,-57.84%,$0.10B,$-0.06B,-54.90%,$-0.06B,$0.05B,-156.64%,$-0.06B,$-0.12B,40.51%,$-0.06B,$0.27B,-19.86%,$-0.05B,$0.21B,-24.22%,$25,$12,$13,$7,$19,$38,$-13,$-2,$-14,$-1,$-13,$-13,$-13,$-8,$-13,$39,39,$-0.34,$-0.34,$47,$15,$0,$81,$11,$0,$170,$7,$189,$270,$34,$164,$2,$187,$221,$0,$-513,$-1,$49,$270,$-13,$5,$2,$6,$-1,$-1,$1,$-9,$-9,$-16,$-0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-16,$2,$0
3,2017-12-31,5.89,$0.80,7.38,$3.25,1.81,$-2.45,0.0,$-1.90,0.0,$0.10B,$0.03B,2.83,$0.20B,$0.03B,6.31,$0.10B,$0.05B,50.49%,$0.10B,$-0.06B,-57.28%,$0.10B,$-0.06B,-57.28%,$0.10B,$-0.04B,-38.83%,$0.10B,$-0.06B,-62.14%,$0.10B,$-0.06B,-58.25%,$-0.06B,$0.03B,-180.45%,$-0.06B,$-0.14B,41.74%,$-0.06B,$0.29B,-20.87%,$-0.06B,$0.23B,-25.85%,$28,$13,$14,$7,$16,$36,$-9,$-2,$-10,$0,$-10,$-10,$-10,$-4,$-9,$33,33,$-0.21,$-0.21,$63,$15,$0,$95,$12,$0,$173,$8,$193,$287,$33,$195,$6,$223,$256,$0,$-500,$-1,$31,$287,$-61,$19,$9,$27,$-1,$5,$1,$5,$9,$-24,$-2,$-0,$0,$0,$19,$19,$0,$18,$0,$0,$0,$29,$29,$0,$-0,$29,$23,$9,$0
4,2017-09-30,5.04,$1.01,4.98,$3.27,1.54,$-3.20,0.0,$-2.24,0.0,$0.10B,$0.03B,3.02,$0.20B,$0.04B,5.0,$0.10B,$0.05B,52.00%,$0.10B,$-0.07B,-68.00%,$0.10B,$-0.07B,-68.00%,$0.10B,$-0.05B,-49.00%,$0.10B,$-0.07B,-74.00%,$0.10B,$-0.07B,-68.00%,$-0.07B,$0.04B,-175.48%,$-0.07B,$-0.14B,48.23%,$-0.07B,$0.29B,-23.27%,$-0.07B,$0.23B,-29.09%,$25,$13,$12,$8,$20,$40,$-16,$-1,$-17,$-1,$-16,$-16,$-16,$-11,$-16,$35,35,$-0.46,$-0.46,$62,$18,$0,$96,$13,$0,$176,$7,$196,$292,$32,$195,$5,$221,$253,$0,$-490,$-1,$39,$292,$-50,$14,$7,$21,$1,$2,$1,$1,$5,$-25,$-1,$0,$0,$0,$23,$23,$0,$22,$0,$0,$0,$29,$29,$0,$-0,$29,$26,$7,$0
5,2017-06-30,4.04,$0.81,4.96,$3.32,1.22,$-3.57,0.0,$-2.46,0.0,$0.08B,$0.03B,2.31,$0.20B,$0.02B,8.15,$0.10B,$0.05B,53.61%,$0.10B,$-0.07B,-72.16%,$0.10B,$-0.07B,-72.16%,$0.10B,$-0.05B,-53.61%,$0.10B,$-0.08B,-79.38%,$0.10B,$-0.07B,-74.23%,$-0.07B,$0.02B,-156.52%,$-0.07B,$-0.15B,52.65%,$-0.07B,$0.28B,-24.06%,$-0.07B,$0.22B,-29.05%,$24,$12,$12,$7,$21,$40,$-16,$-1,$-18,$-1,$-17,$-17,$-17,$-12,$-16,$29,29,$-0.58,$-0.58,$42,$19,$0,$79,$14,$0,$178,$7,$200,$279,$34,$195,$5,$220,$255,$0,$-474,$-1,$24,$279,$-34,$10,$4,$14,$1,$1,$0,$1,$3,$-17,$-1,$0,$0,$0,$22,$22,$0,$21,$0,$0,$0,$0,$0,$0,$-0,$-0,$5,$5,$0
6,2017-03-31,5.69,$1.31,4.33,$3.47,1.64,$-3.58,0.0,$-2.52,0.0,$0.09B,$0.03B,2.75,$0.20B,$0.04B,5.07,$0.10B,$0.06B,55.45%,$0.10B,$-0.07B,-71.29%,$0.10B,$-0.07B,-71.29%,$0.10B,$-0.05B,-53.47%,$0.10B,$-0.08B,-78.22%,$0.10B,$-0.07B,-73.27%,$-0.07B,$0.04B,-121.31%,$-0.07B,$-0.14B,59.44%,$-0.07B,$0.29B,-23.49%,$-0.07B,$0.23B,-28.13%,$26,$12,$14,$9,$23,$43,$-18,$-1,$-19,$-2,$-17,$-17,$-17,$-13,$-18,$29,29,$-0.59,$-0.59,$50,$20,$0,$86,$15,$0,$181,$10,$206,$292,$31,$195,$3,$223,$254,$0,$-457,$-1,$39,$292,$-17,$5,$2,$7,$0,$0,$0,$1,$2,$-8,$-1,$0,$0,$0,$18,$18,$0,$18,$0,$0,$0,$0,$0,$0,$0,$0,$9,$2,$0
7,2016-12-31,7.28,$1.82,3.99,$3.61,2.02,$-3.58,0.0,$-2.62,0.0,$0.10B,$0.03B,3.28,$0.20B,$0.05B,3.66,$0.10B,$0.06B,56.73%,$0.10B,$-0.07B,-70.19%,$0.10B,$-0.07B,-70.19%,$0.10B,$-0.06B,-53.85%,$0.10B,$-0.08B,-77.88%,$0.10B,$-0.08B,-74.04%,$-0.08B,$0.05B,-101.32%,$-0.08B,$-0.13B,68.75%,$-0.08B,$0.31B,-23.30%,$-0.07B,$0.25B,-26.94%,$25,$11,$14,$9,$23,$43,$-18,$-2,$-20,$-2,$-18,$-18,$-18,$-13,$-18,$29,29,$-0.61,$-0.61,$59,$20,$0,$97,$17,$0,$184,$9,$210,$306,$30,$195,$3,$224,$253,$0,$-439,$-1,$53,$306,$-76,$18,$14,$32,$11,$-3,$-2,$-0,$5,$-39,$-5,$0,$0,$0,$50,$50,$0,$45,$0,$0,$0,$0,$0,$0,$-0,$0,$6,$14,$0
8,2016-09-30,8.01,$2.33,3.43,$3.81,2.1,$-3.40,0.0,$-2.46,0.0,$0.11B,$0.03B,3.87,$0.20B,$0.07B,2.87,$0.11B,$0.06B,57.27%,$0.11B,$-0.07B,-62.73%,$0.11B,$-0.07B,-62.73%,$0.11B,$-0.05B,-48.18%,$0.11B,$-0.07B,-67.27%,$0.11B,$-0.07B,-65.45%,$-0.07B,$0.07B,-78.69%,$-0.07B,$-0.12B,72.54%,$-0.07B,$0.32B,-20.78%,$-0.07B,$0.26B,-24.08%,$22,$10,$12,$9,$21,$41,$-18,$-2,$-20,$-0,$-20,$-20,$-20,$-14,$-18,$29,29,$-0.68,$-0.68,$71,$21,$0,$108,$17,$0,$187,$8,$212,$320,$28,$195,$4,$225,$252,$0,$-422,$-1,$68,$320,$-58,$13,$12,$25,$12,$-4,$-1,$-2,$5,$-28,$-4,$0,$0,$0,$36,$36,$0,$31,$0,$0,$0,$0,$0,$0,$-0,$0,$3,$11,$0
9,2016-06-30,9.03,$2.90,3.11,$4.04,2.23,$-3.42,0.0,$-2.10,0.0,$0.13B,$0.03B,3.93,$0.20B,$0.08B,2.31,$0.12B,$0.07B,58.12%,$0.12B,$-0.06B,-50.43%,$0.12B,$-0.06B,-50.43%,$0.12B,$-0.04B,-36.75%,$0.12B,$-0.06B,-54.70%,$0.12B,$-0.06B,-52.14%,$-0.06B,$0.08B,-57.82%,$-0.06B,$-0.11B,69.32%,$-0.06B,$0.34B,-16.90%,$-0.06B,$0.28B,-19.62%,$28,$12,$16,$10,$24,$46,$-18,$-1,$-20,$-1,$-19,$-19,$-19,$-14,$-18,$29,29,$-0.64,$-0.64,$86,$18,$0,$127,$17,$0,$190,$9,$215,$342,$32,$195,$4,$225,$258,$0,$-402,$-1,$84,$342,$-39,$9,$8,$17,$6,$-1,$-1,$2,$7,$-15,$-3,$0,$0,$0,$24,$24,$0,$21,$0,$0,$0,$0,$0,$0,$0,$0,$7,$7,$0
10,2016-03-31,8.07,$3.43,2.36,$4.06,1.99,$-3.49,0.0,$-1.99,0.0,$0.14B,$0.03B,4.52,$0.20B,$0.10B,1.97,$0.12B,$0.07B,58.47%,$0.12B,$-0.06B,-47.46%,$0.12B,$-0.06B,-47.46%,$0.12B,$-0.04B,-33.05%,$0.12B,$-0.06B,-50.85%,$0.12B,$-0.06B,-48.31%,$-0.06B,$0.10B,-48.41%,$-0.06B,$-0.09B,72.61%,$-0.06B,$0.35B,-15.29%,$-0.06B,$0.29B,-17.88%,$29,$12,$17,$10,$25,$48,$-19,$-2,$-21,$-1,$-20,$-20,$-20,$-15,$-19,$29,29,$-0.69,$-0.69,$95,$20,$0,$138,$15,$0,$192,$9,$217,$354,$31,$195,$2,$225,$255,$0,$-383,$-1,$99,$354,$-20,$4,$4,$8,$6,$-2,$-2,$2,$4,$-8,$-1,$0,$0,$0,$22,$22,$0,$21,$0,$0,$0,$0,$0,$0,$0,$0,$14,$4,$0
11,2015-12-31,10.81,$3.98,2.71,$4.00,2.7,$-3.56,0.0,$-1.86,0.0,$0.14B,$0.03B,4.79,$0.20B,$0.12B,1.69,$0.12B,$0.07B,58.62%,$0.12B,$-0.05B,-43.97%,$0.12B,$-0.05B,-43.97%,$0.12B,$-0.03B,-29.31%,$0.12B,$-0.06B,-48.28%,$0.12B,$-0.05B,-45.69%,$-0.05B,$0.12B,-41.25%,$-0.05B,$-0.08B,75.18%,$-0.05B,$0.37B,-13.84%,$-0.05B,$0.31B,-15.73%,$31,$13,$18,$10,$22,$44,$-14,$1,$-13,$-0,$-13,$-13,$-13,$-10,$-14,$29,29,$-0.45,$-0.45,$95,$18,$0,$144,$15,$6,$195,$9,$226,$370,$30,$195,$2,$225,$255,$0,$-363,$-1,$115,$370,$-53,$16,$11,$27,$-3,$-4,$1,$-3,$-8,$-35,$-4,$-7,$0,$0,$36,$36,$0,$26,$0,$0,$0,$5,$5,$0,$-0,$5,$-5,$17,$0
12,2015-09-30,8.11,$4.31,1.88,$4.13,1.96,$-3.29,0.0,$-1.80,0.0,$0.15B,$0.03B,5.29,$0.20B,$0.12B,1.58,$0.12B,$0.07B,60.17%,$0.12B,$-0.05B,-39.83%,$0.12B,$-0.05B,-39.83%,$0.12B,$-0.03B,-25.42%,$0.12B,$-0.06B,-46.61%,$0.12B,$-0.05B,-43.22%,$-0.05B,$0.12B,-37.16%,$-0.05B,$-0.07B,79.07%,$-0.05B,$0.38B,-12.99%,$-0.05B,$0.32B,-14.10%,$29,$11,$17,$9,$20,$36,$-8,$-2,$-10,$-0,$-9,$-9,$-9,$-4,$-8,$29,29,$-0.32,$-0.32,$97,$19,$0,$145,$14,$17,$198,$4,$233,$378,$27,$196,$2,$227,$254,$0,$-351,$-1,$124,$378,$-40,$12,$9,$22,$-4,$-5,$1,$-4,$-11,$-30,$-3,$-0,$0,$0,$24,$24,$0,$21,$0,$0,$0,$5,$5,$0,$0,$5,$-5,$13,$0
