,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,52.0,$23.39,2.22,$48.96,1.06,$5.51,9.44,$2.39,21.76,$1.04B,$0.64B,1.62,$0.79B,$1.00B,0.79,$2.08B,$0.66B,31.59%,$2.08B,$0.18B,8.65%,$2.08B,$0.18B,8.65%,$2.08B,$0.24B,11.44%,$2.08B,$0.12B,5.91%,$2.08B,$0.10B,4.95%,$0.10B,$1.00B,10.54%,$0.10B,$-0.10B,-77.01%,$0.10B,$2.62B,3.86%,$0.18B,$1.78B,10.06%,$530,$367,$163,$0,$103,$475,$56,$-14,$42,$9,$33,$33,$33,$70,$56,$42,43,$0.77,$0.77,$222,$318,$126,$1040,$346,$0,$1090,$147,$1583,$2623,$643,$788,$142,$985,$1628,$0,$-251,$-412,$995,$2623,$71,$44,$26,$70,$7,$-27,$0,$-38,$-94,$48,$-17,$0,$0,$0,$0,$0,$0,$-17,$-59,$0,$-59,$0,$0,$-2,$-5,$-66,$-42,$13,$-2
1,2018-06-30,43.77,$22.41,1.95,$48.14,0.91,$7.23,6.05,$1.92,22.8,$1.03B,$0.68B,1.52,$0.79B,$0.95B,0.83,$2.04B,$0.65B,31.99%,$2.04B,$0.16B,7.94%,$2.04B,$0.16B,7.94%,$2.04B,$0.22B,10.83%,$2.04B,$0.10B,5.10%,$2.04B,$0.08B,4.07%,$0.08B,$0.95B,8.70%,$0.08B,$-0.14B,-50.53%,$0.08B,$2.62B,3.08%,$0.16B,$1.75B,8.95%,$531,$359,$173,$0,$119,$483,$49,$-13,$35,$12,$23,$23,$23,$63,$49,$42,43,$0.54,$0.54,$205,$325,$117,$1031,$348,$0,$1090,$149,$1588,$2618,$677,$792,$141,$988,$1665,$0,$-283,$-418,$953,$2618,$39,$30,$19,$49,$-4,$-35,$0,$-18,$-69,$19,$-12,$0,$0,$0,$0,$0,$0,$-12,$-60,$3,$-57,$0,$0,$-2,$-4,$-64,$-59,$9,$-2
2,2018-03-31,49.19,$23.71,2.07,$47.47,1.04,$8.52,5.77,$1.62,30.36,$1.08B,$0.70B,1.53,$0.82B,$1.01B,0.81,$2.01B,$0.63B,31.52%,$2.01B,$0.14B,7.07%,$2.01B,$0.14B,7.07%,$2.01B,$0.20B,10.06%,$2.01B,$0.08B,4.08%,$2.01B,$0.07B,3.49%,$0.07B,$1.01B,7.54%,$0.07B,$-0.13B,-35.94%,$0.07B,$2.74B,2.58%,$0.14B,$1.83B,7.78%,$490,$335,$156,$0,$116,$457,$33,$-17,$16,$1,$15,$15,$16,$48,$33,$42,43,$0.37,$0.36,$244,$329,$127,$1078,$365,$0,$1141,$155,$1661,$2739,$703,$817,$151,$1028,$1731,$0,$-306,$-340,$1008,$2739,$15,$15,$14,$29,$14,$-22,$0,$7,$-29,$16,$-5,$0,$0,$0,$0,$0,$0,$-5,$-10,$-23,$-33,$0,$0,$-1,$-4,$-38,$-20,$5,$-1
3,2017-12-31,47.55,$22.45,2.12,$46.34,1.03,$8.72,5.45,$1.08,44.03,$1.05B,$0.68B,1.55,$0.85B,$0.95B,0.89,$1.95B,$0.62B,31.57%,$1.95B,$0.12B,6.15%,$1.95B,$0.12B,6.15%,$1.95B,$0.18B,9.23%,$1.95B,$0.06B,3.02%,$1.95B,$0.05B,2.41%,$0.05B,$0.95B,5.38%,$0.05B,$-0.17B,-19.94%,$0.05B,$2.69B,1.75%,$0.12B,$1.80B,6.59%,$529,$364,$165,$0,$117,$487,$42,$-12,$30,$-1,$31,$31,$31,$57,$42,$42,42,$0.73,$0.74,$264,$294,$108,$1047,$361,$0,$1122,$160,$1642,$2689,$675,$851,$148,$1062,$1737,$0,$-328,$-373,$952,$2689,$47,$61,$7,$68,$49,$1,$0,$-38,$90,$205,$-19,$0,$0,$0,$0,$0,$37,$18,$-192,$-21,$-213,$0,$0,$-2,$-4,$-219,$49,$16,$-2
4,2017-09-30,38.56,$21.34,1.81,$45.78,0.84,$2.58,14.96,$0.52,74.15,$1.10B,$0.66B,1.67,$0.96B,$0.91B,1.06,$1.92B,$0.60B,31.51%,$1.92B,$0.09B,4.64%,$1.92B,$0.09B,4.64%,$1.92B,$0.17B,8.61%,$1.92B,$0.03B,1.30%,$1.92B,$0.02B,1.20%,$0.02B,$0.91B,2.80%,$0.02B,$-0.22B,-8.38%,$0.02B,$2.74B,0.86%,$0.09B,$1.86B,4.89%,$491,$332,$159,$0,$115,$454,$38,$-15,$23,$10,$13,$13,$13,$53,$38,$42,42,$0.31,$0.30,$281,$318,$53,$1102,$367,$0,$1121,$153,$1641,$2744,$662,$959,$148,$1177,$1839,$0,$-358,$-387,$905,$2744,$16,$46,$31,$77,$29,$-23,$0,$5,$24,$117,$-14,$0,$0,$0,$0,$0,$37,$24,$-86,$-21,$-107,$0,$0,$-2,$-4,$-112,$66,$12,$-2
5,2017-06-30,36.88,$20.05,1.84,$45.46,0.81,$-1.98,0.0,$0.11,335.27,$1.04B,$0.64B,1.62,$0.97B,$0.85B,1.14,$1.89B,$0.59B,31.22%,$1.89B,$0.07B,3.80%,$1.89B,$0.07B,3.80%,$1.89B,$0.15B,7.87%,$1.89B,$-0.03B,-1.53%,$1.89B,$0.01B,0.26%,$0.01B,$0.85B,0.63%,$0.01B,$-0.26B,-1.67%,$0.01B,$2.67B,0.19%,$0.07B,$1.81B,3.99%,$498,$345,$153,$0,$113,$469,$29,$-16,$13,$3,$10,$10,$10,$44,$29,$42,42,$0.25,$0.24,$226,$307,$56,$1040,$374,$0,$1108,$145,$1627,$2667,$642,$965,$147,$1177,$1818,$0,$-371,$-426,$849,$2667,$3,$31,$21,$52,$26,$-18,$0,$-1,$17,$72,$-11,$0,$0,$0,$0,$0,$31,$20,$-81,$-21,$-102,$0,$0,$-2,$-3,$-107,$11,$8,$-2
6,2017-03-31,34.71,$18.62,1.86,$46.44,0.75,$-4.83,0.0,$-8.65,0.0,$1.01B,$0.61B,1.65,$1.02B,$0.79B,1.29,$1.92B,$0.61B,31.44%,$1.92B,$-0.35B,-18.24%,$1.92B,$-0.35B,-18.24%,$1.92B,$0.16B,8.06%,$1.92B,$-0.45B,-23.44%,$1.92B,$-0.36B,-18.61%,$-0.36B,$0.79B,-44.72%,$-0.36B,$-0.30B,115.76%,$-0.36B,$2.63B,-13.29%,$-0.35B,$1.80B,-19.39%,$433,$294,$139,$0,$115,$423,$11,$-18,$-7,$-0,$-7,$-7,$-7,$26,$11,$42,42,$-0.18,$-0.18,$209,$302,$62,$1014,$372,$0,$1084,$156,$1613,$2626,$614,$1015,$145,$1225,$1839,$0,$-381,$-473,$787,$2626,$-7,$16,$11,$26,$22,$-22,$0,$15,$4,$23,$-5,$0,$0,$0,$0,$0,$20,$16,$-19,$-36,$-55,$0,$0,$-0,$-3,$-58,$-6,$4,$-0
7,2016-12-31,32.06,$17.70,1.81,$48.28,0.66,$-7.32,0.0,$-9.22,0.0,$1.01B,$0.59B,1.7,$1.06B,$0.74B,1.43,$2.00B,$0.63B,31.31%,$2.00B,$-0.38B,-19.19%,$2.00B,$-0.38B,-19.19%,$2.00B,$0.13B,6.26%,$2.00B,$-0.48B,-24.20%,$2.00B,$-0.38B,-19.14%,$-0.38B,$0.74B,-41.66%,$-0.38B,$-0.33B,117.36%,$-0.38B,$2.60B,-13.38%,$-0.38B,$1.80B,-19.95%,$495,$343,$153,$0,$106,$485,$11,$-15,$-4,$-11,$8,$8,$7,$42,$11,$41,41,$0.15,$0.15,$215,$272,$73,$1007,$377,$0,$1067,$152,$1596,$2603,$592,$1061,$146,$1269,$1861,$0,$-374,$-521,$742,$2603,$-381,$507,$44,$551,$23,$18,$0,$-125,$-198,$-28,$-44,$0,$0,$0,$0,$0,$4,$-40,$21,$21,$42,$0,$0,$-1,$-19,$21,$-81,$19,$-1
8,2016-09-30,30.92,$19.59,1.58,$51.26,0.6,$-1.76,0.0,$-8.87,0.0,$1.08B,$0.74B,1.46,$0.98B,$0.82B,1.19,$2.11B,$0.67B,31.55%,$2.11B,$-0.35B,-16.32%,$2.11B,$-0.35B,-16.32%,$2.11B,$0.16B,7.47%,$2.11B,$-0.45B,-21.10%,$2.11B,$-0.37B,-17.41%,$-0.37B,$0.82B,-35.07%,$-0.37B,$-0.32B,112.45%,$-0.37B,$2.75B,-12.14%,$-0.35B,$1.80B,-16.95%,$467,$321,$146,$0,$108,$445,$21,$-53,$-31,$-27,$-4,$-4,$-5,$37,$21,$41,41,$-0.11,$-0.11,$228,$309,$77,$1076,$392,$0,$1139,$143,$1674,$2750,$735,$978,$149,$1195,$1930,$0,$-378,$-436,$820,$2750,$-389,$476,$23,$499,$31,$-5,$0,$-109,$-161,$-50,$-37,$0,$0,$0,$0,$0,$2,$-35,$20,$26,$46,$0,$0,$-1,$-16,$29,$-68,$14,$-1
9,2016-06-30,26.07,$20.41,1.28,$54.43,0.48,$0.68,38.38,$-8.86,0.0,$1.13B,$0.74B,1.54,$0.98B,$0.85B,1.15,$2.24B,$0.72B,32.14%,$2.24B,$-0.36B,-16.05%,$2.24B,$-0.36B,-16.05%,$2.24B,$0.16B,7.02%,$2.24B,$-0.40B,-18.02%,$2.24B,$-0.37B,-16.41%,$-0.37B,$0.85B,-31.59%,$-0.37B,$-0.30B,108.18%,$-0.37B,$2.79B,-11.48%,$-0.36B,$1.84B,-16.66%,$529,$362,$167,$0,$117,$922,$-394,$-15,$-409,$-56,$-352,$-352,$-353,$50,$-394,$41,41,$-8.52,$-8.52,$229,$308,$101,$1134,$387,$0,$1149,$122,$1659,$2793,$735,$984,$131,$1205,$1940,$0,$-363,$-423,$853,$2793,$-384,$461,$3,$464,$-13,$-4,$0,$-23,$-108,$-29,$-30,$0,$0,$0,$0,$0,$2,$-28,$-6,$11,$5,$0,$0,$-1,$-3,$1,$-67,$11,$-1
