,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,26.59,$18.61,1.43,$6.82,3.9,$5.64,4.71,$1.16,22.92,$11.48B,$11.78B,0.98,$1.27B,$1.92B,0.66,$0.70B,$0.64B,92.09%,$0.70B,$0.20B,28.06%,$0.70B,0,0.00%,$0.70B,0,0.00%,$0.70B,$0.19B,26.76%,$0.70B,$0.12B,16.83%,$0.12B,$1.92B,6.21%,$0.12B,$1.17B,10.35%,$0.12B,$14.96B,0.80%,$0.20B,$3.19B,6.48%,$185,$18,$168,$0,$108,$125,$60,$-0,$60,$7,$53,$53,$53,$0,$0,$102,102,$0.52,$0.52,$297,$0,$0,$11479,$126,$2309,$751,$296,$3483,$14962,$11775,$1269,$0,$1269,$13044,$1,$1164,$-75,$1918,$14962,$116,$29,$47,$76,$-1,$0,$-2,$0,$-3,$190,$-20,$0,$0,$0,$-379,$-379,$-636,$-1035,$359,$0,$359,$0,$0,$-33,$470,$795,$-50,$9,$-33
1,2018-06-30,25.47,$18.28,1.39,$6.71,3.79,$3.50,7.28,$1.01,25.22,$11.38B,$11.76B,0.97,$1.18B,$1.88B,0.63,$0.68B,$0.64B,92.97%,$0.68B,$0.19B,27.96%,$0.68B,0,0.00%,$0.68B,0,0.00%,$0.68B,$0.18B,26.65%,$0.68B,$0.10B,14.93%,$0.10B,$1.88B,5.45%,$0.10B,$1.13B,9.13%,$0.10B,$14.82B,0.71%,$0.19B,$3.06B,6.58%,$179,$15,$164,$0,$125,$140,$39,$0,$39,$10,$30,$30,$29,$0,$0,$102,102,$0.29,$0.29,$374,$0,$0,$11375,$127,$2267,$753,$296,$3443,$14818,$11758,$1176,$0,$1176,$12935,$1,$1122,$-64,$1884,$14818,$63,$20,$36,$55,$22,$0,$16,$0,$38,$156,$-17,$0,$0,$0,$-320,$-320,$-471,$-808,$266,$0,$266,$0,$0,$-22,$435,$679,$28,$6,$-22
2,2018-03-31,24.49,$18.13,1.35,$6.65,3.68,$2.94,8.33,$1.06,23.1,$11.04B,$11.37B,0.97,$1.15B,$1.87B,0.61,$0.68B,$0.63B,93.93%,$0.68B,$0.21B,30.81%,$0.68B,0,0.00%,$0.68B,0,0.00%,$0.68B,$0.20B,29.33%,$0.68B,$0.11B,16.00%,$0.11B,$1.87B,5.81%,$0.11B,$1.11B,9.77%,$0.11B,$14.38B,0.76%,$0.21B,$3.02B,7.41%,$167,$13,$154,$0,$111,$124,$43,$0,$43,$10,$34,$34,$33,$0,$0,$102,102,$0.33,$0.33,$235,$0,$0,$11037,$126,$2163,$755,$299,$3343,$14380,$11365,$1146,$0,$1146,$12511,$1,$1104,$-58,$1869,$14380,$34,$10,$17,$27,$7,$0,$-31,$0,$-24,$36,$-7,$0,$0,$0,$-204,$-204,$-251,$-461,$236,$0,$236,$0,$0,$-10,$89,$314,$-112,$3,$-10
3,2017-12-31,23.8,$18.16,1.31,$6.64,3.59,$2.71,8.78,$0.96,24.79,$10.93B,$11.30B,0.97,$0.91B,$1.87B,0.49,$0.67B,$0.64B,94.49%,$0.67B,$0.22B,32.29%,$0.67B,0,0.00%,$0.67B,0,0.00%,$0.67B,$0.19B,28.13%,$0.67B,$0.10B,14.58%,$0.10B,$1.87B,5.32%,$0.10B,$1.11B,8.99%,$0.10B,$14.08B,0.70%,$0.22B,$2.78B,8.07%,$164,$10,$154,$0,$101,$112,$53,$0,$44,$42,$2,$2,$2,$0,$0,$101,101,$0.02,$0.02,$367,$0,$0,$10931,$123,$1968,$755,$301,$3147,$14077,$11302,$910,$0,$910,$12212,$1,$1075,$-33,$1865,$14077,$98,$39,$36,$75,$119,$-3,$-56,$0,$61,$235,$2,$0,$42,$0,$247,$247,$-436,$-146,$-164,$0,$-164,$0,$0,$-37,$197,$-4,$84,$11,$-37
4,2017-09-30,23.12,$18.16,1.27,$6.72,3.44,$3.58,6.46,$1.19,19.43,$11.27B,$11.51B,0.98,$0.90B,$1.87B,0.48,$0.64B,$0.61B,94.57%,$0.64B,$0.21B,32.30%,$0.64B,0,0.00%,$0.64B,0,0.00%,$0.64B,$0.18B,27.17%,$0.64B,$0.12B,18.17%,$0.12B,$1.87B,6.92%,$0.12B,$1.12B,11.31%,$0.12B,$14.27B,0.88%,$0.21B,$2.76B,8.07%,$173,$10,$163,$0,$107,$117,$56,$-0,$56,$18,$38,$38,$38,$0,$0,$102,102,$0.37,$0.37,$447,$0,$0,$11269,$131,$1817,$750,$300,$2999,$14267,$11506,$896,$0,$896,$12402,$1,$1083,$-38,$1865,$14267,$96,$30,$25,$55,$-190,$-3,$-8,$0,$-201,$-50,$1,$0,$42,$0,$400,$400,$-375,$68,$-178,$0,$-178,$0,$0,$-27,$352,$147,$165,$9,$-27
5,2017-06-30,22.92,$17.88,1.28,$6.81,3.37,$7.08,3.24,$1.17,19.59,$10.78B,$11.30B,0.96,$0.83B,$1.84B,0.45,$0.62B,$0.58B,94.80%,$0.62B,$0.20B,32.03%,$0.62B,0,0.00%,$0.62B,0,0.00%,$0.62B,$0.16B,26.50%,$0.62B,$0.11B,17.40%,$0.11B,$1.84B,6.94%,$0.11B,$1.08B,10.90%,$0.11B,$13.97B,0.84%,$0.20B,$2.67B,8.07%,$171,$9,$163,$0,$107,$116,$56,$-1,$55,$20,$35,$35,$35,$0,$0,$102,102,$0.34,$0.34,$304,$0,$0,$10784,$136,$1992,$752,$305,$3185,$13969,$11298,$834,$0,$834,$12132,$1,$1056,$-37,$1837,$13969,$58,$20,$17,$37,$-5,$-2,$-7,$0,$-14,$81,$0,$0,$42,$0,$229,$229,$-217,$54,$-240,$0,$-240,$0,$0,$-16,$143,$-113,$22,$6,$-16
6,2017-03-31,23.18,$17.56,1.32,$6.79,3.41,$6.96,3.33,$1.14,20.33,$10.57B,$11.23B,0.94,$0.74B,$1.81B,0.41,$0.58B,$0.55B,94.81%,$0.58B,$0.18B,31.14%,$0.58B,0,0.00%,$0.58B,0,0.00%,$0.58B,$0.15B,25.26%,$0.58B,$0.10B,16.78%,$0.10B,$1.81B,6.95%,$0.10B,$1.05B,10.42%,$0.10B,$13.77B,0.81%,$0.18B,$2.55B,8.04%,$164,$9,$155,$0,$103,$111,$52,$-19,$34,$11,$23,$23,$23,$0,$0,$100,100,$0.23,$0.23,$268,$0,$0,$10571,$141,$2001,$755,$306,$3203,$13773,$11226,$743,$0,$743,$11969,$1,$1030,$-40,$1805,$13773,$23,$10,$7,$17,$4,$-1,$-35,$0,$-32,$8,$-2,$0,$42,$0,$216,$216,$-38,$217,$-331,$0,$-331,$0,$0,$-7,$100,$-238,$-13,$3,$-7
7,2016-12-31,24.6,$15.46,1.59,$6.75,3.65,$7.01,3.51,$1.14,21.58,$8.73B,$9.09B,0.96,$1.07B,$1.26B,0.85,$0.54B,$0.51B,94.97%,$0.54B,$0.16B,29.61%,$0.54B,0,0.00%,$0.54B,0,0.00%,$0.54B,$0.14B,25.70%,$0.54B,$0.09B,17.13%,$0.09B,$1.26B,7.36%,$0.09B,$0.89B,10.43%,$0.09B,$11.42B,0.82%,$0.16B,$2.33B,7.73%,$136,$8,$128,$0,$84,$92,$44,$-8,$30,$9,$21,$21,$21,$0,$0,$80,80,$0.25,$0.25,$280,$0,$0,$8726,$83,$2001,$367,$246,$2696,$11423,$9092,$1074,$0,$1074,$10165,$1,$1017,$-41,$1257,$11423,$92,$32,$28,$60,$-77,$-1,$47,$0,$-31,$122,$134,$0,$57,$0,$-535,$-535,$-705,$-1049,$704,$0,$704,$0,$0,$-29,$133,$809,$-119,$8,$-29
8,2016-09-30,18.81,$15.61,1.21,$6.61,2.84,$5.72,3.29,$1.10,17.1,$8.84B,$9.36B,0.95,$0.95B,$1.27B,0.75,$0.52B,$0.50B,95.02%,$0.52B,$0.15B,27.97%,$0.52B,0,0.00%,$0.52B,0,0.00%,$0.52B,$0.13B,25.10%,$0.52B,$0.09B,16.67%,$0.09B,$1.27B,7.12%,$0.09B,$0.90B,10.10%,$0.09B,$11.58B,0.81%,$0.15B,$2.22B,7.88%,$144,$7,$137,$0,$92,$99,$45,$-1,$44,$16,$28,$28,$28,$0,$0,$80,80,$0.35,$0.35,$520,$0,$0,$8843,$82,$2038,$368,$247,$2735,$11578,$9360,$949,$0,$949,$10309,$1,$1003,$-13,$1269,$11578,$0,$0,$0,$0,$0,$0,$0,$0,$0,$105,$138,$0,$57,$0,$-527,$-527,$-622,$-953,$580,$0,$580,$-2,$-2,$-22,$413,$969,$120,$0,$-22
9,2016-06-30,16.98,$15.38,1.1,$6.37,2.66,$3.83,4.43,$1.05,16.17,$8.40B,$9.13B,0.92,$0.61B,$1.25B,0.49,$0.50B,$0.47B,94.97%,$0.50B,$0.14B,27.16%,$0.50B,0,0.00%,$0.50B,0,0.00%,$0.50B,$0.12B,24.35%,$0.50B,$0.08B,16.50%,$0.08B,$1.25B,6.88%,$0.08B,$0.88B,9.76%,$0.08B,$11.00B,0.79%,$0.14B,$1.86B,8.05%,$134,$7,$128,$0,$89,$95,$39,$-1,$38,$13,$25,$25,$25,$0,$0,$80,80,$0.31,$0.31,$273,$0,$0,$8398,$141,$1839,$370,$248,$2598,$10996,$9132,$613,$0,$613,$9745,$1,$982,$-9,$1251,$10996,$0,$0,$0,$0,$0,$0,$0,$0,$0,$59,$-4,$0,$57,$0,$-317,$-317,$-427,$-691,$244,$0,$244,$0,$0,$-14,$276,$506,$-126,$0,$-14
10,2016-03-31,17.34,$15.06,1.15,$6.24,2.78,$3.91,4.43,$1.03,16.83,$8.28B,$8.92B,0.93,$0.59B,$1.23B,0.48,$0.48B,$0.46B,94.81%,$0.48B,$0.13B,26.76%,$0.48B,0,0.00%,$0.48B,0,0.00%,$0.48B,$0.12B,24.07%,$0.48B,$0.08B,16.39%,$0.08B,$1.23B,6.80%,$0.08B,$0.86B,9.66%,$0.08B,$10.73B,0.78%,$0.13B,$1.81B,8.11%,$123,$7,$117,$0,$85,$92,$31,$-5,$26,$8,$18,$18,$18,$0,$0,$78,78,$0.23,$0.23,$324,$0,$0,$8282,$141,$1688,$370,$249,$2447,$10729,$8916,$589,$0,$589,$9504,$1,$964,$-15,$1225,$10729,$0,$0,$0,$0,$0,$0,$0,$0,$0,$10,$-2,$0,$57,$0,$-173,$-173,$-267,$-384,$220,$0,$220,$0,$0,$-7,$86,$299,$-75,$0,$-7
11,2015-12-31,17.64,$14.70,1.2,$6.13,2.88,$4.25,4.15,$1.06,16.65,$7.67B,$8.22B,0.93,$0.37B,$1.15B,0.32,$0.47B,$0.45B,94.71%,$0.47B,$0.13B,26.85%,$0.47B,0,0.00%,$0.47B,0,0.00%,$0.47B,$0.12B,25.16%,$0.47B,$0.08B,17.12%,$0.08B,$1.15B,7.14%,$0.08B,$0.81B,10.13%,$0.08B,$9.73B,0.83%,$0.13B,$1.51B,8.47%,$121,$7,$114,$0,$84,$90,$31,$0,$23,$7,$16,$16,$16,$0,$0,$77,77,$0.20,$0.20,$398,$0,$0,$7665,$122,$1369,$339,$237,$2068,$9733,$8220,$366,$0,$366,$8586,$1,$954,$-28,$1146,$9733,$82,$24,$49,$73,$3,$1,$-1,$0,$3,$158,$-10,$0,$-16,$0,$-91,$-91,$-380,$-497,$26,$0,$26,$-0,$-0,$-27,$115,$114,$-225,$7,$-27
