,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,98.97,$47.65,2.08,$64.06,1.54,$2.93,33.79,$2.33,42.48,$9.67B,$5.92B,1.63,$6.18B,$0.00B,0.0,$24.19B,$8.98B,37.11%,$24.19B,$2.20B,9.08%,$24.19B,$2.20B,9.08%,$24.19B,$2.20B,9.08%,$24.19B,$0.29B,1.21%,$24.19B,$0.64B,2.66%,$0.64B,$17.05B,3.81%,$0.64B,$9.60B,7.03%,$0.64B,$30.67B,2.12%,$2.20B,$23.23B,9.58%,$6250,$3963,$2287,$0,$1744,$5722,$528,$-270,$257,$94,$163,$327,$248,$528,$528,$358,358,$0.69,$0.69,$4042,$1718,$1051,$9666,$5444,$4739,$7452,$3365,$21000,$30666,$5919,$6181,$1220,$7697,$13616,$0,$0,$0,$17050,$30666,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
1,2018-06-30,87.79,$46.92,1.87,$64.60,1.36,$2.93,29.97,$6.51,13.49,$8.20B,$5.50B,1.49,$6.22B,$0.00B,0.0,$24.39B,$9.02B,37.00%,$24.39B,$2.20B,9.01%,$24.39B,$2.20B,9.01%,$24.39B,$2.20B,9.01%,$24.39B,$2.15B,8.80%,$24.39B,$2.22B,9.10%,$2.22B,$16.79B,13.01%,$2.22B,$8.96B,24.57%,$2.22B,$30.23B,7.25%,$2.20B,$23.01B,9.50%,$6447,$4084,$2364,$0,$1777,$5893,$555,$178,$732,$237,$496,$557,$557,$555,$555,$446,446,$1.25,$1.25,$4059,$1789,$952,$8200,$6022,$4715,$7825,$3468,$22030,$30231,$5498,$6219,$1439,$7945,$13443,$0,$0,$0,$16788,$30231,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2,2018-03-31,90.68,$46.64,1.94,$67.89,1.34,$2.93,30.96,$5.98,15.16,$9.25B,$6.36B,1.46,$5.65B,$0.00B,0.0,$24.13B,$8.93B,37.03%,$24.13B,$2.20B,9.13%,$24.13B,$2.20B,9.13%,$24.13B,$2.20B,9.13%,$24.13B,$1.75B,7.27%,$24.13B,$1.91B,7.93%,$1.91B,$16.69B,11.55%,$1.91B,$8.77B,22.42%,$1.91B,$30.50B,6.35%,$2.20B,$22.34B,9.70%,$6159,$3950,$2209,$0,$1749,$5710,$449,$-385,$65,$32,$32,$79,$79,$449,$449,$358,358,$0.22,$0.22,$5028,$1833,$1003,$9251,$5991,$4928,$7916,$2409,$21244,$30495,$6355,$5652,$1518,$7452,$13807,$0,$0,$0,$16688,$30495,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
3,2017-12-31,93.13,$79.38,1.17,$74.28,1.25,$2.93,31.8,$6.47,14.39,$9.23B,$5.35B,1.73,$6.00B,$17.16B,0.35,$23.45B,$8.67B,36.98%,$23.45B,$2.15B,9.19%,$23.45B,$2.15B,9.19%,$23.45B,$2.15B,9.19%,$23.45B,$2.03B,8.66%,$23.45B,$2.16B,9.22%,$2.16B,$17.16B,13.68%,$2.16B,$9.31B,27.53%,$2.16B,$29.97B,7.43%,$2.15B,$23.15B,9.82%,$5337,$3221,$2117,$0,$1464,$4673,$665,$-1426,$-761,$13,$-774,$-671,$-240,$665,$665,$357,358,$-1.18,$-1.18,$5084,$1774,$147,$9226,$5943,$5508,$7846,$637,$20741,$29967,$5348,$5996,$882,$7464,$12812,$170,$10279,$930,$17155,$29967,$2434,$899,$-1139,$-240,$-578,$-133,$376,$184,$-151,$2084,$-1036,$-170,$2577,$0,$30,$30,$199,$1600,$-231,$0,$-231,$0,$0,$-634,$-232,$-1097,$2714,$0,$-634
4,2017-09-30,94.01,$49.19,1.91,$70.61,1.33,$4.28,21.94,$7.11,13.22,$9.85B,$5.24B,1.88,$6.36B,$0.00B,0.0,$22.13B,$8.10B,36.60%,$22.13B,$1.93B,8.74%,$22.13B,$1.93B,8.74%,$22.13B,$1.93B,8.74%,$22.13B,$3.17B,14.32%,$22.13B,$2.63B,11.90%,$2.63B,$17.60B,17.58%,$2.63B,$9.10B,36.91%,$2.63B,$31.85B,9.33%,$1.93B,$23.96B,9.12%,$6443,$4110,$2333,$0,$1788,$5916,$527,$1583,$2111,$354,$1757,$1895,$1824,$527,$527,$358,358,$5.10,$5.10,$5684,$1728,$1047,$9846,$6421,$4887,$8500,$2196,$22004,$31849,$5239,$6357,$2370,$9009,$14248,$0,$0,$0,$17602,$31849,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
5,2017-06-30,96.77,$41.41,2.34,$67.15,1.44,$4.28,22.59,$2.69,35.97,$6.57B,$4.69B,1.4,$6.53B,$0.00B,0.0,$21.05B,$7.72B,36.69%,$21.05B,$1.90B,9.05%,$21.05B,$1.90B,9.05%,$21.05B,$1.90B,9.05%,$21.05B,$1.42B,6.73%,$21.05B,$1.17B,5.54%,$1.17B,$14.82B,8.24%,$1.17B,$6.96B,17.24%,$1.17B,$28.24B,4.34%,$1.90B,$21.35B,9.39%,$6188,$3913,$2275,$0,$1703,$5626,$562,$-223,$338,$91,$248,$346,$251,$562,$562,$349,349,$0.72,$0.72,$2762,$1668,$946,$6569,$5870,$5931,$7856,$2010,$21667,$28236,$4686,$6534,$1939,$8734,$13420,$0,$0,$0,$14816,$28236,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
6,2017-03-31,86.46,$38.03,2.27,$63.76,1.36,$4.28,20.18,$2.71,31.9,$5.68B,$4.76B,1.19,$5.65B,$0.00B,0.0,$20.09B,$7.40B,36.85%,$20.09B,$1.86B,9.27%,$20.09B,$1.86B,9.27%,$20.09B,$1.86B,9.27%,$20.09B,$1.47B,7.30%,$20.09B,$1.18B,5.89%,$1.18B,$13.61B,8.45%,$1.18B,$6.02B,17.22%,$1.18B,$26.36B,4.50%,$1.86B,$19.26B,9.31%,$5477,$3532,$1944,$0,$1561,$5077,$400,$-57,$343,$81,$262,$326,$326,$400,$400,$232,232,$1.40,$1.40,$2034,$1635,$892,$5677,$5753,$5404,$7583,$1938,$20679,$26356,$4762,$5654,$2087,$7986,$12748,$0,$0,$0,$13607,$26356,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
7,2016-12-31,74.44,$64.23,1.16,$54.18,1.37,$4.28,17.38,$2.71,27.47,$5.72B,$4.19B,1.37,$6.40B,$13.88B,0.46,$19.38B,$7.19B,37.10%,$19.38B,$1.84B,9.50%,$19.38B,$1.84B,9.50%,$19.38B,$1.84B,9.50%,$19.38B,$1.39B,7.15%,$19.38B,$1.02B,5.28%,$1.02B,$13.88B,7.36%,$1.02B,$6.45B,14.38%,$1.02B,$26.47B,3.95%,$1.84B,$20.28B,9.24%,$4026,$2479,$1548,$0,$1105,$3582,$445,$-67,$378,$117,$261,$312,$232,$445,$445,$357,358,$0.67,$0.66,$2254,$1549,$199,$5721,$4958,$6982,$7434,$785,$20744,$26465,$4185,$6401,$1247,$8399,$12584,$162,$8187,$682,$13881,$26465,$1701,$665,$-438,$227,$-92,$-239,$744,$90,$503,$2431,$-898,$-112,$-884,$0,$-89,$-89,$108,$-1875,$1027,$0,$1027,$0,$0,$-584,$-379,$64,$691,$0,$-584
8,2016-09-30,89.29,$39.97,2.23,$54.46,1.64,$3.23,27.67,$2.69,33.19,$6.47B,$4.28B,1.51,$5.92B,$0.00B,0.0,$19.49B,$7.37B,37.83%,$19.49B,$2.07B,10.61%,$19.49B,$2.07B,10.61%,$19.49B,$2.07B,10.61%,$19.49B,$1.39B,7.15%,$19.49B,$1.06B,5.43%,$1.06B,$14.30B,7.58%,$1.06B,$7.62B,14.21%,$1.06B,$26.32B,4.19%,$2.07B,$20.22B,10.54%,$5357,$3401,$1956,$0,$1452,$4861,$497,$-140,$357,$78,$279,$423,$357,$497,$497,$368,368,$0.97,$0.97,$3093,$1506,$761,$6466,$4888,$6647,$6688,$1629,$19852,$26318,$4276,$5918,$1574,$7739,$12015,$0,$0,$0,$14303,$26318,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
9,2016-06-30,89.73,$39.81,2.25,$53.35,1.68,$3.23,27.81,$2.69,33.36,$6.14B,$4.06B,1.51,$5.97B,$0.00B,0.0,$18.93B,$7.30B,38.54%,$18.93B,$2.09B,11.04%,$18.93B,$2.09B,11.04%,$18.93B,$2.09B,11.04%,$18.93B,$1.39B,7.33%,$18.93B,$1.01B,5.31%,$1.01B,$14.24B,7.19%,$1.01B,$7.42B,13.31%,$1.01B,$26.19B,4.01%,$2.09B,$20.22B,10.72%,$5228,$3275,$1954,$0,$1441,$4708,$520,$-131,$389,$105,$284,$340,$269,$520,$520,$364,364,$0.74,$0.74,$2763,$1474,$782,$6137,$4841,$6833,$6821,$1553,$20048,$26185,$4056,$5973,$1668,$7886,$11942,$0,$0,$0,$14244,$26185,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
