,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,25.48,$17.45,1.46,$30.93,0.82,$7.16,3.56,$2.37,10.75,$0.24B,$0.59B,0.4,$0.04B,$0.22B,0.2,$0.40B,$0.07B,16.67%,$0.40B,$0.04B,10.70%,$0.40B,$0.05B,11.44%,$0.40B,$0.05B,12.44%,$0.40B,$0.04B,10.70%,$0.40B,$0.03B,7.46%,$0.03B,$0.22B,13.75%,$0.03B,$0.22B,13.75%,$0.03B,$0.89B,3.34%,$0.04B,$0.27B,16.30%,$111,$94,$17,$0,$5,$100,$11,$0,$11,$3,$8,$8,$8,$13,$12,$13,13,$0.62,$0.62,$69,$0,$0,$238,$4,$449,$0,$149,$652,$891,$594,$44,$29,$73,$668,$0,$88,$-6,$223,$891,$24,$2,$1,$3,$12,$0,$7,$-26,$2,$28,$-1,$0,$0,$0,$-14,$-14,$0,$-15,$-5,$0,$-5,$-5,$-5,$-3,$-17,$-30,$-17,$2,$-3
1,2018-06-30,22.99,$16.89,1.36,$29.84,0.77,$8.24,2.79,$1.33,17.29,$0.34B,$0.66B,0.51,$0.04B,$0.22B,0.21,$0.39B,$0.05B,11.54%,$0.39B,$0.02B,5.64%,$0.39B,$0.02B,6.15%,$0.39B,$0.03B,7.18%,$0.39B,$0.02B,5.64%,$0.39B,$0.02B,4.36%,$0.02B,$0.22B,7.74%,$0.02B,$0.22B,7.74%,$0.02B,$0.95B,1.75%,$0.02B,$0.26B,8.61%,$96,$77,$18,$0,$5,$84,$12,$0,$12,$3,$9,$9,$9,$14,$13,$13,13,$0.69,$0.69,$84,$0,$0,$335,$4,$448,$0,$113,$617,$952,$658,$44,$34,$79,$737,$0,$80,$-5,$215,$952,$16,$2,$2,$4,$3,$0,$0,$10,$17,$41,$-0,$0,$0,$0,$-14,$-14,$0,$-15,$-5,$0,$-5,$-5,$-5,$-2,$-17,$-29,$-2,$1,$-2
2,2018-03-31,15.64,$16.36,0.96,$29.79,0.53,$9.34,1.68,$1.01,15.49,$0.25B,$0.56B,0.45,$0.04B,$0.21B,0.21,$0.39B,$0.04B,9.69%,$0.39B,$0.02B,4.08%,$0.39B,$0.02B,4.34%,$0.39B,$0.02B,5.36%,$0.39B,$0.02B,4.08%,$0.39B,$0.01B,3.06%,$0.01B,$0.21B,5.31%,$0.01B,$0.21B,5.31%,$0.01B,$0.85B,1.28%,$0.02B,$0.25B,6.35%,$93,$76,$17,$0,$6,$83,$10,$0,$10,$2,$7,$7,$7,$12,$11,$13,13,$0.58,$0.58,$56,$0,$0,$252,$4,$451,$0,$97,$596,$848,$557,$44,$39,$83,$640,$0,$72,$-4,$208,$848,$7,$1,$2,$3,$1,$0,$-45,$34,$-9,$12,$-0,$0,$0,$0,$-15,$-15,$0,$-15,$-5,$0,$-5,$-5,$-5,$-1,$-17,$-28,$-31,$1,$-1
3,2017-12-31,16.35,$17.51,0.93,$29.46,0.55,$10.11,1.62,$0.66,24.77,$0.26B,$0.60B,0.43,$0.05B,$0.23B,0.22,$0.39B,$0.03B,7.65%,$0.39B,$0.01B,2.55%,$0.39B,$0.01B,2.55%,$0.39B,$0.01B,3.57%,$0.39B,$0.01B,2.55%,$0.39B,$0.01B,1.79%,$0.01B,$0.23B,2.99%,$0.01B,$0.23B,2.99%,$0.01B,$0.91B,0.76%,$0.01B,$0.28B,3.99%,$102,$87,$15,$0,$5,$92,$10,$0,$10,$4,$6,$6,$6,$11,$10,$13,13,$0.49,$0.48,$86,$0,$0,$257,$4,$444,$0,$149,$648,$905,$597,$49,$31,$81,$677,$0,$70,$2,$227,$905,$5,$5,$-6,$-1,$8,$0,$-7,$17,$24,$13,$-1,$0,$0,$0,$-31,$-31,$0,$-32,$45,$0,$45,$-11,$-11,$-4,$0,$30,$12,$3,$-4
4,2017-09-30,15.32,$17.53,0.87,$27.90,0.55,$14.05,1.09,$-0.71,0.0,$0.50B,$0.90B,0.55,$0.01B,$0.23B,0.02,$0.38B,$0.00B,0.53%,$0.38B,$-0.02B,-4.53%,$0.38B,$-0.02B,-4.53%,$0.38B,$-0.01B,-3.20%,$0.38B,$-0.02B,-4.53%,$0.38B,$-0.01B,-2.67%,$-0.01B,$0.23B,-4.24%,$-0.01B,$0.23B,-4.24%,$-0.01B,$1.18B,-1.11%,$-0.02B,$0.23B,-7.05%,$99,$104,$-5,$0,$5,$109,$-10,$0,$-10,$-4,$-6,$-6,$-5,$-9,$-10,$13,13,$-0.36,$-0.36,$82,$0,$0,$495,$4,$443,$0,$200,$686,$1181,$900,$5,$39,$52,$953,$0,$70,$3,$229,$1181,$-0,$3,$-7,$-3,$-0,$0,$66,$-19,$41,$42,$-0,$0,$0,$0,$-23,$-23,$0,$-23,$0,$0,$0,$-9,$-9,$-3,$0,$-12,$7,$2,$-3
5,2017-06-30,15.62,$18.36,0.85,$26.23,0.6,$17.86,0.87,$-0.19,0.0,$0.21B,$0.54B,0.4,$0.01B,$0.24B,0.02,$0.36B,$0.01B,3.63%,$0.36B,$-0.01B,-1.40%,$0.36B,$-0.01B,-1.40%,$0.36B,0,0.00%,$0.36B,$-0.01B,-1.40%,$0.36B,$-0.00B,-1.12%,$-0.00B,$0.24B,-1.64%,$-0.00B,$0.24B,-1.64%,$-0.00B,$0.83B,-0.50%,$-0.01B,$0.25B,-2.00%,$98,$87,$11,$0,$5,$93,$6,$0,$6,$2,$4,$4,$4,$7,$6,$13,13,$0.30,$0.30,$100,$0,$0,$214,$4,$435,$0,$132,$612,$826,$537,$5,$37,$49,$586,$0,$78,$5,$240,$826,$6,$2,$-1,$1,$-5,$0,$7,$42,$49,$57,$-0,$0,$0,$0,$-22,$-22,$0,$-22,$0,$0,$0,$-8,$-8,$-2,$0,$-10,$25,$1,$-2
6,2017-03-31,16.94,$17.93,0.94,$23.97,0.71,$17.37,0.98,$-0.49,0.0,$0.20B,$0.50B,0.39,$0.01B,$0.24B,0.02,$0.33B,$0.01B,2.71%,$0.33B,$-0.01B,-2.71%,$0.33B,$-0.01B,-2.71%,$0.33B,$-0.00B,-1.20%,$0.33B,$-0.01B,-2.71%,$0.33B,$-0.01B,-2.11%,$-0.01B,$0.24B,-2.79%,$-0.01B,$0.24B,-2.79%,$-0.01B,$0.79B,-0.91%,$-0.01B,$0.25B,-3.52%,$93,$84,$9,$0,$5,$89,$4,$0,$4,$1,$2,$2,$2,$5,$4,$13,14,$0.18,$0.18,$80,$0,$0,$196,$4,$425,$0,$123,$592,$788,$501,$5,$38,$46,$547,$0,$80,$4,$241,$788,$2,$1,$1,$2,$-4,$0,$-27,$40,$18,$24,$-0,$0,$0,$0,$-15,$-15,$0,$-15,$0,$0,$0,$-2,$-2,$-1,$0,$-3,$6,$1,$-1
7,2016-12-31,18.08,$17.40,1.04,$22.01,0.82,$17.08,1.06,$-0.04,0.0,$0.19B,$0.53B,0.36,$0.01B,$0.23B,0.02,$0.31B,$0.02B,6.49%,$0.31B,$0.00B,0.65%,$0.31B,$0.00B,0.65%,$0.31B,$0.01B,2.60%,$0.31B,$0.00B,0.65%,$0.31B,$0.00B,0.32%,$0.00B,$0.23B,0.39%,$0.00B,$0.23B,0.39%,$0.00B,$0.82B,0.14%,$0.00B,$0.24B,0.77%,$85,$98,$-13,$0,$4,$102,$-17,$0,$-17,$-6,$-11,$-11,$-11,$-15,$-17,$14,14,$-0.79,$-0.78,$75,$0,$0,$191,$4,$410,$0,$168,$624,$815,$531,$5,$44,$50,$581,$0,$77,$2,$234,$815,$1,$6,$1,$8,$-16,$0,$58,$27,$52,$70,$-2,$0,$0,$0,$-31,$-31,$0,$-33,$0,$0,$0,$-11,$-11,$-5,$1,$-15,$22,$4,$-5
8,2016-09-30,18.0,$19.08,0.94,$19.98,0.9,$15.88,1.13,$1.51,11.92,$0.21B,$0.44B,0.49,$0.01B,$0.26B,0.02,$0.28B,$0.05B,17.14%,$0.28B,$0.03B,11.07%,$0.28B,$0.03B,11.07%,$0.28B,$0.04B,13.21%,$0.28B,$0.03B,11.07%,$0.28B,$0.02B,7.14%,$0.02B,$0.26B,7.68%,$0.02B,$0.26B,7.68%,$0.02B,$0.75B,2.82%,$0.03B,$0.27B,11.69%,$82,$76,$6,$0,$4,$80,$2,$0,$2,$0,$1,$1,$1,$3,$2,$14,14,$0.10,$0.10,$106,$0,$0,$212,$4,$426,$0,$67,$538,$749,$437,$5,$32,$49,$486,$0,$99,$9,$263,$749,$12,$5,$2,$6,$-25,$0,$146,$-37,$75,$99,$-2,$0,$0,$0,$-37,$-37,$0,$-38,$0,$0,$0,$-5,$-5,$-4,$1,$-8,$53,$4,$-4
9,2016-06-30,18.29,$19.28,0.95,$19.33,0.95,$14.50,1.26,$2.17,8.43,$0.17B,$0.42B,0.4,$0.01B,$0.27B,0.02,$0.27B,$0.07B,23.99%,$0.27B,$0.05B,17.34%,$0.27B,$0.05B,17.34%,$0.27B,$0.05B,19.56%,$0.27B,$0.05B,17.34%,$0.27B,$0.03B,11.07%,$0.03B,$0.27B,11.78%,$0.03B,$0.27B,11.78%,$0.03B,$0.72B,4.41%,$0.05B,$0.27B,18.09%,$72,$65,$7,$0,$5,$70,$2,$0,$2,$1,$1,$1,$1,$3,$2,$14,14,$0.07,$0.07,$80,$0,$0,$167,$3,$412,$0,$118,$554,$722,$416,$5,$29,$39,$456,$0,$102,$9,$266,$722,$11,$3,$2,$5,$-19,$0,$72,$-9,$35,$54,$-1,$0,$0,$0,$-22,$-22,$0,$-22,$0,$0,$0,$-2,$-2,$-2,$1,$-4,$27,$3,$-2
