,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,5.73,$1.94,2.96,$0.10,58.93,$-4.43,0.0,$-1.61,0.0,$0.11B,$0.01B,12.4,$0.00B,$0.11B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.08B,-1950.00%,$0.00B,$-0.08B,-1950.00%,$0.00B,$-0.08B,-1950.00%,$0.00B,$-0.08B,-1900.00%,$0.00B,$-0.08B,-1925.00%,$-0.08B,$0.11B,-117.56%,$-0.08B,$0.11B,-117.56%,$-0.08B,$0.12B,-99.04%,$-0.08B,$0.11B,-119.08%,$1,$0,$1,$13,$3,$16,$-16,$0,$-15,$0,$-15,$-15,$-15,$-16,$-16,$41,41,$-0.38,$-0.38,$110,$0,$0,$112,$2,$1,$0,$0,$3,$115,$9,$0,$1,$1,$10,$2,$-201,$-0,$105,$115,$60,$0,$4,$4,$-1,$0,$0,$0,$-2,$-58,$-0,$0,$0,$-28,$65,$38,$0,$37,$0,$0,$0,$92,$92,$0,$0,$92,$72,$4,$0
1,2018-06-30,5.01,$1.08,4.64,$0.10,50.03,$-4.12,0.0,$-2.08,0.0,$0.06B,$0.02B,3.72,$0.00B,$0.04B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.08B,-2000.00%,$0.00B,$-0.08B,-2000.00%,$0.00B,$-0.08B,-2000.00%,$0.00B,$-0.08B,-1975.00%,$0.00B,$-0.08B,-2000.00%,$-0.08B,$0.04B,-132.23%,$-0.08B,$0.04B,-132.23%,$-0.08B,$0.06B,-110.73%,$-0.08B,$0.04B,-132.23%,$1,$0,$1,$17,$3,$20,$-19,$0,$-19,$0,$-19,$-19,$-19,$-19,$-19,$40,40,$-0.46,$-0.46,$55,$0,$0,$56,$2,$2,$0,$0,$4,$60,$15,$0,$1,$1,$16,$2,$-186,$-0,$44,$60,$45,$0,$3,$3,$0,$0,$0,$0,$5,$-37,$-0,$0,$0,$-28,$43,$16,$0,$15,$0,$0,$0,$17,$17,$0,$0,$17,$-4,$3,$0
2,2018-03-31,5.13,$1.18,4.34,$0.10,52.65,$-3.77,0.0,$-2.06,0.0,$0.05B,$0.01B,4.54,$0.00B,$0.04B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.08B,-1950.00%,$0.00B,$-0.08B,-1950.00%,$0.00B,$-0.08B,-1950.00%,$0.00B,$-0.08B,-1900.00%,$0.00B,$-0.08B,-1925.00%,$-0.08B,$0.04B,-103.01%,$-0.08B,$0.04B,-103.01%,$-0.08B,$0.06B,-90.32%,$-0.08B,$0.04B,-104.35%,$1,$0,$1,$23,$4,$27,$-26,$0,$-26,$0,$-26,$-26,$-26,$-26,$-26,$38,38,$-0.69,$-0.69,$48,$0,$0,$49,$2,$5,$0,$0,$7,$56,$11,$0,$1,$1,$12,$2,$-167,$-0,$44,$56,$-26,$0,$2,$2,$0,$0,$0,$-0,$1,$-23,$-0,$0,$0,$-9,$29,$20,$0,$20,$0,$0,$0,$0,$0,$0,$0,$0,$-3,$2,$0
3,2017-12-31,6.01,$1.83,3.29,$0.10,61.18,$-3.48,0.0,$-1.76,0.0,$0.07B,$0.01B,6.8,$0.00B,$0.07B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.07B,-1675.00%,$0.00B,$-0.07B,-1675.00%,$0.00B,$-0.07B,-1675.00%,$0.00B,$-0.06B,-1600.00%,$0.00B,$-0.07B,-1625.00%,$-0.07B,$0.07B,-69.89%,$-0.07B,$0.07B,-69.89%,$-0.07B,$0.08B,-63.57%,$-0.07B,$0.07B,-72.04%,$1,$0,$1,$15,$2,$18,$-17,$0,$-16,$1,$-17,$-17,$-17,$-17,$-17,$37,37,$-0.46,$-0.46,$68,$0,$0,$70,$2,$9,$0,$0,$11,$80,$10,$0,$1,$1,$12,$2,$-141,$-0,$69,$80,$-66,$0,$4,$4,$2,$0,$0,$1,$8,$-53,$-1,$0,$0,$-17,$56,$39,$0,$38,$0,$-0,$-0,$0,$0,$0,$0,$0,$-15,$4,$0
4,2017-09-30,5.55,$2.26,2.46,$0.12,47.69,$-2.88,0.0,$-1.61,0.0,$0.08B,$0.01B,10.02,$0.00B,$0.09B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.06B,-1525.00%,$0.00B,$-0.06B,-1525.00%,$0.00B,$-0.06B,-1525.00%,$0.00B,$-0.06B,-1475.00%,$0.00B,$-0.06B,-1475.00%,$-0.06B,$0.09B,-54.50%,$-0.06B,$0.09B,-54.50%,$-0.06B,$0.09B,-50.75%,$-0.06B,$0.09B,-56.35%,$1,$0,$1,$16,$3,$19,$-18,$0,$-18,$0,$-18,$-18,$-18,$-18,$-18,$37,37,$-0.47,$-0.47,$77,$0,$0,$79,$2,$12,$0,$0,$14,$93,$8,$0,$0,$0,$8,$2,$-124,$0,$85,$93,$48,$0,$3,$3,$2,$0,$0,$0,$5,$-41,$-1,$0,$0,$-8,$39,$31,$0,$30,$0,$-0,$-0,$0,$0,$0,$0,$0,$-10,$3,$0
5,2017-06-30,4.64,$2.70,1.72,$0.18,26.49,$-2.26,0.0,$-1.33,0.0,$0.10B,$0.01B,9.03,$0.00B,$0.10B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.05B,-816.67%,$0.01B,$-0.05B,-816.67%,$0.01B,$-0.05B,-816.67%,$0.01B,$-0.05B,-783.33%,$0.01B,$-0.05B,-783.33%,$-0.05B,$0.10B,-38.84%,$-0.05B,$0.10B,-38.84%,$-0.05B,$0.11B,-36.43%,$-0.05B,$0.10B,-40.50%,$1,$0,$1,$14,$3,$17,$-17,$0,$-16,$0,$-16,$-16,$-16,$-17,$-17,$37,37,$-0.44,$-0.44,$98,$0,$0,$100,$1,$11,$0,$0,$13,$112,$11,$0,$0,$0,$11,$2,$-106,$-0,$101,$112,$31,$0,$2,$2,$2,$0,$0,$0,$8,$-21,$-1,$0,$0,$-8,$44,$36,$0,$35,$0,$-0,$-0,$0,$0,$0,$0,$0,$15,$1,$0
6,2017-03-31,4.95,$3.13,1.58,$0.18,27.75,$-2.08,0.0,$-1.16,0.0,$0.11B,$0.01B,15.14,$0.00B,$0.12B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.04B,-666.67%,$0.01B,$-0.04B,-666.67%,$0.01B,$-0.04B,-666.67%,$0.01B,$-0.04B,-650.00%,$0.01B,$-0.04B,-650.00%,$-0.04B,$0.12B,-32.98%,$-0.04B,$0.12B,-32.98%,$-0.04B,$0.12B,-31.39%,$-0.04B,$0.12B,-33.83%,$1,$0,$1,$13,$3,$15,$-15,$0,$-14,$0,$-14,$-14,$-14,$-15,$-15,$37,37,$-0.39,$-0.39,$101,$0,$0,$105,$1,$18,$0,$0,$19,$124,$7,$0,$0,$0,$7,$2,$-90,$-0,$117,$124,$-14,$0,$1,$1,$-0,$0,$0,$0,$1,$-12,$-0,$0,$0,$-13,$20,$7,$0,$7,$0,$-0,$-0,$0,$0,$0,$0,$0,$-5,$1,$0
7,2016-12-31,11.1,$3.50,3.17,$0.18,62.45,$-1.98,0.0,$-0.92,0.0,$0.12B,$0.01B,22.2,$0.00B,$0.13B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.03B,-500.00%,$0.01B,$-0.03B,-500.00%,$0.01B,$-0.03B,-500.00%,$0.01B,$-0.03B,-483.33%,$0.01B,$-0.03B,-500.00%,$-0.03B,$0.13B,-26.49%,$-0.03B,$0.13B,-26.49%,$-0.03B,$0.14B,-25.32%,$-0.03B,$0.13B,-26.49%,$1,$0,$1,$10,$3,$13,$-11,$0,$-11,$0,$-11,$-11,$-11,$-11,$-11,$32,32,$-0.30,$-0.30,$113,$0,$0,$117,$1,$18,$0,$0,$19,$136,$5,$0,$0,$0,$6,$2,$-76,$-0,$130,$136,$-29,$0,$3,$3,$-3,$0,$0,$0,$-1,$-27,$-0,$0,$0,$-23,$8,$-15,$0,$-15,$-0,$-0,$-1,$56,$56,$0,$0,$55,$13,$3,$0
8,2016-09-30,9.26,$3.73,2.49,$0.14,65.56,$-1.58,0.0,$-0.78,0.0,$0.13B,$0.01B,18.88,$0.00B,$0.14B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.03B,-500.00%,$0.01B,$-0.03B,-500.00%,$0.01B,$-0.03B,-500.00%,$0.01B,$-0.02B,-460.00%,$0.01B,$-0.02B,-480.00%,$-0.02B,$0.14B,-22.64%,$-0.02B,$0.14B,-22.64%,$-0.02B,$0.14B,-21.67%,$-0.03B,$0.14B,-23.58%,$3,$0,$3,$6,$3,$8,$-6,$0,$-6,$0,$-6,$-6,$-6,$-6,$-6,$31,31,$-0.19,$-0.19,$131,$0,$0,$133,$1,$10,$0,$0,$10,$144,$7,$0,$0,$0,$7,$2,$-65,$0,$136,$144,$-19,$0,$2,$2,$-2,$0,$0,$0,$2,$-15,$-0,$0,$0,$-1,$21,$20,$0,$20,$-0,$-0,$-1,$52,$52,$0,$0,$51,$57,$2,$0
9,2016-06-30,6.35,$2.92,2.18,$0.06,107.42,$-1.39,0.0,$-0.70,0.0,$0.08B,$0.00B,26.29,$0.00B,$0.09B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.02B,-1150.00%,$0.00B,$-0.02B,-1150.00%,$0.00B,$-0.02B,-1150.00%,$0.00B,$-0.02B,-1000.00%,$0.00B,$-0.02B,-1050.00%,$-0.02B,$0.09B,-21.32%,$-0.02B,$0.09B,-21.32%,$-0.02B,$0.09B,-20.59%,$-0.02B,$0.09B,-23.35%,$1,$0,$1,$7,$2,$9,$-8,$-0,$-8,$0,$-8,$-8,$-8,$-8,$-8,$31,31,$-0.27,$-0.27,$76,$0,$0,$77,$1,$15,$0,$0,$15,$93,$3,$0,$0,$0,$3,$1,$-59,$0,$90,$93,$-13,$0,$1,$1,$-0,$0,$0,$0,$-1,$-12,$-0,$0,$0,$-13,$27,$14,$0,$14,$-0,$-0,$-0,$0,$0,$0,$0,$-0,$1,$1,$0
