,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,96.61,$50.89,1.9,$19.78,4.88,$12.51,7.73,$4.57,21.14,$72.79B,$73.37B,0.99,$11.32B,$7.14B,1.59,$3.24B,$2.83B,87.50%,$3.24B,$0.98B,30.16%,$3.24B,0,0.00%,$3.24B,0,0.00%,$3.24B,$0.98B,30.16%,$3.24B,$0.75B,23.19%,$0.75B,$8.28B,9.58%,$0.75B,$7.93B,10.03%,$0.75B,$93.85B,0.84%,$0.98B,$19.60B,5.37%,$914,$146,$769,$0,$503,$648,$266,$0,$266,$53,$214,$214,$196,$0,$0,$163,165,$1.20,$1.19,$3993,$0,$0,$72789,$312,$18872,$344,$1534,$21062,$93851,$73372,$11323,$881,$12204,$85575,$2,$3380,$-18,$8276,$93851,$409,$54,$21,$75,$17,$0,$0,$-155,$-138,$346,$-63,$0,$0,$0,$2226,$2226,$-6536,$-4372,$1350,$500,$1850,$6,$146,$-82,$3809,$5723,$1696,$0,$-58
1,2018-03-31,92.26,$48.41,1.91,$18.89,4.88,$13.35,6.91,$4.43,20.83,$69.34B,$71.26B,0.97,$10.17B,$7.00B,1.45,$3.08B,$2.73B,88.64%,$3.08B,$0.95B,30.67%,$3.08B,0,0.00%,$3.08B,0,0.00%,$3.08B,$0.95B,30.67%,$3.08B,$0.73B,23.53%,$0.73B,$7.84B,9.56%,$0.73B,$7.49B,10.03%,$0.73B,$90.22B,0.84%,$0.95B,$18.01B,5.42%,$867,$123,$744,$0,$492,$615,$252,$0,$252,$42,$210,$210,$198,$0,$0,$162,165,$1.22,$1.20,$3840,$0,$0,$69339,$300,$18970,$349,$1266,$20884,$90224,$71255,$10172,$960,$11132,$82387,$2,$3212,$-14,$7837,$90224,$199,$26,$-14,$12,$1,$0,$0,$56,$57,$269,$-26,$0,$0,$0,$2130,$2130,$-3073,$-969,$200,$-100,$100,$3,$-147,$-40,$2331,$2243,$1543,$0,$-28
2,2017-12-31,86.16,$48.35,1.78,$17.99,4.79,$13.21,6.52,$4.31,19.99,$64.86B,$69.02B,0.94,$9.97B,$6.83B,1.46,$2.91B,$2.61B,89.63%,$2.91B,$0.91B,31.34%,$2.91B,0,0.00%,$2.91B,0,0.00%,$2.91B,$0.91B,31.34%,$2.91B,$0.70B,24.03%,$0.70B,$7.82B,9.46%,$0.70B,$7.46B,9.95%,$0.70B,$87.78B,0.85%,$0.91B,$17.79B,5.54%,$822,$101,$721,$0,$475,$575,$246,$0,$246,$47,$199,$199,$187,$0,$0,$162,165,$1.16,$1.13,$2297,$0,$0,$64859,$296,$21014,$356,$1255,$22922,$87781,$69019,$9972,$972,$10944,$79962,$2,$3052,$-4,$7818,$87781,$758,$92,$141,$233,$15,$0,$0,$7,$22,$1012,$-167,$0,$0,$0,$-3346,$-3346,$-10972,$-14484,$3285,$-26,$3259,$520,$364,$-166,$10204,$13661,$189,$0,$-108
3,2017-09-30,103.7,$47.03,2.2,$17.29,6.0,$12.97,7.99,$4.24,24.46,$62.52B,$65.89B,0.95,$9.97B,$6.44B,1.55,$2.77B,$2.51B,90.78%,$2.77B,$0.91B,32.72%,$2.77B,0,0.00%,$2.77B,0,0.00%,$2.77B,$0.91B,32.72%,$2.77B,$0.68B,24.66%,$0.68B,$7.43B,9.51%,$0.68B,$7.07B,10.02%,$0.68B,$84.32B,0.87%,$0.91B,$17.40B,5.87%,$793,$94,$699,$0,$447,$557,$237,$0,$237,$42,$194,$194,$180,$0,$0,$158,162,$1.12,$1.10,$2682,$0,$0,$62523,$278,$19978,$358,$1183,$21797,$84320,$65886,$9971,$1035,$11006,$76892,$2,$2899,$1,$7428,$84320,$563,$64,$77,$141,$15,$0,$0,$73,$88,$793,$-125,$0,$0,$0,$-2291,$-2291,$-8156,$-10572,$3285,$324,$3609,$241,$85,$-124,$6783,$10353,$574,$0,$-80
4,2017-06-30,99.2,$46.04,2.15,$16.52,6.0,$12.02,8.26,$4.10,24.2,$59.92B,$63.44B,0.94,$9.24B,$6.27B,1.47,$2.61B,$2.40B,91.88%,$2.61B,$0.87B,33.13%,$2.61B,0,0.00%,$2.61B,0,0.00%,$2.61B,$0.87B,33.13%,$2.61B,$0.65B,24.89%,$0.65B,$7.26B,9.39%,$0.65B,$6.89B,9.91%,$0.65B,$80.98B,0.87%,$0.87B,$16.50B,6.16%,$757,$86,$670,$0,$423,$515,$242,$0,$242,$42,$200,$200,$186,$0,$0,$158,162,$1.18,$1.14,$2295,$0,$0,$59919,$260,$19284,$366,$1149,$21059,$80978,$63444,$9243,$1031,$10274,$73718,$2,$2741,$2,$7260,$80978,$363,$40,$92,$133,$-5,$0,$0,$11,$6,$503,$-87,$0,$0,$0,$-1641,$-1641,$-5821,$-7549,$2535,$47,$2582,$238,$83,$-82,$4651,$7234,$187,$0,$-52
5,2017-03-31,92.8,$45.12,2.06,$15.91,5.83,$10.72,8.65,$4.01,23.14,$56.55B,$61.31B,0.92,$7.10B,$6.15B,1.16,$2.48B,$2.29B,92.65%,$2.48B,$0.85B,34.18%,$2.48B,0,0.00%,$2.48B,0,0.00%,$2.48B,$0.85B,34.18%,$2.48B,$0.63B,25.29%,$0.63B,$7.09B,9.36%,$0.63B,$6.72B,9.90%,$0.63B,$76.50B,0.89%,$0.85B,$14.19B,6.58%,$709,$67,$641,$0,$421,$488,$220,$0,$220,$34,$187,$187,$172,$0,$0,$157,162,$1.10,$1.06,$2756,$0,$0,$56552,$237,$18389,$372,$955,$19952,$76504,$61307,$7100,$1008,$8108,$69416,$2,$2596,$4,$7089,$76504,$177,$22,$78,$99,$1,$0,$0,$-18,$-18,$258,$-45,$0,$0,$0,$-672,$-672,$-1878,$-2595,$389,$-1,$389,$236,$37,$-40,$2600,$2985,$649,$0,$-25
6,2016-12-31,90.99,$44.78,2.03,$15.49,5.87,$10.13,8.98,$3.88,23.45,$54.22B,$58.70B,0.92,$6.71B,$5.77B,1.16,$2.38B,$2.21B,93.10%,$2.38B,$0.83B,34.85%,$2.38B,0,0.00%,$2.38B,0,0.00%,$2.38B,$0.83B,34.85%,$2.38B,$0.61B,25.46%,$0.61B,$6.91B,9.44%,$0.61B,$6.53B,10.00%,$0.61B,$73.28B,0.90%,$0.83B,$13.62B,6.98%,$654,$53,$601,$0,$388,$440,$214,$0,$214,$37,$177,$177,$162,$0,$0,$155,160,$1.04,$1.01,$2108,$0,$0,$54217,$208,$17552,$378,$923,$19061,$73278,$58702,$6711,$955,$7667,$66369,$2,$2460,$6,$6909,$73278,$673,$56,$60,$116,$-18,$0,$0,$81,$63,$852,$-87,$0,$-32,$0,$-4477,$-4477,$-8735,$-13331,$2287,$-4,$2284,$536,$681,$-164,$10654,$13455,$977,$0,$-95
7,2016-09-30,75.99,$42.93,1.77,$14.95,5.08,$9.11,8.34,$3.69,20.59,$51.46B,$55.26B,0.93,$5.41B,$5.31B,1.02,$2.26B,$2.11B,93.23%,$2.26B,$0.78B,34.54%,$2.26B,0,0.00%,$2.26B,0,0.00%,$2.26B,$0.78B,34.54%,$2.26B,$0.57B,25.12%,$0.57B,$6.44B,9.30%,$0.57B,$6.09B,9.87%,$0.57B,$67.99B,0.90%,$0.78B,$11.86B,7.10%,$646,$47,$599,$0,$365,$418,$229,$0,$229,$50,$179,$179,$162,$0,$0,$149,154,$1.07,$1.03,$1387,$0,$0,$51464,$190,$15143,$350,$846,$16529,$67994,$55262,$5412,$875,$6287,$61549,$2,$2322,$19,$6444,$67994,$494,$38,$63,$101,$-92,$0,$0,$42,$-49,$546,$-57,$0,$0,$0,$-2205,$-2205,$-6463,$-8724,$987,$97,$1085,$208,$353,$-122,$7118,$8435,$256,$0,$-70
8,2016-06-30,68.82,$42.12,1.63,$14.53,4.74,$9.39,7.33,$3.51,19.61,$49.33B,$52.11B,0.95,$5.48B,$5.17B,1.06,$2.17B,$2.02B,93.26%,$2.17B,$0.76B,34.97%,$2.17B,0,0.00%,$2.17B,0,0.00%,$2.17B,$0.76B,34.97%,$2.17B,$0.53B,24.67%,$0.53B,$6.31B,9.14%,$0.53B,$5.95B,9.69%,$0.53B,$64.73B,0.89%,$0.76B,$11.78B,7.16%,$602,$44,$558,$0,$350,$399,$202,$0,$202,$30,$172,$172,$154,$0,$0,$150,155,$1.03,$1.00,$1564,$0,$0,$49332,$182,$13891,$353,$972,$15398,$64730,$52111,$5475,$838,$6312,$58424,$1,$2192,$14,$6306,$64730,$322,$26,$69,$95,$-57,$0,$0,$-132,$-188,$229,$-36,$0,$0,$0,$-1106,$-1106,$-4055,$-5197,$1050,$848,$1898,$206,$351,$-80,$3231,$5400,$433,$0,$-46
9,2016-03-31,65.38,$40.90,1.6,$14.15,4.62,$9.99,6.54,$3.34,19.57,$47.12B,$51.04B,0.92,$4.23B,$4.85B,0.87,$2.08B,$1.94B,93.04%,$2.08B,$0.73B,35.08%,$2.08B,0,0.00%,$2.08B,0,0.00%,$2.08B,$0.73B,35.08%,$2.08B,$0.50B,24.14%,$0.50B,$5.99B,9.01%,$0.50B,$5.63B,9.53%,$0.50B,$62.10B,0.88%,$0.73B,$10.21B,7.15%,$573,$38,$535,$0,$328,$372,$201,$0,$201,$36,$165,$165,$148,$0,$0,$147,153,$1.00,$0.97,$1946,$0,$0,$47119,$175,$13653,$357,$799,$14983,$62103,$51035,$4226,$856,$5083,$56118,$1,$2060,$11,$5985,$62103,$157,$11,$59,$70,$6,$0,$0,$-105,$-100,$128,$-16,$0,$0,$0,$-826,$-826,$-1407,$-2250,$-200,$-1,$-201,$2,$147,$-39,$3029,$2937,$815,$0,$-22
