,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,44.99,$27.61,1.63,$9.62,4.68,$7.82,5.76,$2.03,22.16,$7.26B,$7.85B,0.93,$0.52B,$1.36B,0.39,$0.47B,$0.41B,87.31%,$0.47B,$0.18B,38.92%,$0.47B,0,0.00%,$0.47B,0,0.00%,$0.47B,$0.18B,38.92%,$0.47B,$0.14B,30.54%,$0.14B,$1.36B,10.68%,$0.14B,$0.89B,16.60%,$0.14B,$9.79B,1.48%,$0.18B,$1.89B,9.54%,$124,$18,$106,$0,$55,$75,$50,$0,$50,$8,$41,$41,$41,$0,$0,$49,49,$0.83,$0.83,$209,$0,$0,$7260,$94,$1650,$471,$286,$2527,$9787,$7848,$524,$54,$578,$8426,$6,$553,$-35,$1361,$9787,$117,$7,$4,$11,$7,$0,$2,$0,$8,$136,$0,$0,$0,$-32,$-107,$-139,$-339,$-478,$-101,$0,$-101,$1,$1,$-31,$461,$330,$-12,$3,$-31
1,2018-06-30,46.4,$27.20,1.71,$9.24,5.02,$6.70,6.93,$2.53,18.34,$7.22B,$7.74B,0.93,$0.61B,$1.34B,0.45,$0.45B,$0.39B,88.31%,$0.45B,$0.16B,36.63%,$0.45B,0,0.00%,$0.45B,0,0.00%,$0.45B,$0.16B,36.63%,$0.45B,$0.13B,28.09%,$0.13B,$1.34B,9.54%,$0.13B,$0.87B,14.98%,$0.13B,$9.74B,1.33%,$0.16B,$1.95B,8.65%,$119,$16,$103,$0,$53,$71,$48,$0,$48,$8,$40,$40,$40,$0,$0,$49,49,$0.80,$0.80,$170,$0,$0,$7215,$94,$1644,$473,$284,$2520,$9735,$7740,$608,$47,$654,$8394,$6,$522,$-25,$1340,$9735,$76,$4,$-6,$-1,$6,$0,$0,$0,$7,$82,$0,$0,$0,$-2,$-88,$-90,$-330,$-420,$6,$0,$6,$-1,$-1,$-20,$332,$317,$-21,$2,$-20
2,2018-03-31,41.5,$26.67,1.56,$8.96,4.63,$6.41,6.48,$2.30,18.04,$7.02B,$7.52B,0.93,$0.59B,$1.31B,0.45,$0.42B,$0.37B,89.42%,$0.42B,$0.15B,35.10%,$0.42B,0,0.00%,$0.42B,0,0.00%,$0.42B,$0.15B,35.10%,$0.42B,$0.11B,26.20%,$0.11B,$1.31B,8.84%,$0.11B,$0.84B,13.65%,$0.11B,$9.47B,1.22%,$0.15B,$1.90B,8.27%,$113,$14,$99,$0,$54,$70,$43,$0,$43,$7,$37,$37,$37,$0,$0,$49,49,$0.75,$0.74,$153,$0,$0,$7018,$95,$1568,$475,$293,$2455,$9473,$7522,$588,$50,$638,$8160,$6,$494,$-22,$1313,$9473,$37,$2,$-15,$-13,$6,$0,$1,$0,$7,$31,$0,$0,$0,$11,$-7,$3,$-149,$-146,$-57,$0,$-57,$-1,$-1,$-9,$155,$89,$-26,$1,$-9
3,2017-12-31,41.68,$26.52,1.57,$8.68,4.8,$6.64,6.28,$2.12,19.66,$6.91B,$7.46B,0.93,$0.55B,$1.30B,0.43,$0.39B,$0.35B,90.41%,$0.39B,$0.13B,34.46%,$0.39B,0,0.00%,$0.39B,0,0.00%,$0.39B,$0.13B,34.46%,$0.39B,$0.10B,24.61%,$0.10B,$1.30B,8.35%,$0.10B,$0.83B,12.55%,$0.10B,$9.37B,1.13%,$0.13B,$1.86B,8.11%,$109,$12,$98,$0,$56,$70,$40,$0,$40,$15,$24,$24,$24,$0,$0,$45,45,$0.49,$0.49,$190,$0,$0,$6910,$96,$1584,$477,$276,$2457,$9367,$7458,$554,$53,$606,$8064,$6,$465,$-3,$1303,$9367,$96,$8,$19,$27,$3,$0,$0,$0,$3,$127,$0,$0,$55,$238,$-272,$-34,$-656,$-635,$64,$0,$64,$3,$3,$-32,$501,$536,$27,$3,$-32
4,2017-09-30,42.36,$26.11,1.62,$8.25,5.14,$6.38,6.64,$2.18,19.43,$6.67B,$7.16B,0.93,$0.55B,$1.28B,0.43,$0.36B,$0.33B,90.78%,$0.36B,$0.12B,34.36%,$0.36B,0,0.00%,$0.36B,0,0.00%,$0.36B,$0.12B,34.36%,$0.36B,$0.09B,25.98%,$0.09B,$1.28B,8.97%,$0.09B,$0.81B,13.08%,$0.09B,$9.05B,1.19%,$0.12B,$1.83B,8.16%,$104,$10,$93,$0,$59,$71,$32,$0,$32,$8,$24,$24,$24,$0,$0,$48,49,$0.50,$0.50,$220,$0,$0,$6667,$102,$1493,$479,$273,$2383,$9049,$7158,$547,$62,$608,$7766,$6,$450,$-6,$1283,$9049,$72,$6,$-7,$-2,$9,$0,$1,$0,$9,$79,$0,$0,$55,$200,$-175,$25,$-387,$-308,$28,$0,$28,$2,$2,$-23,$239,$247,$19,$2,$-23
5,2017-06-30,39.43,$23.99,1.64,$8.10,4.87,$6.72,5.87,$2.19,18.0,$5.77B,$6.28B,0.92,$0.44B,$1.04B,0.43,$0.34B,$0.31B,91.64%,$0.34B,$0.12B,35.82%,$0.34B,0,0.00%,$0.34B,0,0.00%,$0.34B,$0.12B,35.82%,$0.34B,$0.09B,26.87%,$0.09B,$1.04B,9.56%,$0.09B,$0.73B,13.43%,$0.09B,$7.81B,1.23%,$0.12B,$1.48B,8.68%,$90,$8,$82,$0,$49,$59,$31,$0,$31,$7,$24,$24,$24,$0,$0,$42,42,$0.57,$0.57,$191,$0,$0,$5765,$93,$1362,$310,$248,$2040,$7805,$6283,$441,$45,$487,$6770,$5,$434,$1,$1035,$7805,$47,$4,$-2,$2,$8,$0,$0,$0,$8,$57,$0,$0,$49,$-24,$-25,$-49,$-248,$-248,$10,$0,$10,$-1,$-1,$-14,$210,$205,$15,$1,$-14
6,2017-03-31,38.45,$22.64,1.7,$7.90,4.86,$6.15,6.25,$2.11,18.22,$5.36B,$5.88B,0.91,$0.47B,$0.93B,0.5,$0.32B,$0.30B,91.67%,$0.32B,$0.12B,35.80%,$0.32B,0,0.00%,$0.32B,0,0.00%,$0.32B,$0.12B,35.80%,$0.32B,$0.09B,26.54%,$0.09B,$0.93B,9.50%,$0.09B,$0.67B,13.32%,$0.09B,$7.33B,1.21%,$0.12B,$1.40B,8.70%,$83,$7,$76,$0,$45,$53,$30,$0,$30,$7,$23,$23,$23,$0,$0,$41,41,$0.57,$0.56,$125,$0,$0,$5358,$91,$1345,$258,$242,$1968,$7326,$5880,$468,$49,$517,$6397,$5,$418,$-4,$929,$7326,$23,$2,$6,$8,$4,$0,$1,$0,$4,$35,$0,$0,$0,$4,$-17,$-13,$-134,$-146,$14,$0,$14,$0,$0,$-6,$79,$87,$-24,$1,$-6
7,2016-12-31,36.68,$22.04,1.66,$7.77,4.72,$5.90,6.22,$1.98,18.53,$5.26B,$5.83B,0.9,$0.43B,$0.90B,0.47,$0.32B,$0.29B,91.51%,$0.32B,$0.11B,34.28%,$0.32B,0,0.00%,$0.32B,0,0.00%,$0.32B,$0.11B,34.28%,$0.32B,$0.08B,25.47%,$0.08B,$0.90B,9.11%,$0.08B,$0.64B,12.88%,$0.08B,$7.21B,1.16%,$0.11B,$1.33B,8.39%,$81,$7,$74,$0,$43,$51,$30,$0,$30,$8,$22,$22,$22,$0,$0,$41,41,$0.55,$0.55,$152,$0,$0,$5255,$94,$1322,$259,$241,$1956,$7212,$5826,$427,$56,$484,$6310,$5,$401,$-14,$902,$7212,$81,$7,$4,$12,$11,$0,$0,$0,$11,$104,$0,$0,$0,$8,$-12,$-5,$-444,$-449,$125,$0,$125,$2,$2,$-22,$266,$371,$26,$3,$-22
8,2016-09-30,25.95,$22.08,1.18,$7.62,3.4,$4.86,5.34,$1.80,14.42,$5.07B,$5.65B,0.9,$0.43B,$0.90B,0.47,$0.31B,$0.28B,91.21%,$0.31B,$0.10B,31.92%,$0.31B,0,0.00%,$0.31B,0,0.00%,$0.31B,$0.10B,31.92%,$0.31B,$0.07B,23.78%,$0.07B,$0.90B,8.33%,$0.07B,$0.64B,11.85%,$0.07B,$7.02B,1.06%,$0.10B,$1.33B,7.71%,$81,$7,$75,$0,$45,$53,$29,$0,$29,$7,$21,$21,$21,$0,$0,$41,41,$0.51,$0.51,$133,$0,$0,$5069,$96,$1318,$260,$248,$1953,$7022,$5645,$425,$51,$476,$6121,$5,$385,$4,$901,$7022,$59,$5,$7,$12,$9,$0,$1,$0,$10,$81,$0,$0,$0,$-1,$6,$5,$-280,$-275,$54,$0,$54,$0,$0,$-16,$153,$191,$-3,$2,$-16
9,2016-06-30,24.06,$21.77,1.11,$7.56,3.18,$4.31,5.58,$1.74,13.83,$4.95B,$5.57B,0.89,$0.40B,$0.89B,0.45,$0.30B,$0.27B,90.97%,$0.30B,$0.09B,31.10%,$0.30B,0,0.00%,$0.30B,0,0.00%,$0.30B,$0.09B,31.10%,$0.30B,$0.07B,23.08%,$0.07B,$0.89B,8.18%,$0.07B,$0.63B,11.65%,$0.07B,$6.91B,1.04%,$0.09B,$1.28B,7.62%,$79,$7,$72,$0,$45,$52,$27,$0,$27,$7,$20,$20,$20,$0,$0,$41,41,$0.50,$0.49,$183,$0,$0,$4954,$95,$1316,$261,$248,$1952,$6906,$5571,$396,$51,$447,$6019,$5,$370,$7,$888,$6906,$38,$4,$-1,$3,$-8,$0,$-0,$0,$-8,$33,$0,$0,$0,$-30,$18,$-12,$-98,$-110,$-11,$0,$-11,$-0,$-0,$-10,$117,$95,$18,$1,$-10
