,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,18.18,$12.83,1.42,$3.71,4.89,$-13.74,0.0,$0.09,202.0,$0.24B,$1.22B,0.19,$0.00B,$1.06B,0.0,$0.30B,$0.18B,59.08%,$0.30B,$-0.04B,-12.87%,$0.30B,$0.02B,6.27%,$0.30B,$0.17B,55.45%,$0.30B,$-0.02B,-6.60%,$0.30B,$0.01B,2.64%,$0.01B,$1.06B,0.74%,$0.01B,$0.91B,0.87%,$0.01B,$2.47B,0.37%,$-0.04B,$1.06B,-3.62%,$101,$42,$59,$0,$8,$101,$1,$1,$1,$1,$1,$1,$5,$57,$16,$85,85,$0.05,$0.05,$186,$0,$0,$236,$1944,$42,$152,$100,$2238,$2473,$1222,$0,$189,$189,$1411,$1,$-34,$0,$1062,$2473,$-15,$119,$-5,$113,$-19,$0,$0,$-8,$-12,$86,$-479,$-5,$0,$-1,$0,$-1,$-17,$-502,$0,$433,$433,$128,$128,$-83,$29,$508,$93,$1,$-83
1,2018-06-30,17.75,$13.16,1.35,$3.32,5.35,$-11.94,0.0,$0.08,221.91,$0.12B,$0.95B,0.12,$0.00B,$1.09B,0.0,$0.26B,$0.16B,59.92%,$0.26B,$-0.05B,-17.56%,$0.26B,$0.01B,2.29%,$0.26B,$0.14B,54.20%,$0.26B,$-0.02B,-8.40%,$0.26B,$0.01B,2.29%,$0.01B,$1.09B,0.55%,$0.01B,$0.94B,0.65%,$0.01B,$2.21B,0.30%,$-0.05B,$1.09B,-4.25%,$72,$28,$44,$0,$9,$84,$-12,$6,$-6,$1,$-6,$-6,$1,$41,$1,$83,83,$0.01,$0.01,$74,$0,$0,$116,$1803,$43,$153,$96,$2096,$2211,$947,$0,$175,$175,$1122,$1,$-38,$0,$1089,$2211,$-16,$78,$-7,$71,$-10,$0,$0,$-8,$4,$59,$-303,$-2,$0,$-1,$0,$-1,$-18,$-325,$0,$158,$158,$128,$128,$-55,$15,$247,$-19,$0,$-55
2,2018-03-31,15.36,$13.61,1.13,$3.13,4.91,$-11.79,0.0,$0.05,307.28,$0.14B,$0.77B,0.19,$0.00B,$1.13B,0.0,$0.24B,$0.14B,59.34%,$0.24B,$-0.04B,-17.01%,$0.24B,$0.01B,2.49%,$0.24B,$0.12B,51.45%,$0.24B,$-0.02B,-8.71%,$0.24B,$0.00B,1.66%,$0.00B,$1.13B,0.37%,$0.00B,$0.97B,0.43%,$0.00B,$2.05B,0.21%,$-0.04B,$1.13B,-3.78%,$69,$28,$41,$0,$7,$78,$-9,$0,$-9,$0,$-9,$-9,$-1,$41,$3,$82,82,$-0.01,$-0.01,$107,$0,$0,$144,$1641,$44,$155,$65,$1904,$2048,$767,$0,$155,$155,$921,$1,$-39,$0,$1126,$2048,$-9,$38,$1,$39,$-7,$0,$0,$-1,$-18,$11,$-104,$-1,$0,$0,$0,$0,$-9,$-113,$0,$6,$6,$128,$128,$-27,$9,$116,$14,$0,$-27
3,2017-12-31,18.8,$13.66,1.38,$2.87,6.55,$-11.38,0.0,0,0.0,$0.12B,$0.77B,0.16,$0.00B,$1.04B,0.0,$0.22B,$0.13B,58.06%,$0.22B,$-0.04B,-18.43%,$0.22B,0,0.00%,$0.22B,$0.10B,46.54%,$0.22B,$-0.02B,-9.68%,$0.22B,$0.00B,0.46%,$0.00B,$1.04B,0.09%,$0.00B,$0.88B,0.11%,$0.00B,$1.96B,0.05%,$-0.04B,$1.04B,-3.68%,$61,$26,$35,$0,$8,$80,$-19,$12,$-6,$0,$-7,$-7,$3,$29,$-1,$76,76,$0.04,$0.04,$93,$0,$0,$124,$1564,$43,$157,$69,$1832,$1956,$771,$0,$149,$149,$921,$1,$-39,$0,$1035,$1956,$-23,$101,$-13,$87,$-12,$0,$0,$6,$5,$68,$-451,$-10,$0,$-30,$30,$-0,$21,$-440,$0,$442,$442,$0,$0,$-100,$21,$363,$-9,$1,$-100
4,2017-09-30,16.71,$14.23,1.17,$2.62,6.38,$-9.03,0.0,$-0.06,0.0,$0.24B,$0.71B,0.34,$0.00B,$1.08B,0.0,$0.20B,$0.12B,58.59%,$0.20B,$-0.03B,-12.63%,$0.20B,0,0.00%,$0.20B,$0.09B,45.45%,$0.20B,$-0.02B,-10.61%,$0.20B,$-0.00B,-2.02%,$-0.00B,$1.08B,-0.36%,$-0.00B,$0.93B,-0.41%,$-0.00B,$1.91B,-0.23%,$-0.03B,$1.08B,-2.23%,$60,$24,$37,$0,$7,$66,$-6,$5,$-1,$1,$-2,$-2,$3,$31,$3,$76,76,$0.04,$0.04,$213,$0,$0,$241,$1394,$68,$150,$57,$1669,$1910,$707,$0,$125,$125,$832,$1,$-42,$12,$1078,$1910,$-17,$71,$-3,$68,$-8,$0,$0,$9,$2,$52,$-267,$-2,$0,$-25,$0,$-25,$-11,$-305,$0,$395,$395,$0,$0,$-75,$12,$332,$79,$1,$-75
5,2017-06-30,14.49,$14.54,1.0,$2.38,6.1,$-7.92,0.0,$-0.12,0.0,$0.11B,$0.54B,0.2,$0.00B,$1.10B,0.0,$0.18B,$0.10B,57.78%,$0.18B,$-0.02B,-13.33%,$0.18B,$-0.00B,-1.67%,$0.18B,$0.08B,42.78%,$0.18B,$-0.03B,-14.44%,$0.18B,$-0.01B,-4.44%,$-0.01B,$1.10B,-0.70%,$-0.01B,$0.95B,-0.81%,$-0.01B,$1.74B,-0.48%,$-0.02B,$1.10B,-2.09%,$51,$21,$30,$0,$7,$58,$-7,$2,$-5,$0,$-6,$-6,$-1,$23,$1,$76,76,$-0.02,$-0.02,$84,$0,$0,$111,$1381,$58,$151,$42,$1633,$1744,$543,$0,$99,$99,$642,$1,$-45,$6,$1101,$1744,$-15,$43,$1,$44,$-6,$0,$0,$9,$4,$33,$-244,$-0,$0,$-21,$0,$-21,$-3,$-269,$0,$232,$232,$0,$0,$-50,$4,$186,$-49,$1,$-50
6,2017-03-31,13.27,$15.00,0.88,$2.14,6.21,$-6.18,0.0,$-0.25,0.0,$0.30B,$0.53B,0.57,$0.00B,$1.14B,0.0,$0.16B,$0.09B,55.56%,$0.16B,$-0.03B,-19.14%,$0.16B,$-0.01B,-8.02%,$0.16B,$0.06B,38.27%,$0.16B,$-0.04B,-25.31%,$0.16B,$-0.02B,-11.11%,$-0.02B,$1.14B,-1.53%,$-0.02B,$0.98B,-1.76%,$-0.02B,$1.76B,-1.12%,$-0.03B,$1.14B,-2.64%,$45,$21,$24,$0,$8,$52,$-8,$-1,$-9,$0,$-9,$-9,$-4,$18,$-3,$76,76,$-0.06,$-0.06,$277,$0,$0,$300,$1193,$58,$153,$55,$1459,$1759,$529,$0,$94,$94,$623,$1,$-43,$12,$1137,$1759,$-9,$20,$2,$23,$-2,$0,$0,$11,$4,$18,$-73,$0,$0,$0,$0,$0,$-16,$-88,$0,$234,$234,$0,$0,$-25,$5,$214,$144,$0,$-25
7,2016-12-31,11.59,$15.39,0.75,$1.96,5.9,$-5.93,0.0,$-0.27,0.0,$0.16B,$0.30B,0.52,$0.00B,$1.17B,0.0,$0.15B,$0.08B,56.08%,$0.15B,$-0.03B,-21.62%,$0.15B,$-0.01B,-9.46%,$0.15B,$0.06B,37.16%,$0.15B,$-0.04B,-27.70%,$0.15B,$-0.02B,-13.51%,$-0.02B,$1.17B,-1.66%,$-0.02B,$1.01B,-1.90%,$-0.02B,$1.55B,-1.27%,$-0.03B,$1.17B,-2.65%,$42,$17,$25,$0,$7,$46,$-4,$-2,$-6,$0,$-6,$-6,$-2,$18,$-1,$76,76,$-0.01,$-0.01,$133,$0,$0,$155,$1118,$40,$156,$79,$1392,$1547,$298,$0,$84,$84,$382,$1,$-39,$7,$1166,$1547,$-41,$68,$5,$73,$-8,$0,$0,$-1,$-2,$31,$-235,$-5,$0,$-29,$0,$-29,$55,$-213,$0,$-50,$-50,$0,$0,$-100,$18,$-131,$-314,$-4,$-100
8,2016-09-30,10.64,$15.65,0.68,$1.91,5.57,$-6.56,0.0,$-0.31,0.0,$0.28B,$0.29B,0.97,$0.00B,$1.19B,0.0,$0.14B,$0.07B,52.14%,$0.14B,$-0.04B,-27.86%,$0.14B,$-0.02B,-13.57%,$0.14B,$0.05B,32.86%,$0.14B,$-0.04B,-31.43%,$0.14B,$-0.02B,-16.43%,$-0.02B,$1.19B,-1.86%,$-0.02B,$1.03B,-2.13%,$-0.02B,$1.56B,-1.44%,$-0.04B,$1.19B,-3.15%,$42,$17,$25,$0,$7,$47,$-5,$-0,$-6,$0,$-6,$-6,$-1,$18,$0,$76,76,$-0.02,$-0.02,$262,$0,$0,$284,$1040,$11,$154,$67,$1271,$1555,$294,$0,$75,$75,$369,$1,$-37,$0,$1185,$1555,$-35,$50,$3,$53,$-6,$0,$0,$1,$-2,$16,$-145,$-1,$0,$0,$0,$0,$58,$-88,$0,$-47,$-47,$0,$0,$-75,$10,$-111,$-184,$-4,$-75
9,2016-06-30,7.6,$16.04,0.47,$1.82,4.17,$-7.34,0.0,$-0.45,0.0,$0.37B,$0.30B,1.23,$0.00B,$1.22B,0.0,$0.13B,$0.07B,48.87%,$0.13B,$-0.04B,-31.58%,$0.13B,$-0.02B,-17.29%,$0.13B,$0.04B,28.57%,$0.13B,$-0.05B,-40.60%,$0.13B,$-0.03B,-25.56%,$-0.03B,$1.22B,-2.67%,$-0.03B,$1.06B,-3.06%,$-0.03B,$1.58B,-2.09%,$-0.04B,$1.22B,-3.30%,$33,$18,$16,$0,$8,$47,$-14,$-6,$-20,$0,$-20,$-20,$-11,$8,$-9,$76,76,$-0.15,$-0.15,$346,$0,$0,$365,$982,$10,$156,$61,$1210,$1575,$296,$0,$63,$63,$360,$1,$-36,$0,$1215,$1575,$-29,$32,$2,$34,$-4,$0,$0,$-4,$-4,$1,$-81,$-1,$0,$0,$0,$0,$64,$-17,$0,$-45,$-45,$0,$0,$-50,$6,$-89,$-105,$-4,$-50
