,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,20.3,$2.21,9.18,$4.63,4.38,$-0.66,0.0,$-0.29,0.0,$0.07B,$0.03B,2.05,$0.05B,$0.04B,1.09,$0.10B,$0.07B,71.15%,$0.10B,$0.05B,48.08%,$0.10B,$0.05B,48.08%,$0.10B,$0.05B,48.08%,$0.10B,$0.05B,49.04%,$0.10B,$-0.01B,-5.77%,$-0.01B,$0.04B,-14.04%,$-0.01B,$0.00B,240.00%,$-0.01B,$0.13B,-4.23%,$0.05B,$0.09B,51.15%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$1,$0,$0,0,$0.00,$0.00,$38,$0,$6,$68,$7,$10,$41,$1,$59,$127,$33,$46,$4,$52,$85,$23,$-5,$0,$42,$127,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
1,2017-06-30,15.0,$2.32,6.45,$5.29,2.83,$-0.59,0.0,$-0.64,0.0,$0.07B,$0.03B,2.39,$0.05B,$0.04B,1.19,$0.10B,$0.09B,84.47%,$0.10B,$0.07B,70.87%,$0.10B,$0.07B,70.87%,$0.10B,$0.07B,70.87%,$0.10B,$0.07B,70.87%,$0.10B,$-0.01B,-9.71%,$-0.01B,$0.04B,-24.39%,$-0.01B,$0.00B,173.91%,$-0.01B,$0.14B,-7.12%,$0.07B,$0.10B,75.65%,$25,$14,$11,$0,$10,$24,$1,$1,$2,$1,$1,$1,$1,$-6,$1,$19,19,$0.07,$0.07,$35,$1,$7,$74,$10,$12,$44,$0,$67,$141,$31,$52,$5,$66,$97,$22,$-3,$2,$44,$141,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2,2017-03-31,12.73,$0.00,0.0,$6.81,1.87,$-0.59,0.0,$-0.32,0.0,$0.09B,$0.04B,2.37,$0.06B,$0.05B,1.19,$0.11B,$0.10B,90.48%,$0.11B,$0.09B,84.76%,$0.11B,$0.09B,84.76%,$0.11B,$0.09B,84.76%,$0.11B,$0.08B,75.24%,$0.11B,$-0.00B,-3.81%,$-0.00B,$0.05B,-10.19%,$-0.00B,$0.00B,48.48%,$-0.00B,$0.15B,-3.00%,$0.09B,$0.10B,99.16%,$24,$16,$8,$0,$14,$30,$-6,$-0,$-6,$-2,$-4,$-4,$-4,$29,$-6,$19,0,$-0.22,$0.00,$42,$1,$12,$85,$21,$8,$47,$1,$77,$151,$36,$55,$7,$69,$105,$26,$-1,$0,$47,$151,$-8,$10,$0,$10,$0,$0,$0,$0,$-0,$-4,$-8,$0,$-2,$0,$0,$1,$-0,$-9,$0,$9,$34,$0,$2,$-1,$-5,$38,$25,$0,$0
3,2016-12-31,14.18,$0.00,0.0,$6.64,2.13,$0.04,393.89,$-0.41,0.0,$0.08B,$0.03B,2.3,$0.07B,$0.04B,1.71,$0.10B,$0.09B,90.29%,$0.10B,$0.09B,84.47%,$0.10B,$0.09B,84.47%,$0.10B,$0.09B,84.47%,$0.10B,$0.08B,74.76%,$0.10B,$-0.01B,-4.85%,$-0.01B,$0.04B,-13.61%,$-0.01B,$-0.01B,50.00%,$-0.01B,$0.15B,-4.09%,$0.09B,$0.10B,107.41%,$29,$0,$29,$0,$0,$0,$29,$0,$29,$0,$29,$2,$1,$26,$29,$17,17,$0.08,$0.08,$40,$0,$9,$79,$0,$9,$51,$1,$60,$149,$34,$66,$3,$77,$111,$18,$1,$0,$38,$149,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
4,2016-09-30,15.28,$0.00,0.0,$6.78,2.25,$0.04,424.44,$-0.21,0.0,$0.05B,$0.03B,1.9,$0.05B,$0.04B,1.39,$0.10B,$0.09B,90.29%,$0.10B,$0.09B,84.47%,$0.10B,$0.09B,84.47%,$0.10B,$0.09B,84.47%,$0.10B,$0.08B,74.76%,$0.10B,$-0.00B,-0.97%,$-0.00B,$0.04B,-2.67%,$-0.00B,$-0.01B,11.76%,$-0.00B,$0.12B,-0.88%,$0.09B,$0.08B,118.77%,$26,$0,$26,$0,$0,$0,$26,$0,$26,$0,$26,$-4,$-4,$24,$26,$16,16,$-0.22,$-0.22,$21,$0,$10,$54,$0,$8,$47,$1,$56,$121,$28,$48,$3,$58,$86,$17,$5,$0,$35,$121,$-8,$6,$0,$6,$0,$0,$0,$0,$2,$2,$-2,$0,$-8,$0,$0,$0,$-3,$-13,$0,$5,$10,$0,$1,$-1,$-0,$14,$3,$0,$0
5,2016-06-30,16.4,$0.00,0.0,$6.22,2.64,$-0.08,0.0,0,0.0,$0.05B,$0.03B,1.42,$0.03B,$0.04B,0.9,$0.10B,$0.09B,90.10%,$0.10B,$0.09B,84.16%,$0.10B,$0.09B,84.16%,$0.10B,$0.09B,84.16%,$0.10B,$0.08B,74.26%,$0.10B,$0.00B,0.99%,$0.00B,$0.04B,2.56%,$0.00B,$-0.01B,-17.39%,$0.00B,$0.11B,0.92%,$0.09B,$0.07B,132.81%,$24,$0,$24,$0,$0,$0,$24,$0,$24,$0,$24,$-3,$-3,$10,$24,$12,12,$-0.28,$-0.28,$17,$0,$8,$48,$0,$5,$46,$4,$55,$112,$34,$33,$1,$41,$75,$16,$8,$0,$37,$112,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
6,2016-03-31,16.39,$0.00,0.0,$5.53,2.96,$-0.08,0.0,$-0.11,0.0,$0.05B,$0.03B,1.52,$0.03B,$0.04B,0.82,$0.09B,$0.08B,91.01%,$0.09B,$0.08B,84.27%,$0.09B,$0.08B,84.27%,$0.09B,$0.08B,84.27%,$0.09B,$0.08B,84.27%,$0.09B,$-0.00B,-1.12%,$-0.00B,$0.04B,-2.47%,$-0.00B,$-0.01B,-25.00%,$-0.00B,$0.11B,-1.03%,$0.08B,$0.07B,127.66%,$26,$10,$16,$0,$7,$16,$10,$0,$0,$0,$-0,$2,$2,$27,$10,$17,17,$0.10,$0.10,$15,$0,$7,$45,$18,$8,$44,$0,$70,$107,$30,$30,$3,$40,$70,$17,$7,$0,$37,$107,$-3,$7,$0,$7,$0,$0,$0,$0,$-2,$5,$-6,$0,$-28,$0,$0,$-2,$-3,$-39,$0,$0,$27,$0,$0,$-1,$-0,$27,$-8,$0,$0
7,2015-12-31,15.08,$0.00,0.0,$4.89,3.08,$0.38,39.99,$-0.09,0.0,$0.05B,$0.03B,1.63,$0.03B,$0.04B,0.77,$0.08B,$0.07B,89.61%,$0.08B,$0.06B,81.82%,$0.08B,$0.06B,81.82%,$0.08B,$0.06B,81.82%,$0.08B,$0.06B,81.82%,$0.08B,$-0.00B,-1.30%,$-0.00B,$0.04B,-2.31%,$-0.00B,$-0.01B,-7.14%,$-0.00B,$0.11B,-1.15%,$0.06B,$0.07B,113.00%,$27,$0,$27,$0,$0,$0,$27,$0,$27,$0,$27,$0,$-0,$26,$27,$18,18,$-0.01,$-0.01,$18,$0,$7,$49,$0,$6,$47,$0,$53,$112,$30,$32,$1,$40,$71,$14,$10,$0,$41,$112,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
8,2015-09-30,11.0,$0.00,0.0,$3.87,2.85,$0.38,29.17,$-0.07,0.0,$0.05B,$0.05B,0.96,$0.00B,$0.04B,0.11,$0.06B,$0.06B,87.50%,$0.06B,$0.05B,78.13%,$0.06B,$0.05B,78.13%,$0.06B,$0.05B,78.13%,$0.06B,$0.05B,78.13%,$0.06B,$-0.00B,-1.56%,$-0.00B,$0.04B,-2.26%,$-0.00B,$-0.00B,-4.26%,$-0.00B,$0.11B,-1.35%,$0.05B,$0.05B,101.52%,$26,$0,$26,$0,$0,$0,$26,$0,$26,$0,$26,$-0,$-0,$22,$26,$15,15,$-0.02,$-0.02,$19,$0,$6,$48,$0,$5,$43,$1,$49,$105,$51,$4,$1,$13,$64,$14,$10,$0,$41,$105,$0,$3,$0,$3,$0,$0,$0,$0,$3,$1,$-2,$0,$-27,$0,$0,$0,$-1,$-31,$0,$30,$-2,$0,$0,$-1,$0,$27,$-3,$0,$0
9,2015-06-30,15.21,$0.00,0.0,$3.20,4.75,$0.43,35.72,$0.07,217.29,$0.04B,$0.01B,2.95,$0.01B,$0.04B,0.13,$0.06B,$0.05B,85.71%,$0.06B,$0.04B,75.00%,$0.06B,$0.04B,75.00%,$0.06B,$0.04B,75.00%,$0.06B,$0.04B,75.00%,$0.06B,$0.00B,1.79%,$0.00B,$0.04B,2.16%,$0.00B,$0.03B,3.10%,$0.00B,$0.06B,1.56%,$0.04B,$0.05B,82.76%,$22,$0,$22,$0,$0,$0,$22,$0,$22,$0,$22,$-1,$-1,$-0,$22,$15,15,$-0.07,$-0.07,$21,$0,$4,$36,$0,$6,$13,$1,$20,$63,$12,$5,$1,$8,$20,$14,$11,$0,$43,$63,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
10,2015-03-31,15.09,$0.00,0.0,$3.14,4.8,$0.43,35.44,$0.13,116.08,$0.04B,$0.01B,3.19,$0.01B,$0.05B,0.15,$0.06B,$0.05B,89.09%,$0.06B,$0.04B,78.18%,$0.06B,$0.04B,78.18%,$0.06B,$0.04B,78.18%,$0.06B,$0.04B,78.18%,$0.06B,$0.00B,3.64%,$0.00B,$0.05B,4.49%,$0.00B,$0.03B,6.35%,$0.00B,$0.07B,3.31%,$0.04B,$0.06B,89.12%,$14,$8,$6,$0,$6,$14,$-0,$0,$0,$0,$-0,$-0,$-0,$15,$-0,$17,17,$-0.01,$-0.01,$25,$0,$3,$42,$0,$5,$14,$1,$20,$69,$13,$7,$1,$9,$22,$15,$13,$0,$48,$69,$4,$5,$0,$5,$0,$0,$0,$0,$-2,$9,$-2,$0,$-8,$0,$0,$0,$-3,$-13,$0,$0,$5,$0,$11,$0,$-0,$15,$12,$0,$0
11,2014-12-31,13.44,$0.00,0.0,$2.81,4.78,$-0.12,0.0,$-0.05,0.0,$0.03B,$0.01B,3.06,$0.00B,$0.05B,0.05,$0.05B,$0.04B,87.76%,$0.05B,$0.04B,75.51%,$0.05B,$0.04B,75.51%,$0.05B,$0.04B,75.51%,$0.05B,$0.04B,75.51%,$0.05B,0,0.00%,$0.00B,$0.05B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.06B,0.00%,$0.04B,$0.05B,83.15%,$15,$0,$15,$0,$0,$0,$15,$0,$15,$0,$15,$0,$0,$13,$15,$17,17,$0.01,$0.01,$18,$0,$4,$34,$0,$5,$14,$0,$19,$60,$11,$2,$1,$4,$15,$15,$12,$0,$45,$60,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
