,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,20.35,$15.95,1.28,$9.09,2.24,$1.23,16.61,$0.84,24.23,$0.98B,$1.11B,0.88,$0.10B,$0.11B,0.89,$0.07B,$0.06B,87.69%,$0.07B,$0.01B,20.00%,$0.07B,0,0.00%,$0.07B,0,0.00%,$0.07B,$0.01B,20.00%,$0.07B,$0.01B,10.77%,$0.01B,$0.11B,6.18%,$0.01B,$0.10B,6.85%,$0.01B,$1.32B,0.53%,$0.01B,$0.21B,5.70%,$17,$2,$15,$0,$11,$13,$4,$0,$4,$1,$3,$3,$3,$0,$0,$7,7,$0.43,$0.43,$25,$0,$0,$980,$35,$237,$11,$51,$344,$1323,$1109,$101,$0,$101,$1210,$0,$106,$-24,$113,$1323,$6,$1,$-0,$0,$-2,$0,$2,$0,$0,$6,$-5,$0,$0,$0,$9,$9,$-48,$-44,$-20,$-1,$-21,$0,$0,$-1,$2,$-20,$-58,$0,$-1
1,2018-03-31,19.02,$15.73,1.21,$8.89,2.14,$1.29,14.72,$0.71,26.79,$0.97B,$1.09B,0.89,$0.12B,$0.11B,1.04,$0.06B,$0.06B,87.30%,$0.06B,$0.01B,19.05%,$0.06B,0,0.00%,$0.06B,0,0.00%,$0.06B,$0.01B,19.05%,$0.06B,$0.01B,9.52%,$0.01B,$0.11B,5.23%,$0.01B,$0.10B,5.78%,$0.01B,$1.32B,0.45%,$0.01B,$0.23B,5.12%,$16,$2,$14,$0,$11,$13,$3,$0,$3,$1,$3,$3,$3,$0,$0,$7,7,$0.35,$0.35,$21,$0,$0,$972,$33,$243,$11,$52,$347,$1319,$1092,$116,$0,$116,$1208,$0,$103,$-24,$111,$1319,$3,$0,$-0,$0,$-1,$0,$1,$0,$0,$3,$-2,$0,$0,$0,$2,$2,$-45,$-45,$-5,$6,$1,$0,$0,$-1,$-22,$-21,$-63,$0,$-1
2,2017-12-31,17.24,$15.31,1.13,$8.88,1.94,$0.98,17.55,$0.58,29.72,$0.99B,$1.11B,0.89,$0.12B,$0.11B,1.12,$0.06B,$0.05B,87.10%,$0.06B,$0.01B,19.35%,$0.06B,0,0.00%,$0.06B,0,0.00%,$0.06B,$0.01B,19.35%,$0.06B,$0.00B,6.45%,$0.00B,$0.11B,3.46%,$0.00B,$0.10B,3.82%,$0.00B,$1.34B,0.30%,$0.01B,$0.23B,5.07%,$16,$2,$14,$0,$11,$12,$3,$0,$3,$4,$-1,$-1,$-1,$0,$0,$7,7,$-0.19,$-0.19,$84,$0,$0,$988,$31,$245,$11,$52,$349,$1336,$1107,$121,$0,$121,$1228,$0,$101,$-25,$108,$1336,$5,$2,$11,$12,$-8,$0,$4,$0,$-4,$13,$-6,$0,$0,$0,$-1,$-1,$-1,$-8,$-11,$13,$2,$9,$-11,$-1,$25,$15,$20,$0,$0
3,2017-09-30,16.5,$17.10,0.96,$8.99,1.84,$1.18,14.0,$0.93,17.74,$0.99B,$1.11B,0.89,$0.12B,$0.11B,1.09,$0.06B,$0.05B,86.89%,$0.06B,$0.01B,18.03%,$0.06B,0,0.00%,$0.06B,0,0.00%,$0.06B,$0.01B,18.03%,$0.06B,$0.01B,9.84%,$0.01B,$0.12B,5.12%,$0.01B,$0.11B,5.65%,$0.01B,$1.35B,0.45%,$0.01B,$0.24B,4.57%,$16,$2,$14,$0,$11,$13,$3,$0,$3,$1,$2,$2,$2,$0,$0,$7,7,$0.25,$0.25,$85,$0,$0,$991,$30,$250,$11,$52,$361,$1352,$1111,$121,$0,$121,$1231,$0,$98,$-19,$121,$1352,$6,$1,$3,$4,$-7,$0,$1,$0,$-6,$4,$-5,$0,$0,$0,$-5,$-5,$3,$-7,$-11,$10,$-1,$9,$-1,$-1,$27,$24,$22,$0,$0
4,2017-06-30,14.76,$16.78,0.88,$9.23,1.6,$1.98,7.47,$0.97,15.22,$0.98B,$1.09B,0.9,$0.12B,$0.11B,1.11,$0.06B,$0.05B,86.67%,$0.06B,$0.01B,18.33%,$0.06B,0,0.00%,$0.06B,0,0.00%,$0.06B,$0.01B,18.33%,$0.06B,$0.01B,10.00%,$0.01B,$0.12B,5.18%,$0.01B,$0.11B,5.73%,$0.01B,$1.33B,0.45%,$0.01B,$0.24B,4.48%,$15,$2,$13,$0,$10,$12,$3,$0,$3,$1,$2,$2,$2,$0,$0,$7,7,$0.30,$0.30,$73,$0,$0,$982,$29,$233,$11,$53,$344,$1326,$1086,$121,$0,$121,$1207,$0,$96,$-19,$119,$1326,$4,$1,$2,$3,$-4,$0,$1,$0,$-3,$4,$-3,$0,$0,$0,$12,$12,$-4,$5,$-11,$-11,$-22,$9,$-1,$-1,$23,$0,$10,$0,$0
5,2017-03-31,14.37,$16.29,0.88,$9.52,1.51,$2.25,6.4,$0.87,16.51,$0.97B,$1.08B,0.89,$0.12B,$0.11B,1.15,$0.06B,$0.05B,86.67%,$0.06B,$0.01B,16.67%,$0.06B,0,0.00%,$0.06B,0,0.00%,$0.06B,$0.01B,16.67%,$0.06B,$0.01B,8.33%,$0.01B,$0.12B,4.38%,$0.01B,$0.10B,4.84%,$0.01B,$1.32B,0.38%,$0.01B,$0.24B,3.99%,$15,$2,$13,$0,$10,$12,$3,$0,$3,$1,$2,$2,$1,$0,$0,$7,7,$0.22,$0.22,$63,$0,$0,$969,$28,$240,$11,$52,$351,$1319,$1084,$121,$0,$121,$1205,$0,$94,$-21,$115,$1319,$2,$0,$1,$1,$-2,$0,$-1,$0,$-3,$0,$-1,$0,$0,$0,$2,$2,$-2,$-1,$-11,$-1,$-12,$9,$-1,$-1,$12,$-0,$-0,$0,$0
6,2016-12-31,15.8,$18.14,0.87,$9.66,1.64,$2.97,5.32,$0.84,18.81,$0.97B,$1.07B,0.9,$0.13B,$0.09B,1.41,$0.06B,$0.05B,86.67%,$0.06B,$0.01B,16.67%,$0.06B,0,0.00%,$0.06B,0,0.00%,$0.06B,$0.01B,16.67%,$0.06B,$0.01B,8.33%,$0.01B,$0.11B,4.42%,$0.01B,$0.10B,4.89%,$0.01B,$1.32B,0.38%,$0.01B,$0.25B,3.90%,$15,$2,$13,$0,$11,$13,$2,$0,$2,$1,$1,$1,$1,$0,$0,$6,6,$0.16,$0.16,$63,$0,$0,$966,$27,$242,$11,$52,$352,$1318,$1073,$132,$0,$132,$1204,$0,$93,$-21,$114,$1318,$7,$2,$4,$6,$-6,$0,$4,$0,$-1,$11,$-4,$0,$0,$0,$37,$37,$-21,$12,$-16,$0,$-16,$0,$-10,$-2,$15,$-12,$11,$0,$0
7,2016-09-30,12.27,$18.31,0.67,$11.63,1.05,$5.06,2.42,$1.60,7.67,$0.98B,$1.08B,0.91,$0.15B,$0.10B,1.55,$0.07B,$0.06B,88.89%,$0.07B,$0.02B,30.56%,$0.07B,0,0.00%,$0.07B,0,0.00%,$0.07B,$0.02B,30.56%,$0.07B,$0.01B,16.67%,$0.01B,$0.12B,10.43%,$0.01B,$0.10B,11.54%,$0.01B,$1.34B,0.91%,$0.02B,$0.26B,8.39%,$15,$2,$13,$0,$10,$12,$3,$0,$3,$1,$2,$2,$2,$0,$0,$6,6,$0.29,$0.29,$66,$0,$0,$977,$27,$252,$11,$51,$361,$1338,$1077,$147,$0,$147,$1223,$0,$90,$-17,$115,$1338,$6,$1,$1,$3,$-0,$0,$-0,$0,$-0,$8,$-3,$0,$0,$0,$30,$30,$-28,$-2,$-1,$-0,$-1,$0,$-10,$-2,$20,$8,$14,$0,$0
8,2016-06-30,9.75,$18.06,0.54,$11.57,0.84,$5.68,1.72,$1.51,6.46,$0.95B,$1.05B,0.91,$0.15B,$0.09B,1.57,$0.07B,$0.06B,88.89%,$0.07B,$0.02B,30.56%,$0.07B,0,0.00%,$0.07B,0,0.00%,$0.07B,$0.02B,30.56%,$0.07B,$0.01B,15.28%,$0.01B,$0.11B,9.57%,$0.01B,$0.10B,10.58%,$0.01B,$1.31B,0.83%,$0.02B,$0.26B,8.39%,$15,$2,$13,$0,$11,$13,$2,$0,$2,$1,$2,$2,$1,$0,$0,$6,6,$0.20,$0.20,$23,$0,$0,$950,$26,$251,$11,$50,$358,$1307,$1047,$147,$0,$147,$1194,$0,$88,$-17,$113,$1307,$4,$1,$1,$2,$-1,$0,$-0,$0,$-1,$4,$-2,$0,$0,$0,$32,$32,$-43,$-13,$-1,$-15,$-16,$0,$-10,$-1,$6,$-21,$-29,$0,$0
9,2016-03-31,10.85,$17.77,0.61,$11.45,0.95,$6.11,1.78,$1.39,7.8,$0.96B,$1.07B,0.9,$0.15B,$0.09B,1.62,$0.07B,$0.06B,87.50%,$0.07B,$0.02B,29.17%,$0.07B,0,0.00%,$0.07B,0,0.00%,$0.07B,$0.02B,29.17%,$0.07B,$0.01B,15.28%,$0.01B,$0.11B,9.57%,$0.01B,$0.10B,10.58%,$0.01B,$1.33B,0.83%,$0.02B,$0.26B,7.78%,$15,$2,$13,$0,$10,$12,$3,$0,$3,$1,$2,$2,$1,$0,$0,$6,6,$0.19,$0.19,$53,$0,$0,$960,$25,$263,$11,$47,$365,$1325,$1067,$148,$0,$148,$1214,$0,$87,$-18,$111,$1325,$2,$0,$1,$1,$1,$0,$-0,$0,$1,$4,$-1,$0,$0,$0,$18,$18,$-21,$-3,$-0,$-6,$-6,$0,$-10,$-1,$17,$0,$1,$0,$0
