,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,71.7,$19.00,3.77,$41.50,1.73,$8.24,8.7,$3.36,21.34,$0.20B,$0.08B,2.66,$0.04B,$0.55B,0.07,$1.22B,$0.66B,53.89%,$1.22B,$0.12B,9.42%,$1.22B,$0.12B,9.42%,$1.22B,$0.16B,12.78%,$1.22B,$0.11B,9.17%,$1.22B,$0.10B,8.03%,$0.10B,$0.55B,18.24%,$0.10B,$0.25B,41.35%,$0.10B,$0.74B,13.82%,$0.12B,$0.59B,19.90%,$331,$161,$170,$0,$85,$301,$30,$-0,$29,$7,$22,$22,$22,$40,$30,$29,29,$0.76,$0.76,$29,$0,$24,$201,$210,$0,$300,$32,$542,$743,$76,$40,$43,$119,$195,$0,$341,$0,$548,$743,$64,$31,$17,$48,$-3,$0,$0,$-5,$2,$114,$-28,$0,$-4,$0,$0,$0,$-0,$-32,$-0,$0,$-0,$-41,$-41,$-13,$-2,$-56,$25,$8,$-13
1,2018-06-30,58.94,$18.64,3.16,$40.08,1.47,$7.49,7.87,$3.20,18.42,$0.19B,$0.07B,2.78,$0.04B,$0.54B,0.08,$1.19B,$0.64B,54.04%,$1.19B,$0.11B,9.43%,$1.19B,$0.11B,9.43%,$1.19B,$0.15B,12.96%,$1.19B,$0.11B,9.26%,$1.19B,$0.09B,7.91%,$0.09B,$0.54B,17.85%,$0.09B,$0.24B,41.82%,$0.09B,$0.71B,13.61%,$0.11B,$0.58B,19.75%,$330,$161,$169,$0,$82,$297,$33,$-0,$32,$8,$24,$24,$24,$43,$33,$29,29,$0.83,$0.82,$20,$0,$21,$194,$204,$0,$298,$15,$518,$711,$70,$40,$26,$100,$169,$0,$340,$0,$542,$711,$42,$21,$11,$32,$-7,$0,$0,$-4,$-7,$67,$-13,$0,$0,$0,$0,$0,$-0,$-13,$-0,$0,$-0,$-27,$-27,$-9,$-2,$-38,$16,$5,$-9
2,2018-03-31,52.6,$18.05,2.91,$38.22,1.38,$7.26,7.25,$3.02,17.42,$0.17B,$0.07B,2.56,$0.04B,$0.53B,0.08,$1.14B,$0.62B,54.47%,$1.14B,$0.11B,9.54%,$1.14B,$0.11B,9.54%,$1.14B,$0.15B,13.22%,$1.14B,$0.11B,9.46%,$1.14B,$0.09B,7.88%,$0.09B,$0.53B,17.27%,$0.09B,$0.23B,41.52%,$0.09B,$0.69B,13.27%,$0.11B,$0.57B,19.59%,$303,$145,$157,$0,$77,$278,$24,$-0,$24,$6,$18,$18,$18,$35,$24,$29,29,$0.60,$0.60,$13,$0,$11,$170,$204,$0,$301,$16,$520,$690,$66,$41,$24,$97,$164,$0,$329,$0,$526,$690,$18,$11,$7,$18,$1,$0,$0,$3,$5,$41,$-6,$0,$0,$0,$0,$0,$-0,$-6,$-0,$0,$-0,$-20,$-20,$-4,$-2,$-26,$9,$2,$-4
3,2017-12-31,57.0,$18.09,3.15,$36.66,1.56,$7.23,7.88,$2.89,19.72,$0.17B,$0.07B,2.53,$0.04B,$0.53B,0.08,$1.10B,$0.61B,55.04%,$1.10B,$0.11B,9.90%,$1.10B,$0.11B,9.90%,$1.10B,$0.15B,13.62%,$1.10B,$0.11B,9.72%,$1.10B,$0.09B,7.90%,$0.09B,$0.53B,16.90%,$0.09B,$0.23B,40.80%,$0.09B,$0.69B,13.09%,$0.11B,$0.57B,20.06%,$257,$94,$162,$0,$81,$229,$28,$-0,$27,$-7,$35,$35,$34,$38,$28,$30,30,$1.16,$1.15,$4,$0,$16,$168,$206,$0,$303,$16,$525,$693,$66,$41,$24,$94,$160,$0,$337,$0,$533,$693,$87,$41,$2,$43,$-31,$0,$0,$-1,$-27,$103,$-36,$0,$-23,$0,$0,$0,$-0,$-59,$12,$0,$12,$-41,$-41,$-18,$-2,$-49,$-5,$8,$-18
4,2017-09-30,56.64,$17.12,3.31,$36.79,1.54,$7.94,7.14,$2.13,26.59,$0.16B,$0.06B,2.71,$0.04B,$0.51B,0.08,$1.11B,$0.59B,53.38%,$1.11B,$0.11B,9.83%,$1.11B,$0.11B,9.83%,$1.11B,$0.15B,13.53%,$1.11B,$0.11B,9.74%,$1.11B,$0.07B,5.95%,$0.07B,$0.51B,13.04%,$0.07B,$0.20B,31.77%,$0.07B,$0.67B,10.13%,$0.11B,$0.55B,20.76%,$298,$144,$154,$0,$73,$271,$27,$-0,$27,$9,$18,$18,$18,$38,$27,$30,30,$0.61,$0.61,$12,$0,$13,$158,$192,$0,$305,$14,$511,$669,$58,$41,$23,$105,$164,$0,$314,$0,$506,$669,$53,$31,$11,$42,$-23,$0,$0,$-1,$-17,$78,$-12,$0,$-23,$0,$0,$0,$-0,$-35,$27,$-15,$12,$-36,$-36,$-14,$-2,$-39,$4,$6,$-14
5,2017-06-30,52.58,$17.25,3.05,$35.05,1.5,$7.98,6.59,$1.92,27.38,$0.15B,$0.06B,2.71,$0.02B,$0.52B,0.04,$1.06B,$0.58B,54.57%,$1.06B,$0.11B,10.08%,$1.06B,$0.11B,10.08%,$1.06B,$0.15B,13.76%,$1.06B,$0.11B,9.90%,$1.06B,$0.06B,5.66%,$0.06B,$0.52B,11.91%,$0.06B,$0.21B,28.81%,$0.06B,$0.66B,9.31%,$0.11B,$0.54B,20.87%,$284,$135,$149,$0,$73,$254,$30,$-0,$30,$10,$20,$20,$20,$40,$30,$30,30,$0.65,$0.65,$10,$0,$15,$148,$190,$0,$308,$14,$512,$660,$55,$21,$22,$86,$140,$0,$330,$0,$519,$660,$34,$20,$7,$28,$-10,$0,$0,$-4,$-10,$52,$-3,$0,$-23,$0,$0,$0,$1,$-25,$7,$-15,$-7,$-7,$-7,$-9,$-2,$-25,$2,$4,$-9
6,2017-03-31,46.8,$16.69,2.8,$33.52,1.4,$7.89,5.93,$0.95,49.26,$0.14B,$0.06B,2.38,$0.01B,$0.50B,0.03,$1.02B,$0.57B,55.71%,$1.02B,$0.06B,6.20%,$1.02B,$0.06B,6.20%,$1.02B,$0.14B,14.07%,$1.02B,$0.06B,5.91%,$1.02B,$0.03B,2.95%,$0.03B,$0.50B,6.05%,$0.03B,$0.21B,14.55%,$0.03B,$0.64B,4.68%,$0.06B,$0.51B,12.59%,$262,$121,$141,$0,$68,$238,$24,$-0,$23,$9,$15,$15,$15,$34,$24,$30,30,$0.48,$0.48,$14,$0,$8,$139,$194,$0,$289,$14,$497,$636,$58,$14,$21,$77,$135,$0,$317,$0,$501,$636,$15,$10,$3,$13,$-1,$0,$0,$2,$9,$37,$-2,$0,$0,$0,$0,$0,$0,$-2,$-15,$0,$-15,$-8,$-8,$-5,$-2,$-30,$6,$2,$-5
7,2016-12-31,46.47,$16.59,2.8,$32.31,1.44,$7.86,5.91,$0.91,51.06,$0.14B,$0.08B,1.75,$0.00B,$0.50B,0.0,$0.98B,$0.56B,56.40%,$0.98B,$0.06B,6.10%,$0.98B,$0.06B,6.10%,$0.98B,$0.14B,14.23%,$0.98B,$0.06B,5.89%,$0.98B,$0.03B,2.85%,$0.03B,$0.50B,5.61%,$0.03B,$0.21B,14.16%,$0.03B,$0.64B,4.28%,$0.06B,$0.50B,12.01%,$265,$116,$148,$0,$72,$237,$28,$-0,$28,$15,$13,$13,$13,$38,$28,$30,30,$0.42,$0.41,$9,$1,$0,$136,$200,$0,$291,$13,$505,$641,$78,$1,$22,$64,$142,$0,$319,$0,$499,$641,$28,$81,$13,$93,$-10,$0,$0,$0,$9,$130,$-40,$0,$-12,$0,$0,$0,$-0,$-52,$-56,$0,$-56,$-31,$-31,$-16,$-0,$-103,$-25,$8,$-16
8,2016-09-30,42.3,$16.37,2.58,$31.87,1.33,$6.41,6.6,$1.24,34.11,$0.14B,$0.09B,1.58,$0.00B,$0.50B,0.0,$0.98B,$0.55B,56.62%,$0.98B,$0.06B,6.26%,$0.98B,$0.06B,6.26%,$0.98B,$0.14B,14.46%,$0.98B,$0.06B,6.05%,$0.98B,$0.04B,3.90%,$0.04B,$0.50B,7.58%,$0.04B,$0.20B,20.00%,$0.04B,$0.64B,5.68%,$0.06B,$0.50B,11.98%,$250,$108,$141,$0,$67,$225,$25,$-0,$24,$13,$12,$12,$12,$34,$25,$30,30,$0.39,$0.39,$11,$0,$17,$144,$197,$0,$294,$7,$498,$642,$91,$1,$15,$55,$146,$0,$321,$0,$496,$642,$15,$71,$9,$80,$-8,$0,$0,$-1,$0,$95,$-27,$0,$-12,$0,$0,$0,$-1,$-39,$-42,$0,$-42,$-23,$-23,$-11,$-2,$-77,$-22,$6,$-11
9,2016-06-30,43.42,$16.19,2.68,$31.62,1.37,$5.47,7.94,$1.35,32.17,$0.16B,$0.10B,1.62,$0.00B,$0.49B,0.0,$0.97B,$0.55B,56.58%,$0.97B,$0.06B,6.28%,$0.97B,$0.06B,6.28%,$0.97B,$0.14B,14.51%,$0.97B,$0.06B,6.07%,$0.97B,$0.04B,4.32%,$0.04B,$0.49B,8.39%,$0.04B,$0.20B,23.56%,$0.04B,$0.64B,6.15%,$0.06B,$0.49B,11.76%,$239,$102,$136,$0,$64,$253,$-14,$-1,$-15,$-5,$-10,$-10,$-10,$37,$-14,$30,30,$-0.33,$-0.33,$22,$0,$33,$164,$188,$0,$286,$7,$481,$644,$101,$1,$14,$54,$155,$0,$323,$0,$489,$644,$3,$61,$6,$68,$-1,$0,$0,$-4,$-9,$61,$-15,$0,$-2,$0,$0,$0,$-1,$-17,$-28,$0,$-28,$-19,$-19,$-7,$-2,$-56,$-12,$4,$-7
