,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,38.0,$9.06,4.19,0.0,0.0,$-6.54,0.0,$-2.59,0.0,$0.39B,$0.03B,14.57,$0.00B,$0.47B,0.0,$0.00B,0,nan%,$0.00B,$-0.17B,inf%,$0.00B,$-0.17B,inf%,$0.00B,$-0.17B,inf%,$0.00B,$-0.17B,inf%,$0.00B,$-0.17B,inf%,$-0.17B,$0.47B,-36.17%,$-0.17B,$0.47B,-36.17%,$-0.17B,$0.51B,-33.55%,$-0.17B,$0.47B,-37.47%,$0,$0,$0,$33,$12,$45,$-45,$2,$-43,$0,$-43,$-43,$-43,$-45,$-45,$52,52,$-0.83,$-0.83,$383,$0,$0,$392,$17,$99,$0,$3,$118,$510,$27,$0,$11,$11,$38,$0,$-423,$-0,$472,$510,$-125,$2,$23,$25,$0,$0,$-2,$-4,$-2,$-102,$-5,$0,$0,$0,$-151,$-151,$0,$-156,$0,$0,$0,$262,$262,$0,$-6,$256,$-2,$23,$0
1,2018-06-30,45.2,$9.77,4.63,0.0,0.0,$-6.09,0.0,$-3.25,0.0,$0.47B,$0.02B,22.06,$0.00B,$0.51B,0.0,$0.00B,0,nan%,$0.00B,$-0.16B,inf%,$0.00B,$-0.16B,inf%,$0.00B,$-0.15B,inf%,$0.00B,$-0.15B,inf%,$0.00B,$-0.15B,inf%,$-0.15B,$0.51B,-37.48%,$-0.15B,$0.51B,-37.48%,$-0.15B,$0.54B,-34.68%,$-0.16B,$0.51B,-38.47%,$0,$0,$0,$32,$11,$42,$-42,$2,$-40,$0,$-40,$-40,$-40,$-42,$-42,$52,52,$-0.78,$-0.78,$462,$0,$0,$470,$17,$51,$0,$1,$70,$539,$21,$0,$11,$11,$33,$0,$-380,$-0,$507,$539,$-82,$1,$16,$17,$0,$0,$-4,$-2,$-6,$-71,$-3,$0,$0,$0,$-36,$-36,$0,$-39,$0,$0,$0,$259,$259,$0,$-5,$254,$144,$16,$0
2,2018-03-31,48.3,$10.41,4.64,0.0,0.0,$-5.65,0.0,$-3.02,0.0,$0.55B,$0.02B,23.12,$0.00B,$0.54B,0.0,$0.00B,0,nan%,$0.00B,$-0.14B,inf%,$0.00B,$-0.14B,inf%,$0.00B,$-0.14B,inf%,$0.00B,$-0.14B,inf%,$0.00B,$-0.14B,inf%,$-0.14B,$0.54B,-38.94%,$-0.14B,$0.54B,-38.94%,$-0.14B,$0.57B,-35.88%,$-0.14B,$0.54B,-39.51%,$0,$0,$0,$30,$13,$43,$-43,$1,$-42,$0,$-42,$-42,$-42,$-42,$-43,$48,48,$-0.87,$-0.87,$544,$0,$0,$554,$17,$1,$0,$1,$20,$573,$24,$0,$12,$12,$36,$0,$-340,$-0,$538,$573,$-42,$1,$8,$9,$0,$0,$0,$-0,$-4,$-37,$-1,$0,$0,$0,$42,$42,$0,$42,$0,$0,$0,$258,$258,$0,$-5,$252,$257,$8,$0
3,2017-12-31,39.35,$6.91,5.69,0.0,0.0,$-5.45,0.0,$-2.75,0.0,$0.32B,$0.03B,12.35,$0.00B,$0.32B,0.0,$0.00B,0,nan%,$0.00B,$-0.12B,inf%,$0.00B,$-0.12B,inf%,$0.00B,$-0.12B,inf%,$0.00B,$-0.12B,inf%,$0.00B,$-0.12B,inf%,$-0.12B,$0.32B,-40.31%,$-0.12B,$0.32B,-40.31%,$-0.12B,$0.36B,-37.11%,$-0.12B,$0.32B,-41.00%,$0,$0,$0,$31,$11,$42,$-42,$1,$-41,$0,$-41,$-41,$-41,$-41,$-42,$42,42,$-0.95,$-0.95,$315,$0,$0,$324,$17,$15,$0,$1,$32,$357,$26,$0,$12,$12,$38,$0,$-298,$-0,$319,$357,$-117,$2,$14,$16,$0,$0,$3,$-2,$8,$-93,$-3,$0,$0,$0,$-32,$-32,$-1,$-36,$0,$0,$0,$235,$235,$0,$-0,$235,$106,$14,$0
4,2017-09-30,31.05,$5.95,5.21,0.0,0.0,$-5.26,0.0,$-2.55,0.0,$0.23B,$0.02B,14.05,$0.00B,$0.26B,0.0,$0.00B,0,nan%,$0.00B,$-0.10B,inf%,$0.00B,$-0.10B,inf%,$0.00B,$-0.10B,inf%,$0.00B,$-0.10B,inf%,$0.00B,$-0.10B,inf%,$-0.10B,$0.26B,-40.08%,$-0.10B,$0.26B,-40.08%,$-0.10B,$0.28B,-37.25%,$-0.10B,$0.26B,-40.47%,$0,$0,$0,$21,$8,$29,$-29,$1,$-29,$0,$-29,$-29,$-29,$-29,$-29,$43,43,$-0.66,$-0.66,$219,$0,$0,$230,$13,$40,$0,$1,$54,$284,$16,$0,$9,$9,$26,$0,$-257,$-0,$258,$284,$-76,$2,$9,$11,$0,$0,$-1,$-3,$-2,$-68,$-2,$0,$0,$0,$-76,$-76,$0,$-77,$0,$0,$0,$138,$138,$0,$-0,$138,$-7,$9,$0
5,2017-06-30,27.35,$6.53,4.19,0.0,0.0,$-4.99,0.0,$-2.47,0.0,$0.24B,$0.02B,13.7,$0.00B,$0.28B,0.0,$0.00B,0,nan%,$0.00B,$-0.10B,inf%,$0.00B,$-0.10B,inf%,$0.00B,$-0.10B,inf%,$0.00B,$-0.10B,inf%,$0.00B,$-0.10B,inf%,$-0.10B,$0.28B,-38.78%,$-0.10B,$0.28B,-38.78%,$-0.10B,$0.30B,-36.33%,$-0.10B,$0.28B,-39.18%,$0,$0,$0,$18,$6,$24,$-24,$1,$-24,$0,$-24,$-24,$-24,$-24,$-24,$43,43,$-0.55,$-0.55,$230,$0,$0,$235,$5,$61,$0,$1,$67,$302,$17,$0,$3,$3,$20,$0,$-228,$-0,$282,$302,$-47,$1,$5,$6,$0,$0,$1,$-3,$-1,$-42,$-1,$0,$0,$0,$-92,$-92,$0,$-93,$0,$0,$0,$137,$137,$0,$0,$137,$3,$5,$0
6,2017-03-31,36.85,$7.03,5.24,0.0,0.0,$-4.98,0.0,$-2.50,0.0,$0.25B,$0.02B,16.84,$0.00B,$0.30B,0.0,$0.00B,0,nan%,$0.00B,$-0.09B,inf%,$0.00B,$-0.09B,inf%,$0.00B,$-0.09B,inf%,$0.00B,$-0.09B,inf%,$0.00B,$-0.09B,inf%,$-0.09B,$0.30B,-38.70%,$-0.09B,$0.30B,-38.70%,$-0.09B,$0.32B,-36.29%,$-0.09B,$0.30B,-39.13%,$0,$0,$0,$17,$6,$24,$-24,$0,$-23,$0,$-23,$-23,$-23,$-23,$-24,$39,39,$-0.60,$-0.60,$244,$0,$0,$248,$2,$66,$0,$1,$69,$318,$15,$0,$0,$0,$15,$0,$-204,$-0,$302,$318,$-23,$1,$3,$3,$0,$0,$-1,$-1,$-2,$-23,$-0,$0,$0,$0,$-69,$-69,$0,$-70,$0,$0,$0,$137,$137,$0,$0,$137,$45,$3,$0
7,2016-12-31,14.45,$5.09,2.84,0.0,0.0,$-4.91,0.0,$-2.46,0.0,$0.15B,$0.02B,9.65,$0.00B,$0.19B,0.0,$0.00B,0,nan%,$0.00B,$-0.08B,inf%,$0.00B,$-0.08B,inf%,$0.00B,$-0.08B,inf%,$0.00B,$-0.08B,inf%,$0.00B,$-0.08B,inf%,$-0.08B,$0.19B,-44.62%,$-0.08B,$0.19B,-44.62%,$-0.08B,$0.20B,-41.40%,$-0.08B,$0.19B,-44.62%,$0,$0,$0,$21,$7,$27,$-27,$0,$-27,$0,$-27,$-27,$-27,$-27,$-27,$33,33,$-0.76,$-0.76,$147,$0,$1,$150,$2,$50,$0,$0,$53,$202,$16,$0,$1,$1,$16,$0,$-181,$-0,$186,$202,$-82,$1,$9,$10,$0,$0,$1,$-1,$4,$-68,$-1,$0,$0,$0,$-106,$-106,$0,$-107,$0,$0,$0,$118,$118,$0,$0,$118,$-56,$9,$0
8,2016-09-30,23.05,$5.75,4.01,0.0,0.0,$-5.32,0.0,$-2.25,0.0,$0.22B,$0.01B,16.82,$0.00B,$0.21B,0.0,$0.00B,0,nan%,$0.00B,$-0.07B,inf%,$0.00B,$-0.07B,inf%,$0.00B,$-0.07B,inf%,$0.00B,$-0.07B,inf%,$0.00B,$-0.07B,inf%,$-0.07B,$0.21B,-38.34%,$-0.07B,$0.21B,-38.34%,$-0.07B,$0.22B,-35.64%,$-0.07B,$0.21B,-41.20%,$0,$0,$0,$15,$6,$21,$-21,$0,$-21,$0,$-21,$-21,$-21,$-21,$-21,$36,36,$-0.58,$-0.58,$218,$0,$2,$221,$3,$0,$0,$0,$3,$224,$13,$0,$1,$1,$14,$0,$-154,$0,$210,$224,$-55,$1,$6,$7,$0,$0,$-1,$-1,$1,$-48,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$118,$118,$0,$0,$118,$69,$6,$0
9,2016-06-30,16.59,$6.17,2.69,0.0,0.0,$-5.25,0.0,$-2.57,0.0,$0.23B,$0.01B,17.79,$0.00B,$0.22B,0.0,$0.00B,0,nan%,$0.00B,$-0.07B,inf%,$0.00B,$-0.07B,inf%,$0.00B,$-0.06B,inf%,$0.00B,$-0.07B,inf%,$0.00B,$-0.06B,inf%,$-0.06B,$0.22B,-38.51%,$-0.06B,$0.22B,-38.51%,$-0.06B,$0.24B,-35.89%,$-0.07B,$0.22B,-40.99%,$0,$0,$0,$13,$4,$18,$-18,$0,$-18,$0,$-18,$-18,$-18,$-18,$-18,$30,30,$-0.58,$-0.58,$232,$0,$1,$234,$3,$0,$0,$0,$3,$237,$13,$0,$1,$1,$14,$0,$-133,$0,$222,$237,$-34,$1,$3,$3,$0,$0,$1,$-0,$2,$-29,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$113,$113,$0,$0,$113,$83,$3,$0
