,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,23.78,$20.69,1.15,$24.06,0.99,$3.49,6.8,$-0.28,0.0,$0.76B,$0.43B,1.77,$3.68B,$1.79B,2.06,$2.94B,$0.61B,20.76%,$2.94B,$0.23B,7.78%,$2.94B,$0.23B,7.78%,$2.94B,$0.55B,18.72%,$2.94B,$0.03B,0.99%,$2.94B,$-0.03B,-1.16%,$-0.03B,$2.54B,-1.29%,$-0.03B,$2.04B,-1.60%,$-0.03B,$6.94B,-0.48%,$0.23B,$6.22B,3.61%,$745,$586,$159,$0,$24,$699,$46,$-47,$-1,$0,$-2,$-2,$-18,$137,$46,$123,123,$-0.15,$-0.15,$12,$86,$298,$761,$4523,$476,$493,$120,$6174,$6935,$430,$3681,$276,$3969,$4399,$1799,$0,$-1,$2536,$6935,$17,$244,$18,$262,$87,$9,$-69,$-7,$27,$308,$-116,$0,$0,$23,$0,$23,$0,$-93,$-24,$0,$-24,$0,$0,$-191,$3,$-212,$3,$3,$-191
1,2018-06-30,21.41,$21.23,1.01,$21.95,0.98,$2.45,8.76,$-0.12,0.0,$0.58B,$0.38B,1.5,$3.77B,$1.87B,2.01,$2.68B,$0.58B,21.54%,$2.68B,$0.23B,8.42%,$2.68B,$0.23B,8.42%,$2.68B,$0.52B,19.37%,$2.68B,$0.04B,1.34%,$2.68B,$-0.02B,-0.56%,$-0.02B,$2.60B,-0.56%,$-0.02B,$2.10B,-0.69%,$-0.02B,$7.06B,-0.21%,$0.23B,$6.37B,3.52%,$752,$600,$152,$0,$14,$691,$61,$-50,$11,$0,$11,$11,$-6,$138,$61,$123,123,$-0.05,$-0.05,$8,$93,$43,$576,$4819,$484,$499,$118,$6482,$7058,$384,$3765,$294,$4071,$4455,$1882,$0,$-1,$2603,$7058,$19,$153,$17,$170,$16,$-1,$-27,$-6,$-34,$151,$-110,$0,$0,$17,$0,$17,$0,$-92,$62,$0,$62,$0,$0,$-126,$5,$-60,$-1,$2,$-126
2,2018-03-31,18.8,$21.67,0.87,$19.13,0.98,$2.83,6.65,$0.21,89.51,$0.58B,$0.42B,1.4,$3.74B,$1.94B,1.92,$2.34B,$0.53B,22.53%,$2.34B,$0.23B,9.66%,$2.34B,$0.23B,9.66%,$2.34B,$0.50B,21.33%,$2.34B,$0.06B,2.52%,$2.34B,$0.03B,1.07%,$0.03B,$2.66B,0.97%,$0.03B,$2.15B,1.21%,$0.03B,$7.11B,0.37%,$0.23B,$6.39B,3.69%,$726,$580,$146,$0,$12,$667,$59,$-51,$8,$0,$8,$8,$-9,$135,$59,$123,123,$-0.07,$-0.07,$16,$96,$48,$580,$4851,$496,$504,$116,$6530,$7110,$416,$3736,$290,$4038,$4454,$1952,$0,$-1,$2656,$7110,$8,$76,$8,$84,$0,$0,$0,$-4,$-4,$86,$-66,$0,$0,$9,$0,$9,$0,$-57,$35,$0,$35,$0,$0,$-63,$5,$-23,$7,$-0,$-63
3,2017-12-31,20.85,$22.15,0.94,$16.72,1.25,$2.67,7.81,$0.51,40.89,$0.64B,$0.46B,1.39,$3.70B,$2.02B,1.83,$2.03B,$0.50B,24.65%,$2.03B,$0.22B,10.85%,$2.03B,$0.22B,10.85%,$2.03B,$0.47B,23.27%,$2.03B,$0.08B,3.85%,$2.03B,$0.06B,3.01%,$0.06B,$2.72B,2.48%,$0.06B,$2.21B,3.14%,$0.06B,$7.14B,0.95%,$0.22B,$6.41B,3.78%,$720,$567,$154,$0,$28,$657,$63,$-53,$11,$-5,$15,$15,$-1,$141,$63,$122,122,$-0.02,$-0.02,$9,$89,$43,$636,$4866,$507,$507,$57,$6501,$7137,$456,$3698,$257,$3967,$4423,$2026,$0,$-1,$2715,$7137,$82,$252,$6,$257,$-141,$49,$98,$-4,$10,$339,$-165,$0,$-1326,$16,$0,$16,$0,$-1475,$616,$0,$616,$141,$867,$-322,$-23,$1138,$2,$-6,$-322
4,2017-09-30,24.07,$22.52,1.07,$14.57,1.65,$-0.18,0.0,$0.71,33.9,$0.59B,$0.36B,1.62,$3.73B,$2.07B,1.8,$1.74B,$0.47B,26.84%,$1.74B,$0.20B,11.52%,$1.74B,$0.20B,11.52%,$1.74B,$0.44B,25.29%,$1.74B,$0.09B,5.07%,$1.74B,$0.08B,4.84%,$0.08B,$2.76B,3.64%,$0.08B,$2.25B,4.70%,$0.08B,$7.14B,1.39%,$0.20B,$6.49B,3.62%,$486,$360,$126,$0,$19,$443,$43,$-37,$6,$0,$6,$6,$1,$106,$43,$123,123,$0.01,$0.01,$10,$99,$46,$591,$4840,$510,$512,$61,$6547,$7138,$364,$3731,$256,$4013,$4377,$2077,$0,$0,$2760,$7138,$67,$174,$-1,$173,$-80,$32,$33,$-3,$-26,$206,$-143,$0,$-1326,$26,$0,$26,$0,$-1443,$644,$0,$644,$141,$870,$-261,$-15,$1239,$3,$-6,$-261
5,2017-06-30,28.3,$17.54,1.61,$14.58,1.94,$-1.83,0.0,$0.98,28.88,$0.33B,$0.24B,1.38,$3.03B,$2.15B,1.41,$1.71B,$0.46B,26.96%,$1.71B,$0.21B,12.40%,$1.71B,$0.21B,12.40%,$1.71B,$0.44B,25.79%,$1.71B,$0.12B,6.73%,$1.71B,$0.12B,6.73%,$0.12B,$2.15B,5.31%,$0.12B,$1.63B,7.03%,$0.12B,$5.64B,2.03%,$0.21B,$5.18B,4.08%,$407,$306,$101,$0,$9,$345,$61,$-28,$34,$0,$34,$34,$34,$117,$61,$123,123,$0.28,$0.28,$10,$69,$31,$328,$4214,$519,$518,$61,$5313,$5640,$237,$3027,$200,$3253,$3491,$2160,$0,$0,$2150,$5640,$61,$111,$-4,$107,$4,$30,$-7,$-2,$8,$176,$-88,$0,$-1,$18,$0,$18,$0,$-71,$-67,$0,$-67,$141,$141,$-172,$-4,$-102,$3,$-1,$-172
6,2017-03-31,28.28,$17.98,1.57,$15.31,1.85,$-3.83,0.0,$0.92,30.74,$0.35B,$0.23B,1.52,$3.03B,$2.20B,1.37,$1.75B,$0.48B,27.16%,$1.75B,$0.20B,11.38%,$1.75B,$0.20B,11.38%,$1.75B,$0.43B,24.41%,$1.75B,$0.11B,6.06%,$1.75B,$0.11B,6.00%,$0.11B,$2.20B,4.98%,$0.11B,$1.68B,6.66%,$0.11B,$5.69B,1.85%,$0.20B,$5.23B,3.84%,$415,$297,$119,$0,$10,$363,$53,$-25,$27,$0,$27,$27,$27,$108,$53,$118,118,$0.23,$0.23,$11,$93,$34,$353,$4223,$531,$524,$56,$5334,$5686,$231,$3025,$200,$3251,$3482,$2214,$0,$0,$2204,$5686,$27,$55,$7,$62,$0,$0,$0,$-29,$-29,$61,$-60,$0,$0,$9,$0,$9,$0,$-51,$-68,$0,$-68,$141,$141,$-84,$5,$-6,$4,$1,$-84
7,2016-12-31,30.83,$17.97,1.72,$15.25,2.02,$-4.53,0.0,$1.01,30.52,$0.36B,$0.26B,1.38,$3.09B,$2.12B,1.46,$1.71B,$0.48B,27.75%,$1.71B,$0.21B,12.03%,$1.71B,$0.21B,12.03%,$1.71B,$0.42B,24.77%,$1.71B,$0.12B,6.72%,$1.71B,$0.11B,6.60%,$0.11B,$2.12B,5.50%,$0.11B,$1.59B,7.45%,$0.11B,$5.70B,2.00%,$0.21B,$5.21B,4.00%,$428,$308,$120,$0,$11,$385,$43,$-23,$21,$0,$20,$20,$22,$108,$43,$113,113,$0.18,$0.18,$7,$99,$29,$360,$4215,$542,$530,$57,$5343,$5703,$261,$3091,$204,$3322,$3583,$2130,$0,$0,$2120,$5703,$111,$218,$49,$267,$-10,$-54,$-17,$-1,$-91,$298,$-459,$0,$-25,$21,$0,$21,$13,$-450,$163,$0,$163,$298,$298,$-310,$-3,$148,$-4,$7,$-310
8,2016-09-30,31.87,$18.50,1.72,$16.24,1.96,$-5.09,0.0,$1.06,30.07,$0.31B,$0.24B,1.29,$2.98B,$2.18B,1.37,$1.78B,$0.48B,26.87%,$1.78B,$0.22B,12.45%,$1.78B,$0.22B,12.45%,$1.78B,$0.43B,24.00%,$1.78B,$0.12B,6.82%,$1.78B,$0.12B,6.65%,$0.12B,$2.18B,5.81%,$0.12B,$1.65B,7.94%,$0.12B,$5.66B,2.11%,$0.22B,$5.16B,4.35%,$460,$339,$121,$0,$11,$405,$55,$-22,$33,$1,$32,$32,$32,$108,$55,$116,116,$0.28,$0.28,$3,$70,$27,$312,$4198,$552,$536,$58,$5344,$5655,$242,$2979,$228,$3231,$3473,$2191,$0,$0,$2182,$5655,$91,$154,$39,$192,$11,$-26,$-27,$-0,$-63,$228,$-360,$0,$-25,$17,$0,$17,$12,$-356,$52,$0,$52,$298,$298,$-227,$-2,$120,$-7,$6,$-227
9,2016-06-30,31.6,$17.58,1.8,$17.58,1.8,$-5.48,0.0,$4.16,7.6,$0.37B,$0.27B,1.39,$3.22B,$1.93B,1.66,$1.89B,$0.47B,24.85%,$1.89B,$0.21B,11.18%,$1.89B,$0.21B,11.18%,$1.89B,$0.40B,21.30%,$1.89B,$0.45B,24.01%,$1.89B,$0.45B,23.79%,$0.45B,$1.93B,22.44%,$0.45B,$1.39B,30.90%,$0.45B,$5.67B,8.11%,$0.21B,$5.15B,4.20%,$446,$331,$115,$0,$11,$398,$48,$-23,$25,$1,$24,$24,$24,$103,$48,$110,110,$0.22,$0.22,$9,$79,$36,$373,$4126,$564,$541,$62,$5293,$5666,$268,$3216,$225,$3465,$3732,$1942,$0,$0,$1933,$5666,$59,$100,$27,$127,$-21,$-35,$-6,$-11,$-90,$104,$-244,$0,$-25,$11,$0,$11,$9,$-250,$291,$0,$291,$0,$0,$-146,$-1,$144,$-2,$4,$-146
