,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1.35,$-12.00,-0.11,$51.86,0.03,$0.91,1.49,$-2.58,0.0,$0.89B,$0.92B,0.97,$4.77B,$-1.94B,-2.46,$5.12B,$5.12B,100.00%,$5.12B,$0.13B,2.62%,$5.12B,$0.13B,2.62%,$5.12B,$0.38B,7.35%,$5.12B,$-0.44B,-8.52%,$5.12B,$-0.26B,-5.00%,$-0.26B,$-1.94B,14.12%,$-0.26B,$-2.15B,12.59%,$-0.26B,$4.39B,-5.54%,$0.13B,$2.83B,4.35%,$1217,$0,$1217,$0,$748,$1217,$0,$-93,$-93,$-1,$-92,$-92,$-58,$54,$0,$102,102,$-0.57,$-0.57,$109,$0,$63,$891,$2920,$0,$211,$365,$3500,$4391,$923,$4766,$635,$5407,$6330,$0,$-1541,$-1,$-1939,$4391,$-263,$170,$121,$291,$49,$0,$0,$0,$-13,$14,$-41,$0,$0,$-13,$0,$-13,$-1,$-55,$129,$0,$129,$0,$0,$0,$-19,$110,$69,$7,$0
1,2018-06-30,2.29,$-11.44,-0.2,$53.84,0.04,$2.21,1.04,$-5.95,0.0,$0.93B,$0.90B,1.03,$4.82B,$-1.85B,-2.61,$5.22B,$5.22B,100.00%,$5.22B,$-0.35B,-6.79%,$5.22B,$-0.35B,-6.79%,$5.22B,$0.25B,4.85%,$5.22B,$-0.96B,-18.33%,$5.22B,$-0.57B,-10.97%,$-0.57B,$-1.85B,33.43%,$-0.57B,$-2.06B,29.54%,$-0.57B,$4.55B,-12.02%,$-0.35B,$2.97B,-17.03%,$1272,$0,$1272,$0,$777,$1242,$30,$-94,$-64,$-1,$-63,$-63,$-40,$95,$30,$101,101,$-0.39,$-0.39,$116,$0,$60,$929,$3017,$103,$217,$274,$3616,$4545,$904,$4817,$663,$5488,$6393,$0,$-1483,$-0,$-1848,$4545,$-172,$116,$84,$200,$23,$0,$0,$0,$-17,$11,$-27,$0,$0,$-7,$0,$-7,$-1,$-35,$126,$0,$126,$0,$0,$0,$-18,$108,$84,$5,$0
2,2018-03-31,1.51,$-11.21,-0.13,$55.57,0.03,$3.59,0.42,$-6.26,0.0,$0.95B,$0.86B,1.11,$5.00B,$-1.79B,-2.8,$5.29B,$5.29B,100.00%,$5.29B,$-0.32B,-6.13%,$5.29B,$-0.32B,-6.13%,$5.29B,$0.28B,5.26%,$5.29B,$-1.00B,-18.83%,$5.29B,$-0.60B,-11.30%,$-0.60B,$-1.79B,40.40%,$-0.60B,$-2.01B,33.17%,$-0.60B,$4.77B,-11.94%,$-0.32B,$3.21B,-13.71%,$1301,$0,$1301,$0,$809,$1295,$6,$-114,$-108,$0,$-109,$-109,$-69,$57,$6,$98,98,$-0.70,$-0.70,$95,$0,$61,$953,$3212,$95,$224,$284,$3819,$4772,$859,$4998,$694,$5699,$6558,$0,$-1443,$-1,$-1787,$4772,$-109,$52,$62,$113,$-1,$0,$0,$0,$-11,$-6,$-16,$0,$0,$-0,$0,$-0,$-1,$-18,$105,$0,$105,$0,$0,$0,$-18,$87,$63,$2,$0
3,2017-12-31,0.76,$-10.54,-0.07,$57.45,0.01,$4.10,0.19,$-6.11,0.0,$0.94B,$0.90B,1.05,$5.01B,$-1.68B,-2.98,$5.37B,$5.37B,100.00%,$5.37B,$-0.28B,-5.21%,$5.37B,$-0.28B,-5.21%,$5.37B,$0.34B,6.25%,$5.37B,$-0.97B,-18.03%,$5.37B,$-0.58B,-10.78%,$-0.58B,$-1.68B,46.92%,$-0.58B,$-1.91B,35.05%,$-0.58B,$4.79B,-11.07%,$-0.28B,$3.33B,-10.76%,$1328,$0,$1328,$0,$810,$1230,$98,$-269,$-171,$-16,$-155,$-155,$-89,$170,$98,$94,94,$-0.96,$-0.96,$92,$0,$50,$940,$3414,$0,$229,$202,$3848,$4788,$899,$5005,$556,$5569,$6468,$0,$-1375,$-0,$-1680,$4788,$-959,$616,$456,$1072,$-86,$0,$0,$0,$8,$120,$26,$0,$0,$21,$0,$21,$8,$55,$-170,$0,$-170,$0,$0,$0,$-3,$-173,$3,$10,$0
4,2017-09-30,1.16,$-9.78,-0.12,$52.55,0.02,$2.66,0.44,$-4.95,0.0,$1.00B,$5.50B,0.18,$0.34B,$-1.53B,-0.22,$5.45B,$5.45B,100.00%,$5.45B,$-0.34B,-6.28%,$5.45B,$-0.34B,-6.28%,$5.45B,$0.27B,4.94%,$5.45B,$-0.75B,-13.84%,$5.45B,$-0.47B,-8.59%,$-0.47B,$-1.53B,46.96%,$-0.47B,$-1.76B,30.97%,$-0.47B,$4.93B,-8.54%,$-0.34B,$-1.19B,-12.03%,$1315,$0,$1315,$0,$819,$1803,$-488,$-125,$-613,$2,$-615,$-615,$-374,$-69,$-488,$95,95,$-3.94,$-3.94,$95,$0,$46,$999,$3471,$0,$233,$219,$3928,$4927,$5503,$339,$589,$953,$6456,$0,$-1285,$-0,$-1529,$4927,$-804,$544,$351,$895,$-53,$0,$0,$0,$-24,$67,$31,$0,$0,$23,$0,$23,$-0,$53,$-118,$0,$-118,$0,$0,$0,$0,$-118,$3,$7,$0
5,2017-06-30,1.74,$-5.85,-0.3,$54.42,0.03,$1.68,1.03,$-1.24,0.0,$0.99B,$0.79B,1.26,$5.02B,$-0.92B,-5.49,$5.55B,$5.55B,100.00%,$5.55B,$0.22B,3.93%,$5.55B,$0.22B,3.93%,$5.55B,$0.47B,8.48%,$5.55B,$-0.22B,-3.94%,$5.55B,$-0.11B,-2.05%,$-0.11B,$-0.92B,14.12%,$-0.11B,$-1.52B,8.02%,$-0.11B,$5.52B,-1.99%,$0.22B,$4.10B,5.11%,$1341,$0,$1341,$0,$819,$1281,$60,$-163,$-103,$3,$-106,$-106,$-65,$120,$60,$93,93,$-0.70,$-0.70,$109,$0,$55,$986,$3670,$0,$602,$250,$4528,$5515,$785,$5019,$602,$5645,$6430,$0,$-912,$-0,$-915,$5515,$-189,$125,$137,$262,$-17,$0,$0,$0,$-3,$69,$46,$0,$0,$-2,$0,$-2,$-0,$44,$-101,$0,$-101,$0,$0,$0,$3,$-98,$15,$5,$0
6,2017-03-31,2.64,$-5.25,-0.5,$56.13,0.05,$1.06,2.48,$-0.80,0.0,$1.03B,$0.82B,1.25,$4.99B,$-0.81B,-6.14,$5.65B,$5.65B,100.00%,$5.65B,$0.26B,4.57%,$5.65B,$0.26B,4.57%,$5.65B,$0.52B,9.19%,$5.65B,$-0.15B,-2.64%,$5.65B,$-0.07B,-1.27%,$-0.07B,$-0.81B,9.48%,$-0.07B,$-1.42B,5.21%,$-0.07B,$5.69B,-1.24%,$0.26B,$4.17B,5.90%,$1389,$0,$1389,$0,$906,$1339,$50,$-133,$-82,$1,$-84,$-84,$-51,$115,$50,$92,92,$-0.55,$-0.55,$95,$0,$63,$1031,$3709,$0,$609,$334,$4658,$5689,$824,$4985,$667,$5676,$6500,$0,$-846,$-0,$-812,$5689,$-84,$64,$52,$116,$-5,$0,$0,$0,$12,$45,$-19,$0,$0,$-0,$0,$-0,$-0,$-20,$-28,$0,$-28,$0,$0,$0,$5,$-23,$2,$2,$0
7,2016-12-31,4.25,$-4.73,-0.9,$57.51,0.07,$0.77,5.54,$-0.73,0.0,$1.06B,$0.86B,1.24,$5.01B,$-0.73B,-6.86,$5.73B,$5.73B,100.00%,$5.73B,$0.30B,5.27%,$5.73B,$0.30B,5.27%,$5.73B,$0.56B,9.77%,$5.73B,$-0.14B,-2.36%,$5.73B,$-0.06B,-1.12%,$-0.06B,$-0.73B,8.79%,$-0.06B,$-1.35B,4.68%,$-0.06B,$5.78B,-1.08%,$0.30B,$4.28B,6.76%,$1403,$0,$1403,$0,$917,$1367,$36,$7,$44,$2,$41,$41,$22,$103,$36,$90,153,$0.26,$0.15,$95,$0,$68,$1059,$3765,$0,$616,$332,$4720,$5779,$858,$5011,$618,$5652,$6509,$0,$-796,$-0,$-730,$5779,$-118,$258,$54,$311,$-170,$0,$0,$0,$-125,$68,$-51,$0,$0,$26,$0,$26,$12,$-13,$-54,$0,$-54,$0,$0,$0,$-12,$-66,$-10,$8,$0
8,2016-09-30,2.67,$-5.00,-0.53,$65.12,0.04,$-2.15,0.0,$-3.95,0.0,$1.05B,$0.81B,1.29,$5.27B,$-0.77B,-6.84,$5.77B,$5.77B,100.00%,$5.77B,$0.32B,5.55%,$5.77B,$0.32B,5.55%,$5.77B,$0.58B,9.97%,$5.77B,$-0.29B,-5.08%,$5.77B,$-0.35B,-6.08%,$-0.35B,$-0.77B,50.11%,$-0.35B,$-1.40B,25.89%,$-0.35B,$5.89B,-5.88%,$0.32B,$4.50B,7.00%,$1419,$0,$1419,$0,$916,$1347,$72,$-150,$-78,$-26,$-52,$-52,$-20,$133,$72,$90,90,$-0.23,$-0.23,$95,$0,$63,$1049,$3945,$0,$630,$258,$4838,$5887,$811,$5274,$554,$5847,$6658,$0,$-818,$0,$-772,$5887,$-159,$191,$-37,$154,$0,$0,$0,$0,$41,$35,$-30,$0,$0,$14,$0,$14,$16,$1,$-32,$0,$-32,$0,$0,$0,$-12,$-44,$-8,$7,$0
9,2016-06-30,1.77,$-4.68,-0.38,$65.26,0.03,$-3.12,0.0,$-4.04,0.0,$1.06B,$0.82B,1.29,$5.24B,$-0.72B,-7.26,$5.77B,$5.77B,100.00%,$5.77B,$0.35B,6.09%,$5.77B,$0.35B,6.09%,$5.77B,$0.61B,10.54%,$5.77B,$-0.29B,-5.08%,$5.77B,$-0.36B,-6.24%,$-0.36B,$-0.72B,61.64%,$-0.36B,$-1.36B,28.85%,$-0.36B,$5.93B,-5.97%,$0.35B,$4.52B,7.57%,$1438,$0,$1438,$0,$915,$1338,$100,$-133,$-33,$3,$-36,$-36,$-23,$168,$100,$89,89,$-0.26,$-0.26,$99,$0,$57,$1057,$3957,$0,$637,$265,$4876,$5933,$817,$5244,$575,$5839,$6656,$0,$-798,$0,$-723,$5933,$-107,$130,$67,$197,$-103,$0,$0,$0,$-67,$24,$31,$0,$0,$12,$0,$12,$-4,$39,$-73,$0,$-73,$0,$0,$0,$-4,$-77,$-15,$3,$0
