,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,25.16,$8.88,2.83,$19.02,1.32,$3.28,7.67,$1.23,20.46,$0.57B,$0.67B,0.85,$2.39B,$1.08B,2.21,$2.30B,$0.58B,25.11%,$2.30B,$0.27B,11.60%,$2.30B,$0.27B,11.60%,$2.30B,$0.41B,17.59%,$2.30B,$0.16B,6.86%,$2.30B,$0.15B,6.39%,$0.15B,$1.08B,13.03%,$0.15B,$0.07B,141.01%,$0.15B,$4.24B,3.49%,$0.27B,$3.47B,7.26%,$584,$435,$149,$0,$48,$514,$70,$-30,$40,$4,$36,$39,$39,$103,$70,$120,120,$0.33,$0.33,$121,$0,$0,$572,$2148,$0,$1014,$97,$3671,$4242,$673,$2390,$89,$2488,$3162,$1,$-29,$-26,$1080,$4242,$111,$100,$23,$123,$-17,$0,$0,$0,$-14,$220,$-156,$0,$0,$0,$0,$0,$4,$-152,$176,$0,$176,$-68,$-68,$-172,$-5,$-70,$-7,$16,$-172
1,2018-06-30,27.05,$8.98,3.01,$18.78,1.44,$2.37,11.39,$1.21,22.36,$0.55B,$0.37B,1.46,$2.64B,$1.09B,2.42,$2.29B,$0.57B,25.08%,$2.29B,$0.26B,11.38%,$2.29B,$0.26B,11.38%,$2.29B,$0.40B,17.55%,$2.29B,$0.16B,6.87%,$2.29B,$0.15B,6.39%,$0.15B,$1.09B,12.57%,$0.15B,$0.07B,112.09%,$0.15B,$4.21B,3.44%,$0.26B,$3.73B,6.96%,$584,$438,$146,$0,$47,$517,$67,$-28,$39,$4,$35,$37,$37,$101,$67,$120,121,$0.31,$0.31,$124,$0,$0,$547,$2125,$0,$1020,$92,$3659,$4207,$374,$2641,$90,$2740,$3114,$1,$-11,$-25,$1093,$4207,$72,$67,$10,$77,$15,$0,$0,$0,$31,$180,$-102,$0,$0,$0,$0,$0,$3,$-99,$104,$0,$104,$-69,$-69,$-115,$-5,$-86,$-6,$11,$-115
2,2018-03-31,19.68,$9.33,2.11,$18.64,1.06,$1.59,12.37,$1.15,17.11,$0.54B,$0.35B,1.54,$2.61B,$1.14B,2.29,$2.28B,$0.57B,24.85%,$2.28B,$0.25B,10.89%,$2.28B,$0.25B,10.89%,$2.28B,$0.39B,17.12%,$2.28B,$0.15B,6.54%,$2.28B,$0.14B,6.15%,$0.14B,$1.14B,11.72%,$0.14B,$0.11B,90.47%,$0.14B,$4.19B,3.28%,$0.25B,$3.74B,6.69%,$565,$427,$138,$0,$42,$500,$64,$-27,$38,$5,$33,$35,$35,$98,$64,$122,122,$0.29,$0.29,$106,$0,$0,$536,$2102,$0,$1026,$95,$3657,$4193,$349,$2605,$92,$2706,$3055,$1,$8,$-23,$1139,$4193,$35,$34,$4,$38,$9,$0,$0,$0,$-8,$65,$-48,$0,$0,$0,$0,$0,$4,$-44,$53,$0,$53,$-40,$-40,$-58,$-4,$-49,$-24,$6,$-58
3,2017-12-31,22.17,$9.67,2.29,$18.83,1.18,$1.58,14.05,$1.21,18.32,$0.58B,$0.37B,1.57,$2.55B,$1.20B,2.13,$2.26B,$0.56B,24.91%,$2.26B,$0.25B,10.95%,$2.26B,$0.25B,10.95%,$2.26B,$0.39B,17.18%,$2.26B,$0.15B,6.71%,$2.26B,$0.15B,6.40%,$0.15B,$1.20B,11.87%,$0.15B,$0.17B,61.90%,$0.15B,$4.23B,3.40%,$0.25B,$3.75B,6.77%,$569,$424,$145,$0,$46,$503,$66,$-26,$41,$12,$28,$36,$36,$103,$66,$120,121,$0.30,$0.30,$126,$0,$0,$580,$2078,$0,$1034,$104,$3647,$4227,$370,$2553,$97,$2658,$3028,$1,$32,$-24,$1199,$4227,$146,$141,$30,$171,$21,$0,$0,$41,$64,$381,$-145,$0,$-354,$0,$0,$0,$-31,$-529,$123,$0,$123,$283,$283,$-227,$-14,$165,$13,$20,$-227
4,2017-09-30,24.82,$9.79,2.53,$19.20,1.29,$-1.34,0.0,$1.35,18.38,$0.73B,$0.58B,1.27,$2.49B,$1.21B,2.05,$2.26B,$0.56B,24.58%,$2.26B,$0.25B,11.05%,$2.26B,$0.25B,11.05%,$2.26B,$0.39B,17.11%,$2.26B,$0.15B,6.81%,$2.26B,$0.16B,6.98%,$0.16B,$1.21B,13.56%,$0.16B,$0.17B,68.10%,$0.16B,$4.37B,3.81%,$0.25B,$3.70B,7.12%,$567,$423,$144,$0,$49,$504,$63,$-24,$39,$2,$37,$38,$38,$99,$63,$122,123,$0.31,$0.31,$64,$0,$0,$730,$2056,$0,$1044,$102,$3639,$4369,$575,$2488,$93,$2580,$3155,$1,$53,$-26,$1214,$4369,$110,$104,$20,$124,$-157,$0,$0,$0,$-176,$58,$-103,$0,$-354,$0,$0,$0,$-4,$-461,$287,$0,$287,$283,$283,$-169,$-14,$387,$-15,$15,$-169
5,2017-06-30,26.86,$9.89,2.71,$19.56,1.37,$-1.69,0.0,$1.43,18.74,$0.71B,$0.57B,1.24,$2.40B,$1.23B,1.96,$2.25B,$0.55B,24.50%,$2.25B,$0.26B,11.52%,$2.25B,$0.26B,11.52%,$2.25B,$0.39B,17.47%,$2.25B,$0.16B,7.20%,$2.25B,$0.16B,7.29%,$0.16B,$1.23B,14.86%,$0.16B,$0.17B,72.89%,$0.16B,$4.29B,4.11%,$0.26B,$3.62B,7.56%,$577,$438,$139,$0,$52,$523,$55,$-24,$31,$1,$30,$31,$31,$90,$55,$122,123,$0.25,$0.25,$83,$0,$0,$707,$2050,$0,$1056,$90,$3587,$4294,$571,$2398,$99,$2497,$3067,$1,$73,$-28,$1227,$4294,$71,$68,$13,$81,$-78,$0,$0,$0,$-102,$51,$-67,$0,$-354,$0,$0,$0,$-3,$-424,$209,$0,$209,$282,$282,$-111,$-12,$369,$-3,$10,$-111
6,2017-03-31,27.68,$10.08,2.75,$19.78,1.4,$-1.63,0.0,$1.39,19.91,$1.03B,$0.51B,2.01,$2.32B,$1.25B,1.86,$2.22B,$0.54B,24.50%,$2.22B,$0.27B,12.16%,$2.22B,$0.27B,12.16%,$2.22B,$0.40B,18.02%,$2.22B,$0.16B,7.03%,$2.22B,$0.16B,7.03%,$0.16B,$1.25B,15.02%,$0.16B,$0.43B,71.97%,$0.16B,$4.17B,4.09%,$0.27B,$3.57B,8.12%,$551,$415,$136,$0,$43,$486,$64,$-23,$41,$2,$39,$40,$40,$97,$64,$114,114,$0.36,$0.35,$451,$0,$0,$1026,$1910,$0,$814,$85,$3141,$4167,$511,$2321,$89,$2410,$2921,$1,$101,$-30,$1246,$4167,$40,$33,$6,$39,$-17,$0,$0,$0,$-32,$48,$-34,$0,$0,$0,$0,$0,$-2,$-36,$133,$0,$133,$280,$280,$-53,$-11,$350,$365,$5,$-53
7,2016-12-31,21.12,$8.66,2.44,$19.56,1.08,$-2.16,0.0,$1.33,15.84,$0.70B,$0.50B,1.38,$2.18B,$0.98B,2.24,$2.18B,$0.53B,24.32%,$2.18B,$0.27B,12.16%,$2.18B,$0.27B,12.16%,$2.18B,$0.39B,18.04%,$2.18B,$0.15B,6.84%,$2.18B,$0.15B,6.79%,$0.15B,$0.98B,15.18%,$0.15B,$0.16B,99.83%,$0.15B,$3.75B,4.05%,$0.27B,$3.16B,8.21%,$567,$429,$137,$0,$40,$499,$68,$-25,$43,$-4,$47,$49,$49,$101,$68,$111,111,$0.45,$0.44,$85,$0,$0,$698,$1897,$0,$819,$85,$3052,$3749,$504,$2182,$89,$2270,$2774,$1,$113,$-31,$975,$3749,$148,$127,$22,$149,$-51,$0,$0,$-281,$-326,$-28,$-80,$0,$0,$0,$0,$0,$-5,$-84,$336,$0,$336,$4,$4,$-195,$-25,$120,$8,$13,$-195
8,2016-09-30,13.6,$8.59,1.58,$18.98,0.72,$-0.97,0.0,$1.29,10.57,$0.51B,$0.29B,1.76,$2.40B,$0.97B,2.48,$2.11B,$0.53B,24.95%,$2.11B,$0.26B,12.50%,$2.11B,$0.26B,12.50%,$2.11B,$0.39B,18.42%,$2.11B,$0.15B,7.05%,$2.11B,$0.14B,6.77%,$0.14B,$0.97B,14.55%,$0.14B,$0.14B,94.70%,$0.14B,$3.74B,3.99%,$0.26B,$3.36B,8.22%,$554,$416,$139,$0,$37,$482,$72,$-26,$47,$5,$42,$44,$44,$105,$72,$111,112,$0.39,$0.39,$133,$0,$0,$508,$1908,$0,$824,$89,$3235,$3742,$289,$2395,$92,$2487,$2776,$1,$112,$-35,$966,$3742,$99,$94,$26,$120,$-239,$0,$0,$0,$-231,$-12,$-68,$0,$0,$0,$0,$0,$-93,$-161,$309,$0,$309,$3,$3,$-146,$-24,$142,$-30,$10,$-146
9,2016-06-30,19.18,$8.60,2.23,$18.25,1.05,$-0.17,0.0,$1.24,15.46,$0.44B,$0.29B,1.52,$2.25B,$0.97B,2.33,$2.03B,$0.51B,25.25%,$2.03B,$0.26B,12.57%,$2.03B,$0.26B,12.57%,$2.03B,$0.38B,18.54%,$2.03B,$0.14B,6.95%,$2.03B,$0.14B,6.76%,$0.14B,$0.97B,13.80%,$0.14B,$0.14B,88.10%,$0.14B,$3.60B,3.90%,$0.26B,$3.22B,8.12%,$548,$417,$132,$0,$37,$482,$66,$-41,$25,$4,$21,$23,$23,$97,$66,$111,111,$0.21,$0.21,$111,$0,$0,$438,$1914,$0,$829,$93,$3163,$3600,$289,$2252,$92,$2344,$2633,$1,$117,$-36,$967,$3600,$55,$62,$21,$83,$-110,$0,$0,$0,$-101,$38,$-46,$0,$0,$0,$0,$0,$-65,$-111,$170,$0,$170,$2,$2,$-97,$-23,$52,$-21,$6,$-97
