,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,24.0,$17.66,1.36,$10.31,2.33,$4.43,5.42,$0.37,64.86,$0.82B,$0.77B,1.06,$0.12B,$0.08B,1.51,$0.05B,$0.04B,80.00%,$0.05B,$0.01B,24.44%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.01B,17.78%,$0.05B,$0.01B,11.11%,$0.01B,$0.08B,6.56%,$0.01B,$0.07B,6.83%,$0.01B,$0.97B,0.57%,$0.01B,$0.20B,5.94%,$15,$3,$12,$0,$7,$9,$5,$-0,$5,$1,$4,$4,$4,$0,$0,$4,4,$0.89,$0.88,$31,$0,$0,$816,$22,$91,$6,$29,$150,$966,$769,$118,$1,$119,$888,$1,$64,$-0,$79,$966,$5,$2,$-1,$1,$-1,$0,$0,$6,$4,$10,$-3,$0,$2,$0,$0,$0,$-8,$-7,$0,$-0,$0,$0,$0,$-2,$-7,$-8,$-6,$0,$-2
1,2018-06-30,24.33,$16.92,1.44,$9.05,2.69,$4.03,6.04,$0.76,32.01,$0.81B,$0.77B,1.05,$0.11B,$0.08B,1.49,$0.04B,$0.03B,82.05%,$0.04B,$0.01B,20.51%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,12.82%,$0.04B,$0.00B,7.69%,$0.00B,$0.08B,3.99%,$0.00B,$0.07B,4.07%,$0.00B,$0.96B,0.36%,$0.01B,$0.19B,4.46%,$12,$2,$10,$0,$8,$10,$2,$-3,$-1,$-0,$-0,$-0,$-0,$0,$0,$4,4,$-0.08,$-0.08,$30,$0,$0,$808,$22,$94,$6,$26,$153,$961,$773,$112,$1,$113,$885,$1,$61,$-0,$75,$961,$1,$1,$0,$1,$-1,$0,$0,$5,$2,$5,$-2,$0,$2,$0,$-2,$-2,$1,$-1,$-6,$-0,$-6,$0,$0,$-1,$-3,$-10,$-7,$0,$-1
2,2018-03-31,23.26,$17.08,1.36,$8.20,2.84,$4.20,5.53,$1.20,19.39,$0.68B,$0.64B,1.07,$0.10B,$0.08B,1.27,$0.04B,$0.03B,80.56%,$0.04B,$0.01B,22.22%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,22.22%,$0.04B,$0.01B,13.89%,$0.01B,$0.08B,6.69%,$0.01B,$0.08B,6.69%,$0.01B,$0.81B,0.64%,$0.01B,$0.17B,4.49%,$9,$2,$7,$0,$5,$7,$2,$-0,$2,$0,$1,$1,$1,$0,$0,$4,4,$0.31,$0.30,$40,$0,$0,$681,$12,$86,$0,$25,$126,$807,$635,$96,$0,$96,$731,$1,$62,$-0,$76,$807,$1,$0,$0,$1,$1,$0,$0,$-0,$1,$3,$-2,$0,$0,$0,$-1,$-1,$-8,$-12,$-14,$0,$-14,$0,$0,$-1,$26,$12,$3,$0,$-1
3,2017-12-31,22.11,$16.92,1.31,$7.93,2.79,$4.34,5.09,$1.22,18.12,$0.67B,$0.61B,1.1,$0.11B,$0.08B,1.47,$0.04B,$0.03B,82.86%,$0.04B,$0.01B,22.86%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,22.86%,$0.04B,$0.01B,14.29%,$0.01B,$0.08B,6.80%,$0.01B,$0.08B,6.80%,$0.01B,$0.79B,0.66%,$0.01B,$0.19B,4.44%,$9,$2,$7,$0,$6,$8,$2,$0,$2,$1,$0,$0,$0,$0,$0,$4,4,$0.10,$0.09,$37,$0,$0,$671,$11,$86,$0,$24,$123,$794,$610,$110,$0,$110,$720,$1,$61,$-0,$75,$794,$5,$2,$3,$5,$-1,$0,$0,$2,$-0,$10,$-1,$0,$0,$0,$12,$12,$-91,$-81,$-1,$0,$-1,$0,$0,$-2,$102,$99,$28,$0,$-2
4,2017-09-30,20.98,$16.88,1.24,$7.59,2.77,$3.90,5.38,$1.41,14.88,$0.63B,$0.59B,1.08,$0.10B,$0.08B,1.32,$0.03B,$0.03B,85.29%,$0.03B,$0.01B,23.53%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.01B,23.53%,$0.03B,$0.01B,20.59%,$0.01B,$0.08B,9.69%,$0.01B,$0.08B,9.69%,$0.01B,$0.76B,0.96%,$0.01B,$0.17B,4.47%,$9,$1,$8,$0,$5,$7,$2,$0,$2,$0,$2,$2,$2,$0,$0,$4,4,$0.39,$0.39,$11,$0,$0,$632,$12,$87,$0,$24,$127,$759,$586,$98,$1,$99,$685,$1,$61,$-0,$75,$759,$5,$2,$1,$3,$-1,$0,$0,$-0,$-1,$7,$-2,$0,$0,$0,$11,$11,$-79,$-70,$-13,$0,$-13,$0,$0,$-1,$79,$65,$2,$0,$-1
5,2017-06-30,19.83,$16.58,1.2,$7.27,2.73,$4.08,4.86,$1.37,14.47,$0.62B,$0.57B,1.1,$0.11B,$0.07B,1.49,$0.03B,$0.03B,84.85%,$0.03B,$0.01B,24.24%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.01B,24.24%,$0.03B,$0.01B,21.21%,$0.01B,$0.07B,9.82%,$0.01B,$0.07B,9.82%,$0.01B,$0.75B,0.98%,$0.01B,$0.18B,4.55%,$9,$1,$7,$0,$5,$6,$2,$0,$2,$1,$2,$2,$2,$0,$0,$4,4,$0.36,$0.36,$11,$0,$0,$623,$12,$90,$0,$24,$129,$752,$569,$109,$0,$110,$678,$1,$59,$-0,$73,$752,$3,$1,$0,$1,$-0,$0,$0,$-1,$0,$5,$-1,$0,$0,$0,$9,$9,$-70,$-62,$-2,$0,$-2,$0,$0,$-1,$62,$59,$2,$0,$-1
6,2017-03-31,18.59,$16.17,1.15,$7.00,2.66,$4.05,4.59,$1.29,14.41,$0.60B,$0.55B,1.08,$0.11B,$0.07B,1.5,$0.03B,$0.03B,87.10%,$0.03B,$0.01B,25.81%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.01B,25.81%,$0.03B,$0.01B,19.35%,$0.01B,$0.07B,8.51%,$0.01B,$0.07B,8.51%,$0.01B,$0.73B,0.86%,$0.01B,$0.18B,4.67%,$8,$1,$7,$0,$5,$6,$2,$0,$2,$1,$1,$1,$1,$0,$0,$4,4,$0.33,$0.32,$9,$0,$0,$598,$11,$96,$0,$24,$134,$732,$553,$108,$0,$108,$661,$1,$58,$-1,$71,$732,$1,$0,$0,$1,$-0,$0,$0,$-0,$-0,$2,$-0,$0,$0,$0,$2,$2,$-46,$-45,$-4,$0,$-4,$0,$0,$-0,$46,$42,$-1,$0,$-0
7,2016-12-31,20.55,$15.87,1.3,$6.85,3.0,$4.24,4.85,$1.26,16.31,$0.55B,$0.51B,1.09,$0.11B,$0.07B,1.59,$0.03B,$0.03B,86.67%,$0.03B,$0.01B,26.67%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.01B,26.67%,$0.03B,$0.01B,20.00%,$0.01B,$0.07B,8.60%,$0.01B,$0.07B,8.60%,$0.01B,$0.69B,0.89%,$0.01B,$0.18B,4.98%,$8,$1,$7,$0,$5,$6,$2,$0,$2,$1,$2,$2,$2,$0,$0,$4,4,$0.35,$0.35,$9,$0,$0,$551,$11,$97,$0,$25,$136,$688,$507,$111,$0,$111,$618,$1,$57,$-1,$70,$688,$6,$2,$2,$3,$-1,$0,$0,$-0,$-0,$8,$-1,$0,$0,$0,$2,$2,$-49,$-48,$44,$0,$44,$-0,$-0,$-1,$-12,$30,$-10,$0,$-1
8,2016-09-30,15.52,$16.04,0.97,$6.70,2.32,$4.18,3.71,$1.25,12.42,$0.54B,$0.52B,1.05,$0.09B,$0.07B,1.27,$0.03B,$0.03B,86.21%,$0.03B,$0.01B,27.59%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.01B,27.59%,$0.03B,$0.01B,17.24%,$0.01B,$0.07B,7.27%,$0.01B,$0.07B,7.27%,$0.01B,$0.68B,0.75%,$0.01B,$0.16B,5.38%,$8,$1,$7,$0,$5,$6,$2,$0,$2,$1,$2,$2,$2,$0,$0,$4,4,$0.35,$0.35,$11,$0,$0,$541,$11,$100,$0,$25,$138,$680,$518,$90,$1,$91,$609,$1,$56,$1,$71,$680,$4,$1,$1,$2,$-1,$0,$0,$-0,$0,$7,$-1,$0,$0,$0,$2,$2,$-35,$-35,$23,$0,$23,$0,$0,$-1,$-1,$20,$-8,$0,$-1
9,2016-06-30,15.35,$15.79,0.97,$6.64,2.31,$4.39,3.5,$1.22,12.58,$0.53B,$0.52B,1.03,$0.09B,$0.07B,1.34,$0.03B,$0.02B,85.71%,$0.03B,$0.01B,28.57%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.01B,28.57%,$0.03B,$0.00B,14.29%,$0.00B,$0.07B,5.93%,$0.00B,$0.07B,5.93%,$0.00B,$0.68B,0.61%,$0.01B,$0.16B,5.59%,$7,$1,$6,$0,$5,$6,$2,$0,$2,$0,$1,$1,$1,$0,$0,$4,4,$0.29,$0.28,$10,$0,$0,$533,$11,$109,$0,$25,$147,$680,$516,$94,$0,$94,$610,$1,$55,$1,$70,$680,$3,$1,$1,$2,$-0,$0,$0,$-0,$-0,$4,$-1,$0,$0,$0,$-6,$-6,$-29,$-36,$26,$0,$26,$0,$0,$-1,$-3,$23,$-9,$0,$-1
