,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,10.2,$16.02,0.64,$3.60,2.84,$-0.22,0.0,$0.09,113.33,$0.91B,$1.10B,0.83,$2.57B,$13.93B,0.18,$3.11B,$1.33B,42.69%,$3.11B,$-0.02B,-0.58%,$3.11B,$-0.02B,-0.58%,$3.11B,$0.97B,31.19%,$3.11B,$-0.09B,-2.83%,$3.11B,$0.08B,2.47%,$0.08B,$13.93B,0.55%,$0.08B,$13.93B,0.55%,$0.08B,$21.62B,0.36%,$-0.02B,$16.50B,-0.11%,$621,$424,$197,$24,$21,$683,$-62,$-23,$-85,$16,$-101,$-101,$-101,$165,$-62,$869,869,$-0.12,$-0.12,$166,$384,$39,$914,$20161,$223,$0,$219,$20705,$21619,$1104,$2569,$863,$6585,$7689,$18288,$-4271,$-87,$13930,$21619,$-165,$734,$110,$844,$78,$35,$0,$-113,$-40,$622,$-866,$0,$0,$0,$52,$52,$-68,$-882,$-100,$350,$250,$0,$0,$-45,$-6,$199,$-61,$20,$-45
1,2018-06-30,13.71,$16.20,0.85,$3.88,3.53,$0.10,135.74,$0.34,40.32,$0.98B,$0.97B,1.01,$2.41B,$14.05B,0.17,$3.36B,$1.54B,45.83%,$3.36B,$0.17B,5.00%,$3.36B,$0.17B,5.00%,$3.36B,$1.18B,35.14%,$3.36B,$0.09B,2.65%,$3.36B,$0.29B,8.61%,$0.29B,$14.05B,2.05%,$0.29B,$14.05B,2.05%,$0.29B,$21.50B,1.33%,$0.17B,$16.46B,1.02%,$793,$442,$351,$23,$39,$722,$71,$-46,$25,$156,$-131,$-131,$-131,$327,$71,$869,856,$-0.15,$-0.15,$159,$427,$38,$979,$20020,$213,$0,$204,$20521,$21500,$972,$2412,$928,$6482,$7454,$18280,$-4152,$-82,$14046,$21500,$-64,$507,$106,$613,$48,$15,$0,$-77,$-112,$429,$-573,$0,$0,$0,$69,$69,$-50,$-554,$-100,$190,$90,$0,$0,$-29,$-4,$57,$-68,$14,$-29
2,2018-03-31,13.8,$16.36,0.84,$3.91,3.53,$0.22,62.0,$0.65,21.23,$1.07B,$1.17B,0.92,$2.27B,$14.22B,0.16,$3.39B,$1.55B,45.88%,$3.39B,$0.21B,6.32%,$3.39B,$0.21B,6.32%,$3.39B,$1.21B,35.70%,$3.39B,$0.14B,4.19%,$3.39B,$0.56B,16.39%,$0.56B,$14.22B,3.95%,$0.56B,$14.22B,3.96%,$0.56B,$21.62B,2.55%,$0.21B,$16.49B,1.31%,$846,$464,$382,$16,$41,$763,$83,$-12,$71,$4,$67,$67,$67,$334,$83,$868,872,$0.08,$0.08,$163,$445,$38,$1071,$20093,$163,$0,$202,$20544,$21615,$1165,$2274,$976,$6231,$7396,$18271,$-4004,$-48,$14219,$21615,$67,$251,$-39,$212,$10,$3,$0,$20,$-7,$271,$-267,$0,$0,$0,$17,$17,$-18,$-268,$-100,$50,$-50,$0,$0,$-14,$-2,$-66,$-63,$7,$-14
3,2017-12-31,12.73,$16.35,0.78,$3.97,3.21,$0.27,46.68,$0.77,16.54,$1.14B,$1.26B,0.91,$2.23B,$14.18B,0.16,$3.42B,$1.53B,44.81%,$3.42B,$0.27B,7.74%,$3.42B,$0.27B,7.74%,$3.42B,$1.26B,36.66%,$3.42B,$0.19B,5.64%,$3.42B,$0.66B,19.22%,$0.66B,$14.18B,4.73%,$0.66B,$14.18B,4.74%,$0.66B,$21.69B,3.02%,$0.27B,$16.41B,1.64%,$853,$454,$399,$22,$46,$963,$-110,$11,$-99,$-341,$242,$242,$242,$145,$-110,$862,865,$0.27,$0.27,$234,$441,$48,$1143,$20047,$178,$0,$189,$20542,$21685,$1255,$2226,$957,$6246,$7501,$18261,$-4100,$23,$14184,$21685,$658,$990,$-582,$408,$-48,$-57,$0,$168,$102,$1211,$-1021,$0,$0,$0,$17,$17,$-101,$-1105,$0,$-30,$-30,$1,$1,$-62,$-6,$-97,$29,$30,$-62
4,2017-09-30,12.9,$16.10,0.8,$4.05,3.19,$0.18,70.85,$0.61,21.15,$1.30B,$1.31B,1.0,$2.33B,$13.96B,0.17,$3.47B,$1.52B,43.74%,$3.47B,$0.56B,16.12%,$3.47B,$0.56B,16.12%,$3.47B,$1.55B,44.64%,$3.47B,$0.43B,12.43%,$3.47B,$0.52B,14.91%,$0.52B,$13.96B,3.77%,$0.52B,$13.90B,3.78%,$0.52B,$21.94B,2.38%,$0.56B,$16.29B,3.46%,$866,$459,$407,$19,$40,$742,$124,$-32,$92,$-19,$111,$111,$111,$374,$124,$866,869,$0.13,$0.13,$195,$398,$166,$1303,$18060,$2289,$59,$156,$20635,$21938,$1306,$2327,$995,$6673,$7979,$18251,$-4324,$32,$13959,$21938,$416,$735,$-408,$327,$-34,$-34,$0,$-38,$-33,$700,$-661,$0,$0,$0,$12,$12,$-93,$-742,$0,$70,$70,$1,$1,$-46,$-5,$20,$-22,$22,$-46
5,2017-06-30,12.83,$0.00,0.0,$4.12,3.11,$0.22,57.6,$0.55,23.33,$1.20B,$1.15B,1.04,$2.31B,$13.86B,0.17,$3.52B,$1.50B,42.71%,$3.52B,$0.55B,15.70%,$3.52B,$0.55B,15.70%,$3.52B,$1.56B,44.30%,$3.52B,$0.43B,12.17%,$3.52B,$0.47B,13.22%,$0.47B,$13.86B,3.43%,$0.47B,$13.80B,3.43%,$0.47B,$21.85B,2.15%,$0.55B,$16.17B,3.43%,$822,$456,$366,$13,$36,$705,$117,$-39,$78,$-57,$135,$135,$135,$356,$117,$856,859,$0.16,$0.16,$123,$383,$186,$1202,$20226,$134,$59,$148,$20643,$21845,$1151,$2311,$1088,$6836,$7987,$18217,$-4420,$34,$13858,$21845,$305,$485,$-305,$180,$-37,$-29,$0,$-28,$-102,$385,$-425,$0,$0,$0,$3,$3,$-81,$-503,$0,$54,$54,$1,$1,$-31,$-3,$21,$-77,$17,$-31
6,2017-03-31,14.48,$15.89,0.91,$4.07,3.56,$0.21,67.64,$0.30,48.27,$1.72B,$1.32B,1.31,$2.33B,$13.59B,0.17,$3.45B,$1.39B,40.31%,$3.45B,$0.41B,11.95%,$3.45B,$0.41B,11.95%,$3.45B,$1.41B,40.92%,$3.45B,$0.30B,8.82%,$3.45B,$0.25B,7.31%,$0.25B,$13.59B,1.89%,$0.25B,$13.59B,1.89%,$0.25B,$21.58B,1.17%,$0.41B,$15.92B,2.58%,$882,$520,$362,$8,$36,$748,$134,$-12,$122,$-48,$170,$170,$170,$380,$134,$854,857,$0.20,$0.20,$212,$377,$664,$1722,$19505,$144,$0,$138,$19861,$21583,$1318,$2327,$808,$6674,$7992,$18075,$-4537,$53,$13591,$21583,$170,$246,$-166,$80,$-20,$-14,$0,$-4,$-23,$227,$-180,$0,$0,$0,$8,$8,$-75,$-247,$0,$70,$70,$1,$1,$-15,$-2,$54,$54,$9,$-15
7,2016-12-31,13.48,$15.71,0.86,$4.17,3.23,$0.02,591.25,$0.20,67.4,$1.57B,$0.78B,2.02,$2.76B,$13.42B,0.21,$3.51B,$1.44B,41.14%,$3.51B,$0.37B,10.51%,$3.51B,$0.37B,10.51%,$3.51B,$1.39B,39.69%,$3.51B,$0.22B,6.32%,$3.51B,$0.16B,4.62%,$0.16B,$13.42B,1.23%,$0.16B,$13.42B,1.23%,$0.16B,$21.50B,0.75%,$0.37B,$16.17B,2.31%,$898,$516,$382,$10,$38,$714,$184,$-45,$139,$38,$101,$101,$101,$438,$184,$842,845,$0.11,$0.11,$200,$370,$607,$1568,$17565,$2121,$0,$166,$19929,$21497,$777,$2757,$890,$7305,$8082,$18064,$-4690,$41,$13415,$21497,$162,$1024,$-261,$763,$-28,$18,$0,$-34,$-172,$799,$-690,$0,$0,$0,$61,$61,$-25,$-654,$-202,$30,$-172,$3,$3,$-97,$-28,$-294,$-169,$52,$-97
8,2016-09-30,16.35,$15.63,1.05,$4.40,3.72,$1.09,15.05,$-5.06,0.0,$1.47B,$0.83B,1.77,$2.73B,$13.34B,0.2,$3.68B,$1.47B,39.96%,$3.68B,$-4.82B,-130.73%,$3.68B,$-4.82B,-130.73%,$3.68B,$-3.63B,-98.40%,$3.68B,$-5.03B,-136.48%,$3.68B,$-4.21B,-114.28%,$-4.21B,$13.34B,-32.40%,$-4.21B,$13.34B,-32.40%,$-4.21B,$21.59B,-19.63%,$-4.82B,$16.07B,-30.43%,$915,$523,$392,$7,$42,$798,$117,$-28,$89,$30,$59,$59,$59,$384,$117,$849,853,$0.07,$0.07,$383,$515,$61,$1465,$19679,$112,$0,$136,$20122,$21587,$830,$2728,$1008,$7413,$8243,$18052,$-4773,$65,$13344,$21587,$61,$770,$-122,$648,$-42,$20,$0,$-57,$-195,$560,$-487,$0,$0,$0,$73,$73,$-22,$-436,$-5,$0,$-5,$3,$3,$-81,$-27,$-110,$14,$43,$-81
9,2016-06-30,18.91,$15.45,1.22,$4.65,4.07,$2.00,9.46,$-5.36,0.0,$1.32B,$0.82B,1.62,$2.87B,$12.86B,0.22,$3.87B,$1.52B,39.31%,$3.87B,$-4.94B,-127.80%,$3.87B,$-4.94B,-127.80%,$3.87B,$-3.62B,-93.72%,$3.87B,$-5.17B,-133.75%,$3.87B,$-4.46B,-115.36%,$-4.46B,$12.86B,-31.91%,$-4.46B,$12.86B,-32.19%,$-4.46B,$21.27B,-19.56%,$-4.94B,$15.73B,-29.49%,$753,$499,$254,$7,$50,$776,$-23,$-23,$-46,$32,$-78,$-78,$-78,$209,$-23,$832,832,$-0.09,$-0.09,$365,$462,$73,$1321,$19422,$106,$0,$173,$19950,$21271,$817,$2868,$1068,$7593,$8410,$17638,$-4816,$39,$12861,$21271,$2,$503,$-79,$424,$-1,$15,$0,$-40,$-135,$293,$-339,$0,$0,$0,$27,$27,$-13,$-325,$-3,$125,$122,$3,$3,$-67,$-24,$34,$2,$30,$-67
