,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,12.27,$11.86,1.03,$5.66,2.17,$3.67,3.34,$0.21,58.43,$0.31B,$0.38B,0.82,$0.00B,$0.03B,0.0,$0.02B,$0.01B,81.25%,$0.02B,$0.00B,12.50%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,12.50%,$0.02B,$0.00B,6.25%,$0.00B,$0.03B,2.99%,$0.00B,$0.03B,2.99%,$0.00B,$0.41B,0.25%,$0.00B,$0.03B,5.97%,$4,$1,$4,$0,$3,$4,$1,$0,$1,$0,$1,$1,$1,$0,$0,$3,3,$0.19,$0.19,$15,$0,$0,$309,$3,$86,$0,$10,$102,$411,$378,$0,$0,$0,$378,$3,$22,$-2,$33,$411,$1,$1,$0,$1,$-0,$0,$0,$2,$2,$4,$-0,$0,$0,$8,$-6,$2,$-25,$-23,$0,$20,$20,$0,$0,$-1,$3,$22,$3,$0,$-1
1,2018-06-30,10.91,$11.95,0.91,$5.53,1.97,$3.09,3.53,$0.36,30.29,$0.30B,$0.37B,0.81,$0.00B,$0.03B,0.0,$0.02B,$0.01B,75.00%,$0.02B,$0.00B,12.50%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,12.50%,$0.02B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.40B,0.00%,$0.00B,$0.03B,5.88%,$4,$0,$3,$0,$3,$3,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$3,3,$0.17,$0.17,$8,$0,$0,$296,$3,$89,$0,$10,$105,$401,$368,$0,$0,$0,$368,$3,$22,$-1,$34,$401,$1,$1,$1,$2,$0,$0,$-0,$-0,$-0,$2,$-0,$0,$0,$6,$-6,$-0,$-18,$-19,$0,$5,$5,$0,$0,$-1,$8,$12,$-5,$0,$-1
2,2018-03-31,11.9,$11.84,1.01,$5.44,2.19,$2.98,4.0,$0.31,38.39,$0.28B,$0.36B,0.79,$0.00B,$0.03B,0.0,$0.02B,$0.01B,75.00%,$0.02B,$0.00B,12.50%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,12.50%,$0.02B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.39B,0.00%,$0.00B,$0.03B,5.44%,$4,$0,$3,$0,$3,$4,$0,$0,$0,$0,$0,$0,$0,$0,$0,$3,3,$0.09,$0.09,$9,$0,$0,$283,$3,$92,$0,$10,$108,$390,$357,$0,$0,$0,$357,$3,$22,$-1,$33,$390,$0,$0,$1,$1,$-0,$0,$0,$0,$0,$1,$-0,$0,$0,$0,$-3,$-3,$-4,$-7,$0,$0,$0,$0,$0,$-0,$2,$2,$-4,$0,$-0
3,2017-12-31,10.78,$12.15,0.89,$5.33,2.02,$2.88,3.75,$0.33,32.66,$0.28B,$0.36B,0.8,$0.00B,$0.03B,0.0,$0.02B,$0.01B,75.00%,$0.02B,$0.00B,12.50%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,12.50%,$0.02B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.39B,0.00%,$0.00B,$0.03B,4.76%,$4,$0,$3,$0,$3,$3,$1,$0,$1,$1,$-0,$-0,$-0,$0,$0,$3,3,$-0.05,$-0.05,$13,$0,$0,$283,$3,$91,$0,$10,$106,$389,$355,$0,$0,$0,$355,$3,$22,$-1,$34,$389,$1,$1,$1,$2,$0,$0,$0,$0,$0,$3,$-0,$0,$0,$0,$6,$6,$-7,$-1,$0,$0,$0,$0,$0,$-1,$1,$0,$2,$0,$-1
4,2017-09-30,10.57,$12.38,0.85,$5.39,1.96,$2.66,3.98,$0.53,19.94,$0.28B,$0.36B,0.8,$0.00B,$0.04B,0.0,$0.02B,$0.01B,75.00%,$0.02B,$0.00B,6.25%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,6.25%,$0.02B,0,0.00%,$0.00B,$0.04B,0.00%,$0.00B,$0.04B,0.00%,$0.00B,$0.39B,0.00%,$0.00B,$0.04B,2.25%,$4,$0,$3,$0,$3,$3,$1,$0,$1,$0,$0,$0,$0,$0,$0,$3,3,$0.15,$0.15,$11,$0,$0,$282,$3,$91,$0,$10,$108,$390,$355,$0,$0,$0,$355,$3,$22,$-0,$35,$390,$1,$1,$0,$1,$-0,$0,$0,$1,$1,$3,$-0,$0,$0,$13,$-8,$5,$-7,$-2,$-10,$10,$0,$0,$0,$-1,$1,$0,$1,$0,$-1
5,2017-06-30,10.06,$12.36,0.81,$5.34,1.88,$2.45,4.1,$0.42,23.95,$0.29B,$0.35B,0.82,$0.01B,$0.04B,0.29,$0.02B,$0.01B,75.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.00B,$0.04B,0.00%,$0.00B,$0.04B,0.00%,$0.00B,$0.40B,0.00%,$0.00B,$0.05B,0.00%,$4,$0,$3,$0,$3,$3,$0,$0,$0,$0,$0,$0,$0,$0,$0,$3,3,$0.12,$0.12,$17,$0,$0,$287,$4,$92,$0,$10,$109,$396,$351,$10,$0,$10,$362,$3,$22,$-0,$35,$396,$1,$1,$0,$1,$0,$0,$0,$0,$1,$2,$-0,$0,$0,$9,$-5,$4,$-6,$-2,$-10,$15,$5,$0,$0,$-1,$2,$7,$7,$0,$-1
6,2017-03-31,11.34,$12.16,0.93,$5.32,2.13,$2.25,5.03,$0.41,27.65,$0.28B,$0.34B,0.84,$0.02B,$0.03B,0.59,$0.02B,$0.01B,75.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.40B,0.00%,$0.00B,$0.05B,0.00%,$4,$0,$3,$0,$3,$3,$0,$0,$0,$0,$0,$0,$0,$0,$0,$3,3,$0.11,$0.11,$17,$0,$0,$284,$3,$92,$0,$15,$111,$396,$341,$20,$1,$21,$362,$3,$22,$-1,$34,$396,$0,$0,$0,$0,$0,$0,$0,$0,$0,$1,$-0,$0,$0,$0,$3,$3,$-5,$-1,$-20,$20,$0,$0,$0,$-0,$7,$7,$7,$0,$-0
7,2016-12-31,10.81,$12.13,0.89,$5.35,2.02,$2.00,5.42,$0.40,27.03,$0.28B,$0.34B,0.8,$0.01B,$0.03B,0.3,$0.02B,$0.01B,75.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.39B,0.00%,$0.00B,$0.04B,0.00%,$4,$1,$3,$0,$3,$4,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$3,3,$0.15,$0.15,$11,$0,$0,$275,$4,$96,$0,$11,$113,$388,$344,$10,$0,$10,$355,$3,$22,$-1,$34,$388,$1,$1,$1,$2,$0,$0,$0,$-0,$-0,$3,$-0,$0,$0,$0,$3,$3,$-4,$-1,$0,$0,$0,$0,$0,$-1,$-2,$-3,$-2,$0,$-1
8,2016-09-30,9.46,$12.56,0.75,$5.41,1.75,$1.86,5.08,$0.41,23.07,$0.27B,$0.34B,0.82,$0.02B,$0.04B,0.57,$0.02B,$0.01B,81.25%,$0.02B,$0.00B,6.25%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,6.25%,$0.02B,0,0.00%,$0.00B,$0.04B,0.00%,$0.00B,$0.04B,0.00%,$0.00B,$0.39B,0.00%,$0.00B,$0.06B,1.83%,$4,$1,$3,$0,$3,$4,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$3,3,$0.04,$0.04,$17,$0,$0,$274,$3,$100,$0,$15,$118,$392,$336,$20,$2,$22,$357,$3,$22,$0,$35,$392,$1,$1,$0,$1,$0,$0,$-0,$0,$0,$2,$-0,$0,$0,$4,$-3,$1,$2,$2,$0,$0,$0,$0,$0,$-1,$0,$-0,$4,$0,$-1
9,2016-06-30,9.84,$12.73,0.77,$5.56,1.77,$1.66,5.94,$0.37,26.6,$0.27B,$0.34B,0.81,$0.02B,$0.04B,0.57,$0.02B,$0.01B,81.25%,$0.02B,$0.00B,6.25%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,6.25%,$0.02B,0,0.00%,$0.00B,$0.04B,0.00%,$0.00B,$0.04B,0.00%,$0.00B,$0.40B,0.00%,$0.00B,$0.06B,1.83%,$4,$1,$3,$0,$3,$3,$0,$0,$0,$0,$0,$0,$0,$0,$0,$3,3,$0.11,$0.11,$21,$0,$0,$274,$3,$104,$0,$15,$122,$396,$339,$20,$1,$21,$360,$3,$22,$1,$35,$396,$1,$1,$0,$1,$0,$0,$-0,$-0,$-0,$1,$-0,$0,$0,$4,$-6,$-2,$6,$3,$0,$0,$0,$0,$0,$-1,$4,$4,$8,$0,$-1
