,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,22.1,$13.12,1.68,$5.71,3.87,$5.70,3.88,$1.17,18.89,$3.49B,$3.42B,1.02,$0.49B,$0.49B,0.99,$0.21B,$0.17B,81.31%,$0.21B,$0.07B,31.31%,$0.21B,0,0.00%,$0.21B,0,0.00%,$0.21B,$0.07B,31.31%,$0.21B,$0.04B,20.56%,$0.04B,$0.49B,9.25%,$0.04B,$0.40B,11.52%,$0.04B,$4.42B,1.02%,$0.07B,$0.98B,7.66%,$57,$12,$45,$0,$24,$37,$21,$0,$21,$5,$16,$16,$16,$0,$0,$37,38,$0.42,$0.41,$141,$0,$0,$3490,$29,$718,$93,$77,$930,$4420,$3423,$485,$21,$506,$3930,$0,$118,$-21,$490,$4420,$41,$1,$11,$12,$-4,$0,$3,$0,$-1,$53,$-0,$0,$0,$-7,$16,$9,$-185,$-176,$-2,$112,$110,$3,$3,$-7,$18,$124,$0,$3,$-7
1,2018-06-30,21.51,$12.86,1.67,$5.47,3.93,$6.26,3.44,$1.07,20.1,$3.44B,$3.43B,1.0,$0.46B,$0.48B,0.96,$0.21B,$0.17B,82.44%,$0.21B,$0.06B,30.73%,$0.21B,0,0.00%,$0.21B,0,0.00%,$0.21B,$0.06B,30.73%,$0.21B,$0.04B,19.02%,$0.04B,$0.48B,8.32%,$0.04B,$0.39B,10.41%,$0.04B,$4.39B,0.92%,$0.06B,$0.94B,7.76%,$56,$10,$45,$0,$25,$35,$21,$0,$21,$4,$16,$16,$16,$0,$0,$37,38,$0.44,$0.44,$231,$0,$0,$3435,$29,$743,$93,$79,$957,$4392,$3434,$460,$18,$478,$3912,$0,$106,$-18,$479,$4392,$26,$-0,$11,$10,$-4,$0,$-1,$0,$-5,$31,$-0,$0,$0,$-5,$-6,$-11,$-42,$-54,$-1,$87,$86,$2,$2,$-4,$29,$113,$91,$2,$-4
2,2018-03-31,22.06,$12.59,1.75,$5.30,4.16,$6.78,3.25,$0.98,22.51,$3.26B,$3.46B,0.94,$0.28B,$0.47B,0.59,$0.20B,$0.17B,83.33%,$0.20B,$0.06B,31.31%,$0.20B,0,0.00%,$0.20B,0,0.00%,$0.20B,$0.06B,31.31%,$0.20B,$0.04B,18.18%,$0.04B,$0.47B,7.80%,$0.04B,$0.38B,9.80%,$0.04B,$4.23B,0.86%,$0.06B,$0.75B,7.97%,$52,$9,$43,$0,$32,$41,$12,$0,$12,$2,$9,$9,$9,$0,$0,$37,38,$0.25,$0.25,$142,$0,$0,$3259,$24,$767,$93,$69,$966,$4225,$3462,$278,$16,$294,$3756,$0,$94,$-14,$469,$4225,$9,$0,$8,$8,$23,$0,$-3,$0,$19,$37,$-0,$0,$0,$-0,$-30,$-30,$32,$2,$-95,$0,$-95,$1,$1,$0,$57,$-37,$1,$1,$0
3,2017-12-31,20.13,$12.50,1.61,$5.12,3.93,$6.41,3.14,$0.92,21.88,$3.32B,$3.41B,0.97,$0.37B,$0.46B,0.8,$0.19B,$0.16B,83.77%,$0.19B,$0.06B,31.94%,$0.19B,0,0.00%,$0.19B,0,0.00%,$0.19B,$0.06B,31.94%,$0.19B,$0.03B,17.80%,$0.03B,$0.46B,7.49%,$0.03B,$0.37B,9.46%,$0.03B,$4.26B,0.82%,$0.06B,$0.84B,8.13%,$49,$8,$41,$0,$28,$36,$13,$0,$13,$10,$3,$3,$3,$0,$0,$37,37,$0.07,$0.07,$141,$0,$0,$3318,$24,$746,$94,$71,$944,$4262,$3405,$373,$20,$393,$3798,$0,$83,$-6,$464,$4262,$34,$-0,$28,$27,$24,$0,$4,$0,$28,$89,$5,$0,$0,$-9,$-419,$-428,$-115,$-538,$2,$175,$177,$0,$0,$0,$23,$201,$-248,$5,$0
4,2017-09-30,23.45,$12.46,1.88,$4.90,4.78,$5.88,3.99,$0.92,25.49,$3.25B,$3.42B,0.95,$0.26B,$0.46B,0.57,$0.18B,$0.15B,84.07%,$0.18B,$0.05B,28.57%,$0.18B,0,0.00%,$0.18B,0,0.00%,$0.18B,$0.05B,28.57%,$0.18B,$0.03B,18.68%,$0.03B,$0.46B,7.64%,$0.03B,$0.37B,9.70%,$0.03B,$4.16B,0.83%,$0.05B,$0.73B,7.45%,$48,$8,$40,$0,$22,$31,$17,$0,$17,$6,$11,$11,$11,$0,$0,$37,37,$0.31,$0.31,$179,$0,$0,$3246,$30,$730,$94,$47,$915,$4161,$3417,$263,$19,$281,$3699,$0,$81,$-2,$462,$4161,$32,$-1,$10,$10,$30,$0,$2,$0,$32,$73,$-0,$0,$0,$-4,$-401,$-405,$20,$-385,$2,$65,$67,$0,$0,$0,$34,$102,$-210,$2,$0
5,2017-06-30,19.24,$12.20,1.58,$4.81,4.0,$5.03,3.82,$0.36,53.44,$3.25B,$3.37B,0.97,$0.35B,$0.45B,0.78,$0.18B,$0.15B,84.83%,$0.18B,$0.02B,11.80%,$0.18B,0,0.00%,$0.18B,0,0.00%,$0.18B,$0.02B,11.80%,$0.18B,$0.01B,7.87%,$0.01B,$0.45B,3.21%,$0.01B,$0.36B,4.10%,$0.01B,$4.19B,0.35%,$0.02B,$0.80B,3.16%,$49,$8,$41,$0,$21,$29,$20,$0,$20,$7,$13,$13,$13,$0,$0,$37,37,$0.35,$0.35,$135,$0,$0,$3254,$30,$745,$95,$50,$932,$4186,$3368,$352,$14,$366,$3734,$0,$69,$-1,$452,$4186,$20,$-1,$8,$7,$26,$0,$-3,$0,$23,$50,$-0,$0,$0,$-7,$-409,$-416,$-31,$-448,$2,$155,$157,$0,$0,$0,$-14,$143,$-254,$1,$0
6,2017-03-31,17.65,$11.81,1.49,$4.67,3.78,$4.30,4.1,$0.11,160.47,$3.26B,$3.42B,0.95,$0.20B,$0.44B,0.45,$0.17B,$0.15B,85.47%,$0.17B,$0.01B,4.07%,$0.17B,0,0.00%,$0.17B,0,0.00%,$0.17B,$0.01B,4.07%,$0.17B,$0.01B,2.91%,$0.01B,$0.44B,1.16%,$0.01B,$0.34B,1.48%,$0.01B,$4.07B,0.13%,$0.01B,$0.64B,1.14%,$45,$7,$38,$0,$27,$34,$11,$0,$11,$4,$7,$7,$7,$0,$0,$37,37,$0.19,$0.19,$256,$0,$0,$3262,$31,$609,$95,$63,$810,$4072,$3423,$197,$14,$212,$3635,$0,$56,$-2,$437,$4072,$7,$-1,$5,$4,$13,$0,$-2,$0,$11,$23,$-0,$0,$0,$-0,$-281,$-281,$83,$-199,$1,$0,$1,$0,$0,$0,$42,$43,$-133,$1,$0
7,2016-12-31,15.07,$11.64,1.3,$4.63,3.26,$4.03,3.74,$-0.03,0.0,$3.49B,$3.38B,1.03,$0.20B,$0.43B,0.46,$0.17B,$0.15B,86.47%,$0.17B,$-0.00B,-0.59%,$0.17B,0,0.00%,$0.17B,0,0.00%,$0.17B,$-0.00B,-0.59%,$0.17B,$0.00B,0.00%,$0.00B,$0.43B,0.00%,$0.00B,$0.34B,0.00%,$0.00B,$4.03B,0.00%,$-0.00B,$0.63B,-0.15%,$40,$6,$34,$0,$30,$37,$4,$0,$4,$1,$3,$3,$3,$0,$0,$37,37,$0.07,$0.07,$389,$0,$0,$3493,$26,$329,$95,$71,$532,$4025,$3381,$197,$16,$214,$3594,$0,$49,$-1,$430,$4025,$-1,$-6,$78,$72,$1,$0,$2,$0,$2,$73,$-0,$0,$0,$2,$17,$19,$-67,$-49,$25,$-64,$-39,$2,$2,$0,$276,$239,$264,$2,$0
8,2016-09-30,10.84,$11.62,0.93,$5.01,2.16,$2.92,3.72,$-0.03,0.0,$3.37B,$3.32B,1.02,$0.16B,$0.43B,0.38,$0.17B,$0.15B,87.86%,$0.17B,0,0.00%,$0.17B,0,0.00%,$0.17B,0,0.00%,$0.17B,0,0.00%,$0.17B,$0.00B,0.00%,$0.00B,$0.43B,0.00%,$0.00B,$0.33B,0.00%,$0.00B,$3.93B,0.00%,$0.00B,$0.59B,0.00%,$44,$6,$38,$0,$52,$57,$-14,$0,$-14,$-5,$-9,$-9,$-9,$0,$0,$37,37,$-0.25,$-0.25,$313,$0,$0,$3371,$26,$337,$96,$80,$558,$3930,$3321,$164,$19,$183,$3504,$0,$47,$1,$426,$3930,$-4,$-5,$57,$52,$-13,$0,$5,$0,$-8,$41,$-0,$0,$0,$2,$0,$2,$3,$5,$-9,$-64,$-73,$-1,$-1,$0,$217,$143,$188,$1,$0
9,2016-06-30,8.65,$11.88,0.73,$4.82,1.79,$2.37,3.64,$0.37,23.37,$3.36B,$3.21B,1.05,$0.16B,$0.44B,0.38,$0.16B,$0.14B,89.03%,$0.16B,$0.02B,13.55%,$0.16B,0,0.00%,$0.16B,0,0.00%,$0.16B,$0.02B,13.55%,$0.16B,$0.01B,8.39%,$0.01B,$0.44B,3.25%,$0.01B,$0.34B,4.08%,$0.01B,$3.83B,0.37%,$0.02B,$0.60B,3.36%,$43,$6,$37,$0,$32,$37,$6,$0,$6,$2,$4,$4,$4,$0,$0,$37,37,$0.10,$0.10,$200,$0,$0,$3356,$27,$256,$96,$68,$472,$3827,$3213,$163,$16,$180,$3393,$0,$56,$1,$435,$3827,$5,$-4,$21,$18,$-3,$0,$2,$0,$-1,$22,$-0,$0,$0,$2,$82,$84,$-65,$19,$-9,$-64,$-73,$-1,$-1,$0,$108,$34,$75,$1,$0
