,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,4.17,$29.18,0.14,$16.12,0.26,$8.36,0.5,$1.59,2.62,$19.86B,$74.52B,0.27,$4.05B,$14.62B,0.28,$8.10B,$2.27B,28.04%,$8.10B,$0.87B,10.75%,$8.10B,$0.87B,10.75%,$8.10B,$1.16B,14.28%,$8.10B,$0.57B,7.05%,$8.10B,$0.80B,9.89%,$0.80B,$14.62B,5.38%,$0.80B,$14.27B,5.50%,$0.80B,$102.12B,0.77%,$0.87B,$18.67B,4.55%,$2143,$1472,$671,$0,$83,$1798,$345,$-72,$273,$63,$210,$210,$146,$398,$345,$501,503,$0.29,$0.29,$2505,$0,$0,$19856,$0,$70712,$355,$7212,$82265,$102121,$74523,$4051,$8905,$12977,$87500,$1,$1447,$2067,$14621,$102121,$624,$207,$-782,$-575,$0,$0,$-131,$1103,$924,$973,$0,$0,$0,$0,$14,$14,$55,$69,$-177,$0,$-177,$-89,$-89,$-83,$-1001,$-1350,$-370,$25,$-83
1,2018-06-30,4.5,$29.42,0.15,$16.28,0.28,$10.28,0.44,$1.51,2.98,$19.63B,$74.61B,0.26,$4.05B,$14.74B,0.28,$8.18B,$2.31B,28.23%,$8.18B,$0.89B,10.83%,$8.18B,$0.89B,10.83%,$8.18B,$1.17B,14.31%,$8.18B,$0.58B,7.14%,$8.18B,$0.76B,9.32%,$0.76B,$14.74B,5.08%,$0.76B,$14.39B,5.19%,$0.76B,$102.48B,0.73%,$0.89B,$18.79B,4.59%,$2159,$1357,$802,$0,$112,$1722,$437,$-77,$360,$111,$249,$249,$190,$512,$437,$501,503,$0.38,$0.38,$2243,$0,$0,$19628,$0,$71484,$354,$7324,$82849,$102477,$74613,$4047,$9053,$13123,$87736,$1,$1301,$2327,$14741,$102477,$414,$154,$-450,$-296,$0,$0,$-89,$569,$443,$561,$0,$0,$0,$0,$-229,$-229,$31,$-198,$-168,$0,$-168,$-49,$-49,$-50,$-676,$-943,$-632,$16,$-50
2,2018-03-31,2.83,$29.66,0.1,$16.42,0.17,$11.77,0.24,$1.53,1.85,$20.33B,$75.15B,0.27,$4.65B,$14.86B,0.31,$8.24B,$2.36B,28.64%,$8.24B,$0.92B,11.20%,$8.24B,$0.92B,11.20%,$8.24B,$1.23B,14.92%,$8.24B,$0.63B,7.59%,$8.24B,$0.77B,9.39%,$0.77B,$14.86B,5.14%,$0.77B,$14.52B,5.25%,$0.77B,$103.77B,0.74%,$0.92B,$19.52B,4.76%,$2115,$1467,$648,$0,$104,$1811,$304,$-76,$228,$63,$165,$165,$112,$383,$304,$500,503,$0.22,$0.22,$2843,$0,$0,$20325,$0,$72475,$339,$7333,$83448,$103773,$75145,$4654,$9085,$13766,$88911,$1,$1111,$2627,$14862,$103773,$165,$79,$-132,$-53,$0,$-152,$-45,$233,$-3,$109,$0,$0,$0,$0,$-177,$-177,$10,$-167,$433,$0,$433,$-36,$-36,$-36,$-314,$47,$-32,$7,$-36
3,2017-12-31,3.11,$30.72,0.1,$16.55,0.19,$12.86,0.24,$1.62,1.92,$20.44B,$76.23B,0.27,$4.22B,$15.33B,0.28,$8.30B,$2.47B,29.78%,$8.30B,$1.01B,12.21%,$8.30B,$1.01B,12.21%,$8.30B,$1.30B,15.68%,$8.30B,$0.73B,8.79%,$8.30B,$0.82B,9.85%,$0.82B,$15.33B,5.44%,$0.82B,$15.03B,5.56%,$0.82B,$105.30B,0.78%,$1.01B,$19.55B,5.26%,$1686,$1535,$151,$0,$119,$1901,$-215,$-75,$-290,$-555,$265,$265,$353,$-136,$-215,$499,501,$0.72,$0.71,$2875,$0,$0,$20444,$0,$74036,$301,$7683,$84853,$105297,$76228,$4224,$9490,$13741,$89969,$1,$1113,$3027,$15328,$105297,$927,$288,$-680,$-392,$0,$0,$30,$1993,$2019,$2554,$0,$0,$-5,$0,$-824,$-824,$70,$-759,$-34,$0,$-34,$-33,$-33,$-107,$-1594,$-1768,$91,$42,$-107
4,2017-09-30,3.85,$30.23,0.13,$17.60,0.22,$11.49,0.34,$0.67,5.75,$20.39B,$75.45B,0.27,$4.22B,$15.09B,0.28,$8.81B,$2.81B,31.95%,$8.81B,$1.25B,14.16%,$8.81B,$1.25B,14.16%,$8.81B,$1.62B,18.43%,$8.81B,$0.96B,10.93%,$8.81B,$0.34B,3.88%,$0.34B,$15.09B,2.31%,$0.34B,$14.77B,2.36%,$0.34B,$104.63B,0.33%,$1.25B,$19.31B,6.56%,$2215,$1508,$707,$0,$83,$1856,$359,$-73,$286,$102,$184,$184,$107,$411,$359,$499,502,$0.21,$0.21,$2836,$0,$0,$20389,$0,$73743,$315,$7816,$84240,$104629,$75449,$4224,$9635,$14093,$89542,$1,$760,$3035,$15087,$104629,$662,$209,$167,$376,$0,$0,$-21,$942,$894,$1932,$0,$0,$-5,$0,$-719,$-719,$46,$-678,$-16,$0,$-16,$-31,$-31,$-92,$-1131,$-1270,$52,$29,$-92
5,2017-06-30,3.77,$30.05,0.13,$17.49,0.22,$11.24,0.34,$-0.30,0.0,$20.46B,$75.38B,0.27,$4.21B,$15.00B,0.28,$8.74B,$2.42B,27.71%,$8.74B,$0.84B,9.61%,$8.74B,$0.84B,9.61%,$8.74B,$1.21B,13.88%,$8.74B,$0.55B,6.31%,$8.74B,$-0.15B,-1.66%,$-0.15B,$15.00B,-0.95%,$-0.15B,$14.66B,-0.97%,$-0.15B,$105.02B,-0.14%,$0.84B,$19.20B,4.32%,$2223,$1369,$854,$0,$139,$1748,$475,$-74,$401,$130,$271,$271,$202,$571,$475,$499,501,$0.40,$0.40,$2853,$0,$0,$20462,$0,$73835,$334,$7984,$84554,$105016,$75382,$4205,$10271,$14638,$90020,$1,$653,$3095,$14996,$105016,$487,$157,$71,$228,$0,$0,$-23,$648,$593,$1308,$0,$0,$-5,$0,$-550,$-550,$32,$-523,$-12,$0,$-12,$0,$0,$-52,$-691,$-755,$69,$18,$-52
6,2017-03-31,4.12,$29.49,0.14,$17.53,0.24,$10.76,0.38,$-0.36,0.0,$20.70B,$75.34B,0.28,$4.19B,$14.72B,0.29,$8.76B,$2.44B,27.85%,$8.76B,$0.80B,9.09%,$8.76B,$0.80B,9.09%,$8.76B,$1.16B,13.20%,$8.76B,$0.50B,5.73%,$8.76B,$-0.18B,-2.00%,$-0.18B,$14.72B,-1.11%,$-0.18B,$14.34B,-1.13%,$-0.18B,$104.69B,-0.16%,$0.80B,$18.91B,3.99%,$2171,$1413,$758,$0,$94,$1777,$394,$-62,$332,$116,$216,$216,$155,$455,$394,$499,501,$0.31,$0.31,$3018,$0,$0,$20699,$0,$72369,$381,$8030,$83987,$104686,$75339,$4194,$10362,$14631,$89970,$1,$451,$3096,$14716,$104686,$216,$61,$-136,$-75,$0,$365,$-79,$265,$514,$655,$0,$0,$0,$0,$-148,$-148,$6,$-142,$-7,$0,$-7,$0,$0,$-39,$-258,$-304,$234,$10,$-39
7,2016-12-31,3.81,$29.05,0.13,$16.77,0.23,$9.97,0.38,$-0.56,0.0,$20.54B,$75.36B,0.27,$4.18B,$14.47B,0.29,$8.37B,$2.43B,29.01%,$8.37B,$0.66B,7.85%,$8.37B,$0.66B,7.85%,$8.37B,$1.02B,12.15%,$8.37B,$0.32B,3.82%,$8.37B,$-0.28B,-3.31%,$-0.28B,$14.47B,-1.73%,$-0.28B,$14.12B,-1.76%,$-0.28B,$104.66B,-0.26%,$0.66B,$18.65B,3.24%,$2198,$1703,$495,$0,$193,$2179,$19,$-75,$-56,$3,$-59,$-59,$-122,$186,$19,$498,498,$-0.26,$-0.25,$2784,$0,$0,$20539,$0,$72228,$348,$7972,$84119,$104658,$75359,$4180,$10599,$14832,$90191,$1,$287,$3094,$14467,$104658,$-67,$360,$-115,$245,$0,$0,$-358,$2000,$1674,$1852,$0,$0,$39,$0,$-2114,$-2114,$-45,$-2120,$-2024,$0,$-2024,$-70,$-70,$-138,$-699,$-2931,$-3209,$32,$-138
8,2016-09-30,4.96,$33.63,0.15,$16.69,0.3,$9.45,0.52,$-0.90,0.0,$20.62B,$75.61B,0.27,$4.19B,$16.75B,0.25,$8.33B,$2.47B,29.71%,$8.33B,$0.54B,6.47%,$8.33B,$0.54B,6.47%,$8.33B,$0.91B,10.96%,$8.33B,$0.17B,2.08%,$8.33B,$-0.45B,-5.37%,$-0.45B,$16.75B,-2.78%,$-0.45B,$16.49B,-2.83%,$-0.45B,$108.85B,-0.42%,$0.54B,$20.94B,2.64%,$2150,$1835,$315,$0,$94,$2198,$-48,$-77,$-125,$222,$-347,$-347,$-380,$1,$-48,$498,498,$-0.76,$-0.76,$3078,$0,$0,$20620,$0,$75937,$258,$8055,$88232,$108852,$75605,$4194,$11153,$16498,$92103,$1,$409,$5202,$16749,$108852,$-4,$193,$227,$420,$0,$0,$-258,$1596,$1382,$1798,$0,$0,$39,$0,$-2036,$-2036,$-53,$-2050,$-2019,$0,$-2019,$-70,$-70,$-126,$-484,$-2699,$-2915,$25,$-126
9,2016-06-30,2.58,$34.15,0.08,$16.60,0.16,$8.17,0.32,$-0.71,0.0,$21.02B,$75.04B,0.28,$4.19B,$17.01B,0.25,$8.28B,$2.79B,33.71%,$8.28B,$0.34B,4.12%,$8.28B,$0.34B,4.12%,$8.28B,$1.20B,14.47%,$8.28B,$-0.05B,-0.64%,$8.28B,$-0.35B,-4.24%,$-0.35B,$17.01B,-2.23%,$-0.35B,$16.74B,-2.27%,$-0.35B,$108.21B,-0.33%,$0.34B,$21.20B,1.69%,$2236,$1366,$870,$0,$112,$1805,$431,$-80,$351,$110,$241,$241,$172,$514,$431,$499,500,$0.35,$0.34,$3457,$0,$0,$21021,$0,$74748,$267,$8124,$87185,$108206,$75037,$4191,$11076,$16160,$91197,$1,$789,$5088,$17009,$108206,$328,$144,$291,$435,$0,$0,$-186,$433,$303,$1066,$0,$0,$39,$0,$-1253,$-1253,$-70,$-1284,$-2012,$0,$-2012,$-70,$-70,$-64,$-202,$-2348,$-2536,$16,$-64
