,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,127.4,$26.40,4.83,$22.37,5.7,$9.58,13.29,$3.87,32.92,$4.41B,$4.27B,1.03,$4.71B,$4.18B,1.13,$3.54B,$2.25B,63.56%,$3.54B,$0.72B,20.34%,$3.54B,$0.72B,20.34%,$3.54B,$1.26B,35.59%,$3.54B,$0.56B,15.71%,$3.54B,$0.62B,17.46%,$0.62B,$4.18B,15.17%,$0.62B,$-4.23B,-15.97%,$0.62B,$13.84B,4.75%,$0.72B,$8.88B,8.47%,$858,$265,$593,$0,$369,$635,$223,$-43,$180,$-6,$186,$186,$176,$361,$223,$158,159,$1.12,$1.11,$991,$0,$2894,$4414,$641,$0,$8410,$365,$9425,$13839,$4267,$4708,$173,$5397,$9664,$0,$1994,$-271,$4176,$13839,$401,$407,$55,$462,$-28,$0,$0,$-177,$-202,$661,$-156,$0,$-769,$0,$0,$0,$-3,$-928,$138,$49,$187,$-213,$-213,$-5,$-18,$-49,$-345,$45,$-5
1,2018-06-30,111.49,$25.41,4.39,$23.65,4.71,$8.08,13.8,$3.47,32.13,$3.66B,$3.36B,1.09,$4.26B,$4.02B,1.06,$3.72B,$2.20B,59.18%,$3.72B,$0.67B,17.98%,$3.72B,$0.67B,17.98%,$3.72B,$1.20B,32.20%,$3.72B,$0.51B,13.71%,$3.72B,$0.55B,14.86%,$0.55B,$4.02B,13.99%,$0.55B,$-3.65B,-14.28%,$0.55B,$12.30B,4.38%,$0.67B,$8.27B,7.99%,$833,$265,$569,$0,$378,$642,$191,$-45,$146,$28,$118,$118,$109,$328,$191,$159,160,$0.69,$0.68,$1100,$0,$2034,$3659,$616,$0,$7669,$346,$8641,$12300,$3364,$4255,$220,$4920,$8284,$0,$1819,$-244,$4016,$12300,$215,$269,$44,$313,$-22,$0,$0,$3,$-22,$507,$-103,$0,$0,$0,$0,$0,$-1,$-104,$-330,$-88,$-419,$-181,$-181,$-3,$-11,$-614,$-236,$30,$-3
2,2018-03-31,111.51,$25.95,4.3,$24.70,4.52,$6.95,16.03,$3.23,34.52,$4.16B,$3.91B,1.06,$4.18B,$4.14B,1.01,$3.85B,$2.13B,55.22%,$3.85B,$0.61B,15.84%,$3.85B,$0.61B,15.84%,$3.85B,$1.12B,29.09%,$3.85B,$0.45B,11.66%,$3.85B,$0.51B,13.27%,$0.51B,$4.14B,13.81%,$0.51B,$-3.67B,-13.06%,$0.51B,$12.90B,4.24%,$0.61B,$8.32B,7.53%,$795,$252,$543,$0,$386,$639,$156,$-34,$122,$25,$98,$98,$91,$288,$156,$159,160,$0.57,$0.57,$1006,$0,$2650,$4158,$600,$0,$7811,$323,$8745,$12903,$3909,$4177,$225,$4855,$8764,$0,$1739,$-177,$4140,$12903,$98,$132,$23,$155,$13,$0,$0,$25,$32,$285,$-44,$0,$0,$0,$0,$0,$-2,$-45,$-379,$-193,$-571,$2,$2,$-2,$-1,$-572,$-330,$15,$-2
3,2017-12-31,100.22,$24.91,4.02,$25.73,3.89,$7.07,14.18,$2.98,33.63,$4.30B,$3.82B,1.13,$4.56B,$3.97B,1.15,$3.98B,$2.05B,51.50%,$3.98B,$0.56B,14.06%,$3.98B,$0.56B,14.06%,$3.98B,$1.06B,26.54%,$3.98B,$0.39B,9.86%,$3.98B,$0.47B,11.80%,$0.47B,$3.97B,13.85%,$0.47B,$-3.92B,-11.75%,$0.47B,$13.00B,4.14%,$0.56B,$8.53B,7.17%,$1054,$509,$545,$0,$396,$905,$150,$-42,$108,$-142,$250,$250,$242,$283,$150,$155,156,$1.55,$1.54,$1336,$0,$2459,$4304,$588,$0,$7886,$207,$8694,$12998,$3816,$4559,$221,$5217,$9033,$0,$1598,$-183,$3965,$12998,$494,$496,$-119,$377,$-14,$0,$0,$-491,$-359,$512,$-144,$0,$-563,$0,$0,$0,$-29,$-736,$213,$222,$434,$-56,$-56,$-7,$-19,$352,$173,$39,$-7
4,2017-09-30,95.0,$23.27,4.08,$18.95,5.01,$4.70,20.21,$1.47,64.63,$3.55B,$3.12B,1.14,$4.68B,$3.70B,1.27,$2.92B,$1.50B,51.42%,$2.92B,$0.41B,14.00%,$2.92B,$0.41B,14.00%,$2.92B,$0.77B,26.43%,$2.92B,$0.28B,9.72%,$2.92B,$0.23B,7.77%,$0.23B,$3.70B,7.35%,$0.23B,$-4.25B,-5.62%,$0.23B,$12.28B,2.11%,$0.41B,$8.37B,5.51%,$1039,$494,$545,$0,$373,$866,$172,$-38,$134,$16,$118,$118,$111,$299,$172,$155,155,$0.72,$0.71,$1186,$0,$1847,$3550,$577,$0,$7945,$192,$8731,$12282,$3124,$4678,$152,$5463,$8587,$0,$1358,$-203,$3695,$12282,$244,$363,$51,$414,$-6,$0,$0,$-311,$-298,$360,$-99,$0,$-563,$0,$0,$0,$-48,$-710,$327,$77,$404,$-47,$-47,$-5,$-19,$333,$23,$31,$-5
5,2017-06-30,90.29,$19.70,4.58,$18.38,4.91,$3.74,24.16,$0.76,118.8,$2.52B,$2.10B,1.2,$4.18B,$3.01B,1.39,$2.82B,$1.43B,50.64%,$2.82B,$0.34B,12.11%,$2.82B,$0.34B,12.11%,$2.82B,$0.70B,24.61%,$2.82B,$0.20B,7.22%,$2.82B,$0.17B,5.84%,$0.17B,$3.01B,5.76%,$0.17B,$-3.81B,-4.11%,$0.17B,$10.04B,1.62%,$0.34B,$7.18B,4.81%,$962,$469,$493,$0,$361,$830,$132,$-47,$85,$13,$72,$72,$67,$250,$132,$153,154,$0.44,$0.44,$1081,$0,$1000,$2516,$538,$0,$6817,$149,$7521,$10037,$2098,$4175,$141,$4934,$7032,$0,$1256,$-243,$3005,$10037,$125,$236,$26,$262,$-5,$0,$0,$-89,$-119,$268,$-52,$0,$0,$0,$0,$0,$-34,$-87,$-181,$-88,$-269,$0,$0,$-4,$-19,$-291,$-82,$21,$-4
6,2017-03-31,80.64,$18.86,4.28,$18.28,4.41,$4.05,19.92,$0.87,92.69,$2.40B,$2.09B,1.15,$4.22B,$2.88B,1.47,$2.81B,$1.42B,50.43%,$2.81B,$0.33B,11.73%,$2.81B,$0.33B,11.73%,$2.81B,$0.68B,24.16%,$2.81B,$0.20B,6.93%,$2.81B,$0.15B,5.47%,$0.15B,$2.88B,7.28%,$0.15B,$-3.98B,-5.04%,$0.15B,$9.96B,2.00%,$0.33B,$7.10B,6.21%,$920,$456,$464,$0,$359,$815,$105,$-40,$65,$12,$53,$53,$49,$223,$105,$152,153,$0.32,$0.32,$1262,$0,$752,$2399,$552,$0,$6857,$136,$7561,$9960,$2093,$4221,$132,$4991,$7083,$0,$1193,$-288,$2876,$9960,$53,$118,$8,$126,$12,$0,$0,$116,$115,$294,$-46,$0,$0,$0,$0,$0,$-0,$-47,$-41,$-118,$-159,$1,$1,$-2,$-1,$-160,$99,$9,$-2
7,2016-12-31,69.37,$0.00,0.0,$18.34,3.78,$3.17,21.89,$0.55,126.12,$3.12B,$2.85B,1.09,$4.26B,$2.78B,1.53,$2.83B,$1.43B,50.55%,$2.83B,$0.35B,12.21%,$2.83B,$0.35B,12.21%,$2.83B,$0.69B,24.46%,$2.83B,$0.25B,8.86%,$2.83B,$0.19B,6.71%,$0.19B,$2.78B,8.96%,$0.19B,$-4.11B,-6.13%,$0.19B,$10.66B,2.45%,$0.35B,$7.04B,6.48%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$1163,$0,$1547,$3116,$526,$0,$6893,$113,$7548,$10664,$2852,$4261,$96,$5033,$7885,$0,$1137,$-323,$2779,$10664,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
8,2016-11-30,68.51,$18.40,3.72,$23.98,2.86,$4.42,15.51,$0.81,84.58,$2.58B,$2.21B,1.17,$4.32B,$2.80B,1.54,$3.68B,$1.87B,50.82%,$3.68B,$0.41B,11.07%,$3.68B,$0.41B,11.07%,$3.68B,$0.77B,20.92%,$3.68B,$0.32B,8.65%,$3.68B,$0.25B,6.86%,$0.25B,$2.80B,17.66%,$0.25B,$-4.14B,-12.15%,$0.25B,$10.11B,4.95%,$0.41B,$7.12B,11.37%,$942,$468,$473,$0,$368,$837,$105,$-51,$54,$2,$53,$53,$49,$222,$105,$153,154,$0.32,$0.32,$996,$0,$1118,$2575,$521,$0,$6940,$57,$7538,$10113,$2210,$4316,$90,$5101,$7311,$0,$1147,$-310,$2802,$10113,$145,$224,$-40,$184,$10,$0,$0,$-133,$-136,$194,$-83,$0,$-35,$0,$38,$38,$0,$-81,$-26,$95,$69,$-188,$-188,$-3,$-9,$-131,$-49,$16,$-3
9,2016-09-30,76.7,$0.00,0.0,$17.87,4.29,$3.70,20.73,$0.81,94.69,$0.00B,$0.00B,0.0,$0.00B,$0.00B,0.0,$2.73B,$1.40B,51.02%,$2.73B,$0.30B,11.05%,$2.73B,$0.30B,11.05%,$2.73B,$0.55B,20.01%,$2.73B,$0.26B,9.66%,$2.73B,$0.20B,7.43%,$0.20B,$0.00B,14.04%,$0.20B,$0.00B,-9.70%,$0.20B,$0.00B,3.91%,$0.30B,$0.00B,8.36%,$952,$470,$482,$0,$362,$831,$120,$-44,$76,$14,$62,$62,$56,$235,$120,$154,155,$0.36,$0.36,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$193,$246,$7,$253,$14,$0,$0,$-73,$-78,$367,$-102,$0,$-1826,$0,$38,$38,$-1,$-1892,$2153,$-1,$2152,$-124,$-124,$-4,$-69,$1955,$423,$26,$-4
