,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,138.62,$15.81,8.77,$10.14,13.67,$4.04,34.33,$1.27,109.15,$0.46B,$0.20B,2.31,$0.29B,$1.43B,0.2,$0.93B,$0.46B,49.84%,$0.93B,$0.11B,12.32%,$0.93B,$0.11B,12.32%,$0.93B,$0.19B,20.97%,$0.93B,$0.11B,12.11%,$0.93B,$0.14B,14.92%,$0.14B,$1.43B,10.82%,$0.14B,$0.03B,133.66%,$0.14B,$1.99B,8.02%,$0.11B,$1.72B,7.83%,$247,$133,$114,$0,$72,$225,$22,$-0,$22,$-1,$23,$23,$23,$43,$22,$90,94,$0.25,$0.24,$311,$0,$0,$463,$105,$0,$1406,$12,$1523,$1986,$200,$290,$20,$354,$554,$0,$355,$-2,$1432,$1986,$84,$62,$42,$105,$-18,$0,$5,$-5,$-23,$165,$-53,$0,$-367,$55,$-48,$7,$0,$-413,$123,$0,$123,$213,$213,$0,$-28,$307,$59,$36,$0
1,2018-06-30,104.91,$15.46,6.79,$9.34,11.23,$3.75,28.01,$1.42,73.88,$0.59B,$0.17B,3.43,$0.12B,$1.40B,0.08,$0.84B,$0.43B,51.13%,$0.84B,$0.11B,12.96%,$0.84B,$0.11B,12.96%,$0.84B,$0.18B,21.52%,$0.84B,$0.11B,12.72%,$0.84B,$0.13B,15.22%,$0.13B,$1.40B,10.84%,$0.13B,$0.31B,81.92%,$0.13B,$1.78B,8.27%,$0.11B,$1.51B,8.46%,$240,$121,$119,$0,$64,$205,$34,$-0,$34,$4,$30,$30,$30,$54,$34,$90,93,$0.34,$0.33,$482,$0,$0,$592,$89,$0,$1084,$9,$1183,$1775,$173,$117,$18,$206,$378,$0,$332,$-2,$1396,$1775,$61,$41,$21,$63,$6,$0,$-0,$-13,$-8,$116,$-32,$0,$1,$29,$-44,$-15,$0,$-47,$-52,$0,$-52,$210,$210,$0,$-19,$140,$209,$22,$0
2,2018-03-31,101.47,$13.26,7.65,$8.56,11.85,$3.42,29.66,$1.26,80.53,$0.40B,$0.19B,2.1,$0.14B,$1.16B,0.12,$0.76B,$0.39B,51.71%,$0.76B,$0.10B,12.76%,$0.76B,$0.10B,12.76%,$0.76B,$0.16B,20.92%,$0.76B,$0.10B,12.50%,$0.76B,$0.11B,14.87%,$0.11B,$1.16B,10.38%,$0.11B,$0.06B,75.84%,$0.11B,$1.58B,7.98%,$0.10B,$1.30B,8.31%,$233,$114,$119,$0,$66,$201,$32,$-1,$31,$-0,$31,$31,$31,$53,$32,$87,90,$0.35,$0.34,$288,$0,$0,$398,$79,$0,$1094,$7,$1180,$1578,$189,$143,$17,$232,$421,$0,$302,$-1,$1157,$1578,$31,$21,$9,$30,$4,$0,$1,$6,$10,$72,$-12,$0,$1,$18,$-11,$8,$0,$-3,$-26,$0,$-26,$7,$7,$0,$-11,$-30,$38,$10,$0
3,2017-12-31,71.8,$12.88,5.57,$7.77,9.24,$3.27,21.98,$1.12,64.11,$0.36B,$0.18B,2.07,$0.17B,$1.12B,0.15,$0.68B,$0.36B,52.27%,$0.68B,$0.09B,13.18%,$0.68B,$0.09B,13.18%,$0.68B,$0.14B,20.64%,$0.68B,$0.09B,13.03%,$0.68B,$0.10B,14.64%,$0.10B,$1.12B,9.53%,$0.10B,$0.01B,51.15%,$0.10B,$1.54B,7.51%,$0.09B,$1.29B,8.24%,$205,$96,$109,$0,$64,$179,$26,$-1,$25,$-28,$54,$54,$54,$44,$26,$86,88,$0.62,$0.60,$258,$0,$0,$360,$71,$0,$1105,$6,$1183,$1544,$175,$170,$7,$251,$426,$0,$270,$-1,$1118,$1544,$99,$52,$4,$56,$-28,$0,$-4,$30,$-2,$153,$-40,$-25,$-333,$216,$-155,$61,$1,$-337,$174,$0,$174,$16,$16,$0,$-13,$178,$-5,$33,$0
4,2017-09-30,52.66,$12.16,4.33,$7.04,7.48,$2.70,19.52,$0.68,77.44,$0.42B,$0.13B,3.11,$0.00B,$1.05B,0.0,$0.62B,$0.32B,52.52%,$0.62B,$0.09B,14.15%,$0.62B,$0.09B,14.15%,$0.62B,$0.13B,21.14%,$0.62B,$0.09B,14.15%,$0.62B,$0.06B,9.76%,$0.06B,$1.05B,5.92%,$0.06B,$0.24B,24.19%,$0.06B,$1.30B,4.82%,$0.09B,$1.05B,8.59%,$163,$80,$83,$0,$54,$146,$17,$0,$17,$4,$13,$13,$13,$30,$17,$86,89,$0.15,$0.15,$332,$0,$0,$415,$62,$0,$815,$4,$881,$1296,$134,$0,$7,$110,$243,$0,$217,$-1,$1053,$1296,$45,$33,$21,$55,$-16,$0,$3,$17,$8,$108,$-28,$-25,$-52,$165,$-146,$19,$1,$-85,$0,$0,$0,$13,$13,$0,$-8,$5,$28,$24,$0
5,2017-06-30,43.6,$11.91,3.66,$6.63,6.58,$2.22,19.67,$0.68,64.12,$0.44B,$0.11B,3.87,$0.00B,$1.03B,0.0,$0.58B,$0.31B,53.57%,$0.58B,$0.09B,15.83%,$0.58B,$0.09B,15.83%,$0.58B,$0.13B,22.61%,$0.58B,$0.09B,15.83%,$0.58B,$0.06B,10.43%,$0.06B,$1.03B,6.08%,$0.06B,$0.28B,25.32%,$0.06B,$1.25B,4.94%,$0.09B,$1.03B,9.22%,$159,$77,$82,$0,$50,$137,$22,$0,$22,$7,$15,$15,$15,$32,$22,$86,88,$0.17,$0.17,$374,$0,$0,$442,$57,$0,$745,$4,$805,$1248,$114,$0,$7,$105,$220,$0,$204,$-2,$1028,$1248,$32,$21,$8,$29,$1,$0,$-1,$6,$6,$68,$-17,$-5,$0,$114,$-110,$4,$0,$-17,$0,$0,$0,$8,$8,$0,$-6,$3,$54,$15,$0
6,2017-03-31,32.89,$11.62,2.83,$6.22,5.29,$1.91,17.21,$0.66,49.83,$0.43B,$0.13B,3.27,$0.00B,$1.00B,0.0,$0.54B,$0.30B,55.04%,$0.54B,$0.09B,17.16%,$0.54B,$0.09B,17.16%,$0.54B,$0.13B,24.07%,$0.54B,$0.09B,17.16%,$0.54B,$0.06B,10.82%,$0.06B,$1.00B,6.04%,$0.06B,$0.25B,28.19%,$0.06B,$1.24B,4.89%,$0.09B,$1.00B,9.58%,$156,$73,$83,$0,$49,$131,$25,$0,$25,$7,$18,$18,$18,$35,$25,$86,87,$0.21,$0.20,$361,$0,$0,$433,$52,$0,$750,$4,$806,$1239,$133,$0,$7,$108,$240,$0,$189,$-2,$999,$1239,$18,$10,$2,$13,$-2,$0,$0,$23,$21,$52,$-7,$-5,$0,$56,$-58,$-2,$0,$-14,$0,$0,$0,$2,$2,$0,$-4,$-2,$36,$7,$0
7,2016-12-31,37.62,$11.34,3.32,$5.74,6.56,$1.55,24.21,$0.58,64.86,$0.40B,$0.11B,3.59,$0.00B,$0.97B,0.0,$0.49B,$0.28B,56.71%,$0.49B,$0.08B,17.07%,$0.49B,$0.08B,17.07%,$0.49B,$0.12B,24.19%,$0.49B,$0.08B,17.07%,$0.49B,$0.05B,10.16%,$0.05B,$0.97B,5.35%,$0.05B,$0.22B,25.22%,$0.05B,$1.20B,4.36%,$0.08B,$0.97B,8.99%,$137,$62,$75,$0,$43,$115,$23,$0,$23,$10,$14,$14,$14,$33,$23,$85,86,$0.16,$0.16,$324,$0,$0,$396,$47,$0,$750,$5,$801,$1198,$110,$0,$7,$115,$225,$0,$168,$-2,$972,$1198,$50,$35,$27,$62,$-17,$0,$-3,$7,$-14,$98,$-37,$-0,$-66,$285,$-227,$58,$-0,$-46,$0,$0,$0,$-1,$-1,$0,$21,$19,$70,$24,$0
8,2016-09-30,42.99,$11.11,3.87,$5.31,8.1,$1.24,34.7,$0.55,78.16,$0.37B,$0.11B,3.33,$0.00B,$0.95B,0.0,$0.46B,$0.26B,57.80%,$0.46B,$0.08B,16.70%,$0.46B,$0.08B,16.70%,$0.46B,$0.11B,23.74%,$0.46B,$0.08B,16.92%,$0.46B,$0.05B,10.33%,$0.05B,$0.95B,5.16%,$0.05B,$0.19B,24.51%,$0.05B,$1.17B,4.23%,$0.08B,$0.95B,8.34%,$123,$55,$68,$0,$38,$103,$21,$0,$21,$8,$13,$13,$13,$30,$21,$85,86,$0.15,$0.15,$297,$0,$0,$369,$43,$0,$755,$5,$804,$1172,$111,$0,$6,$112,$223,$0,$155,$-2,$950,$1172,$36,$25,$18,$43,$-22,$0,$-5,$11,$-16,$62,$-26,$-0,$-66,$211,$-187,$23,$-1,$-69,$0,$0,$0,$-3,$-3,$0,$19,$16,$9,$18,$0
9,2016-06-30,31.07,$10.82,2.87,$4.88,6.37,$0.88,35.16,$0.48,64.73,$0.33B,$0.10B,3.21,$0.00B,$0.92B,0.0,$0.42B,$0.25B,58.61%,$0.42B,$0.07B,16.03%,$0.42B,$0.07B,16.03%,$0.42B,$0.10B,22.97%,$0.42B,$0.07B,16.27%,$0.42B,$0.04B,9.81%,$0.04B,$0.92B,4.62%,$0.04B,$0.16B,21.55%,$0.04B,$1.13B,3.81%,$0.07B,$0.92B,7.55%,$120,$51,$69,$0,$38,$98,$23,$0,$23,$10,$13,$13,$13,$31,$23,$85,86,$0.15,$0.15,$270,$0,$0,$333,$32,$0,$761,$5,$798,$1132,$104,$0,$6,$109,$213,$0,$142,$-1,$919,$1132,$23,$16,$9,$25,$-12,$0,$-1,$2,$-11,$37,$-14,$-0,$-68,$128,$-124,$5,$-1,$-77,$0,$0,$0,$-12,$-12,$0,$16,$4,$-36,$12,$0
