,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,23.39,$21.46,1.09,$64.23,0.36,$-6.32,0.0,$2.05,11.41,$6.75B,$5.05B,1.34,$5.60B,$5.00B,1.12,$15.67B,$3.60B,22.95%,$15.67B,$1.26B,8.06%,$15.67B,$1.26B,8.06%,$15.67B,$2.06B,13.16%,$15.67B,$1.10B,6.99%,$15.67B,$0.49B,3.11%,$0.49B,$5.00B,9.91%,$0.49B,$4.29B,11.63%,$0.49B,$17.59B,2.80%,$1.26B,$10.60B,12.13%,$3928,$3028,$900,$0,$553,$3581,$347,$166,$513,$159,$354,$354,$351,$547,$347,$236,238,$1.49,$1.48,$896,$2938,$0,$6753,$7132,$0,$709,$1089,$10838,$17591,$5047,$5604,$1845,$7544,$12591,$233,$6525,$-4083,$5000,$17591,$598,$600,$-369,$231,$-807,$-254,$235,$-27,$-853,$-24,$-613,$0,$0,$0,$0,$0,$-51,$-664,$712,$191,$903,$-196,$-196,$-100,$-30,$577,$-148,$0,$-100
1,2018-06-30,23.16,$20.44,1.13,$63.16,0.37,$-6.90,0.0,$1.07,21.64,$6.57B,$4.83B,1.36,$5.73B,$4.84B,1.18,$15.66B,$3.56B,22.75%,$15.66B,$1.24B,7.90%,$15.66B,$1.24B,7.90%,$15.66B,$2.04B,13.02%,$15.66B,$0.75B,4.76%,$15.66B,$0.27B,1.69%,$0.27B,$4.84B,5.36%,$0.27B,$4.13B,6.29%,$0.27B,$17.36B,1.52%,$1.24B,$10.57B,11.81%,$3841,$2949,$892,$0,$588,$3537,$304,$-121,$183,$19,$164,$164,$157,$502,$304,$239,241,$0.66,$0.65,$975,$2941,$0,$6569,$7233,$0,$714,$804,$10786,$17355,$4833,$5726,$1853,$7678,$12511,$237,$6208,$-4022,$4844,$17355,$244,$400,$-190,$210,$-475,$-222,$253,$-94,$-538,$-84,$-440,$0,$0,$8,$0,$8,$-38,$-470,$611,$92,$703,$-97,$-97,$-67,$-20,$519,$-60,$0,$-67
2,2018-03-31,26.28,$20.68,1.27,$61.62,0.43,$-7.38,0.0,$1.00,26.28,$6.49B,$4.94B,1.31,$5.60B,$4.96B,1.13,$15.51B,$3.57B,23.04%,$15.51B,$1.26B,8.10%,$15.51B,$1.26B,8.10%,$15.51B,$2.07B,13.36%,$15.51B,$0.75B,4.85%,$15.51B,$0.26B,1.64%,$0.26B,$4.96B,5.08%,$0.26B,$4.22B,5.94%,$0.26B,$17.58B,1.45%,$1.26B,$10.56B,11.99%,$3830,$2976,$854,$0,$591,$3567,$263,$-150,$113,$33,$80,$80,$75,$465,$263,$240,244,$0.31,$0.31,$837,$2895,$0,$6488,$7502,$0,$746,$805,$11092,$17580,$4941,$5600,$1976,$7677,$12618,$240,$6084,$-3867,$4962,$17580,$80,$202,$-105,$97,$-467,$-81,$99,$-117,$-566,$-389,$-248,$0,$0,$0,$0,$0,$0,$-248,$426,$66,$492,$-24,$-24,$-34,$-35,$399,$-222,$0,$-34
3,2017-12-31,31.82,$20.21,1.57,$60.38,0.53,$-6.95,0.0,$1.34,23.74,$6.08B,$5.03B,1.21,$5.08B,$4.85B,1.05,$15.38B,$3.66B,23.79%,$15.38B,$1.36B,8.82%,$15.38B,$1.36B,8.82%,$15.38B,$2.16B,14.03%,$15.38B,$0.88B,5.71%,$15.38B,$0.35B,2.25%,$0.35B,$4.85B,6.89%,$0.35B,$4.12B,8.03%,$0.35B,$17.06B,1.98%,$1.36B,$9.93B,13.05%,$4071,$3120,$951,$0,$602,$3722,$349,$-62,$287,$377,$-90,$-90,$-96,$548,$349,$249,253,$-0.37,$-0.36,$1043,$2787,$0,$6079,$7451,$0,$734,$792,$10985,$17064,$5025,$5076,$2013,$7189,$12214,$240,$6044,$-3976,$4850,$17064,$365,$802,$281,$1083,$-147,$-44,$85,$-184,$-290,$1158,$-869,$0,$0,$0,$0,$0,$-10,$-879,$121,$8,$129,$-386,$-386,$-110,$-48,$-415,$-79,$0,$-110
4,2017-09-30,32.59,$20.82,1.57,$58.35,0.56,$-5.85,0.0,$3.87,8.42,$6.73B,$4.92B,1.37,$5.74B,$5.12B,1.12,$15.05B,$3.73B,24.76%,$15.05B,$1.43B,9.48%,$15.05B,$1.43B,9.48%,$15.05B,$2.23B,14.79%,$15.05B,$0.92B,6.11%,$15.05B,$1.00B,6.67%,$1.00B,$5.12B,20.11%,$1.00B,$4.40B,23.37%,$1.00B,$17.85B,5.80%,$1.43B,$10.86B,13.86%,$3921,$3054,$867,$0,$545,$3599,$322,$-160,$162,$30,$132,$132,$129,$524,$322,$250,254,$0.52,$0.50,$822,$2991,$0,$6727,$7331,$0,$724,$714,$11125,$17852,$4922,$5737,$1981,$7809,$12731,$246,$6175,$-4015,$5121,$17852,$455,$603,$-29,$574,$-807,$-254,$5,$-127,$-1183,$-154,$-674,$0,$0,$0,$0,$0,$-1,$-675,$779,$21,$800,$-193,$-193,$-75,$-75,$457,$-321,$0,$-75
5,2017-06-30,34.17,$20.42,1.67,$57.37,0.6,$-4.17,0.0,$4.56,7.49,$6.63B,$5.07B,1.31,$5.40B,$5.15B,1.05,$14.97B,$3.97B,26.51%,$14.97B,$1.62B,10.79%,$14.97B,$1.62B,10.79%,$14.97B,$2.40B,16.02%,$14.97B,$1.07B,7.13%,$14.97B,$1.19B,7.95%,$1.19B,$5.15B,24.39%,$1.19B,$4.44B,28.40%,$1.19B,$17.65B,6.96%,$1.62B,$10.55B,15.98%,$3686,$2785,$901,$0,$579,$3364,$322,$-132,$190,$36,$154,$154,$147,$535,$322,$252,256,$0.58,$0.58,$903,$3184,$0,$6632,$7245,$0,$708,$700,$11014,$17646,$5069,$5403,$1943,$7432,$12501,$252,$6071,$-4052,$5145,$17646,$323,$401,$-10,$391,$-470,$-482,$190,$-137,$-899,$-185,$-495,$0,$0,$0,$0,$0,$-3,$-498,$551,$-13,$538,$-19,$-19,$-50,$-43,$426,$-220,$0,$-50
6,2017-03-31,35.08,$19.68,1.78,$57.45,0.61,$-3.50,0.0,$4.73,7.42,$6.33B,$4.92B,1.29,$5.26B,$4.96B,1.06,$15.17B,$4.14B,27.26%,$15.17B,$1.77B,11.65%,$15.17B,$1.77B,11.65%,$15.17B,$2.53B,16.68%,$15.17B,$1.18B,7.77%,$15.17B,$1.25B,8.22%,$1.25B,$4.96B,26.51%,$1.25B,$4.28B,31.06%,$1.25B,$17.19B,7.36%,$1.77B,$10.22B,17.65%,$3699,$2760,$939,$0,$576,$3336,$363,$-124,$239,$70,$169,$169,$166,$551,$363,$252,256,$0.66,$0.65,$961,$2845,$0,$6325,$7135,$0,$681,$682,$10869,$17194,$4915,$5257,$1976,$7319,$12234,$252,$5949,$-4103,$4960,$17194,$169,$188,$25,$213,$-478,$-191,$73,$-72,$-668,$-286,$-270,$0,$0,$0,$0,$0,$0,$-270,$469,$-31,$438,$-16,$-16,$-25,$1,$398,$-138,$0,$-25
7,2016-12-31,29.99,$18.75,1.6,$56.62,0.53,$-3.63,0.0,$4.76,6.3,$5.72B,$4.82B,1.19,$4.80B,$4.73B,1.02,$15.16B,$4.19B,27.62%,$15.16B,$1.78B,11.74%,$15.16B,$1.78B,11.74%,$15.16B,$2.54B,16.72%,$15.16B,$1.21B,7.96%,$15.16B,$1.26B,8.34%,$1.26B,$4.73B,27.83%,$1.26B,$4.05B,32.86%,$1.26B,$16.51B,7.51%,$1.78B,$9.52B,17.86%,$3741,$2722,$1019,$0,$600,$3322,$419,$-90,$329,$-238,$567,$567,$561,$615,$419,$263,266,$2.15,$2.12,$1132,$2627,$0,$5718,$7040,$0,$671,$668,$10793,$16511,$4817,$4798,$2086,$6969,$11786,$252,$5808,$-4198,$4725,$16511,$1284,$756,$-208,$548,$211,$-172,$-156,$-158,$-275,$1557,$-961,$0,$0,$-12,$0,$-12,$-6,$-979,$-445,$189,$-256,$-487,$-487,$-82,$-51,$-876,$-313,$0,$-82
8,2016-09-30,31.27,$18.02,1.73,$57.44,0.54,$-2.91,0.0,$1.20,26.06,$6.57B,$4.80B,1.37,$5.45B,$4.70B,1.16,$15.48B,$4.16B,26.87%,$15.48B,$1.63B,10.51%,$15.48B,$1.63B,10.51%,$15.48B,$2.38B,15.37%,$15.48B,$0.37B,2.38%,$15.48B,$0.32B,2.09%,$0.32B,$4.70B,7.35%,$0.32B,$4.00B,8.74%,$0.32B,$17.14B,1.92%,$1.63B,$10.15B,16.46%,$3847,$2736,$1111,$0,$599,$3335,$512,$-202,$310,$-10,$320,$320,$317,$697,$512,$262,266,$1.21,$1.19,$975,$2754,$0,$6571,$7039,$0,$702,$702,$10572,$17143,$4800,$5446,$2104,$7639,$12439,$261,$5247,$-3957,$4704,$17143,$717,$560,$71,$631,$-570,$-236,$-144,$-108,$-1058,$290,$-711,$0,$13,$-12,$0,$-12,$2,$-708,$104,$120,$224,$-191,$-191,$-56,$-86,$-109,$-502,$0,$-56
9,2016-06-30,24.78,$16.82,1.47,$58.25,0.43,$-1.36,0.0,$1.00,24.78,$6.47B,$4.59B,1.41,$5.75B,$4.41B,1.3,$15.82B,$4.23B,26.76%,$15.82B,$1.67B,10.53%,$15.82B,$1.67B,10.53%,$15.82B,$2.41B,15.22%,$15.82B,$0.49B,3.09%,$15.82B,$0.28B,1.75%,$0.28B,$4.41B,6.43%,$0.28B,$3.71B,7.67%,$0.28B,$16.86B,1.64%,$1.67B,$10.15B,16.94%,$3879,$2813,$1066,$0,$593,$3406,$473,$-172,$301,$93,$208,$208,$202,$667,$473,$264,268,$0.76,$0.75,$1138,$2686,$0,$6468,$6960,$0,$698,$706,$10392,$16860,$4594,$5745,$2023,$7858,$12452,$262,$4918,$-3962,$4408,$16860,$397,$375,$59,$434,$-417,$-176,$-93,$-212,$-898,$-67,$-465,$0,$0,$-11,$0,$-11,$0,$-476,$352,$88,$440,$-147,$-147,$-38,$-83,$172,$-349,$0,$-38
