,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1.04,$7.08,0.15,$0.13,8.18,$1.86,0.56,$-0.73,0.0,$0.21B,$0.00B,67.56,$0.00B,$0.33B,0.01,$0.01B,$-0.02B,-380.00%,$0.01B,$-0.07B,-1300.00%,$0.01B,$-0.07B,-1300.00%,$0.01B,$-0.05B,-920.00%,$0.01B,$-0.07B,-1300.00%,$0.01B,$-0.05B,-960.00%,$-0.05B,$0.33B,-13.06%,$-0.05B,$0.30B,-14.19%,$-0.05B,$0.34B,-12.87%,$-0.07B,$0.33B,-17.59%,$0,$6,$-5,$0,$1,$27,$-27,$0,$-27,$-7,$-19,$-19,$-19,$-22,$-27,$47,47,$-0.42,$-0.42,$208,$0,$0,$212,$67,$0,$28,$14,$125,$337,$3,$2,$0,$2,$5,$0,$249,$-11,$331,$337,$-31,$15,$9,$23,$30,$1,$0,$-0,$31,$23,$-11,$-1,$0,$0,$0,$0,$0,$-12,$-0,$0,$-0,$0,$0,$0,$0,$-0,$-1,$0,$0
1,2018-06-30,1.38,$7.81,0.18,$0.63,2.2,$2.10,0.66,$-0.66,0.0,$0.22B,$0.00B,70.52,$0.00B,$0.37B,0.01,$0.03B,$-0.01B,-24.14%,$0.03B,$-0.03B,-113.79%,$0.03B,$-0.03B,-113.79%,$0.03B,$-0.01B,-44.83%,$0.03B,$-0.03B,-113.79%,$0.03B,$-0.03B,-89.66%,$-0.03B,$0.37B,-6.79%,$-0.03B,$0.34B,-7.36%,$-0.03B,$0.37B,-6.68%,$-0.03B,$0.37B,-8.57%,$0,$6,$-6,$0,$1,$7,$-7,$0,$-7,$-2,$-5,$-5,$-5,$-2,$-7,$47,47,$-0.10,$-0.10,$216,$0,$0,$223,$95,$0,$29,$14,$148,$371,$3,$2,$0,$2,$5,$0,$268,$4,$366,$371,$-12,$10,$-3,$6,$26,$1,$0,$-0,$27,$21,$-10,$-1,$0,$0,$0,$0,$0,$-11,$-0,$0,$-0,$0,$0,$0,$0,$-0,$7,$0,$0
2,2018-03-31,1.43,$8.35,0.17,$1.64,0.87,$2.07,0.69,$-0.27,0.0,$0.25B,$0.00B,62.16,$0.00B,$0.39B,0.01,$0.08B,$0.02B,25.97%,$0.08B,$-0.01B,-10.39%,$0.08B,$-0.01B,-10.39%,$0.08B,$0.01B,16.88%,$0.08B,$-0.01B,-9.09%,$0.08B,$-0.01B,-9.09%,$-0.01B,$0.39B,-1.81%,$-0.01B,$0.36B,-1.96%,$-0.01B,$0.40B,-1.76%,$-0.01B,$0.39B,-2.06%,$2,$7,$-5,$0,$4,$11,$-8,$0,$-8,$-1,$-7,$-7,$-7,$-3,$-8,$47,47,$-0.15,$-0.15,$237,$0,$0,$249,$95,$0,$31,$15,$148,$397,$4,$2,$0,$2,$6,$0,$273,$24,$391,$397,$-7,$5,$-0,$5,$20,$1,$0,$-0,$22,$20,$-0,$-0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$28,$0,$0
3,2017-12-31,1.47,$8.16,0.18,$2.30,0.64,$1.82,0.81,$0.05,29.4,$0.24B,$0.00B,74.7,$0.00B,$0.38B,0.01,$0.11B,$0.04B,35.19%,$0.11B,$0.01B,10.19%,$0.11B,$0.01B,10.19%,$0.11B,$0.03B,29.63%,$0.11B,$0.01B,11.11%,$0.11B,$0.01B,7.41%,$0.01B,$0.38B,2.11%,$0.01B,$0.35B,2.28%,$0.01B,$0.39B,2.03%,$0.01B,$0.38B,2.89%,$3,$7,$-3,$0,$2,$26,$-23,$0,$-23,$-6,$-17,$-17,$-17,$-19,$-23,$47,47,$-0.36,$-0.36,$209,$1,$0,$242,$96,$0,$29,$14,$146,$387,$3,$2,$0,$2,$6,$0,$280,$8,$382,$387,$8,$21,$16,$37,$26,$5,$0,$-1,$18,$63,$-18,$-10,$0,$0,$0,$0,$0,$-28,$-0,$0,$-0,$0,$0,$0,$0,$-0,$45,$0,$0
4,2017-09-30,1.89,$8.39,0.23,$2.83,0.67,$1.69,1.12,$0.66,2.86,$0.27B,$0.01B,35.99,$0.00B,$0.39B,0.01,$0.13B,$0.05B,38.35%,$0.13B,$0.04B,31.58%,$0.13B,$0.04B,31.58%,$0.13B,$0.07B,48.87%,$0.13B,$0.04B,32.33%,$0.13B,$0.03B,23.31%,$0.03B,$0.39B,8.36%,$0.03B,$0.36B,9.05%,$0.03B,$0.40B,7.99%,$0.04B,$0.40B,11.26%,$24,$16,$7,$0,$3,$19,$5,$0,$5,$2,$3,$3,$3,$11,$5,$47,47,$0.07,$0.07,$193,$2,$0,$269,$98,$0,$29,$5,$134,$403,$7,$2,$0,$2,$10,$0,$297,$2,$393,$403,$25,$17,$2,$18,$-17,$4,$0,$-1,$-20,$23,$-1,$-1,$0,$0,$0,$0,$0,$-1,$-0,$0,$-0,$0,$0,$0,$0,$-0,$30,$0,$0
5,2017-06-30,1.59,$8.13,0.2,$3.16,0.5,$1.47,1.08,$0.82,1.94,$0.27B,$0.02B,11.98,$0.00B,$0.38B,0.01,$0.15B,$0.06B,40.54%,$0.15B,$0.05B,34.46%,$0.15B,$0.05B,34.46%,$0.15B,$0.07B,50.00%,$0.15B,$0.05B,35.14%,$0.15B,$0.04B,26.35%,$0.04B,$0.38B,10.77%,$0.04B,$0.35B,11.69%,$0.04B,$0.41B,10.22%,$0.05B,$0.38B,14.00%,$48,$27,$21,$0,$2,$29,$18,$0,$19,$5,$14,$14,$14,$24,$18,$47,47,$0.29,$0.29,$176,$5,$0,$269,$101,$0,$28,$5,$136,$405,$22,$2,$0,$2,$25,$0,$294,$-7,$381,$405,$22,$11,$1,$12,$-33,$1,$0,$-1,$-24,$10,$-0,$-1,$0,$0,$0,$0,$0,$-1,$-0,$0,$-0,$0,$0,$0,$0,$-0,$12,$0,$0
6,2017-03-31,1.78,$7.68,0.23,$3.17,0.56,$1.62,1.1,$0.81,2.2,$0.24B,$0.02B,14.52,$0.00B,$0.36B,0.01,$0.15B,$0.06B,38.51%,$0.15B,$0.05B,33.78%,$0.15B,$0.05B,33.78%,$0.15B,$0.07B,50.00%,$0.15B,$0.05B,33.78%,$0.15B,$0.04B,25.68%,$0.04B,$0.36B,10.73%,$0.04B,$0.33B,11.66%,$0.04B,$0.38B,10.15%,$0.05B,$0.36B,14.03%,$33,$20,$13,$0,$2,$22,$11,$0,$11,$3,$8,$8,$8,$16,$11,$47,47,$0.17,$0.17,$173,$5,$0,$239,$105,$0,$28,$5,$139,$378,$16,$2,$0,$2,$19,$0,$280,$-14,$360,$378,$8,$6,$0,$6,$-9,$1,$0,$-1,$-5,$8,$-0,$-0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$9,$0,$0
7,2016-12-31,1.95,$7.47,0.26,$3.21,0.61,$1.75,1.11,$0.78,2.5,$0.22B,$0.01B,15.9,$0.00B,$0.35B,0.01,$0.15B,$0.06B,36.91%,$0.15B,$0.05B,32.21%,$0.15B,$0.05B,32.21%,$0.15B,$0.07B,49.66%,$0.15B,$0.05B,32.21%,$0.15B,$0.04B,24.16%,$0.04B,$0.35B,10.26%,$0.04B,$0.32B,11.17%,$0.04B,$0.37B,9.69%,$0.05B,$0.35B,13.59%,$28,$19,$10,$0,$1,$21,$8,$0,$8,$2,$6,$6,$6,$14,$8,$46,47,$0.12,$0.13,$164,$6,$0,$222,$109,$0,$28,$5,$144,$366,$14,$2,$0,$2,$16,$0,$272,$-16,$349,$366,$36,$26,$-0,$25,$-6,$1,$0,$-0,$-6,$55,$-17,$-1,$0,$0,$0,$0,$3,$-15,$-0,$0,$-0,$0,$0,$0,$0,$-0,$30,$0,$0
8,2016-09-30,2.14,$7.65,0.28,$3.37,0.64,$1.96,1.09,$0.81,2.64,$0.22B,$0.02B,12.49,$0.00B,$0.36B,0.01,$0.16B,$0.06B,35.90%,$0.16B,$0.05B,32.05%,$0.16B,$0.05B,32.05%,$0.16B,$0.08B,49.36%,$0.16B,$0.05B,32.05%,$0.16B,$0.04B,23.72%,$0.04B,$0.36B,10.63%,$0.04B,$0.33B,11.60%,$0.04B,$0.38B,10.02%,$0.05B,$0.36B,14.27%,$39,$23,$16,$0,$2,$25,$14,$0,$14,$4,$11,$11,$11,$20,$14,$46,46,$0.23,$0.23,$141,$6,$0,$219,$123,$0,$29,$5,$159,$378,$18,$2,$0,$2,$20,$0,$266,$-2,$358,$378,$30,$20,$-0,$19,$-23,$1,$0,$-0,$-20,$29,$-17,$-1,$0,$0,$0,$0,$0,$-17,$-0,$0,$-0,$0,$0,$0,$0,$-0,$7,$0,$0
9,2016-06-30,1.54,$7.60,0.2,$3.44,0.45,$2.38,0.65,$0.81,1.9,$0.23B,$0.02B,10.03,$0.00B,$0.35B,0.01,$0.16B,$0.06B,35.00%,$0.16B,$0.05B,31.25%,$0.16B,$0.05B,31.25%,$0.16B,$0.08B,48.75%,$0.16B,$0.05B,31.25%,$0.16B,$0.04B,23.13%,$0.04B,$0.35B,10.79%,$0.04B,$0.32B,11.79%,$0.04B,$0.38B,10.10%,$0.05B,$0.35B,14.46%,$48,$29,$18,$0,$1,$30,$17,$0,$17,$4,$13,$13,$13,$24,$17,$46,47,$0.29,$0.28,$146,$7,$0,$225,$113,$0,$29,$5,$150,$375,$22,$2,$0,$2,$25,$0,$255,$1,$350,$375,$20,$14,$-0,$13,$-23,$0,$0,$-1,$-16,$17,$-1,$-1,$0,$0,$0,$0,$0,$-1,$-0,$0,$-0,$0,$0,$0,$0,$-0,$13,$0,$0
