,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,40.53,$10.29,3.94,$27.38,1.48,$3.36,12.05,$0.19,213.32,$11.44B,$4.95B,2.31,$10.42B,$9.02B,1.16,$24.00B,$3.15B,13.11%,$24.00B,$2.23B,9.29%,$24.00B,$2.23B,9.29%,$24.00B,$3.81B,15.86%,$24.00B,$1.60B,6.67%,$24.00B,$0.17B,0.70%,$0.17B,$9.02B,1.94%,$0.17B,$6.22B,2.85%,$0.17B,$25.75B,0.66%,$2.23B,$19.44B,11.69%,$6172,$5384,$788,$0,$72,$5456,$716,$-182,$534,$100,$434,$434,$435,$1116,$716,$877,878,$0.50,$0.50,$2057,$2887,$966,$11436,$8821,$0,$2800,$1566,$14315,$25751,$4953,$10424,$763,$11781,$16734,$2672,$13216,$-463,$9017,$25751,$989,$1184,$312,$1496,$-431,$-542,$601,$192,$-180,$2305,$-1317,$0,$-166,$522,$-420,$102,$-58,$-1439,$-436,$0,$-436,$-200,$-200,$-473,$28,$-1081,$-280,$0,$-473
1,2018-06-30,45.06,$10.06,4.48,$26.59,1.69,$2.96,15.21,$0.11,409.64,$11.44B,$5.11B,2.24,$10.43B,$8.84B,1.18,$23.27B,$3.06B,13.13%,$23.27B,$2.16B,9.26%,$23.27B,$2.16B,9.26%,$23.27B,$3.73B,16.02%,$23.27B,$1.56B,6.71%,$23.27B,$0.10B,0.42%,$0.10B,$8.84B,1.13%,$0.10B,$6.02B,1.64%,$0.10B,$25.77B,0.38%,$2.16B,$19.27B,11.27%,$6147,$5293,$854,$0,$65,$5358,$789,$-156,$633,$125,$508,$508,$511,$1179,$789,$877,880,$0.58,$0.58,$2472,$2637,$924,$11436,$8825,$0,$2824,$1563,$14329,$25765,$5107,$10427,$803,$11815,$16922,$2672,$12939,$-470,$8843,$25765,$555,$784,$312,$1096,$-352,$-306,$495,$0,$-163,$1528,$-945,$0,$-148,$114,$-421,$-307,$-37,$-1437,$-26,$0,$-26,$0,$0,$-316,$12,$-330,$-279,$0,$-316
2,2018-03-31,46.76,$9.59,4.88,$25.29,1.85,$2.11,22.15,$-0.44,0.0,$11.04B,$4.97B,2.22,$10.43B,$8.39B,1.24,$22.08B,$2.68B,12.16%,$22.08B,$1.51B,6.85%,$22.08B,$1.51B,6.85%,$22.08B,$3.08B,13.95%,$22.08B,$0.93B,4.20%,$22.08B,$-0.39B,-1.74%,$-0.39B,$8.39B,-4.41%,$-0.39B,$5.68B,-6.30%,$-0.39B,$25.19B,-1.52%,$1.51B,$18.82B,7.86%,$5740,$5063,$677,$0,$58,$5386,$354,$-165,$189,$142,$47,$47,$46,$748,$354,$875,878,$0.05,$0.05,$2332,$2458,$990,$11035,$8596,$0,$2707,$1626,$14156,$25191,$4969,$10428,$815,$11831,$16800,$2672,$12586,$-471,$8391,$25191,$47,$394,$312,$706,$-245,$-119,$276,$-93,$-181,$572,$-454,$0,$0,$0,$0,$0,$80,$-374,$-9,$0,$-9,$0,$0,$-158,$-12,$-179,$-5,$0,$-158
3,2017-12-31,48.5,$9.56,5.07,$23.69,2.05,$1.72,28.12,$-0.53,0.0,$10.78B,$4.86B,2.22,$10.43B,$8.35B,1.25,$20.62B,$2.27B,10.98%,$20.62B,$1.36B,6.61%,$20.62B,$1.36B,6.61%,$20.62B,$2.92B,14.15%,$20.62B,$0.68B,3.31%,$20.62B,$-0.46B,-2.25%,$-0.46B,$8.35B,-5.21%,$-0.46B,$5.66B,-7.31%,$-0.46B,$25.09B,-1.83%,$1.36B,$18.78B,6.98%,$5940,$5113,$827,$0,$71,$5569,$371,$-127,$244,$1050,$-806,$-806,$-824,$764,$371,$870,870,$-0.94,$-0.94,$2337,$2396,$1008,$10777,$8521,$0,$2693,$1864,$14308,$25085,$4862,$10430,$835,$11874,$16736,$2673,$12668,$-469,$8349,$25085,$-468,$1556,$1491,$3047,$-1350,$-29,$753,$515,$-111,$2468,$-1215,$0,$-628,$0,$0,$0,$-84,$-1927,$-1631,$0,$-1631,$158,$158,$-626,$-62,$-2161,$-1672,$0,$-626
4,2017-09-30,45.49,$10.60,4.29,$21.53,2.11,$-2.36,0.0,$0.24,189.54,$10.14B,$4.60B,2.21,$10.42B,$9.25B,1.13,$18.70B,$1.76B,9.38%,$18.70B,$1.04B,5.58%,$18.70B,$1.04B,5.58%,$18.70B,$2.59B,13.87%,$18.70B,$0.26B,1.41%,$18.70B,$0.21B,1.13%,$0.21B,$9.25B,2.31%,$0.21B,$6.56B,3.17%,$0.21B,$25.79B,0.82%,$1.04B,$19.67B,5.16%,$5444,$4747,$697,$0,$55,$4802,$642,$-146,$496,$135,$361,$361,$365,$1036,$642,$872,873,$0.42,$0.42,$1898,$2444,$897,$10144,$8432,$0,$2685,$2338,$15646,$25790,$4601,$10423,$949,$11943,$16544,$2673,$13649,$-448,$9246,$25790,$357,$1163,$262,$1425,$-1064,$-49,$611,$177,$-325,$1457,$-823,$0,$-628,$67,$-77,$-10,$-46,$-1507,$-1633,$0,$-1633,$0,$0,$-469,$92,$-2010,$-2111,$0,$-469
5,2017-06-30,42.01,$10.29,4.08,$19.73,2.13,$-6.81,0.0,$-0.17,0.0,$10.26B,$4.07B,2.52,$10.82B,$8.95B,1.21,$17.09B,$1.23B,7.19%,$17.09B,$0.53B,3.10%,$17.09B,$0.53B,3.10%,$17.09B,$2.06B,12.05%,$17.09B,$-0.29B,-1.67%,$17.09B,$-0.15B,-0.86%,$-0.15B,$8.95B,-1.58%,$-0.15B,$6.55B,-2.14%,$-0.15B,$25.33B,-0.57%,$0.53B,$19.77B,2.55%,$4957,$4474,$483,$0,$75,$4811,$146,$-147,$-1,$-29,$28,$28,$28,$532,$146,$869,871,$0.03,$0.03,$2139,$2283,$896,$10260,$8374,$0,$2407,$2052,$15065,$25325,$4068,$10816,$938,$12304,$16372,$2673,$13441,$-450,$8953,$25325,$-4,$769,$262,$1031,$-615,$-5,$398,$0,$-222,$351,$-516,$0,$0,$44,$-54,$-10,$-19,$-545,$-1623,$0,$-1623,$0,$0,$-312,$294,$-1641,$-1870,$0,$-312
6,2017-03-31,48.22,$10.37,4.65,$18.50,2.61,$-11.43,0.0,$-3.93,0.0,$9.83B,$3.84B,2.56,$10.81B,$8.99B,1.2,$15.97B,$0.85B,5.32%,$15.97B,$-3.50B,-21.89%,$15.97B,$-3.50B,-21.89%,$15.97B,$-1.96B,-12.25%,$15.97B,$-4.39B,-27.50%,$15.97B,$-3.38B,-21.19%,$-3.38B,$8.99B,-35.67%,$-3.38B,$6.57B,-47.75%,$-3.38B,$24.89B,-12.72%,$-3.50B,$19.80B,-16.40%,$4279,$4021,$258,$0,$55,$4076,$203,$-260,$-57,$-25,$-32,$-32,$-32,$586,$203,$867,867,$-0.04,$-0.04,$2107,$2295,$863,$9828,$8415,$0,$2419,$2082,$15057,$24885,$3842,$10812,$703,$12054,$15896,$2674,$13569,$-452,$8989,$24885,$-32,$383,$0,$383,$-178,$-18,$228,$-378,$-346,$5,$-224,$0,$0,$0,$0,$0,$-13,$-237,$-1566,$0,$-1566,$0,$0,$-156,$63,$-1659,$-1902,$0,$-156
7,2016-12-31,52.82,$10.91,4.84,$18.46,2.86,$-11.59,0.0,$-6.70,0.0,$11.68B,$4.02B,2.9,$12.21B,$9.45B,1.29,$15.89B,$0.86B,5.44%,$15.89B,$-6.78B,-42.66%,$15.89B,$-6.78B,-42.66%,$15.89B,$-5.28B,-33.20%,$15.89B,$-7.63B,-48.00%,$15.89B,$-5.76B,-36.27%,$-5.76B,$9.45B,-54.87%,$-5.76B,$7.03B,-71.04%,$-5.76B,$27.00B,-19.97%,$-6.78B,$21.66B,-29.87%,$4021,$3704,$317,$0,$96,$3968,$53,$-228,$-175,$-22,$-153,$-153,$-149,$439,$53,$861,861,$-0.16,$-0.16,$4009,$2275,$886,$11677,$8532,$0,$2414,$2417,$15323,$27000,$4023,$12214,$741,$13529,$17552,$2674,$14141,$-454,$9448,$27000,$-5769,$1503,$1980,$3483,$899,$552,$-219,$-649,$583,$-1703,$-576,$0,$-31,$0,$0,$0,$-103,$-710,$-3097,$0,$-3097,$186,$186,$-620,$-9,$-3540,$-6068,$0,$-620
8,2016-09-30,43.68,$11.26,3.88,$19.75,2.21,$-7.90,0.0,$-6.56,0.0,$11.76B,$3.63B,3.24,$12.16B,$9.73B,1.25,$16.95B,$1.07B,6.33%,$16.95B,$-6.75B,-39.80%,$16.95B,$-6.75B,-39.80%,$16.95B,$-5.23B,-30.84%,$16.95B,$-7.54B,-44.51%,$16.95B,$-5.64B,-33.29%,$-5.64B,$9.73B,-46.96%,$-5.64B,$7.34B,-58.58%,$-5.64B,$26.76B,-18.00%,$-6.75B,$21.89B,-27.18%,$3833,$3662,$171,$0,$43,$3705,$128,$-180,$-52,$-59,$7,$7,$6,$503,$128,$862,864,$0.01,$0.01,$3289,$2475,$933,$11760,$8741,$0,$2383,$1927,$14995,$26755,$3631,$12163,$786,$13398,$17029,$2675,$14445,$-360,$9726,$26755,$-5616,$1117,$2075,$3192,$682,$388,$-461,$0,$609,$-2762,$-449,$0,$0,$0,$0,$0,$-73,$-522,$-3149,$0,$-3149,$0,$0,$-465,$163,$-3451,$-6788,$0,$-465
9,2016-06-30,43.9,$11.37,3.86,$21.84,2.01,$-3.70,0.0,$-6.63,0.0,$12.58B,$4.48B,2.81,$12.16B,$9.78B,1.24,$18.70B,$1.45B,7.73%,$18.70B,$-6.83B,-36.53%,$18.70B,$-6.83B,-36.53%,$18.70B,$-5.27B,-28.18%,$18.70B,$-7.58B,-40.55%,$18.70B,$-5.70B,-30.50%,$-5.70B,$9.78B,-42.38%,$-5.70B,$7.39B,-51.21%,$-5.70B,$27.74B,-17.70%,$-6.83B,$21.94B,-27.29%,$3835,$3732,$103,$0,$41,$7715,$-3880,$-227,$-4107,$-902,$-3205,$-3205,$-3208,$-3484,$-3880,$860,860,$-3.73,$-3.73,$3108,$2650,$998,$12580,$8961,$0,$2383,$1957,$15157,$27737,$4478,$12158,$875,$13482,$17960,$2675,$14595,$-361,$9777,$27737,$-5623,$742,$1640,$2382,$369,$213,$-510,$0,$72,$-3803,$-333,$0,$0,$0,$0,$0,$-60,$-393,$-2525,$13,$-2512,$0,$0,$-309,$89,$-2732,$-6969,$0,$-309
