,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,5.05,$8.40,0.6,$5.87,0.86,$2.86,1.77,$0.72,7.01,$0.77B,$0.32B,2.44,$1.04B,$2.20B,0.47,$1.51B,$0.41B,27.09%,$1.51B,$0.33B,21.85%,$1.51B,$0.33B,21.85%,$1.51B,$0.65B,43.23%,$1.51B,$0.26B,17.13%,$1.51B,$0.21B,13.75%,$0.21B,$2.20B,9.61%,$0.21B,$2.19B,9.63%,$0.21B,$4.68B,4.41%,$0.33B,$3.23B,10.30%,$363,$277,$85,$8,$7,$297,$66,$-35,$30,$7,$23,$23,$23,$152,$66,$261,261,$0.09,$0.09,$466,$147,$0,$770,$3831,$19,$5,$0,$3913,$4682,$315,$1035,$321,$2172,$2487,$1777,$446,$0,$2195,$4682,$89,$251,$46,$297,$-14,$-5,$-25,$1,$-43,$342,$-133,$0,$0,$0,$1,$1,$5,$-128,$0,$-16,$-16,$-0,$-0,$-4,$-91,$-111,$103,$-4,$-4
1,2018-06-30,5.6,$8.30,0.67,$6.08,0.92,$3.10,1.81,$0.80,7.0,$0.75B,$0.35B,2.15,$1.04B,$2.17B,0.48,$1.52B,$0.44B,29.09%,$1.52B,$0.37B,24.16%,$1.52B,$0.37B,24.16%,$1.52B,$0.69B,44.98%,$1.52B,$0.28B,18.52%,$1.52B,$0.22B,14.45%,$0.22B,$2.17B,10.39%,$0.22B,$2.16B,10.41%,$0.22B,$4.69B,4.71%,$0.37B,$3.21B,11.64%,$371,$279,$92,$7,$6,$293,$79,$-29,$50,$25,$25,$25,$25,$162,$79,$261,261,$0.09,$0.09,$446,$157,$0,$750,$3864,$19,$5,$0,$3942,$4692,$349,$1037,$325,$2175,$2524,$1777,$425,$0,$2168,$4692,$66,$164,$33,$197,$6,$-13,$-21,$-7,$-35,$228,$-87,$0,$0,$0,$-0,$-0,$2,$-85,$0,$-10,$-10,$0,$0,$-2,$-48,$-60,$83,$-3,$-2
2,2018-03-31,7.1,$8.21,0.86,$6.07,1.17,$3.18,2.23,$0.82,8.66,$0.69B,$0.36B,1.94,$1.04B,$2.15B,0.49,$1.49B,$0.44B,29.50%,$1.49B,$0.37B,24.73%,$1.49B,$0.37B,24.73%,$1.49B,$0.68B,45.63%,$1.49B,$0.27B,17.94%,$1.49B,$0.21B,14.38%,$0.21B,$2.15B,10.57%,$0.21B,$2.14B,10.60%,$0.21B,$4.69B,4.66%,$0.37B,$3.19B,11.93%,$387,$266,$121,$7,$6,$287,$100,$-27,$73,$32,$41,$41,$41,$181,$100,$261,261,$0.16,$0.16,$402,$159,$0,$692,$3912,$20,$5,$0,$3998,$4691,$356,$1042,$332,$2189,$2545,$1777,$401,$0,$2145,$4691,$41,$81,$10,$90,$26,$-13,$-3,$-11,$-0,$131,$-46,$0,$0,$0,$-0,$-0,$1,$-46,$0,$-5,$-5,$0,$0,$-2,$-42,$-49,$36,$-2,$-2
3,2017-12-31,8.79,$8.08,1.09,$5.70,1.54,$3.15,2.79,$0.65,13.52,$0.67B,$0.41B,1.61,$1.05B,$2.11B,0.5,$1.36B,$0.38B,27.51%,$1.36B,$0.32B,23.33%,$1.36B,$0.32B,23.33%,$1.36B,$0.61B,44.75%,$1.36B,$0.20B,14.60%,$1.36B,$0.16B,11.96%,$0.16B,$2.11B,8.45%,$0.16B,$2.11B,8.47%,$0.16B,$4.73B,3.61%,$0.32B,$3.16B,10.53%,$385,$275,$110,$6,$14,$301,$84,$22,$105,$-13,$118,$118,$118,$156,$84,$244,244,$0.48,$0.48,$359,$142,$0,$666,$3964,$22,$6,$0,$4062,$4728,$414,$1046,$329,$2202,$2616,$1777,$361,$0,$2112,$4728,$164,$293,$73,$367,$-9,$-19,$-6,$43,$9,$540,$-250,$0,$0,$0,$-2,$-2,$18,$-234,$-256,$60,$-197,$187,$187,$-4,$-79,$-93,$210,$16,$-4
4,2017-09-30,7.44,$7.84,0.95,$5.46,1.36,$3.16,2.36,$0.07,106.32,$0.61B,$0.35B,1.74,$1.05B,$2.05B,0.51,$1.30B,$0.34B,26.49%,$1.30B,$0.29B,22.70%,$1.30B,$0.29B,22.70%,$1.30B,$0.59B,45.71%,$1.30B,$0.07B,5.25%,$1.30B,$-0.00B,-0.15%,$-0.00B,$2.05B,-0.11%,$-0.00B,$2.04B,-0.11%,$-0.00B,$4.59B,-0.05%,$0.29B,$3.10B,9.88%,$380,$261,$120,$6,$12,$275,$105,$-52,$54,$17,$36,$36,$36,$186,$105,$238,238,$0.15,$0.15,$335,$142,$0,$614,$3876,$18,$5,$0,$3978,$4592,$354,$1047,$321,$2190,$2544,$1777,$277,$0,$2048,$4592,$45,$221,$92,$313,$38,$-14,$7,$21,$51,$410,$-162,$0,$0,$0,$-2,$-2,$17,$-146,$-256,$64,$-193,$187,$187,$-4,$-74,$-83,$182,$9,$-4
5,2017-06-30,5.74,$7.56,0.76,$5.18,1.11,$2.90,1.98,$0.04,143.48,$0.40B,$0.32B,1.27,$1.10B,$1.79B,0.61,$1.23B,$0.29B,23.74%,$1.23B,$0.25B,20.39%,$1.23B,$0.25B,20.39%,$1.23B,$0.55B,44.78%,$1.23B,$0.06B,4.57%,$1.23B,$-0.00B,-0.33%,$-0.00B,$1.79B,-0.22%,$-0.00B,$1.79B,-0.23%,$-0.00B,$4.36B,-0.09%,$0.25B,$2.90B,8.46%,$336,$248,$88,$2,$6,$258,$79,$-44,$35,$16,$19,$19,$19,$156,$79,$237,237,$0.08,$0.08,$154,$137,$0,$404,$3854,$14,$6,$0,$3956,$4360,$318,$1100,$329,$2248,$2566,$1588,$238,$0,$1794,$4360,$9,$140,$55,$196,$62,$-11,$-11,$-2,$38,$242,$-94,$0,$0,$0,$0,$0,$17,$-77,$-131,$-2,$-133,$0,$0,$-2,$-26,$-161,$6,$3,$-2
6,2017-03-31,6.54,$7.43,0.88,$4.81,1.36,$2.87,2.28,$-0.09,0.0,$0.39B,$0.30B,1.29,$1.17B,$1.76B,0.66,$1.14B,$0.25B,22.08%,$1.14B,$0.21B,18.12%,$1.14B,$0.21B,18.12%,$1.14B,$0.49B,43.27%,$1.14B,$0.03B,2.46%,$1.14B,$-0.03B,-2.55%,$-0.03B,$1.76B,-1.64%,$-0.03B,$1.76B,-1.64%,$-0.03B,$4.36B,-0.65%,$0.21B,$2.93B,6.87%,$262,$205,$57,$2,$10,$212,$50,$-45,$5,$15,$-10,$-10,$-10,$112,$50,$237,237,$-0.04,$-0.04,$135,$139,$0,$391,$3845,$32,$6,$0,$3967,$4358,$304,$1166,$314,$2291,$2595,$1588,$213,$0,$1763,$4358,$-10,$63,$28,$91,$53,$-15,$-23,$15,$30,$110,$-41,$0,$0,$0,$0,$0,$0,$-40,$-64,$-1,$-65,$0,$0,$-2,$-18,$-85,$-14,$3,$-2
7,2016-12-31,5.68,$7.43,0.76,$4.79,1.19,$2.81,2.02,$-0.15,0.0,$0.44B,$0.32B,1.39,$1.23B,$1.76B,0.7,$1.13B,$0.22B,19.66%,$1.13B,$0.17B,15.06%,$1.13B,$0.17B,15.06%,$1.13B,$0.47B,41.54%,$1.13B,$0.01B,0.53%,$1.13B,$-0.04B,-3.10%,$-0.04B,$1.76B,-1.97%,$-0.04B,$1.76B,-1.98%,$-0.04B,$4.46B,-0.78%,$0.17B,$2.99B,5.61%,$317,$238,$78,$2,$13,$257,$60,$-86,$-26,$21,$-47,$-47,$-47,$138,$60,$236,236,$-0.20,$-0.20,$150,$112,$0,$437,$3866,$31,$7,$0,$4020,$4457,$315,$1225,$297,$2378,$2693,$1588,$217,$0,$1763,$4457,$-35,$299,$124,$423,$68,$3,$-8,$25,$87,$475,$-193,$0,$0,$0,$-0,$-0,$46,$-147,$-114,$-3,$-117,$12,$12,$-4,$-127,$-236,$93,$10,$-4
8,2016-09-30,3.95,$7.61,0.52,$4.88,0.81,$0.32,12.51,$-1.04,0.0,$0.46B,$0.32B,1.43,$1.21B,$1.80B,0.67,$1.15B,$0.20B,17.67%,$1.15B,$-0.19B,-16.19%,$1.15B,$-0.19B,-16.19%,$1.15B,$0.13B,11.05%,$1.15B,$-0.29B,-25.59%,$1.15B,$-0.24B,-21.15%,$-0.24B,$1.80B,-13.64%,$-0.24B,$1.79B,-13.70%,$-0.24B,$4.49B,-5.37%,$-0.19B,$3.00B,-6.13%,$311,$243,$68,$1,$7,$251,$61,$-19,$42,$8,$34,$34,$34,$143,$61,$236,236,$0.14,$0.14,$122,$119,$0,$457,$3898,$34,$7,$0,$4028,$4485,$319,$1207,$317,$2368,$2687,$1582,$264,$0,$1797,$4485,$12,$221,$33,$254,$74,$5,$37,$26,$143,$335,$-149,$0,$0,$0,$-0,$-0,$46,$-103,$-43,$-2,$-45,$5,$5,$-4,$-124,$-168,$64,$4,$-4
9,2016-06-30,4.76,$7.50,0.63,$4.71,1.01,$-1.65,0.0,$-1.23,0.0,$0.43B,$0.32B,1.36,$1.29B,$1.77B,0.73,$1.11B,$0.18B,15.97%,$1.11B,$-0.25B,-22.29%,$1.11B,$-0.25B,-22.29%,$1.11B,$0.05B,4.78%,$1.11B,$-0.35B,-31.77%,$1.11B,$-0.29B,-26.08%,$-0.29B,$1.77B,-15.72%,$-0.29B,$1.76B,-16.21%,$-0.29B,$4.55B,-6.23%,$-0.25B,$3.06B,-7.99%,$247,$199,$48,$1,$10,$212,$35,$-29,$7,$12,$-6,$-6,$-6,$99,$35,$235,235,$-0.02,$-0.02,$145,$130,$0,$429,$3923,$100,$8,$0,$4122,$4552,$316,$1293,$314,$2464,$2780,$1582,$232,$0,$1771,$4552,$-21,$138,$24,$163,$90,$0,$-36,$43,$98,$239,$-99,$0,$0,$0,$0,$0,$-22,$-121,$31,$-1,$30,$5,$5,$-2,$-64,$-31,$88,$5,$-2
