,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,19.75,$12.45,1.59,$5.18,3.81,$4.81,4.11,$0.90,21.86,$3.03B,$3.13B,0.97,$0.52B,$0.48B,1.08,$0.20B,$0.17B,85.64%,$0.20B,$0.06B,31.28%,$0.20B,0,0.00%,$0.20B,0,0.00%,$0.20B,$0.06B,31.28%,$0.20B,$0.05B,24.62%,$0.05B,$0.48B,10.29%,$0.05B,$0.35B,14.33%,$0.05B,$4.15B,1.19%,$0.06B,$0.99B,5.95%,$51,$8,$42,$0,$27,$35,$16,$0,$16,$3,$13,$13,$13,$0,$0,$38,39,$0.34,$0.34,$70,$0,$0,$3025,$75,$784,$131,$135,$1125,$4151,$3130,$516,$27,$543,$3673,$0,$215,$-13,$478,$4151,$40,$9,$3,$12,$8,$0,$1,$3,$12,$65,$-3,$0,$0,$0,$-73,$-73,$-145,$-222,$-86,$0,$-86,$0,$0,$-12,$248,$150,$-7,$0,$-12
1,2018-06-30,20.59,$12.27,1.68,$5.03,4.09,$4.23,4.87,$1.14,18.01,$2.99B,$3.02B,0.99,$0.56B,$0.47B,1.2,$0.18B,$0.16B,87.50%,$0.18B,$0.06B,30.43%,$0.18B,0,0.00%,$0.18B,0,0.00%,$0.18B,$0.06B,30.43%,$0.18B,$0.04B,23.37%,$0.04B,$0.47B,9.66%,$0.04B,$0.34B,13.42%,$0.04B,$4.08B,1.11%,$0.06B,$1.03B,5.60%,$50,$7,$42,$0,$26,$33,$17,$0,$17,$3,$14,$14,$14,$0,$0,$38,39,$0.37,$0.37,$69,$0,$0,$2992,$75,$754,$131,$124,$1084,$4077,$3018,$563,$26,$588,$3606,$0,$206,$-11,$471,$4077,$27,$6,$1,$7,$8,$0,$1,$2,$11,$45,$-2,$0,$0,$0,$-38,$-38,$-102,$-141,$-39,$0,$-39,$0,$0,$-8,$135,$89,$-7,$0,$-8
2,2018-03-31,19.81,$12.01,1.65,$4.91,4.04,$3.86,5.13,$1.05,18.93,$2.92B,$2.94B,0.99,$0.56B,$0.46B,1.21,$0.17B,$0.15B,89.02%,$0.17B,$0.05B,30.06%,$0.17B,0,0.00%,$0.17B,0,0.00%,$0.17B,$0.05B,30.06%,$0.17B,$0.04B,21.97%,$0.04B,$0.46B,9.12%,$0.04B,$0.33B,12.52%,$0.04B,$3.97B,1.03%,$0.05B,$1.02B,5.41%,$48,$6,$42,$0,$26,$32,$15,$0,$15,$3,$13,$13,$13,$0,$0,$38,38,$0.33,$0.33,$64,$0,$0,$2918,$75,$733,$132,$112,$1052,$3970,$2935,$558,$16,$574,$3509,$0,$195,$-10,$460,$3970,$13,$3,$1,$4,$10,$0,$0,$3,$13,$30,$-1,$0,$0,$0,$-14,$-14,$-33,$-48,$-44,$0,$-44,$0,$0,$-4,$53,$5,$-13,$0,$-4
3,2017-12-31,18.26,$11.94,1.53,$4.76,3.84,$3.65,5.01,$0.96,19.03,$2.91B,$2.88B,1.01,$0.60B,$0.46B,1.32,$0.16B,$0.15B,90.06%,$0.16B,$0.05B,29.81%,$0.16B,0,0.00%,$0.16B,0,0.00%,$0.16B,$0.05B,29.81%,$0.16B,$0.03B,20.50%,$0.03B,$0.46B,8.49%,$0.03B,$0.33B,11.52%,$0.03B,$3.96B,0.94%,$0.05B,$1.06B,5.43%,$46,$5,$41,$0,$27,$33,$13,$0,$13,$6,$8,$8,$8,$0,$0,$35,35,$0.20,$0.20,$76,$0,$0,$2911,$76,$728,$132,$117,$1053,$3964,$2882,$602,$24,$625,$3507,$0,$186,$-4,$457,$3964,$33,$12,$3,$15,$2,$0,$0,$-1,$1,$49,$-3,$0,$44,$0,$-73,$-73,$-248,$-280,$260,$0,$260,$2,$2,$-12,$-13,$236,$6,$0,$-12
4,2017-09-30,19.08,$11.21,1.7,$4.72,4.04,$3.11,6.13,$0.93,20.59,$2.50B,$2.61B,0.96,$0.50B,$0.39B,1.27,$0.15B,$0.13B,87.01%,$0.15B,$0.04B,27.27%,$0.15B,0,0.00%,$0.15B,0,0.00%,$0.15B,$0.04B,27.27%,$0.15B,$0.03B,20.13%,$0.03B,$0.39B,8.62%,$0.03B,$0.29B,11.52%,$0.03B,$3.52B,0.94%,$0.04B,$0.89B,5.38%,$40,$4,$36,$0,$25,$29,$11,$0,$11,$3,$8,$8,$8,$0,$0,$34,34,$0.24,$0.24,$73,$0,$0,$2501,$74,$724,$103,$117,$1018,$3520,$2609,$496,$23,$518,$3127,$0,$181,$-2,$392,$3520,$25,$9,$2,$10,$3,$0,$0,$-1,$1,$37,$-3,$0,$31,$0,$-67,$-67,$-152,$-190,$191,$0,$191,$1,$1,$-8,$-29,$154,$2,$0,$-8
5,2017-06-30,17.15,$10.74,1.6,$4.72,3.63,$2.40,7.16,$0.89,19.34,$2.34B,$2.42B,0.97,$0.52B,$0.36B,1.46,$0.15B,$0.13B,86.84%,$0.15B,$0.04B,26.32%,$0.15B,0,0.00%,$0.15B,0,0.00%,$0.15B,$0.04B,26.32%,$0.15B,$0.03B,19.74%,$0.03B,$0.36B,8.61%,$0.03B,$0.27B,11.44%,$0.03B,$3.32B,0.93%,$0.04B,$0.88B,5.02%,$39,$4,$35,$0,$23,$26,$13,$0,$13,$4,$9,$9,$9,$0,$0,$33,33,$0.27,$0.27,$66,$0,$0,$2336,$65,$719,$87,$114,$985,$3321,$2419,$523,$22,$545,$2964,$0,$176,$-1,$357,$3321,$17,$6,$1,$7,$1,$0,$0,$1,$2,$26,$-1,$0,$11,$0,$-59,$-59,$-127,$-177,$218,$0,$218,$0,$0,$-5,$-67,$145,$-5,$0,$-5
6,2017-03-31,16.99,$10.48,1.62,$4.79,3.55,$2.05,8.29,$0.84,20.12,$2.21B,$2.44B,0.9,$0.36B,$0.35B,1.03,$0.15B,$0.13B,86.39%,$0.15B,$0.04B,24.49%,$0.15B,0,0.00%,$0.15B,0,0.00%,$0.15B,$0.04B,24.49%,$0.15B,$0.03B,18.37%,$0.03B,$0.35B,8.20%,$0.03B,$0.26B,10.87%,$0.03B,$3.17B,0.86%,$0.04B,$0.71B,4.63%,$36,$3,$33,$0,$22,$25,$11,$0,$11,$3,$8,$8,$8,$0,$0,$33,33,$0.25,$0.25,$60,$0,$0,$2207,$66,$697,$87,$113,$963,$3170,$2444,$358,$19,$377,$2821,$0,$170,$-4,$349,$3170,$8,$3,$1,$4,$6,$0,$0,$1,$7,$19,$-1,$0,$11,$0,$-39,$-39,$-8,$-37,$53,$0,$53,$0,$0,$-2,$-42,$8,$-11,$0,$-2
7,2016-12-31,18.07,$10.25,1.76,$4.84,3.73,$1.85,9.77,$0.79,22.78,$2.21B,$2.47B,0.9,$0.31B,$0.34B,0.9,$0.14B,$0.12B,85.21%,$0.14B,$0.03B,22.54%,$0.14B,0,0.00%,$0.14B,0,0.00%,$0.14B,$0.03B,22.54%,$0.14B,$0.02B,16.90%,$0.02B,$0.34B,7.81%,$0.02B,$0.26B,10.23%,$0.02B,$3.14B,0.80%,$0.03B,$0.65B,4.09%,$39,$8,$30,$0,$23,$32,$7,$0,$7,$2,$6,$6,$6,$0,$0,$30,30,$0.15,$0.16,$71,$0,$0,$2213,$66,$657,$86,$119,$928,$3141,$2472,$305,$24,$329,$2800,$0,$164,$-6,$341,$3141,$24,$11,$1,$12,$-1,$0,$-0,$-10,$-11,$26,$-1,$0,$170,$0,$24,$24,$35,$226,$-268,$0,$-268,$1,$1,$-8,$47,$-230,$22,$0,$-8
8,2016-09-30,12.58,$6.94,1.81,$4.77,2.64,$2.27,5.55,$0.85,14.74,$2.28B,$2.34B,0.98,$0.61B,$0.35B,1.76,$0.13B,$0.12B,87.97%,$0.13B,$0.03B,24.81%,$0.13B,0,0.00%,$0.13B,0,0.00%,$0.13B,$0.03B,24.81%,$0.13B,$0.02B,18.05%,$0.02B,$0.35B,8.31%,$0.02B,$0.26B,10.75%,$0.02B,$3.33B,0.83%,$0.03B,$0.95B,4.08%,$38,$5,$34,$0,$25,$29,$9,$0,$9,$3,$7,$7,$7,$0,$0,$32,32,$0.21,$0.20,$84,$0,$0,$2280,$67,$765,$84,$130,$1046,$3326,$2337,$607,$35,$643,$2980,$0,$161,$3,$346,$3326,$18,$8,$2,$10,$-0,$0,$0,$-17,$-17,$11,$-2,$0,$147,$0,$-87,$-87,$-25,$33,$47,$0,$47,$0,$-12,$-6,$-37,$-9,$35,$0,$-6
9,2016-06-30,10.7,$9.93,1.08,$4.39,2.44,$2.40,4.46,$0.81,13.15,$2.05B,$2.08B,0.99,$0.53B,$0.28B,1.87,$0.13B,$0.11B,87.40%,$0.13B,$0.03B,23.62%,$0.13B,0,0.00%,$0.13B,0,0.00%,$0.13B,$0.03B,23.62%,$0.13B,$0.02B,16.54%,$0.02B,$0.28B,7.82%,$0.02B,$0.22B,10.02%,$0.02B,$2.92B,0.78%,$0.03B,$0.81B,4.07%,$34,$4,$30,$0,$21,$25,$9,$0,$9,$3,$6,$6,$6,$0,$0,$27,28,$0.23,$0.23,$109,$0,$0,$2052,$61,$646,$65,$94,$866,$2918,$2083,$526,$28,$554,$2637,$0,$157,$4,$281,$2918,$12,$5,$1,$6,$-0,$0,$0,$-6,$-6,$12,$-1,$0,$30,$0,$8,$8,$-87,$-49,$35,$0,$35,$0,$-13,$-4,$79,$98,$61,$0,$-4
