,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,40.62,$5.69,7.14,$26.99,1.5,$1.63,24.93,$0.97,41.88,$0.51B,$0.17B,3.05,$0.00B,$0.42B,0.0,$2.01B,$0.23B,11.58%,$2.01B,$0.09B,4.67%,$2.01B,$0.09B,4.67%,$2.01B,$0.11B,5.22%,$2.01B,$0.10B,4.97%,$2.01B,$0.07B,3.58%,$0.07B,$0.42B,17.76%,$0.07B,$0.34B,22.15%,$0.07B,$0.69B,10.68%,$0.09B,$0.42B,23.18%,$507,$439,$68,$0,$37,$476,$31,$2,$33,$7,$26,$26,$26,$33,$31,$74,75,$0.35,$0.35,$90,$42,$0,$508,$13,$0,$79,$1,$180,$688,$166,$0,$69,$102,$268,$1,$173,$-1,$420,$688,$52,$8,$43,$51,$-50,$1,$0,$4,$-28,$75,$-3,$0,$0,$-13,$9,$-4,$0,$-8,$0,$-25,$-25,$7,$7,$-43,$0,$-61,$6,$3,$-43
1,2018-06-30,43.19,$5.54,7.8,$26.79,1.61,$0.67,64.82,$0.93,46.44,$0.50B,$0.16B,3.05,$0.00B,$0.41B,0.0,$2.00B,$0.23B,11.47%,$2.00B,$0.09B,4.71%,$2.00B,$0.09B,4.71%,$2.00B,$0.11B,5.31%,$2.00B,$0.10B,5.01%,$2.00B,$0.07B,3.46%,$0.07B,$0.41B,17.34%,$0.07B,$0.33B,21.80%,$0.07B,$0.67B,10.34%,$0.09B,$0.41B,23.62%,$504,$438,$66,$0,$34,$472,$32,$1,$33,$8,$26,$26,$26,$35,$32,$74,74,$0.35,$0.35,$88,$41,$0,$501,$13,$0,$80,$1,$170,$671,$164,$0,$67,$98,$263,$1,$161,$-0,$408,$671,$26,$5,$40,$46,$-26,$1,$0,$-1,$-44,$27,$-2,$0,$0,$-9,$6,$-4,$0,$-6,$0,$5,$5,$6,$6,$-28,$0,$-18,$4,$2,$-28
2,2018-03-31,43.25,$5.35,8.08,$26.36,1.64,$0.21,207.95,$0.88,49.15,$0.49B,$0.17B,2.85,$0.00B,$0.39B,0.0,$1.96B,$0.23B,11.56%,$1.96B,$0.09B,4.79%,$1.96B,$0.09B,4.79%,$1.96B,$0.11B,5.35%,$1.96B,$0.10B,5.09%,$1.96B,$0.07B,3.36%,$0.07B,$0.39B,16.92%,$0.07B,$0.31B,21.43%,$0.07B,$0.66B,10.10%,$0.09B,$0.39B,24.10%,$502,$470,$32,$0,$34,$504,$-2,$0,$-1,$-1,$0,$0,$0,$1,$-2,$74,75,$0.00,$0.00,$85,$42,$0,$489,$13,$0,$81,$1,$172,$661,$172,$0,$65,$95,$266,$1,$150,$-0,$394,$661,$0,$3,$37,$40,$-17,$0,$0,$-3,$-16,$24,$-1,$0,$0,$-5,$2,$-3,$0,$-4,$0,$-9,$-9,$5,$5,$-14,$0,$-19,$1,$0,$-14
3,2017-12-31,52.24,$5.45,9.59,$25.12,2.08,$0.36,146.42,$1.18,44.27,$0.53B,$0.18B,2.86,$0.00B,$0.40B,0.0,$1.87B,$0.25B,13.62%,$1.87B,$0.13B,6.81%,$1.87B,$0.13B,6.81%,$1.87B,$0.14B,7.35%,$1.87B,$0.13B,7.13%,$1.87B,$0.09B,4.72%,$0.09B,$0.40B,23.13%,$0.09B,$0.32B,28.92%,$0.09B,$0.68B,13.97%,$0.13B,$0.40B,33.38%,$499,$433,$67,$0,$34,$466,$33,$2,$35,$14,$20,$20,$20,$36,$33,$73,74,$0.27,$0.28,$83,$42,$0,$527,$14,$0,$82,$1,$149,$676,$184,$0,$62,$92,$276,$1,$164,$1,$400,$676,$88,$10,$4,$14,$-122,$-2,$0,$-5,$-95,$8,$-5,$0,$-5,$-34,$29,$-5,$0,$-15,$0,$35,$35,$13,$13,$-55,$0,$-7,$-14,$0,$-55
4,2017-09-30,53.28,$5.33,10.0,$23.83,2.24,$0.82,65.35,$1.19,44.77,$0.52B,$0.18B,2.94,$0.00B,$0.39B,0.0,$1.77B,$0.25B,13.88%,$1.77B,$0.12B,7.03%,$1.77B,$0.12B,7.03%,$1.77B,$0.13B,7.59%,$1.77B,$0.13B,7.31%,$1.77B,$0.09B,4.99%,$0.09B,$0.39B,24.09%,$0.09B,$0.31B,29.86%,$0.09B,$0.66B,14.85%,$0.12B,$0.39B,33.95%,$491,$427,$64,$0,$33,$460,$31,$1,$33,$9,$23,$23,$23,$34,$31,$73,75,$0.32,$0.31,$81,$42,$0,$516,$13,$0,$83,$1,$146,$662,$175,$0,$68,$96,$271,$1,$158,$1,$390,$662,$68,$7,$0,$7,$-104,$-1,$0,$-8,$-72,$3,$-4,$0,$-5,$-22,$20,$-2,$0,$-10,$0,$25,$25,$10,$10,$-41,$0,$-6,$-13,$-1,$-41
5,2017-06-30,46.06,$5.15,8.95,$22.57,2.04,$1.29,35.78,$1.15,40.05,$0.48B,$0.15B,3.24,$0.00B,$0.38B,0.0,$1.67B,$0.24B,14.22%,$1.67B,$0.12B,7.32%,$1.67B,$0.12B,7.32%,$1.67B,$0.13B,7.86%,$1.67B,$0.13B,7.62%,$1.67B,$0.09B,5.10%,$0.09B,$0.38B,24.25%,$0.09B,$0.29B,29.72%,$0.09B,$0.62B,15.14%,$0.12B,$0.38B,34.81%,$471,$407,$64,$0,$32,$439,$32,$2,$33,$11,$23,$23,$23,$34,$32,$73,74,$0.31,$0.30,$77,$41,$0,$476,$13,$0,$82,$1,$140,$616,$147,$0,$66,$93,$240,$1,$148,$1,$376,$616,$45,$5,$0,$5,$-69,$-0,$0,$-3,$-56,$-7,$-3,$0,$-3,$-16,$15,$-1,$0,$-6,$0,$16,$16,$7,$7,$-27,$0,$-4,$-17,$0,$-27
6,2017-03-31,42.21,$4.89,8.63,$21.50,1.96,$1.65,25.64,$1.11,38.03,$0.45B,$0.12B,3.84,$0.00B,$0.36B,0.0,$1.58B,$0.23B,14.34%,$1.58B,$0.12B,7.52%,$1.58B,$0.12B,7.52%,$1.58B,$0.13B,8.09%,$1.58B,$0.12B,7.83%,$1.58B,$0.08B,5.12%,$0.08B,$0.36B,24.02%,$0.08B,$0.30B,29.11%,$0.08B,$0.57B,15.05%,$0.12B,$0.36B,35.29%,$404,$346,$59,$0,$28,$374,$31,$2,$32,$10,$22,$22,$22,$33,$31,$73,74,$0.30,$0.30,$116,$37,$0,$452,$13,$0,$58,$0,$113,$565,$118,$0,$65,$91,$209,$1,$139,$0,$356,$565,$22,$2,$0,$3,$-10,$1,$0,$-2,$10,$35,$-1,$0,$0,$-8,$8,$-0,$0,$-1,$0,$0,$0,$5,$5,$-14,$0,$-9,$24,$0,$-14
7,2016-12-31,38.2,$4.67,8.18,$21.30,1.79,$1.31,29.18,$1.07,35.7,$0.42B,$0.10B,4.11,$0.00B,$0.34B,0.0,$1.56B,$0.22B,14.26%,$1.56B,$0.12B,7.48%,$1.56B,$0.12B,7.48%,$1.56B,$0.13B,8.12%,$1.56B,$0.12B,7.80%,$1.56B,$0.08B,4.99%,$0.08B,$0.34B,23.89%,$0.08B,$0.28B,29.24%,$0.08B,$0.53B,14.92%,$0.12B,$0.34B,35.83%,$399,$341,$58,$0,$27,$368,$30,$0,$31,$10,$20,$20,$20,$33,$30,$73,73,$0.27,$0.26,$92,$38,$0,$415,$13,$0,$59,$0,$114,$528,$101,$0,$64,$89,$190,$1,$131,$-0,$339,$528,$77,$9,$7,$17,$-66,$-1,$0,$-0,$-53,$41,$-5,$0,$0,$-29,$28,$-1,$0,$-6,$0,$0,$0,$6,$6,$-53,$3,$-44,$-9,$1,$-53
8,2016-09-30,38.41,$4.57,8.41,$20.93,1.84,$1.62,23.65,$0.92,41.75,$0.42B,$0.12B,3.67,$0.00B,$0.33B,0.0,$1.53B,$0.21B,13.85%,$1.53B,$0.10B,6.34%,$1.53B,$0.10B,6.34%,$1.53B,$0.11B,6.99%,$1.53B,$0.10B,6.73%,$1.53B,$0.07B,4.38%,$0.07B,$0.33B,21.22%,$0.07B,$0.27B,26.22%,$0.07B,$0.54B,13.11%,$0.10B,$0.33B,30.72%,$393,$336,$56,$0,$27,$364,$29,$1,$31,$11,$20,$20,$20,$31,$29,$73,74,$0.27,$0.27,$105,$38,$0,$424,$13,$0,$59,$0,$112,$537,$116,$0,$63,$90,$206,$1,$124,$1,$331,$537,$57,$7,$6,$13,$-55,$-1,$0,$-4,$-32,$38,$-4,$0,$0,$-19,$8,$-11,$0,$-14,$0,$0,$0,$6,$6,$-40,$2,$-32,$-9,$1,$-40
9,2016-06-30,39.97,$4.45,8.97,$20.55,1.95,$1.83,21.83,$0.89,44.91,$0.41B,$0.11B,3.77,$0.00B,$0.32B,0.0,$1.50B,$0.21B,13.89%,$1.50B,$0.10B,6.41%,$1.50B,$0.10B,6.41%,$1.50B,$0.11B,7.08%,$1.50B,$0.10B,6.61%,$1.50B,$0.06B,4.27%,$0.06B,$0.32B,20.83%,$0.06B,$0.26B,25.99%,$0.06B,$0.52B,12.92%,$0.10B,$0.32B,31.24%,$387,$332,$54,$0,$26,$358,$29,$1,$30,$11,$19,$19,$19,$31,$29,$73,73,$0.26,$0.26,$101,$38,$0,$410,$13,$0,$60,$0,$112,$523,$109,$0,$64,$91,$200,$1,$118,$2,$323,$523,$37,$5,$6,$10,$-43,$-1,$0,$-4,$-27,$20,$-3,$0,$0,$-15,$6,$-8,$0,$-11,$0,$0,$0,$5,$5,$-26,$1,$-21,$-11,$1,$-26
