,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2014-09-30,45.47,$0.00,0.0,$7.95,5.72,$2.43,18.75,$1.41,32.25,$63.63B,$70.08B,0.91,$6.56B,$9.28B,0.71,$6.39B,$2.48B,38.79%,$6.39B,$0.66B,10.29%,$6.39B,0,0.00%,$6.39B,0,0.00%,$6.39B,$1.62B,25.32%,$6.39B,$1.14B,17.80%,$1.14B,$9.28B,13.85%,$1.14B,$8.07B,14.97%,$1.14B,$85.92B,1.38%,$0.66B,$15.84B,4.41%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$8031,$0,$0,$63634,$502,$18056,$1211,$2517,$22286,$85920,$70081,$6560,$0,$6560,$76641,$78,$3210,$-68,$9279,$85920,$695,$104,$209,$313,$2,$0,$177,$132,$310,$1318,$-54,$0,$0,$-275,$-3105,$-3379,$-2975,$-6408,$115,$-781,$-666,$99,$99,$0,$3306,$2739,$-2301,$81,$0
1,2014-06-30,45.71,$0.00,0.0,$10.37,4.41,$2.43,18.85,$1.81,25.25,$5.06B,$62.51B,0.08,$6.49B,$7.74B,0.84,$8.31B,$4.40B,52.97%,$8.31B,$2.05B,24.64%,$8.31B,0,0.00%,$8.31B,0,0.00%,$8.31B,$2.10B,25.26%,$8.31B,$1.46B,17.53%,$1.46B,$7.74B,18.68%,$1.46B,$7.74B,20.28%,$1.46B,$82.55B,1.83%,$2.05B,$14.22B,14.63%,$2115,$1016,$1099,$0,$534,$1550,$565,$0,$565,$189,$375,$375,$375,$0,$0,$809,809,$0.46,$0.46,$5056,$0,$0,$5056,$0,$20780,$0,$56223,$77003,$82548,$62508,$6488,$5816,$12304,$74812,$81,$7655,$0,$7736,$82548,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2,2014-03-31,39.76,$0.00,0.0,$10.09,3.94,$2.43,16.39,$1.74,22.85,$64.93B,$69.95B,0.93,$6.59B,$8.88B,0.74,$8.05B,$4.22B,52.44%,$8.05B,$1.86B,23.09%,$8.05B,0,0.00%,$8.05B,0,0.00%,$8.05B,$2.03B,25.23%,$8.05B,$1.39B,17.29%,$1.39B,$8.88B,18.36%,$1.39B,$7.63B,19.99%,$1.39B,$85.42B,1.80%,$1.86B,$15.47B,13.37%,$2266,$1929,$337,$0,$675,$2746,$-480,$0,$485,$185,$300,$384,$384,$0,$0,$799,808,$0.48,$0.47,$11162,$0,$0,$64929,$0,$15147,$1253,$3572,$19972,$85424,$69953,$6587,$0,$6587,$76540,$80,$2918,$0,$8883,$85424,$1324,$201,$0,$201,$0,$0,$0,$0,$407,$2119,$-160,$0,$0,$0,$0,$1940,$-14728,$-12948,$0,$8,$1588,$0,$121,$0,$11524,$13241,$2535,$0,$0
3,2013-12-31,33.38,$0.00,0.0,$10.08,3.31,$1.43,23.28,$1.71,19.52,$5.70B,$56.57B,0.1,$7.10B,$6.95B,1.02,$7.98B,$5.09B,63.78%,$7.98B,$2.60B,32.51%,$7.98B,0,0.00%,$7.98B,0,0.00%,$7.98B,$1.93B,24.14%,$7.98B,$1.36B,16.99%,$1.36B,$6.95B,18.05%,$1.36B,$6.95B,19.78%,$1.36B,$75.84B,1.78%,$2.60B,$14.05B,19.17%,$2005,$965,$1041,$0,$469,$1434,$572,$0,$567,$190,$377,$378,$378,$0,$0,$791,791,$0.48,$0.48,$5701,$0,$0,$5701,$0,$17920,$0,$51741,$69660,$75837,$56573,$7103,$5213,$12316,$68889,$78,$6871,$0,$6948,$75837,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
4,2013-09-30,29.83,$0.00,0.0,$10.02,2.98,$1.43,20.8,$1.67,17.86,$52.31B,$62.09B,0.84,$4.62B,$7.63B,0.61,$7.92B,$5.09B,64.20%,$7.92B,$2.53B,31.89%,$7.92B,0,0.00%,$7.92B,0,0.00%,$7.92B,$1.86B,23.52%,$7.92B,$1.32B,16.69%,$1.32B,$7.63B,17.83%,$1.32B,$6.42B,19.56%,$1.32B,$74.34B,1.76%,$2.53B,$12.25B,19.25%,$1926,$0,$1926,$0,$535,$535,$1391,$0,$483,$164,$319,$320,$320,$0,$0,$796,796,$0.40,$0.40,$6991,$0,$0,$52313,$0,$16411,$1212,$3899,$21523,$74337,$62089,$4615,$0,$4615,$66704,$76,$2427,$0,$7633,$74337,$552,$97,$0,$97,$0,$0,$0,$0,$-549,$90,$-90,$0,$0,$0,$0,$1121,$-4138,$-3107,$0,$1025,$0,$0,$65,$-246,$2624,$3372,$519,$0,$0
5,2013-06-30,35.12,$0.00,0.0,$9.82,3.58,$1.43,24.49,$1.63,21.55,$4.52B,$53.99B,0.08,$6.97B,$6.84B,1.02,$7.74B,$4.03B,52.09%,$7.74B,$1.55B,20.03%,$7.74B,0,0.00%,$7.74B,0,0.00%,$7.74B,$1.80B,23.20%,$7.74B,$1.29B,16.62%,$1.29B,$6.84B,18.31%,$1.29B,$6.84B,19.28%,$1.29B,$74.11B,1.75%,$1.55B,$13.80B,11.93%,$1850,$933,$916,$0,$541,$1474,$375,$0,$495,$166,$328,$309,$309,$0,$0,$793,793,$0.39,$0.39,$4524,$0,$0,$4524,$0,$18659,$0,$50401,$69059,$74107,$53990,$6967,$6313,$13280,$67270,$85,$6752,$0,$6837,$74107,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
6,2013-03-31,35.97,$0.00,0.0,$9.57,3.76,$1.43,25.08,$1.57,22.91,$57.07B,$66.13B,0.86,$5.42B,$8.63B,0.63,$7.53B,$3.92B,52.07%,$7.53B,$1.53B,20.33%,$7.53B,0,0.00%,$7.53B,0,0.00%,$7.53B,$1.69B,22.41%,$7.53B,$1.23B,16.39%,$1.23B,$8.63B,18.21%,$1.23B,$7.22B,19.21%,$1.23B,$80.17B,1.72%,$1.53B,$14.04B,12.54%,$2200,$992,$1207,$0,$786,$1943,$257,$0,$382,$133,$250,$349,$349,$0,$0,$787,787,$0.44,$0.44,$10499,$0,$0,$57067,$0,$18673,$1407,$2492,$22572,$80171,$66128,$5415,$0,$5415,$71543,$87,$2435,$0,$8628,$80171,$1140,$234,$0,$234,$0,$0,$0,$0,$-219,$1312,$-183,$0,$0,$0,$0,$-4570,$-7811,$-12564,$0,$608,$2143,$0,$201,$0,$8836,$11787,$563,$0,$0
7,2012-12-31,39.14,$0.00,0.0,$9.32,4.2,$0.74,52.72,$1.50,26.09,$4.57B,$52.56B,0.09,$5.84B,$6.56B,0.89,$7.33B,$4.07B,55.49%,$7.33B,$1.86B,25.38%,$7.33B,0,0.00%,$7.33B,0,0.00%,$7.33B,$1.61B,22.03%,$7.33B,$1.17B,16.00%,$1.17B,$6.56B,17.85%,$1.17B,$6.56B,18.97%,$1.17B,$70.99B,1.70%,$1.86B,$12.40B,16.14%,$1944,$908,$1036,$0,$533,$1441,$503,$0,$503,$159,$344,$344,$344,$0,$0,$784,784,$0.44,$0.44,$4573,$0,$0,$4573,$0,$17756,$0,$48185,$65941,$70990,$52562,$5843,$6029,$11872,$64434,$88,$6468,$0,$6556,$70990,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
8,2012-09-30,36.12,$0.00,0.0,$8.93,4.05,$0.74,48.65,$1.42,25.44,$4.86B,$49.89B,0.1,$5.64B,$6.07B,0.93,$7.01B,$3.85B,54.99%,$7.01B,$1.76B,25.09%,$7.01B,0,0.00%,$7.01B,0,0.00%,$7.01B,$1.51B,21.59%,$7.01B,$1.11B,15.81%,$1.11B,$6.07B,17.39%,$1.11B,$6.07B,18.52%,$1.11B,$68.68B,1.63%,$1.76B,$11.71B,15.90%,$1743,$872,$871,$0,$456,$1328,$415,$0,$415,$131,$284,$284,$284,$0,$0,$788,788,$0.36,$0.36,$4862,$0,$0,$4862,$0,$16696,$0,$46670,$63365,$68682,$49892,$5637,$7085,$12722,$62613,$86,$5983,$0,$6069,$68682,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
9,2012-06-30,31.33,$0.00,0.0,$8.82,3.55,$0.40,79.0,$1.39,22.54,$4.43B,$47.64B,0.09,$4.82B,$5.85B,0.83,$6.92B,$3.81B,55.07%,$6.92B,$1.73B,24.93%,$6.92B,0,0.00%,$6.92B,0,0.00%,$6.92B,$1.48B,21.44%,$6.92B,$1.09B,15.70%,$1.09B,$5.85B,17.00%,$1.09B,$5.85B,18.10%,$1.09B,$66.60B,1.60%,$1.73B,$10.67B,15.84%,$1642,$837,$806,$0,$450,$1287,$356,$0,$387,$125,$262,$257,$257,$0,$0,$787,787,$0.33,$0.33,$4434,$0,$0,$4434,$0,$16679,$0,$45040,$61718,$66600,$47643,$4822,$8288,$13110,$60753,$87,$5760,$0,$5847,$66600,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
