,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,1.57,$3.76,0.42,$1.62,0.97,$-0.33,0.0,$0.23,6.83,$0.01B,$0.08B,0.07,$0.06B,$0.17B,0.38,$0.07B,$0.02B,22.22%,$0.07B,$0.01B,19.44%,$0.07B,$0.01B,19.44%,$0.07B,$0.01B,19.44%,$0.07B,$0.01B,18.06%,$0.07B,$0.01B,12.50%,$0.01B,$0.17B,5.35%,$0.01B,$0.17B,5.35%,$0.01B,$0.38B,2.33%,$0.01B,$0.23B,5.52%,$14,$9,$5,$0,$1,$10,$5,$-0,$4,$1,$3,$3,$3,$5,$5,$45,45,$0.08,$0.08,$6,$0,$0,$6,$1,$0,$0,$371,$372,$378,$84,$64,$59,$125,$209,$0,$33,$-3,$169,$378,$7,$0,$1,$2,$0,$0,$-7,$4,$-4,$4,$-0,$0,$0,$0,$0,$0,$0,$-0,$-3,$-0,$-3,$0,$0,$0,$0,$-3,$1,$0,$0
1,2018-03-31,1.31,$3.89,0.34,$1.65,0.8,$-0.91,0.0,$0.18,7.28,$0.01B,$0.07B,0.11,$0.09B,$0.18B,0.51,$0.07B,$0.01B,18.92%,$0.07B,$0.01B,14.86%,$0.07B,$0.01B,14.86%,$0.07B,$0.01B,14.86%,$0.07B,$0.01B,14.86%,$0.07B,$0.01B,10.81%,$0.01B,$0.18B,4.85%,$0.01B,$0.18B,4.85%,$0.01B,$0.40B,2.08%,$0.01B,$0.26B,4.24%,$22,$18,$4,$0,$1,$19,$3,$-0,$3,$1,$2,$2,$2,$3,$3,$45,45,$0.05,$0.05,$8,$0,$0,$8,$1,$0,$0,$391,$391,$399,$70,$89,$64,$154,$224,$0,$30,$7,$175,$399,$3,$0,$1,$1,$0,$0,$-6,$6,$-0,$4,$-0,$0,$0,$0,$0,$0,$0,$-0,$-1,$-0,$-1,$0,$0,$0,$0,$-1,$2,$0,$0
2,2017-12-31,1.23,$3.70,0.33,$1.40,0.88,$-1.67,0.0,$0.15,8.19,$0.01B,$0.07B,0.08,$0.09B,$0.17B,0.53,$0.06B,$0.01B,20.63%,$0.06B,$0.01B,14.29%,$0.06B,$0.01B,14.29%,$0.06B,$0.01B,14.29%,$0.06B,$0.01B,14.29%,$0.06B,$0.01B,11.11%,$0.01B,$0.17B,4.40%,$0.01B,$0.17B,4.40%,$0.01B,$0.39B,1.85%,$0.01B,$0.26B,3.45%,$14,$12,$2,$0,$1,$13,$2,$-0,$2,$0,$1,$1,$1,$2,$2,$45,45,$0.03,$0.03,$6,$0,$0,$6,$1,$0,$0,$382,$382,$388,$68,$89,$63,$153,$221,$0,$28,$0,$167,$388,$1,$0,$0,$1,$0,$0,$-2,$2,$0,$2,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$-1,$-1,$0,$0,$0,$0,$-1,$1,$0,$0
3,2017-09-30,1.33,$3.59,0.37,$1.28,1.04,$-2.08,0.0,$0.14,9.5,$0.01B,$0.06B,0.08,$0.10B,$0.16B,0.61,$0.06B,$0.01B,22.41%,$0.06B,$0.01B,13.79%,$0.06B,$0.01B,13.79%,$0.06B,$0.01B,13.79%,$0.06B,$0.01B,13.79%,$0.06B,$0.01B,12.07%,$0.01B,$0.16B,4.52%,$0.01B,$0.16B,4.52%,$0.01B,$0.38B,1.89%,$0.01B,$0.26B,3.06%,$22,$18,$5,$0,$1,$19,$4,$-0,$4,$0,$3,$3,$3,$4,$4,$45,45,$0.07,$0.07,$5,$0,$0,$5,$1,$0,$0,$374,$375,$380,$58,$99,$61,$160,$218,$0,$26,$-3,$162,$380,$6,$0,$0,$0,$0,$0,$-6,$-25,$-30,$-23,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$20,$20,$0,$0,$0,$0,$20,$-3,$0,$0
4,2017-06-30,1.52,$3.46,0.44,$1.11,1.37,$-3.28,0.0,$0.07,21.71,$0.01B,$0.05B,0.08,$0.10B,$0.16B,0.64,$0.05B,$0.01B,19.61%,$0.05B,$0.00B,7.84%,$0.05B,$0.00B,7.84%,$0.05B,$0.00B,7.84%,$0.05B,$0.00B,7.84%,$0.05B,$0.00B,7.84%,$0.00B,$0.16B,2.61%,$0.00B,$0.16B,2.61%,$0.00B,$0.37B,1.10%,$0.00B,$0.26B,1.54%,$16,$13,$3,$0,$1,$13,$2,$-0,$2,$0,$2,$2,$2,$2,$2,$45,45,$0.03,$0.03,$5,$0,$0,$5,$1,$0,$0,$363,$364,$369,$53,$100,$55,$160,$213,$0,$24,$-7,$156,$369,$3,$0,$0,$0,$0,$0,$-6,$-20,$-26,$-22,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$20,$20,$0,$0,$0,$0,$20,$-3,$0,$0
5,2017-03-31,1.6,$3.37,0.48,$1.03,1.56,$-3.90,0.0,$0.09,17.78,$0.00B,$0.04B,0.08,$0.12B,$0.15B,0.77,$0.05B,$0.01B,21.28%,$0.05B,$0.01B,10.64%,$0.05B,$0.01B,10.64%,$0.05B,$0.01B,10.64%,$0.05B,$0.01B,10.64%,$0.05B,$0.00B,8.51%,$0.00B,$0.15B,2.61%,$0.00B,$0.15B,2.61%,$0.00B,$0.37B,1.13%,$0.01B,$0.27B,1.98%,$11,$8,$3,$0,$1,$10,$1,$-0,$1,$0,$1,$1,$1,$1,$1,$45,45,$0.02,$0.02,$3,$0,$0,$3,$1,$0,$0,$369,$369,$373,$43,$117,$56,$178,$221,$0,$22,$-9,$152,$373,$2,$0,$0,$0,$0,$0,$-5,$-28,$-33,$-31,$0,$0,$0,$0,$0,$0,$0,$0,$0,$27,$27,$0,$0,$0,$0,$27,$-4,$0,$0
6,2016-12-31,1.91,$3.32,0.58,$0.93,2.06,$-3.73,0.0,$0.10,19.1,$0.01B,$0.05B,0.25,$0.11B,$0.15B,0.74,$0.04B,$0.01B,21.43%,$0.04B,$0.01B,14.29%,$0.04B,$0.01B,14.29%,$0.04B,$0.01B,14.29%,$0.04B,$0.01B,11.90%,$0.04B,$0.00B,9.52%,$0.00B,$0.15B,2.58%,$0.00B,$0.15B,2.58%,$0.00B,$0.36B,1.18%,$0.01B,$0.26B,2.53%,$9,$7,$2,$0,$1,$8,$1,$-0,$1,$0,$1,$1,$1,$1,$1,$45,45,$0.02,$0.02,$11,$0,$0,$11,$1,$0,$0,$351,$352,$363,$46,$111,$52,$168,$214,$0,$21,$-10,$150,$363,$1,$0,$0,$0,$0,$0,$-1,$-17,$-18,$-17,$0,$0,$0,$0,$0,$0,$0,$0,$0,$21,$21,$0,$0,$0,$0,$21,$4,$0,$0
7,2016-09-30,2.36,$3.44,0.69,$0.85,2.76,$-3.50,0.0,$0.11,21.45,$0.01B,$0.04B,0.19,$0.10B,$0.16B,0.64,$0.04B,$0.01B,23.68%,$0.04B,$0.01B,18.42%,$0.04B,$0.01B,18.42%,$0.04B,$0.01B,18.42%,$0.04B,$0.01B,15.79%,$0.04B,$0.00B,10.53%,$0.00B,$0.16B,2.56%,$0.00B,$0.16B,2.56%,$0.00B,$0.36B,1.24%,$0.01B,$0.26B,3.22%,$15,$13,$2,$0,$2,$15,$0,$-0,$0,$0,$-0,$-0,$-0,$0,$0,$45,45,$0.00,$0.00,$8,$0,$0,$8,$1,$0,$0,$348,$348,$356,$43,$100,$54,$159,$201,$0,$21,$-4,$155,$356,$5,$0,$1,$1,$0,$0,$-9,$-73,$-83,$-77,$-0,$0,$0,$0,$0,$0,$0,$-0,$-6,$88,$82,$0,$0,$0,$0,$82,$5,$0,$0
8,2016-06-30,1.82,$3.46,0.53,$0.96,1.9,$-1.56,0.0,$0.26,7.0,$0.00B,$0.04B,0.1,$0.07B,$0.16B,0.45,$0.04B,$0.02B,34.88%,$0.04B,$0.01B,32.56%,$0.04B,$0.01B,32.56%,$0.04B,$0.01B,32.56%,$0.04B,$0.01B,30.23%,$0.04B,$0.01B,25.58%,$0.01B,$0.16B,7.02%,$0.01B,$0.16B,7.02%,$0.01B,$0.33B,3.57%,$0.01B,$0.23B,7.11%,$12,$8,$3,$0,$1,$9,$3,$-0,$3,$0,$2,$2,$2,$3,$3,$45,45,$0.05,$0.05,$4,$0,$0,$4,$1,$0,$0,$321,$322,$325,$36,$70,$58,$133,$170,$0,$125,$-3,$156,$325,$5,$0,$0,$0,$0,$0,$-15,$-40,$-56,$-50,$-0,$0,$0,$0,$0,$0,$0,$-0,$-6,$57,$51,$0,$0,$0,$0,$51,$1,$0,$0
9,2016-03-31,1.76,$3.51,0.5,$1.24,1.42,$-0.15,0.0,$0.51,3.45,$0.00B,$0.04B,0.1,$0.05B,$0.16B,0.31,$0.06B,$0.03B,49.09%,$0.06B,$0.03B,45.45%,$0.06B,$0.03B,45.45%,$0.06B,$0.03B,45.45%,$0.06B,$0.02B,43.64%,$0.06B,$0.02B,41.82%,$0.02B,$0.16B,14.65%,$0.02B,$0.16B,14.65%,$0.02B,$0.31B,7.64%,$0.03B,$0.21B,13.87%,$6,$4,$2,$0,$1,$5,$2,$-0,$1,$0,$1,$1,$1,$2,$2,$45,45,$0.03,$0.03,$3,$0,$0,$3,$1,$0,$0,$309,$310,$313,$36,$49,$65,$119,$155,$0,$122,$1,$158,$313,$3,$0,$0,$0,$0,$0,$-13,$-13,$-27,$-24,$0,$0,$0,$0,$0,$0,$0,$0,$29,$-5,$24,$0,$0,$0,$-0,$24,$0,$0,$0
