,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,44.93,$12.60,3.57,$15.10,2.98,$4.08,11.03,$1.96,22.92,$0.29B,$0.32B,0.93,$0.01B,$0.83B,0.01,$1.00B,$0.32B,32.13%,$1.00B,$0.21B,21.02%,$1.00B,$0.21B,21.02%,$1.00B,$0.22B,22.22%,$1.00B,$0.22B,21.52%,$1.00B,$0.17B,17.02%,$0.17B,$0.83B,20.46%,$0.17B,$0.03B,244.60%,$0.17B,$1.22B,13.64%,$0.21B,$0.84B,24.91%,$275,$185,$90,$0,$0,$219,$56,$1,$57,$17,$40,$40,$40,$60,$56,$62,66,$0.64,$0.61,$228,$0,$0,$294,$32,$27,$799,$29,$926,$1220,$318,$12,$22,$74,$392,$0,$222,$-30,$828,$1220,$70,$7,$26,$33,$28,$14,$0,$-12,$-87,$16,$-3,$0,$-71,$0,$183,$183,$1,$109,$-0,$0,$-0,$-54,$-54,$-34,$-97,$-185,$-72,$0,$-34
1,2018-06-30,51.22,$12.38,4.14,$14.55,3.52,$4.81,10.64,$2.46,20.82,$0.23B,$0.25B,0.92,$0.01B,$0.82B,0.01,$0.97B,$0.31B,31.68%,$0.97B,$0.21B,21.43%,$0.97B,$0.21B,21.43%,$0.97B,$0.22B,22.57%,$0.97B,$0.21B,21.95%,$0.97B,$0.16B,16.87%,$0.16B,$0.82B,19.87%,$0.16B,$0.02B,208.31%,$0.16B,$1.15B,13.22%,$0.21B,$0.83B,24.84%,$220,$149,$71,$0,$0,$180,$40,$2,$42,$12,$30,$30,$30,$44,$40,$63,66,$0.47,$0.45,$145,$0,$0,$229,$32,$16,$802,$27,$918,$1147,$248,$12,$21,$80,$328,$0,$202,$-27,$819,$1147,$30,$3,$17,$21,$12,$13,$0,$-9,$-170,$-119,$-1,$0,$-71,$0,$194,$194,$-0,$121,$-0,$0,$-0,$-34,$-34,$-17,$-97,$-148,$-156,$0,$-17
2,2018-03-31,44.35,$12.58,3.53,$14.50,3.06,$5.66,7.84,$2.60,17.06,$0.38B,$0.52B,0.72,$0.01B,$0.85B,0.01,$0.96B,$0.30B,31.26%,$0.96B,$0.21B,22.22%,$0.96B,$0.21B,22.22%,$0.96B,$0.22B,23.16%,$0.96B,$0.22B,22.64%,$0.96B,$0.17B,17.86%,$0.17B,$0.85B,21.34%,$0.17B,$0.13B,202.95%,$0.17B,$1.42B,14.14%,$0.21B,$0.87B,26.08%,$245,$162,$83,$0,$0,$185,$60,$1,$61,$23,$38,$38,$38,$62,$60,$62,66,$0.61,$0.58,$300,$0,$0,$377,$32,$209,$723,$22,$1041,$1419,$522,$12,$6,$44,$566,$0,$207,$-14,$853,$1419,$172,$8,$41,$49,$-18,$12,$0,$-2,$29,$251,$-8,$0,$-3,$0,$-209,$-209,$1,$-219,$-19,$0,$-19,$75,$75,$-52,$-230,$-225,$-192,$0,$-52
3,2017-12-31,44.98,$12.50,3.6,$14.67,3.07,$5.57,8.08,$2.53,17.78,$0.24B,$0.32B,0.77,$0.01B,$0.82B,0.02,$0.98B,$0.30B,30.67%,$0.98B,$0.21B,21.64%,$0.98B,$0.21B,21.64%,$0.98B,$0.22B,22.56%,$0.98B,$0.21B,21.95%,$0.98B,$0.17B,17.23%,$0.17B,$0.82B,21.69%,$0.17B,$0.10B,305.45%,$0.17B,$1.20B,13.90%,$0.21B,$0.84B,26.57%,$259,$182,$77,$0,$0,$204,$54,$1,$55,$-6,$62,$62,$62,$56,$54,$63,66,$0.98,$0.93,$197,$0,$0,$243,$32,$133,$722,$19,$954,$1198,$318,$12,$9,$56,$374,$0,$182,$-13,$824,$1198,$134,$6,$42,$48,$26,$16,$0,$1,$-42,$141,$-6,$0,$-3,$0,$-133,$-133,$3,$-139,$-19,$0,$-19,$-17,$-17,$-39,$-225,$-301,$-296,$0,$-39
4,2017-09-30,38.57,$11.79,3.27,$14.47,2.66,$5.62,6.87,$2.11,18.28,$0.29B,$0.32B,0.92,$0.02B,$0.79B,0.02,$0.96B,$0.30B,31.12%,$0.96B,$0.21B,22.20%,$0.96B,$0.21B,22.20%,$0.96B,$0.22B,23.24%,$0.96B,$0.22B,22.30%,$0.96B,$0.14B,14.52%,$0.14B,$0.79B,18.71%,$0.14B,$0.06B,434.11%,$0.14B,$1.17B,11.84%,$0.21B,$0.80B,27.59%,$242,$168,$75,$0,$0,$189,$53,$0,$54,$20,$33,$33,$33,$56,$53,$62,67,$0.54,$0.50,$245,$0,$0,$290,$33,$61,$722,$20,$878,$1169,$316,$16,$9,$67,$383,$0,$134,$-14,$786,$1169,$73,$4,$25,$29,$21,$23,$0,$2,$-34,$68,$-6,$0,$-3,$0,$-61,$-61,$1,$-68,$-16,$0,$-16,$-17,$-17,$-25,$-192,$-250,$-247,$0,$-25
5,2017-06-30,34.21,$11.37,3.01,$13.64,2.51,$5.14,6.65,$1.92,17.82,$0.25B,$0.25B,1.0,$0.02B,$0.76B,0.02,$0.91B,$0.28B,30.91%,$0.91B,$0.20B,21.56%,$0.91B,$0.20B,21.56%,$0.91B,$0.21B,22.55%,$0.91B,$0.20B,21.45%,$0.91B,$0.13B,14.08%,$0.13B,$0.76B,17.65%,$0.13B,$0.04B,1089.36%,$0.13B,$1.08B,11.21%,$0.20B,$0.78B,25.73%,$217,$151,$66,$0,$0,$171,$47,$2,$48,$9,$39,$39,$39,$49,$47,$62,66,$0.63,$0.59,$183,$0,$0,$246,$32,$19,$718,$18,$835,$1080,$246,$18,$9,$73,$319,$0,$114,$-17,$761,$1080,$39,$2,$14,$16,$-2,$22,$0,$5,$-116,$-61,$-3,$0,$0,$0,$-19,$-19,$-1,$-23,$-15,$0,$-15,$-8,$-8,$-12,$-192,$-227,$-309,$0,$-12
6,2017-03-31,33.57,$9.97,3.37,$13.09,2.56,$4.98,6.75,$1.62,20.72,$0.55B,$0.58B,0.96,$0.03B,$0.73B,0.05,$0.87B,$0.27B,30.70%,$0.87B,$0.18B,20.85%,$0.87B,$0.18B,20.85%,$0.87B,$0.19B,21.88%,$0.87B,$0.18B,20.50%,$0.87B,$0.11B,12.37%,$0.11B,$0.73B,15.34%,$0.11B,$0.01B,-1309.09%,$0.11B,$1.39B,9.66%,$0.18B,$0.76B,23.96%,$257,$176,$81,$0,$0,$200,$57,$-1,$57,$22,$34,$34,$34,$59,$57,$61,67,$0.55,$0.52,$493,$0,$0,$553,$30,$0,$715,$18,$832,$1386,$575,$33,$12,$84,$659,$0,$87,$-22,$727,$1386,$108,$9,$37,$46,$-6,$-6,$0,$2,$98,$252,$-14,$0,$-4,$0,$0,$0,$16,$-2,$-41,$0,$-41,$194,$194,$-55,$-17,$80,$327,$0,$-55
7,2016-12-31,30.13,$10.78,2.79,$12.12,2.49,$1.44,20.88,$1.46,20.64,$0.29B,$0.28B,1.02,$0.04B,$0.72B,0.06,$0.80B,$0.25B,30.75%,$0.80B,$0.17B,20.75%,$0.80B,$0.17B,20.75%,$0.80B,$0.18B,22.00%,$0.80B,$0.16B,20.38%,$0.80B,$0.10B,12.13%,$0.10B,$0.72B,14.16%,$0.10B,$0.01B,-352.73%,$0.10B,$1.09B,9.33%,$0.17B,$0.76B,22.08%,$248,$170,$78,$0,$0,$191,$57,$-1,$56,$22,$34,$34,$34,$60,$57,$61,67,$0.56,$0.51,$254,$0,$0,$287,$30,$0,$708,$18,$807,$1093,$280,$44,$8,$94,$374,$0,$68,$-27,$719,$1093,$74,$7,$35,$42,$22,$10,$0,$5,$35,$152,$-13,$0,$0,$0,$0,$0,$19,$6,$-34,$0,$-34,$0,$0,$-36,$6,$-64,$87,$0,$-36
8,2016-09-30,24.12,$10.41,2.32,$11.55,2.09,$-1.27,0.0,$1.30,18.55,$0.21B,$0.21B,0.98,$0.05B,$0.69B,0.07,$0.76B,$0.23B,30.47%,$0.76B,$0.15B,20.18%,$0.76B,$0.15B,20.18%,$0.76B,$0.16B,21.37%,$0.76B,$0.15B,19.79%,$0.76B,$0.09B,11.35%,$0.09B,$0.69B,12.95%,$0.09B,$-0.02B,-171.14%,$0.09B,$1.01B,8.41%,$0.15B,$0.75B,20.70%,$187,$130,$56,$0,$0,$152,$35,$-1,$34,$13,$21,$21,$21,$37,$35,$61,67,$0.34,$0.31,$156,$0,$0,$207,$28,$0,$712,$18,$801,$1008,$212,$51,$8,$101,$314,$0,$47,$-21,$694,$1008,$40,$4,$20,$25,$11,$16,$0,$6,$-26,$39,$-8,$0,$0,$0,$0,$0,$19,$11,$-26,$0,$-26,$0,$0,$-25,$-6,$-57,$-10,$0,$-25
9,2016-06-30,21.39,$10.12,2.11,$11.29,1.9,$-2.71,0.0,$1.14,18.76,$0.17B,$0.17B,1.0,$0.09B,$0.68B,0.14,$0.73B,$0.22B,29.77%,$0.73B,$0.14B,18.52%,$0.73B,$0.14B,18.52%,$0.73B,$0.14B,19.75%,$0.73B,$0.13B,18.24%,$0.73B,$0.07B,10.15%,$0.07B,$0.68B,11.49%,$0.07B,$-0.04B,-114.29%,$0.07B,$0.99B,7.28%,$0.14B,$0.77B,18.71%,$181,$128,$53,$0,$0,$148,$33,$-1,$32,$13,$19,$19,$19,$35,$33,$61,66,$0.32,$0.29,$106,$0,$0,$166,$28,$0,$714,$22,$821,$986,$165,$94,$8,$144,$310,$0,$37,$-18,$677,$986,$19,$2,$12,$14,$4,$2,$0,$-1,$-101,$-68,$-7,$0,$0,$0,$0,$0,$20,$12,$17,$0,$17,$0,$0,$-15,$-6,$-4,$-60,$0,$-15
