,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,0.02,$0.05,0.28,$695.70,0.0,$-1751.49,0.0,$-110.17,0.0,$0.04B,$0.06B,0.71,$0.01B,$0.07B,0.08,$0.21B,$-0.23B,-109.48%,$0.21B,$-0.37B,-173.93%,$0.21B,$-0.37B,-173.93%,$0.21B,$-0.33B,-154.50%,$0.21B,$-0.34B,-162.56%,$0.21B,$-0.28B,-132.23%,$-0.28B,$0.07B,-1062.86%,$-0.28B,$-0.01B,363.52%,$-0.28B,$0.13B,-171.96%,$-0.37B,$0.08B,-1287.72%,$81,$110,$-28,$0,$18,$168,$-86,$-51,$-137,$0,$-137,$-137,$-130,$-47,$-86,$643,643,$-0.20,$-0.20,$5,$0,$0,$39,$0,$13,$79,$1,$94,$133,$55,$6,$0,$6,$61,$14,$-377,$-0,$72,$133,$-247,$33,$-97,$-64,$-3,$0,$0,$-17,$-10,$-321,$-0,$0,$-1,$0,$0,$0,$1,$-0,$45,$0,$45,$-1,$19,$0,$237,$301,$-20,$10,$0
1,2018-06-30,77.5,$36.59,2.12,$695.73,0.11,$-1752.02,0.0,$-109.97,0.0,$0.05B,$0.14B,0.39,$0.00B,$0.04B,0.01,$0.13B,$-0.20B,-154.96%,$0.13B,$-0.28B,-216.79%,$0.13B,$-0.28B,-216.79%,$0.13B,$-0.28B,-215.27%,$0.13B,$-0.25B,-190.08%,$0.13B,$-0.19B,-146.56%,$-0.19B,$0.04B,-8533.33%,$-0.19B,$-0.08B,229.94%,$-0.19B,$0.18B,-144.09%,$-0.28B,$0.04B,-9466.67%,$74,$179,$-105,$0,$21,$201,$-127,$43,$-84,$0,$-84,$-84,$-63,$-134,$-127,$0,0,$-132.47,$-132.47,$16,$0,$0,$54,$0,$0,$119,$0,$122,$175,$138,$0,$0,$0,$139,$0,$-248,$-0,$37,$175,$-110,$-6,$-124,$-130,$-1,$0,$0,$7,$21,$-219,$-0,$0,$0,$0,$0,$0,$-1,$-1,$22,$0,$22,$177,$197,$0,$-8,$211,$-9,$0,$0
2,2018-03-31,707.5,$-13.95,-50.72,$584.45,1.21,$-1486.89,0.0,$-175.00,0.0,$0.07B,$0.18B,0.39,$0.00B,$-0.00B,-0.23,$0.06B,$-0.10B,-168.97%,$0.06B,$-0.16B,-275.86%,$0.06B,$-0.16B,-275.86%,$0.06B,$-0.15B,-258.62%,$0.06B,$-0.17B,-293.10%,$0.06B,$-0.13B,-231.03%,$-0.13B,$-0.00B,3152.94%,$-0.13B,$-0.11B,214.40%,$-0.13B,$0.18B,-144.47%,$-0.16B,$-0.00B,4571.43%,$49,$136,$-87,$0,$20,$157,$-108,$82,$-26,$0,$-26,$-26,$5,$-106,$-108,$0,0,$37.50,$22.50,$43,$0,$0,$70,$0,$0,$106,$0,$107,$177,$179,$1,$0,$1,$180,$0,$-184,$-0,$-3,$177,$-26,$1,$-76,$-75,$3,$0,$0,$30,$33,$-68,$-0,$0,$0,$0,$0,$0,$0,$-0,$-3,$0,$-3,$97,$97,$0,$-8,$86,$18,$6,$0
3,2017-12-31,1577.5,$-6.17,-255.54,$308.17,5.12,$-1132.60,0.0,$-490.00,0.0,$0.06B,$0.16B,0.34,$0.00B,$-0.00B,-2.62,$0.01B,$-0.01B,-110.00%,$0.01B,$-0.06B,-560.00%,$0.01B,$-0.06B,-560.00%,$0.01B,$-0.05B,-480.00%,$0.01B,$-0.15B,-1500.00%,$0.01B,$-0.15B,-1450.00%,$-0.15B,$-0.00B,14500.00%,$-0.15B,$-0.11B,411.35%,$-0.15B,$0.16B,-277.51%,$-0.06B,$0.00B,11200.00%,$7,$18,$-11,$0,$28,$53,$-46,$-50,$-96,$0,$-96,$-96,$-91,$-39,$-46,$0,0,$-3868.03,$-3868.03,$25,$0,$0,$56,$0,$0,$108,$0,$108,$164,$163,$2,$0,$2,$165,$0,$-189,$-0,$-1,$164,$-151,$8,$114,$122,$-17,$0,$0,$18,$1,$-27,$-0,$0,$-0,$0,$0,$0,$-25,$-26,$19,$0,$19,$56,$56,$0,$0,$75,$22,$0,$0
4,2017-09-30,3172.5,$-704.46,-4.5,$215.19,14.74,$-507.68,0.0,$-1047.50,0.0,$0.01B,$0.04B,0.19,$0.00B,$-0.02B,0.0,$0.00B,0,0.00%,$0.00B,$-0.01B,-300.00%,$0.00B,$-0.01B,-300.00%,$0.00B,$-0.01B,-250.00%,$0.00B,$-0.06B,-1500.00%,$0.00B,$-0.06B,-1500.00%,$-0.06B,$-0.02B,-2666.67%,$-0.06B,$-0.03B,750.00%,$-0.06B,$0.02B,-400.00%,$-0.01B,$-0.02B,-533.33%,$1,$1,$0,$1,$2,$4,$-3,$-40,$-43,$-0,$-43,$-43,$-43,$-3,$-3,$8,8,$-5.79,$-5.79,$2,$0,$0,$8,$0,$0,$10,$0,$10,$17,$42,$0,$0,$0,$42,$2,$-99,$-0,$-24,$17,$-55,$1,$47,$49,$0,$0,$0,$-0,$-1,$-8,$-0,$0,$-5,$0,$0,$0,$0,$-5,$12,$0,$12,$0,$0,$0,$0,$12,$-1,$2,$0
5,2017-06-30,607.5,$377.71,1.61,$402.04,1.51,$-502.27,0.0,$-1147.50,0.0,$0.00B,$0.00B,1.23,$0.00B,$0.01B,0.0,$0.01B,$0.00B,20.00%,$0.01B,$-0.01B,-180.00%,$0.01B,$-0.01B,-180.00%,$0.01B,$-0.01B,-140.00%,$0.01B,$-0.02B,-360.00%,$0.01B,$-0.02B,-360.00%,$-0.02B,$0.01B,-211.76%,$-0.02B,$0.00B,-2400.00%,$-0.02B,$0.01B,-156.52%,$-0.01B,$0.01B,-105.88%,$1,$1,$0,$1,$2,$4,$-3,$-2,$-5,$0,$-5,$-5,$-5,$-2,$-3,$0,0,$-198.68,$-198.68,$1,$0,$0,$3,$0,$0,$10,$0,$10,$13,$2,$0,$0,$0,$2,$0,$-55,$-0,$11,$13,$-12,$1,$6,$7,$0,$0,$0,$-0,$0,$-5,$-0,$0,$-0,$0,$0,$0,$0,$-0,$4,$0,$4,$0,$0,$0,$0,$4,$-1,$0,$0
6,2017-03-31,707.5,$429.85,1.65,$557.96,1.27,$-255.75,0.0,$-962.50,0.0,$0.01B,$0.01B,0.94,$0.00B,$0.01B,0.0,$0.01B,$0.00B,33.33%,$0.01B,$-0.01B,-100.00%,$0.01B,$-0.01B,-100.00%,$0.01B,$-0.01B,-83.33%,$0.01B,$-0.01B,-216.67%,$0.01B,$-0.01B,-216.67%,$-0.01B,$0.01B,-208.00%,$-0.01B,$0.00B,-1300.00%,$-0.01B,$0.02B,-144.44%,$-0.01B,$0.01B,-96.00%,$1,$1,$0,$0,$4,$6,$-4,$-2,$-6,$0,$-6,$-6,$-6,$-4,$-4,$0,0,$-292.50,$-292.50,$3,$0,$0,$5,$0,$0,$10,$0,$10,$15,$5,$0,$0,$0,$5,$0,$-50,$-0,$10,$15,$-6,$0,$4,$4,$-0,$0,$0,$-0,$-0,$-2,$-0,$0,$0,$0,$0,$0,$0,$-0,$3,$0,$3,$0,$0,$0,$0,$3,$0,$2,$0
7,2016-12-31,825.0,$612.23,1.35,$711.17,1.16,$-120.98,0.0,$-685.00,0.0,$0.00B,$0.00B,1.48,$0.00B,$0.01B,0.0,$0.01B,$0.00B,42.86%,$0.01B,$-0.00B,-28.57%,$0.01B,$-0.00B,-28.57%,$0.01B,$-0.00B,-14.29%,$0.01B,$-0.01B,-100.00%,$0.01B,$-0.01B,-100.00%,$-0.01B,$0.01B,-164.71%,$-0.01B,$0.00B,-466.67%,$-0.01B,$0.02B,-116.67%,$-0.00B,$0.01B,-47.06%,$1,$1,$0,$0,$2,$3,$-2,$-5,$-6,$-0,$-6,$-6,$-6,$-1,$-2,$0,0,$-557.50,$-557.50,$3,$0,$0,$4,$0,$0,$11,$0,$11,$15,$3,$0,$0,$0,$3,$0,$-43,$-0,$12,$15,$-7,$0,$4,$5,$1,$0,$0,$-0,$0,$-2,$-0,$0,$0,$0,$0,$0,$-1,$-1,$5,$0,$5,$0,$0,$0,$0,$5,$2,$0,$0
8,2016-09-30,2035.0,$74.66,27.26,$856.37,2.38,$45.46,44.77,$-125.00,0.0,$0.00B,$0.00B,2.01,$0.00B,$0.00B,0.06,$0.01B,$0.00B,50.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,$-0.00B,-12.50%,$0.01B,$-0.00B,-12.50%,$-0.00B,$0.00B,-57.14%,$-0.00B,$0.00B,-57.14%,$-0.00B,$0.00B,-33.33%,$0.00B,$0.00B,0.00%,$2,$1,$1,$0,$1,$2,$-0,$-1,$-1,$0,$-1,$-1,$-1,$-0,$-0,$0,0,$-100.00,$-100.00,$1,$0,$0,$3,$0,$0,$0,$0,$1,$3,$1,$0,$1,$1,$3,$0,$-37,$-0,$1,$3,$-1,$0,$1,$1,$0,$0,$0,$0,$1,$0,$0,$0,$0,$0,$0,$0,$-1,$-1,$1,$0,$1,$0,$0,$0,$0,$1,$0,$0,$0
9,2016-06-30,2287.5,$169.93,13.46,$933.81,2.45,$1.19,1917.44,$-267.50,0.0,$0.00B,$0.00B,2.51,$0.00B,$0.00B,0.0,$0.01B,$0.00B,50.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,$-0.00B,-25.00%,$0.01B,$-0.00B,-25.00%,$-0.00B,$0.00B,-100.00%,$-0.00B,$0.00B,-100.00%,$-0.00B,$0.00B,-66.67%,$0.00B,$0.00B,0.00%,$2,$1,$1,$0,$1,$2,$-0,$0,$-0,$0,$-0,$-0,$-0,$-0,$-0,$0,0,$-12.50,$-12.50,$1,$0,$0,$2,$0,$0,$0,$0,$0,$3,$1,$0,$0,$0,$1,$0,$-36,$-0,$2,$3,$-0,$0,$-0,$-0,$1,$0,$0,$0,$1,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
