,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,14.82,$15.16,0.98,$17.54,0.85,$3.90,3.8,$0.69,21.48,$0.95B,$1.21B,0.78,$0.18B,$0.39B,0.46,$0.46B,$0.17B,35.78%,$0.46B,$0.07B,15.09%,$0.46B,$0.07B,15.09%,$0.46B,$0.11B,22.84%,$0.46B,$0.02B,3.23%,$0.46B,$0.02B,3.88%,$0.02B,$0.39B,4.66%,$0.02B,$0.16B,12.68%,$0.02B,$1.83B,0.97%,$0.07B,$0.57B,12.33%,$125,$85,$40,$0,$26,$111,$14,$-5,$9,$3,$6,$6,$6,$24,$14,$26,26,$0.23,$0.23,$234,$0,$0,$946,$18,$535,$234,$16,$879,$1825,$1211,$178,$33,$224,$1435,$0,$194,$-10,$391,$1825,$23,$30,$-8,$22,$-14,$0,$0,$29,$15,$60,$-1,$0,$0,$0,$21,$21,$0,$19,$-13,$0,$-13,$-2,$-2,$-5,$0,$-20,$59,$4,$-5
1,2018-06-30,16.67,$14.98,1.11,$16.66,1.0,$5.40,3.09,$0.12,138.92,$1.11B,$1.38B,0.81,$0.18B,$0.39B,0.46,$0.44B,$0.14B,32.43%,$0.44B,$0.06B,12.93%,$0.44B,$0.06B,12.93%,$0.44B,$0.09B,19.95%,$0.44B,$-0.00B,-0.68%,$0.44B,$0.00B,0.68%,$0.00B,$0.39B,0.82%,$0.00B,$0.15B,1.86%,$0.00B,$1.99B,0.17%,$0.06B,$0.56B,10.41%,$118,$85,$33,$0,$24,$110,$8,$-5,$3,$1,$2,$2,$2,$18,$8,$26,26,$0.09,$0.09,$235,$0,$0,$1110,$18,$529,$241,$23,$881,$1991,$1376,$177,$36,$228,$1605,$0,$189,$-8,$386,$1991,$17,$20,$-12,$7,$-169,$0,$0,$198,$24,$48,$-0,$0,$0,$0,$31,$31,$0,$31,$-13,$0,$-13,$-2,$-2,$-3,$0,$-19,$61,$3,$-3
2,2018-03-31,15.1,$15.09,1.0,$15.60,0.97,$4.74,3.19,$0.26,58.1,$1.02B,$1.24B,0.82,$0.19B,$0.39B,0.48,$0.42B,$0.14B,33.10%,$0.42B,$0.06B,14.76%,$0.42B,$0.06B,14.76%,$0.42B,$0.09B,20.48%,$0.42B,$0.01B,1.19%,$0.42B,$0.01B,1.90%,$0.01B,$0.39B,2.23%,$0.01B,$0.14B,4.03%,$0.01B,$1.87B,0.50%,$0.06B,$0.57B,12.00%,$112,$65,$47,$0,$22,$87,$25,$-5,$20,$5,$15,$15,$15,$35,$25,$26,27,$0.58,$0.55,$214,$0,$0,$1017,$18,$507,$247,$23,$850,$1866,$1236,$185,$38,$241,$1478,$0,$189,$-8,$389,$1866,$15,$10,$-11,$-1,$-155,$0,$0,$109,$-26,$-12,$-0,$0,$0,$0,$56,$56,$0,$56,$-0,$0,$-0,$-2,$-2,$-2,$0,$-4,$40,$1,$-2
3,2017-12-31,17.89,$14.67,1.22,$14.86,1.2,$5.33,3.36,$-0.08,0.0,$0.87B,$1.15B,0.75,$0.18B,$0.38B,0.49,$0.41B,$0.12B,29.73%,$0.41B,$0.05B,12.04%,$0.41B,$0.05B,12.04%,$0.41B,$0.07B,16.71%,$0.41B,$-0.01B,-1.23%,$0.41B,$-0.00B,-0.25%,$-0.00B,$0.38B,-0.28%,$-0.00B,$0.13B,-0.42%,$-0.00B,$1.77B,-0.07%,$0.05B,$0.56B,10.17%,$109,$63,$46,$0,$23,$85,$23,$-40,$-17,$-12,$-5,$-5,$-5,$29,$23,$27,27,$-0.14,$-0.14,$175,$0,$0,$865,$19,$572,$254,$20,$906,$1771,$1149,$184,$24,$242,$1391,$0,$175,$-3,$380,$1771,$-1,$19,$66,$85,$-287,$0,$0,$239,$-77,$8,$-0,$0,$-141,$0,$134,$134,$0,$-7,$124,$0,$124,$-61,$-61,$-8,$-7,$48,$48,$5,$-8
4,2017-09-30,13.07,$12.84,1.02,$14.28,0.92,$7.27,1.8,$0.01,0.0,$0.93B,$0.97B,0.96,$0.19B,$0.30B,0.63,$0.40B,$0.09B,21.45%,$0.40B,$0.02B,5.49%,$0.40B,$0.02B,5.49%,$0.40B,$0.04B,9.98%,$0.40B,$0.01B,2.00%,$0.40B,$0.00B,0.25%,$0.00B,$0.30B,0.29%,$0.00B,$0.23B,0.36%,$0.00B,$1.60B,0.08%,$0.02B,$0.49B,4.91%,$102,$85,$17,$0,$15,$100,$1,$-11,$-9,$-1,$-9,$-9,$-9,$6,$1,$26,26,$-0.34,$-0.34,$372,$0,$0,$934,$16,$525,$69,$13,$665,$1599,$969,$189,$136,$329,$1297,$0,$180,$-0,$302,$1599,$4,$13,$8,$21,$-415,$0,$0,$479,$73,$98,$-0,$0,$0,$0,$85,$85,$0,$85,$137,$0,$137,$-62,$-62,$-7,$-5,$63,$245,$4,$-7
5,2017-06-30,12.82,$12.97,0.99,$14.09,0.91,$6.86,1.87,$0.72,17.81,$0.41B,$0.67B,0.61,$0.07B,$0.37B,0.2,$0.41B,$0.10B,25.00%,$0.41B,$0.04B,9.80%,$0.41B,$0.04B,9.80%,$0.41B,$0.06B,13.97%,$0.41B,$0.04B,8.82%,$0.41B,$0.02B,5.15%,$0.02B,$0.37B,5.75%,$0.02B,$0.30B,7.16%,$0.02B,$1.15B,2.00%,$0.04B,$0.44B,9.52%,$97,$68,$29,$0,$16,$84,$13,$-2,$11,$4,$7,$7,$7,$16,$13,$28,28,$0.23,$0.23,$153,$0,$0,$407,$17,$606,$70,$7,$742,$1149,$666,$73,$40,$118,$783,$0,$192,$-1,$365,$1149,$13,$8,$0,$9,$-108,$0,$0,$111,$12,$33,$-0,$0,$0,$0,$5,$5,$0,$5,$0,$0,$0,$-9,$-9,$-4,$0,$-12,$26,$2,$-4
6,2017-03-31,12.52,$12.67,0.99,$14.55,0.86,$9.16,1.37,$1.11,11.28,$0.21B,$0.48B,0.44,$0.07B,$0.36B,0.2,$0.43B,$0.12B,27.93%,$0.43B,$0.06B,13.38%,$0.43B,$0.06B,13.38%,$0.43B,$0.08B,17.84%,$0.43B,$0.06B,12.91%,$0.43B,$0.03B,7.51%,$0.03B,$0.36B,8.72%,$0.03B,$0.29B,10.91%,$0.03B,$0.96B,3.07%,$0.06B,$0.43B,14.13%,$99,$70,$29,$0,$17,$87,$12,$-2,$10,$4,$6,$6,$6,$17,$12,$29,29,$0.21,$0.21,$123,$0,$0,$210,$17,$611,$71,$6,$745,$955,$482,$73,$36,$113,$595,$0,$187,$-3,$361,$955,$6,$5,$-0,$5,$56,$0,$0,$-67,$-7,$4,$-0,$0,$0,$0,$-1,$-1,$0,$-1,$0,$0,$0,$-5,$-5,$-2,$0,$-6,$-4,$1,$-2
7,2016-12-31,15.29,$12.41,1.23,$14.76,1.04,$10.87,1.41,$1.14,13.42,$0.29B,$0.58B,0.49,$0.07B,$0.36B,0.2,$0.44B,$0.12B,26.42%,$0.44B,$0.06B,12.98%,$0.44B,$0.06B,12.98%,$0.44B,$0.07B,16.63%,$0.44B,$0.06B,12.98%,$0.44B,$0.03B,7.52%,$0.03B,$0.36B,9.02%,$0.03B,$0.29B,11.37%,$0.03B,$1.03B,3.23%,$0.06B,$0.43B,14.84%,$103,$92,$11,$0,$14,$106,$-4,$0,$-4,$-1,$-3,$-3,$-3,$1,$-4,$30,30,$-0.09,$-0.09,$127,$0,$0,$287,$17,$608,$73,$6,$746,$1033,$581,$73,$19,$94,$675,$0,$183,$-5,$358,$1033,$34,$17,$5,$22,$-48,$0,$0,$80,$19,$67,$-2,$0,$-110,$0,$-137,$-137,$0,$-249,$78,$0,$78,$-26,$-26,$-7,$-2,$44,$-130,$5,$-7
8,2016-09-30,14.01,$13.00,1.08,$14.63,0.96,$13.47,1.04,$1.89,7.41,$0.36B,$0.63B,0.57,$0.00B,$0.38B,0.0,$0.44B,$0.15B,34.55%,$0.44B,$0.09B,21.51%,$0.44B,$0.09B,21.51%,$0.44B,$0.11B,24.49%,$0.44B,$0.09B,21.51%,$0.44B,$0.06B,12.81%,$0.06B,$0.38B,15.32%,$0.06B,$0.30B,18.33%,$0.06B,$1.05B,5.75%,$0.09B,$0.38B,25.72%,$109,$77,$33,$0,$14,$91,$19,$0,$19,$8,$11,$11,$11,$23,$19,$29,29,$0.37,$0.37,$150,$0,$0,$359,$18,$554,$75,$6,$695,$1054,$632,$0,$37,$44,$676,$0,$187,$4,$377,$1054,$37,$12,$12,$24,$-97,$0,$0,$144,$39,$100,$-2,$0,$-110,$0,$-67,$-67,$0,$-179,$0,$0,$0,$-21,$-21,$-5,$0,$-26,$-105,$4,$-5
9,2016-06-30,11.59,$12.71,0.91,$13.82,0.84,$13.93,0.83,$2.07,5.6,$0.43B,$0.70B,0.61,$0.00B,$0.37B,0.0,$0.42B,$0.16B,37.41%,$0.42B,$0.10B,24.70%,$0.42B,$0.10B,24.70%,$0.42B,$0.11B,27.34%,$0.42B,$0.10B,24.70%,$0.42B,$0.06B,14.87%,$0.06B,$0.37B,17.50%,$0.06B,$0.30B,19.82%,$0.06B,$1.12B,6.71%,$0.10B,$0.37B,29.08%,$115,$70,$46,$0,$16,$86,$30,$0,$30,$11,$18,$18,$18,$35,$30,$30,30,$0.62,$0.62,$162,$0,$0,$426,$18,$554,$77,$5,$697,$1123,$702,$0,$41,$49,$751,$0,$178,$6,$372,$1123,$26,$7,$12,$19,$-137,$0,$0,$202,$60,$104,$-2,$0,$-112,$0,$-64,$-64,$0,$-178,$0,$0,$0,$-17,$-17,$-3,$0,$-20,$-93,$2,$-3
