,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,31.65,$5.21,6.07,$0.86,36.84,$-8.01,0.0,$-2.44,0.0,$0.46B,$0.06B,7.18,$0.00B,$0.41B,0.0,$0.06B,$0.04B,69.49%,$0.06B,$-0.20B,-330.51%,$0.06B,$-0.20B,-330.51%,$0.06B,$-0.19B,-328.81%,$0.06B,$-0.19B,-323.73%,$0.06B,$-0.19B,-323.73%,$-0.19B,$0.41B,-71.94%,$-0.19B,$0.41B,-71.94%,$-0.19B,$0.47B,-54.61%,$-0.20B,$0.41B,-73.45%,$20,$8,$12,$30,$24,$62,$-42,$3,$-38,$0,$-38,$-38,$-38,$-42,$-42,$78,78,$-0.49,$-0.49,$365,$31,$0,$460,$11,$0,$0,$0,$11,$471,$64,$0,$0,$0,$64,$1,$-911,$-0,$407,$471,$-129,$-0,$24,$23,$-12,$-22,$-9,$-7,$-52,$-158,$-6,$0,$0,$-281,$0,$-281,$0,$-287,$0,$-25,$-25,$380,$380,$0,$0,$355,$-91,$24,$0
1,2018-06-30,38.85,$5.56,6.99,$0.76,50.91,$-8.20,0.0,$-3.21,0.0,$0.50B,$0.08B,6.39,$0.00B,$0.43B,0.0,$0.05B,$0.04B,77.08%,$0.05B,$-0.19B,-404.17%,$0.05B,$-0.19B,-404.17%,$0.05B,$-0.19B,-402.08%,$0.05B,$-0.20B,-406.25%,$0.05B,$-0.20B,-406.25%,$-0.20B,$0.43B,-112.23%,$-0.20B,$0.43B,-112.23%,$-0.20B,$0.51B,-74.57%,$-0.19B,$0.43B,-107.78%,$17,$5,$12,$30,$21,$56,$-39,$0,$-39,$0,$-39,$-39,$-39,$-39,$-39,$72,72,$-0.54,$-0.54,$423,$27,$0,$503,$8,$0,$0,$0,$8,$511,$79,$0,$0,$0,$79,$1,$-873,$-0,$432,$511,$-91,$0,$16,$16,$-4,$-17,$-14,$-3,$-47,$-122,$-2,$0,$0,$-135,$0,$-135,$0,$-138,$0,$0,$0,$374,$374,$0,$0,$374,$114,$16,$0
2,2018-03-31,27.6,$1.28,21.54,$0.68,40.52,$-8.03,0.0,$-3.47,0.0,$0.18B,$0.09B,1.94,$0.00B,$0.09B,0.0,$0.04B,$0.03B,80.00%,$0.04B,$-0.20B,-492.50%,$0.04B,$-0.20B,-492.50%,$0.04B,$-0.20B,-490.00%,$0.04B,$-0.20B,-497.50%,$0.04B,$-0.20B,-497.50%,$-0.20B,$0.09B,-239.76%,$-0.20B,$0.09B,-239.76%,$-0.20B,$0.18B,-117.58%,$-0.20B,$0.09B,-206.28%,$12,$3,$8,$40,$21,$64,$-52,$-0,$-52,$0,$-52,$-52,$-52,$-52,$-52,$65,65,$-0.81,$-0.81,$114,$19,$0,$177,$7,$0,$0,$0,$7,$183,$91,$0,$0,$0,$91,$1,$-834,$-0,$92,$183,$-52,$0,$8,$8,$4,$-10,$-7,$1,$-18,$-62,$-1,$0,$0,$-39,$0,$-39,$0,$-40,$0,$0,$0,$4,$4,$0,$0,$4,$-98,$8,$0
3,2017-12-31,18.1,$2.03,8.92,$0.57,31.51,$-8.08,0.0,$-3.66,0.0,$0.23B,$0.10B,2.21,$0.00B,$0.13B,0.0,$0.03B,$0.03B,81.25%,$0.03B,$-0.19B,-606.25%,$0.03B,$-0.19B,-606.25%,$0.03B,$-0.19B,-603.13%,$0.03B,$-0.20B,-615.63%,$0.03B,$-0.20B,-615.63%,$-0.20B,$0.13B,-230.41%,$-0.20B,$0.13B,-230.41%,$-0.20B,$0.23B,-115.20%,$-0.19B,$0.13B,-175.57%,$10,$1,$9,$48,$23,$72,$-62,$-1,$-62,$0,$-62,$-62,$-62,$-61,$-62,$54,54,$-1.08,$-1.08,$172,$10,$0,$228,$6,$0,$0,$0,$6,$234,$103,$0,$0,$0,$103,$1,$-783,$-0,$131,$234,$-197,$2,$31,$33,$-40,$-5,$12,$2,$-5,$-170,$-2,$0,$0,$10,$0,$10,$0,$8,$0,$-25,$-25,$319,$319,$0,$0,$294,$131,$31,$0
4,2017-09-30,16.15,$0.73,21.98,$0.39,41.59,$-8.50,0.0,$-3.79,0.0,$0.11B,$0.05B,2.12,$0.03B,$0.04B,0.62,$0.02B,$0.02B,77.27%,$0.02B,$-0.18B,-818.18%,$0.02B,$-0.18B,-813.64%,$0.02B,$-0.18B,-818.18%,$0.02B,$-0.18B,-831.82%,$0.02B,$-0.18B,-831.82%,$-0.18B,$0.04B,-385.26%,$-0.18B,$0.04B,-385.26%,$-0.18B,$0.12B,-141.59%,$-0.18B,$0.07B,-211.76%,$9,$1,$8,$29,$20,$50,$-41,$-1,$-42,$0,$-42,$-42,$-42,$-41,$-41,$54,54,$-0.77,$-0.77,$74,$5,$0,$113,$5,$0,$0,$0,$6,$118,$53,$25,$0,$25,$78,$1,$-721,$0,$40,$118,$-135,$1,$24,$25,$-27,$0,$-1,$4,$-13,$-123,$-1,$0,$0,$30,$0,$30,$0,$28,$0,$-25,$-25,$172,$172,$0,$0,$147,$52,$24,$0
5,2017-06-30,13.85,$1.28,10.86,$0.23,60.2,$-8.71,0.0,$-4.26,0.0,$0.14B,$0.05B,2.82,$0.03B,$0.07B,0.36,$0.01B,$0.01B,69.23%,$0.01B,$-0.19B,-1438.46%,$0.01B,$-0.19B,-1430.77%,$0.01B,$-0.19B,-1430.77%,$0.01B,$-0.19B,-1461.54%,$0.01B,$-0.19B,-1461.54%,$-0.19B,$0.07B,-452.38%,$-0.19B,$0.07B,-452.38%,$-0.19B,$0.14B,-152.61%,$-0.19B,$0.09B,-218.08%,$9,$1,$7,$29,$21,$51,$-42,$-1,$-43,$0,$-43,$-43,$-43,$-42,$-42,$54,54,$-0.80,$-0.80,$109,$5,$0,$136,$6,$0,$0,$0,$6,$142,$48,$25,$0,$25,$73,$1,$-679,$-0,$69,$142,$-93,$1,$16,$17,$-17,$1,$-0,$4,$-7,$-83,$-1,$0,$0,$-41,$0,$-41,$0,$-43,$0,$-25,$-25,$167,$167,$0,$0,$142,$17,$16,$0
6,2017-03-31,15.0,$1.90,7.88,$0.07,208.69,$-8.80,0.0,$-4.63,0.0,$0.18B,$0.04B,4.91,$0.05B,$0.10B,0.49,$0.00B,$0.00B,50.00%,$0.00B,$-0.19B,-4700.00%,$0.00B,$-0.19B,-4675.00%,$0.00B,$-0.19B,-4675.00%,$0.00B,$-0.19B,-4750.00%,$0.00B,$-0.19B,-4750.00%,$-0.19B,$0.10B,-484.08%,$-0.19B,$0.10B,-484.08%,$-0.19B,$0.19B,-171.95%,$-0.19B,$0.15B,-244.95%,$4,$1,$2,$33,$18,$53,$-49,$-1,$-50,$0,$-50,$-50,$-50,$-49,$-49,$51,51,$-1.00,$-1.00,$165,$5,$0,$184,$6,$0,$0,$0,$6,$190,$37,$50,$0,$50,$87,$1,$-636,$-0,$102,$190,$-50,$1,$8,$9,$-8,$1,$-2,$6,$-9,$-51,$-1,$0,$0,$-44,$0,$-44,$0,$-45,$0,$0,$0,$166,$166,$0,$0,$166,$70,$8,$0
7,2016-12-31,13.1,$-0.54,-24.38,0,0.0,$-8.70,0.0,$-4.55,0.0,$0.06B,$0.04B,1.6,$0.05B,$-0.02B,-2.35,$0.00B,0,nan%,$0.00B,$-0.17B,inf%,$0.00B,$-0.17B,inf%,$0.00B,$-0.17B,inf%,$0.00B,$-0.17B,inf%,$0.00B,$-0.17B,inf%,$-0.17B,$-0.02B,-467.57%,$-0.17B,$-0.02B,-467.57%,$-0.17B,$0.07B,-190.11%,$-0.17B,$0.03B,-277.42%,$0,$0,$0,$30,$19,$48,$-48,$-1,$-48,$0,$-48,$-48,$-48,$-48,$-47,$38,38,$-1.23,$-1.23,$51,$5,$0,$62,$5,$0,$0,$0,$5,$67,$39,$50,$0,$50,$89,$0,$-586,$-0,$-21,$67,$-173,$2,$26,$28,$-2,$-5,$4,$1,$11,$-134,$-3,$0,$0,$18,$0,$18,$0,$15,$50,$0,$50,$7,$7,$0,$0,$57,$-62,$26,$0
8,2016-09-30,17.23,$0.46,37.76,0,0.0,$-7.48,0.0,$-4.20,0.0,$0.09B,$0.03B,3.04,$0.05B,$0.02B,2.8,$0.00B,0,nan%,$0.00B,$-0.16B,inf%,$0.00B,$-0.16B,inf%,$0.00B,$-0.15B,inf%,$0.00B,$-0.16B,inf%,$0.00B,$-0.16B,inf%,$-0.16B,$0.02B,-217.42%,$-0.16B,$0.02B,-217.42%,$-0.16B,$0.10B,-143.45%,$-0.16B,$0.07B,-183.98%,$0,$0,$0,$30,$17,$48,$-48,$-1,$-49,$0,$-49,$-49,$-49,$-47,$-48,$39,39,$-1.24,$-1.24,$89,$2,$0,$94,$5,$0,$0,$0,$5,$99,$31,$50,$0,$50,$81,$0,$-538,$-0,$18,$99,$-125,$2,$19,$20,$0,$-2,$3,$0,$9,$-96,$-2,$0,$0,$13,$0,$13,$0,$10,$50,$0,$50,$6,$6,$0,$0,$56,$-30,$19,$0
9,2016-06-30,18.05,$1.48,12.19,0,0.0,$-6.54,0.0,$-3.59,0.0,$0.08B,$0.03B,2.91,$0.00B,$0.06B,0.0,$0.00B,0,nan%,$0.00B,$-0.13B,inf%,$0.00B,$-0.13B,inf%,$0.00B,$-0.13B,inf%,$0.00B,$-0.13B,inf%,$0.00B,$-0.13B,inf%,$-0.13B,$0.06B,-126.52%,$-0.13B,$0.06B,-126.52%,$-0.13B,$0.09B,-105.26%,$-0.13B,$0.06B,-125.55%,$0,$0,$0,$27,$16,$43,$-43,$-0,$-43,$0,$-43,$-43,$-43,$-43,$-43,$37,37,$-1.17,$-1.17,$75,$3,$0,$81,$4,$0,$0,$0,$5,$86,$28,$0,$0,$0,$28,$0,$-489,$-0,$58,$86,$-77,$1,$11,$12,$0,$-3,$5,$0,$5,$-59,$-2,$0,$0,$43,$0,$43,$0,$41,$0,$0,$0,$5,$5,$0,$0,$5,$-13,$11,$0
