,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,20.17,$20.76,0.97,$17.01,1.19,$-1.39,0.0,$1.12,18.01,$11.13B,$9.91B,1.12,$0.07B,$1.96B,0.03,$1.63B,$1.50B,92.15%,$1.63B,$0.19B,11.47%,$1.63B,0,0.00%,$1.63B,0,0.00%,$1.63B,$0.19B,11.47%,$1.63B,$0.11B,6.50%,$0.11B,$1.96B,5.49%,$0.11B,$1.63B,6.49%,$0.11B,$13.77B,0.78%,$0.19B,$2.03B,9.36%,$418,$38,$380,$0,$335,$373,$45,$0,$45,$8,$37,$37,$36,$0,$0,$95,95,$0.38,$0.38,$1231,$0,$0,$11128,$236,$1244,$332,$825,$2637,$13765,$9907,$67,$430,$497,$11800,$1,$449,$-15,$1964,$13765,$96,$4,$-1,$3,$162,$0,$0,$51,$214,$319,$-42,$0,$-63,$0,$-85,$-85,$-114,$-304,$0,$22,$22,$-39,$-39,$-20,$-25,$-62,$-48,$0,$-20
1,2018-06-30,22.0,$20.26,1.09,$17.03,1.29,$-9.24,0.0,$1.05,20.95,$11.27B,$9.90B,1.14,$0.07B,$1.92B,0.04,$1.64B,$1.53B,93.04%,$1.64B,$0.19B,11.59%,$1.64B,0,0.00%,$1.64B,0,0.00%,$1.64B,$0.19B,11.59%,$1.64B,$0.10B,6.10%,$0.10B,$1.92B,5.22%,$0.10B,$1.63B,6.14%,$0.10B,$13.69B,0.74%,$0.19B,$1.98B,9.58%,$419,$35,$384,$0,$339,$374,$45,$0,$45,$11,$34,$34,$33,$0,$0,$95,95,$0.35,$0.35,$1217,$0,$0,$11269,$173,$1186,$285,$777,$2420,$13689,$9904,$67,$392,$459,$11773,$1,$420,$-12,$1916,$13689,$59,$3,$-0,$3,$-261,$0,$0,$-67,$-328,$-261,$-4,$0,$0,$0,$-94,$-94,$-49,$-147,$0,$423,$423,$-39,$-39,$-13,$-96,$275,$-134,$0,$-13
2,2018-03-31,23.31,$20.05,1.16,$17.51,1.33,$-11.10,0.0,$1.33,17.53,$10.87B,$9.48B,1.15,$0.07B,$1.93B,0.04,$1.70B,$1.60B,94.18%,$1.70B,$0.23B,13.76%,$1.70B,0,0.00%,$1.70B,0,0.00%,$1.70B,$0.23B,13.76%,$1.70B,$0.13B,7.58%,$0.13B,$1.93B,6.75%,$0.13B,$1.64B,7.96%,$0.13B,$13.35B,0.96%,$0.23B,$1.99B,11.83%,$369,$30,$339,$0,$306,$336,$32,$0,$32,$7,$25,$25,$24,$0,$0,$96,96,$0.25,$0.25,$1472,$0,$0,$10866,$174,$1184,$286,$836,$2480,$13346,$9482,$67,$367,$434,$11421,$1,$404,$-10,$1925,$13346,$25,$2,$-2,$-0,$278,$0,$0,$-132,$147,$174,$0,$0,$0,$0,$-63,$-63,$49,$-14,$0,$-148,$-148,$-2,$-2,$-7,$-21,$-177,$-17,$0,$-7
3,2017-12-31,25.1,$19.95,1.26,$17.53,1.43,$-9.31,0.0,$1.35,18.59,$10.98B,$9.63B,1.14,$0.07B,$1.92B,0.04,$1.71B,$1.63B,95.04%,$1.71B,$0.24B,14.19%,$1.71B,0,0.00%,$1.71B,0,0.00%,$1.71B,$0.24B,14.19%,$1.71B,$0.13B,7.65%,$0.13B,$1.92B,6.89%,$0.13B,$1.63B,8.13%,$0.13B,$13.37B,1.00%,$0.24B,$1.98B,12.34%,$424,$25,$399,$0,$334,$359,$65,$0,$65,$51,$14,$14,$13,$0,$0,$97,97,$0.14,$0.15,$1405,$0,$0,$10976,$178,$1121,$288,$802,$2389,$13366,$9626,$67,$470,$537,$11451,$1,$385,$-0,$1915,$13366,$133,$-14,$55,$41,$81,$0,$0,$-594,$-513,$-326,$1,$0,$0,$0,$-143,$-143,$-217,$-358,$0,$-320,$-320,$-27,$-27,$-23,$851,$481,$-203,$0,$-23
4,2017-09-30,25.69,$19.91,1.29,$17.50,1.47,$-7.52,0.0,$1.57,16.37,$11.06B,$9.61B,1.15,$0.07B,$1.91B,0.04,$1.72B,$1.64B,95.69%,$1.72B,$0.23B,13.47%,$1.72B,0,0.00%,$1.72B,0,0.00%,$1.72B,$0.23B,13.47%,$1.72B,$0.15B,8.92%,$0.15B,$1.91B,8.09%,$0.15B,$1.62B,9.57%,$0.15B,$13.53B,1.18%,$0.23B,$1.98B,11.79%,$427,$24,$403,$0,$355,$379,$48,$0,$48,$18,$30,$30,$30,$0,$0,$96,96,$0.31,$0.31,$1166,$0,$0,$11056,$176,$1134,$290,$877,$2477,$13533,$9614,$67,$424,$491,$11623,$1,$377,$3,$1909,$13533,$119,$-11,$15,$4,$-147,$0,$0,$-466,$-614,$-482,$7,$0,$0,$0,$-169,$-169,$-206,$-368,$0,$42,$42,$-27,$-27,$-17,$543,$541,$-309,$0,$-17
5,2017-06-30,25.84,$19.65,1.31,$17.83,1.45,$-4.75,0.0,$1.79,14.44,$10.82B,$9.54B,1.13,$0.07B,$1.89B,0.04,$1.76B,$1.69B,96.25%,$1.76B,$0.27B,15.30%,$1.76B,0,0.00%,$1.76B,0,0.00%,$1.76B,$0.27B,15.30%,$1.76B,$0.18B,9.95%,$0.18B,$1.89B,9.33%,$0.18B,$1.60B,11.07%,$0.18B,$13.29B,1.38%,$0.27B,$1.96B,13.84%,$481,$20,$461,$0,$372,$392,$89,$0,$89,$26,$63,$63,$62,$0,$0,$98,98,$0.64,$0.63,$1003,$0,$0,$10821,$184,$1123,$292,$869,$2468,$13289,$9540,$67,$393,$460,$11396,$1,$357,$2,$1893,$13289,$89,$-14,$10,$-4,$-207,$0,$0,$-344,$-551,$-461,$4,$0,$0,$0,$-164,$-164,$-196,$-356,$0,$80,$80,$-16,$-16,$-12,$480,$533,$-284,$0,$-12
6,2017-03-31,27.02,$19.20,1.41,$17.61,1.53,$-3.58,0.0,$1.48,18.26,$9.92B,$8.55B,1.16,$0.07B,$1.89B,0.04,$1.74B,$1.68B,96.55%,$1.74B,$0.23B,13.24%,$1.74B,0,0.00%,$1.74B,0,0.00%,$1.74B,$0.23B,13.24%,$1.74B,$0.14B,8.29%,$0.14B,$1.89B,7.77%,$0.14B,$1.60B,9.26%,$0.14B,$12.34B,1.14%,$0.23B,$1.96B,11.98%,$380,$16,$364,$0,$322,$338,$41,$0,$41,$15,$26,$26,$26,$0,$0,$98,99,$0.27,$0.27,$1057,$0,$0,$9924,$184,$1093,$294,$843,$2415,$12338,$8553,$67,$392,$459,$10449,$1,$313,$1,$1889,$12338,$26,$-1,$3,$2,$451,$0,$0,$-132,$319,$349,$6,$0,$0,$0,$-108,$-108,$58,$-44,$0,$-657,$-657,$-7,$-7,$-6,$244,$-426,$-120,$0,$-6
7,2016-12-31,29.25,$19.02,1.54,$17.67,1.66,$-6.96,0.0,$1.49,19.63,$10.38B,$8.95B,1.16,$0.07B,$1.88B,0.04,$1.74B,$1.68B,96.62%,$1.74B,$0.23B,13.31%,$1.74B,0,0.00%,$1.74B,0,0.00%,$1.74B,$0.23B,13.31%,$1.74B,$0.15B,8.38%,$0.15B,$1.88B,8.02%,$0.15B,$1.58B,9.61%,$0.15B,$12.74B,1.17%,$0.23B,$1.94B,12.29%,$427,$14,$413,$0,$360,$374,$53,$0,$53,$18,$36,$36,$35,$0,$0,$98,99,$0.35,$0.35,$1046,$0,$0,$10384,$190,$950,$297,$917,$2354,$12738,$8953,$67,$497,$564,$10864,$1,$296,$0,$1875,$12738,$148,$-50,$31,$-19,$-297,$0,$0,$-32,$-329,$-183,$31,$0,$0,$0,$30,$30,$-555,$-494,$0,$549,$549,$4,$4,$-6,$151,$698,$21,$0,$-6
8,2016-09-30,21.99,$18.77,1.17,$17.27,1.27,$-4.26,0.0,$1.34,16.41,$10.04B,$8.77B,1.14,$0.07B,$1.85B,0.04,$1.71B,$1.65B,96.37%,$1.71B,$0.21B,12.40%,$1.71B,0,0.00%,$1.71B,0,0.00%,$1.71B,$0.21B,12.40%,$1.71B,$0.13B,7.72%,$0.13B,$1.85B,7.39%,$0.13B,$1.55B,8.90%,$0.13B,$12.42B,1.08%,$0.21B,$1.92B,11.44%,$470,$16,$454,$0,$368,$384,$86,$0,$86,$33,$52,$52,$52,$0,$0,$98,99,$0.53,$0.53,$1109,$0,$0,$10037,$191,$930,$299,$967,$2386,$12423,$8774,$67,$482,$549,$10574,$1,$266,$8,$1849,$12423,$112,$-38,$41,$4,$-173,$0,$0,$-195,$-368,$-241,$27,$0,$0,$0,$75,$75,$-466,$-363,$0,$392,$392,$4,$4,$0,$106,$503,$-101,$0,$0
9,2016-06-30,20.55,$18.24,1.13,$16.79,1.22,$-1.40,0.0,$1.28,16.06,$10.62B,$8.64B,1.23,$0.07B,$1.80B,0.04,$1.67B,$1.61B,96.34%,$1.67B,$0.20B,11.94%,$1.67B,0,0.00%,$1.67B,0,0.00%,$1.67B,$0.20B,11.94%,$1.67B,$0.13B,7.62%,$0.13B,$1.80B,7.25%,$0.13B,$1.50B,8.78%,$0.13B,$13.08B,1.04%,$0.20B,$1.86B,10.94%,$460,$14,$446,$0,$396,$410,$50,$0,$50,$18,$32,$32,$31,$0,$0,$98,99,$0.32,$0.32,$1069,$0,$0,$10620,$190,$872,$301,$1095,$2458,$13078,$8638,$67,$465,$532,$11281,$1,$214,$9,$1796,$13078,$60,$-27,$35,$8,$-172,$0,$0,$-279,$-451,$-375,$32,$0,$0,$0,$148,$148,$-281,$-102,$0,$146,$146,$4,$4,$0,$271,$421,$-56,$0,$0
