,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,22.1,$14.10,1.57,$35.46,0.62,$3.93,5.63,$1.09,20.28,$0.23B,$0.10B,2.28,$0.05B,$0.29B,0.16,$0.82B,$0.45B,54.37%,$0.82B,$0.04B,5.10%,$0.82B,$0.04B,5.10%,$0.82B,$0.07B,8.74%,$0.82B,$0.04B,4.98%,$0.82B,$0.02B,2.79%,$0.02B,$0.29B,7.84%,$0.02B,$0.29B,7.84%,$0.02B,$0.47B,4.97%,$0.04B,$0.34B,12.26%,$211,$95,$115,$0,$103,$198,$12,$-1,$11,$3,$8,$8,$8,$20,$12,$21,23,$0.40,$0.39,$104,$108,$6,$231,$220,$0,$0,$9,$243,$474,$101,$48,$32,$80,$181,$31,$297,$-2,$292,$474,$21,$23,$4,$27,$1,$-5,$0,$9,$15,$62,$-16,$0,$0,$0,$0,$0,$0,$-16,$-3,$0,$-3,$-14,$-14,$-11,$-1,$-30,$17,$4,$-11
1,2018-06-30,21.43,$13.92,1.54,$35.17,0.61,$3.32,6.45,$0.99,21.64,$0.21B,$0.09B,2.29,$0.05B,$0.29B,0.17,$0.82B,$0.45B,54.20%,$0.82B,$0.04B,4.87%,$0.82B,$0.04B,4.87%,$0.82B,$0.07B,8.53%,$0.82B,$0.04B,4.87%,$0.82B,$0.02B,2.56%,$0.02B,$0.29B,7.15%,$0.02B,$0.29B,7.15%,$0.02B,$0.46B,4.55%,$0.04B,$0.34B,11.64%,$199,$91,$108,$0,$99,$190,$9,$-1,$8,$2,$6,$6,$6,$17,$9,$21,23,$0.29,$0.27,$83,$107,$6,$211,$226,$0,$0,$9,$248,$459,$92,$49,$26,$75,$167,$31,$292,$-2,$292,$459,$13,$15,$2,$17,$1,$-4,$0,$1,$-1,$29,$-14,$0,$0,$0,$0,$0,$0,$-14,$-2,$0,$-2,$-9,$-9,$-8,$-1,$-20,$-5,$3,$-8
2,2018-03-31,19.81,$13.97,1.42,$35.00,0.57,$3.09,6.42,$0.99,20.01,$0.21B,$0.09B,2.44,$0.05B,$0.30B,0.17,$0.82B,$0.44B,54.21%,$0.82B,$0.04B,5.01%,$0.82B,$0.04B,5.01%,$0.82B,$0.07B,8.67%,$0.82B,$0.04B,5.13%,$0.82B,$0.02B,2.56%,$0.02B,$0.30B,7.16%,$0.02B,$0.30B,7.16%,$0.02B,$0.46B,4.56%,$0.04B,$0.34B,11.93%,$199,$91,$109,$0,$101,$192,$8,$1,$8,$2,$6,$6,$6,$15,$8,$21,23,$0.30,$0.27,$80,$109,$6,$206,$227,$0,$0,$9,$249,$456,$85,$50,$27,$77,$161,$31,$290,$-2,$295,$456,$6,$8,$1,$8,$0,$-6,$0,$3,$-6,$8,$-7,$0,$0,$0,$0,$0,$0,$-7,$-1,$0,$-1,$-4,$-4,$-4,$-0,$-9,$-7,$2,$-4
3,2017-12-31,22.07,$13.86,1.59,$35.05,0.63,$3.06,7.21,$0.98,22.52,$0.21B,$0.09B,2.35,$0.05B,$0.29B,0.17,$0.82B,$0.45B,54.27%,$0.82B,$0.04B,5.12%,$0.82B,$0.04B,5.12%,$0.82B,$0.07B,8.90%,$0.82B,$0.04B,5.37%,$0.82B,$0.02B,2.56%,$0.02B,$0.29B,7.22%,$0.02B,$0.29B,7.22%,$0.02B,$0.46B,4.56%,$0.04B,$0.35B,12.26%,$215,$99,$116,$0,$104,$202,$13,$1,$14,$11,$3,$3,$3,$20,$13,$21,23,$0.14,$0.12,$88,$103,$6,$211,$229,$0,$0,$9,$251,$461,$90,$51,$27,$78,$167,$31,$287,$-2,$294,$461,$21,$31,$10,$40,$2,$-2,$0,$2,$-9,$52,$-24,$0,$0,$0,$0,$0,$3,$-22,$-3,$0,$-3,$0,$0,$-11,$0,$-15,$16,$4,$-11
4,2017-09-30,25.32,$13.85,1.83,$35.11,0.72,$3.13,8.09,$1.36,18.62,$0.21B,$0.10B,2.17,$0.05B,$0.29B,0.18,$0.83B,$0.45B,54.48%,$0.83B,$0.05B,5.57%,$0.83B,$0.05B,5.57%,$0.83B,$0.08B,9.32%,$0.83B,$0.05B,5.69%,$0.83B,$0.03B,3.51%,$0.03B,$0.29B,10.07%,$0.03B,$0.29B,10.07%,$0.03B,$0.47B,6.32%,$0.05B,$0.35B,13.54%,$208,$96,$112,$0,$102,$198,$10,$-0,$10,$4,$6,$6,$6,$18,$10,$21,23,$0.28,$0.28,$95,$100,$7,$213,$227,$0,$0,$9,$257,$470,$98,$52,$27,$78,$176,$31,$288,$-2,$294,$470,$18,$23,$0,$23,$2,$2,$0,$7,$8,$49,$-15,$0,$0,$0,$0,$0,$1,$-14,$-3,$0,$-3,$0,$0,$-8,$-0,$-11,$23,$3,$-8
5,2017-06-30,24.15,$13.68,1.77,$35.26,0.68,$2.64,9.14,$1.42,17.01,$0.20B,$0.09B,2.27,$0.05B,$0.29B,0.18,$0.83B,$0.45B,54.46%,$0.83B,$0.05B,5.78%,$0.83B,$0.05B,5.78%,$0.83B,$0.08B,9.52%,$0.83B,$0.05B,5.90%,$0.83B,$0.03B,3.61%,$0.03B,$0.29B,10.42%,$0.03B,$0.29B,10.42%,$0.03B,$0.45B,6.55%,$0.05B,$0.34B,14.11%,$197,$90,$107,$0,$97,$187,$10,$-1,$10,$4,$6,$6,$6,$18,$10,$21,23,$0.29,$0.26,$74,$104,$5,$196,$229,$0,$0,$9,$258,$454,$86,$51,$27,$78,$164,$31,$285,$-2,$290,$454,$12,$15,$0,$16,$1,$-2,$0,$6,$-8,$20,$-10,$0,$0,$0,$0,$0,$1,$-9,$-2,$0,$-2,$0,$0,$-5,$-2,$-8,$2,$2,$-5
6,2017-03-31,23.31,$13.56,1.72,$34.96,0.67,$1.90,12.28,$1.37,17.01,$0.20B,$0.09B,2.14,$0.05B,$0.29B,0.18,$0.83B,$0.45B,54.23%,$0.83B,$0.05B,5.56%,$0.83B,$0.05B,5.56%,$0.83B,$0.08B,9.18%,$0.83B,$0.05B,5.80%,$0.83B,$0.03B,3.50%,$0.03B,$0.29B,10.09%,$0.03B,$0.29B,10.09%,$0.03B,$0.46B,6.32%,$0.05B,$0.34B,13.53%,$200,$91,$110,$0,$100,$191,$9,$0,$10,$4,$6,$6,$6,$17,$9,$21,23,$0.28,$0.24,$70,$108,$5,$197,$232,$0,$0,$9,$259,$456,$92,$52,$25,$77,$169,$31,$281,$-2,$286,$456,$6,$8,$1,$8,$1,$-6,$0,$3,$-8,$6,$-5,$0,$0,$0,$0,$0,$1,$-4,$-1,$0,$-1,$0,$0,$-3,$-0,$-4,$-2,$1,$-3
7,2016-12-31,22.57,$13.36,1.69,$34.31,0.66,$1.31,17.19,$1.30,17.36,$0.19B,$0.10B,2.02,$0.05B,$0.28B,0.19,$0.82B,$0.44B,53.83%,$0.82B,$0.05B,5.47%,$0.82B,$0.05B,5.47%,$0.82B,$0.07B,8.99%,$0.82B,$0.05B,5.59%,$0.82B,$0.03B,3.40%,$0.03B,$0.28B,9.58%,$0.03B,$0.28B,9.58%,$0.03B,$0.46B,6.07%,$0.05B,$0.33B,13.05%,$221,$100,$121,$0,$104,$204,$17,$1,$17,$6,$11,$11,$11,$24,$17,$22,24,$0.51,$0.47,$72,$102,$8,$194,$234,$0,$0,$8,$260,$455,$96,$52,$25,$77,$173,$31,$278,$-2,$282,$455,$28,$29,$2,$31,$2,$7,$0,$-6,$1,$60,$-30,$0,$0,$0,$13,$13,$4,$-13,$-3,$0,$-3,$-21,$-21,$-30,$1,$-54,$-7,$4,$-30
8,2016-09-30,18.13,$13.91,1.3,$33.75,0.54,$1.06,17.18,$1.20,15.11,$0.20B,$0.10B,2.1,$0.05B,$0.29B,0.18,$0.82B,$0.44B,53.55%,$0.82B,$0.04B,5.26%,$0.82B,$0.04B,5.26%,$0.82B,$0.07B,8.80%,$0.82B,$0.04B,5.38%,$0.82B,$0.03B,3.18%,$0.03B,$0.29B,8.75%,$0.03B,$0.29B,8.75%,$0.03B,$0.47B,5.59%,$0.04B,$0.35B,12.31%,$212,$98,$114,$0,$102,$200,$12,$0,$12,$5,$7,$7,$7,$20,$12,$21,23,$0.35,$0.31,$84,$99,$6,$203,$237,$0,$0,$8,$266,$468,$96,$53,$26,$79,$175,$31,$290,$-2,$294,$468,$17,$21,$1,$22,$1,$10,$0,$4,$8,$47,$-25,$0,$0,$0,$12,$12,$2,$-11,$-2,$0,$-2,$-21,$-21,$-7,$-1,$-31,$5,$3,$-7
9,2016-06-30,16.22,$13.64,1.19,$33.17,0.49,$1.06,15.33,$1.20,13.51,$0.19B,$0.09B,2.13,$0.05B,$0.29B,0.18,$0.82B,$0.44B,53.43%,$0.82B,$0.04B,5.39%,$0.82B,$0.04B,5.39%,$0.82B,$0.07B,8.82%,$0.82B,$0.04B,5.39%,$0.82B,$0.03B,3.31%,$0.03B,$0.29B,9.08%,$0.03B,$0.29B,9.08%,$0.03B,$0.46B,5.79%,$0.04B,$0.34B,12.62%,$195,$91,$104,$0,$97,$187,$8,$1,$9,$3,$5,$5,$5,$15,$8,$22,24,$0.25,$0.22,$58,$110,$6,$194,$238,$0,$0,$6,$263,$457,$91,$52,$26,$78,$169,$31,$285,$-2,$288,$457,$10,$14,$1,$15,$1,$-1,$0,$-4,$-14,$11,$-19,$0,$0,$0,$12,$12,$2,$-5,$-2,$0,$-2,$-21,$-21,$-4,$-1,$-28,$-22,$2,$-4
10,2016-03-31,18.93,$13.77,1.37,$32.56,0.58,$1.53,12.37,$1.17,16.18,$0.21B,$0.08B,2.51,$0.05B,$0.31B,0.17,$0.81B,$0.43B,53.40%,$0.81B,$0.04B,5.44%,$0.81B,$0.04B,5.44%,$0.81B,$0.07B,8.78%,$0.81B,$0.04B,5.32%,$0.81B,$0.03B,3.34%,$0.03B,$0.31B,9.00%,$0.03B,$0.31B,9.00%,$0.03B,$0.47B,5.74%,$0.04B,$0.36B,12.53%,$195,$90,$104,$0,$96,$186,$8,$-1,$8,$3,$5,$5,$5,$15,$8,$22,25,$0.21,$0.19,$74,$110,$5,$205,$237,$0,$0,$6,$260,$466,$82,$53,$26,$79,$161,$31,$282,$-2,$305,$466,$5,$7,$1,$8,$1,$-1,$0,$-1,$-17,$-5,$-9,$0,$0,$0,$0,$0,$0,$-9,$-1,$0,$-1,$-0,$-0,$-2,$0,$-3,$-17,$1,$-2
