,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,54.22,$39.77,1.36,$62.74,0.86,$7.11,7.63,$4.65,11.66,$1.53B,$0.43B,3.55,$0.08B,$1.99B,0.04,$3.14B,$0.50B,15.94%,$3.14B,$0.21B,6.60%,$3.14B,$0.21B,6.60%,$3.14B,$0.27B,8.58%,$3.14B,$0.26B,8.16%,$3.14B,$0.21B,6.57%,$0.21B,$1.99B,10.59%,$0.21B,$1.99B,10.79%,$0.21B,$2.73B,7.62%,$0.21B,$2.07B,10.21%,$754,$692,$62,$0,$80,$768,$-14,$-3,$-17,$-7,$-10,$-10,$-20,$6,$-14,$50,50,$-0.20,$-0.20,$918,$359,$57,$1527,$938,$0,$0,$264,$1202,$2729,$430,$83,$10,$310,$740,$63,$1851,$0,$1989,$2729,$194,$50,$-31,$19,$6,$3,$-31,$-92,$-115,$98,$-70,$0,$0,$0,$0,$0,$51,$-19,$-12,$0,$-12,$0,$0,$-46,$-25,$-82,$-3,$0,$-46
1,2018-06-30,57.32,$38.01,1.51,$63.30,0.91,$6.41,8.94,$5.55,10.33,$1.51B,$0.46B,3.29,$0.08B,$1.90B,0.04,$3.17B,$0.58B,18.17%,$3.17B,$0.29B,9.00%,$3.17B,$0.29B,9.00%,$3.17B,$0.34B,10.84%,$3.17B,$0.35B,11.00%,$3.17B,$0.28B,8.88%,$0.28B,$1.90B,14.69%,$0.28B,$1.90B,14.97%,$0.28B,$2.66B,10.43%,$0.29B,$1.98B,14.28%,$816,$660,$156,$0,$75,$733,$83,$28,$112,$32,$79,$79,$79,$97,$83,$50,50,$1.58,$1.58,$954,$352,$46,$1514,$882,$0,$0,$261,$1142,$2656,$460,$78,$14,$296,$756,$59,$1753,$0,$1900,$2656,$199,$30,$-19,$12,$-6,$-9,$-11,$-52,$-79,$132,$-39,$0,$0,$0,$0,$0,$32,$-7,$-14,$0,$-14,$0,$0,$-21,$-4,$-39,$86,$0,$-21
2,2018-03-31,61.04,$39.97,1.53,$63.65,0.96,$6.65,9.18,$5.87,10.4,$1.54B,$0.43B,3.63,$0.09B,$2.00B,0.04,$3.18B,$0.62B,19.42%,$3.18B,$0.33B,10.37%,$3.18B,$0.33B,10.37%,$3.18B,$0.39B,12.26%,$3.18B,$0.37B,11.63%,$3.18B,$0.30B,9.33%,$0.30B,$2.00B,15.73%,$0.30B,$2.00B,16.03%,$0.30B,$2.74B,11.11%,$0.33B,$2.08B,16.90%,$836,$660,$176,$0,$76,$737,$100,$-5,$95,$26,$69,$69,$69,$116,$100,$50,50,$1.37,$1.37,$976,$334,$49,$1542,$934,$0,$0,$267,$1201,$2743,$425,$85,$14,$319,$745,$64,$1864,$0,$1998,$2743,$95,$17,$-7,$9,$7,$27,$-21,$-45,$-32,$72,$-16,$0,$0,$0,$0,$0,$13,$-3,$-11,$0,$-11,$0,$0,$0,$-24,$-35,$34,$0,$0
3,2017-12-31,56.46,$37.82,1.49,$61.53,0.92,$5.60,10.09,$5.20,10.86,$1.50B,$0.49B,3.06,$0.08B,$1.89B,0.04,$3.08B,$0.56B,18.17%,$3.08B,$0.28B,9.10%,$3.08B,$0.28B,9.10%,$3.08B,$0.34B,10.98%,$3.08B,$0.32B,10.43%,$3.08B,$0.26B,8.55%,$0.26B,$1.89B,14.49%,$0.26B,$1.75B,14.78%,$0.26B,$2.68B,10.21%,$0.28B,$1.97B,15.01%,$731,$625,$106,$0,$75,$692,$38,$27,$66,$-12,$78,$78,$78,$50,$38,$50,50,$1.55,$1.55,$914,$251,$106,$1496,$918,$0,$142,$120,$1184,$2680,$489,$82,$0,$299,$789,$62,$1715,$62,$1891,$2680,$263,$57,$32,$89,$9,$-24,$-19,$47,$-61,$290,$-111,$0,$-132,$0,$-8,$-8,$52,$-199,$60,$0,$60,$-0,$-0,$-41,$-14,$5,$76,$0,$-41
4,2017-09-30,65.52,$37.21,1.76,$61.34,1.07,$2.54,25.81,$4.65,14.09,$1.52B,$0.52B,2.93,$0.09B,$1.86B,0.05,$3.07B,$0.57B,18.58%,$3.07B,$0.29B,9.52%,$3.07B,$0.29B,9.52%,$3.07B,$0.35B,11.44%,$3.07B,$0.32B,10.53%,$3.07B,$0.23B,7.63%,$0.23B,$1.86B,13.24%,$0.23B,$1.86B,13.29%,$0.23B,$2.70B,9.32%,$0.29B,$1.95B,16.14%,$782,$645,$137,$0,$74,$718,$64,$11,$75,$20,$55,$55,$55,$80,$64,$50,50,$1.10,$1.10,$866,$361,$123,$1515,$927,$0,$0,$258,$1185,$2700,$517,$86,$13,$323,$839,$65,$1725,$0,$1860,$2700,$255,$45,$-17,$29,$20,$-38,$47,$-65,$-37,$247,$-254,$0,$0,$0,$0,$0,$45,$-210,$57,$0,$57,$0,$0,$-43,$-46,$-33,$5,$0,$-43
5,2017-06-30,57.13,$0.00,0.0,$58.71,0.97,$2.90,19.71,$4.38,13.04,$1.56B,$0.53B,2.97,$0.01B,$1.80B,0.0,$2.94B,$0.53B,18.19%,$2.94B,$0.28B,9.50%,$2.94B,$0.28B,9.50%,$2.94B,$0.33B,11.34%,$2.94B,$0.31B,10.42%,$2.94B,$0.22B,7.53%,$0.22B,$1.80B,13.04%,$0.22B,$1.80B,13.09%,$0.22B,$2.57B,9.25%,$0.28B,$1.81B,16.16%,$833,$634,$199,$0,$72,$705,$128,$5,$134,$39,$95,$95,$95,$144,$128,$50,50,$1.90,$1.90,$927,$353,$127,$1562,$842,$0,$0,$165,$1007,$2569,$526,$6,$12,$239,$764,$65,$1670,$0,$1804,$2569,$181,$30,$-10,$20,$26,$-30,$-2,$-31,$-37,$164,$-59,$0,$0,$0,$0,$0,$30,$-29,$-6,$0,$-6,$0,$0,$-22,$-43,$-71,$64,$0,$-22
6,2017-03-31,52.65,$0.00,0.0,$56.68,0.93,$0.86,61.18,$4.21,12.51,$1.38B,$0.41B,3.37,$0.03B,$1.71B,0.02,$2.84B,$0.52B,18.17%,$2.84B,$0.27B,9.35%,$2.84B,$0.27B,9.35%,$2.84B,$0.32B,11.15%,$2.84B,$0.30B,10.48%,$2.84B,$0.21B,7.48%,$0.21B,$1.71B,12.87%,$0.21B,$1.71B,12.92%,$0.21B,$2.36B,9.09%,$0.27B,$1.73B,15.49%,$731,$614,$117,$0,$67,$681,$50,$-4,$46,$11,$35,$35,$35,$64,$50,$50,50,$0.70,$0.70,$823,$297,$93,$1377,$810,$0,$0,$172,$982,$2359,$409,$27,$11,$246,$654,$63,$1567,$0,$1705,$2359,$46,$14,$-3,$12,$26,$19,$-36,$-31,$-21,$36,$-34,$0,$0,$0,$0,$0,$13,$-21,$-0,$0,$-0,$0,$0,$0,$-28,$-28,$-13,$0,$0
7,2016-12-31,47.59,$34.00,1.4,$55.77,0.85,$0.23,208.26,$4.20,11.33,$1.44B,$0.45B,3.24,$0.05B,$1.70B,0.03,$2.79B,$0.50B,18.07%,$2.79B,$0.26B,9.18%,$2.79B,$0.26B,9.18%,$2.79B,$0.31B,10.97%,$2.79B,$0.30B,10.72%,$2.79B,$0.21B,7.57%,$0.21B,$1.70B,12.94%,$0.21B,$1.67B,12.99%,$0.21B,$2.42B,9.08%,$0.26B,$1.75B,14.85%,$721,$604,$117,$0,$68,$671,$50,$17,$68,$19,$49,$49,$49,$63,$50,$50,50,$0.99,$0.99,$839,$213,$117,$1443,$808,$0,$26,$136,$973,$2417,$446,$51,$0,$271,$717,$63,$1514,$74,$1700,$2417,$212,$50,$69,$118,$-61,$-30,$-2,$-21,$-169,$161,$-135,$0,$0,$0,$17,$17,$34,$-84,$-19,$0,$-19,$0,$0,$-42,$-9,$-70,$34,$0,$-42
8,2016-09-30,48.69,$0.00,0.0,$54.89,0.89,$2.59,18.8,$3.77,12.92,$1.30B,$0.39B,3.3,$0.04B,$1.57B,0.03,$2.75B,$0.43B,15.74%,$2.75B,$0.18B,6.52%,$2.75B,$0.18B,6.52%,$2.75B,$0.23B,8.45%,$2.75B,$0.27B,9.91%,$2.75B,$0.21B,7.50%,$0.21B,$1.57B,12.52%,$0.21B,$1.57B,12.58%,$0.21B,$2.21B,8.74%,$0.18B,$1.62B,10.14%,$651,$550,$101,$0,$63,$600,$51,$7,$58,$17,$42,$42,$42,$62,$51,$50,50,$0.83,$0.83,$789,$304,$75,$1301,$751,$0,$0,$158,$910,$2210,$394,$44,$10,$245,$639,$61,$1431,$0,$1572,$2210,$219,$36,$-25,$11,$-6,$-30,$-59,$-43,$-137,$94,$-83,$0,$0,$0,$0,$0,$25,$-58,$-13,$0,$-13,$0,$0,$-40,$17,$-36,$-0,$0,$-40
9,2016-06-30,47.57,$0.00,0.0,$55.27,0.86,$4.14,11.48,$3.87,12.29,$1.42B,$0.39B,3.64,$0.13B,$1.61B,0.08,$2.76B,$0.46B,16.57%,$2.76B,$0.19B,6.80%,$2.76B,$0.19B,6.80%,$2.76B,$0.24B,8.61%,$2.76B,$0.30B,11.00%,$2.76B,$0.24B,8.50%,$0.24B,$1.61B,14.19%,$0.24B,$1.61B,14.25%,$0.24B,$2.34B,9.88%,$0.19B,$1.74B,10.43%,$732,$552,$180,$0,$65,$617,$115,$11,$125,$39,$87,$87,$86,$127,$115,$50,50,$1.73,$1.73,$835,$310,$107,$1423,$769,$0,$0,$152,$921,$2344,$391,$134,$10,$343,$734,$64,$1474,$0,$1610,$2344,$171,$25,$-21,$5,$-44,$-26,$-48,$8,$-109,$67,$-64,$0,$0,$0,$0,$0,$24,$-41,$-14,$0,$-14,$0,$0,$-21,$7,$-29,$-3,$0,$-21
