,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,66.3,$51.42,1.29,$15.16,4.37,$9.71,6.82,$3.89,17.04,$7.98B,$7.78B,1.03,$0.51B,$1.57B,0.33,$0.43B,$0.36B,84.11%,$0.43B,$0.17B,38.79%,$0.43B,0,0.00%,$0.43B,0,0.00%,$0.43B,$0.16B,36.21%,$0.43B,$0.11B,26.40%,$0.11B,$1.57B,7.80%,$0.11B,$0.80B,15.43%,$0.11B,$9.89B,1.21%,$0.17B,$2.08B,7.76%,$122,$23,$99,$0,$51,$76,$47,$-2,$45,$9,$36,$36,$36,$0,$0,$30,30,$1.17,$1.17,$291,$0,$0,$7978,$156,$788,$768,$187,$1913,$9891,$7783,$510,$31,$541,$8324,$0,$267,$-14,$1567,$9891,$94,$4,$13,$17,$11,$0,$0,$-17,$-6,$106,$-10,$0,$14,$0,$25,$25,$-575,$-546,$-246,$0,$-246,$0,$0,$-12,$557,$300,$-141,$4,$-12
1,2018-06-30,66.66,$50.49,1.32,$14.63,4.56,$8.68,7.68,$3.56,18.73,$8.08B,$7.53B,1.07,$0.92B,$1.54B,0.6,$0.40B,$0.35B,85.86%,$0.40B,$0.16B,39.21%,$0.40B,0,0.00%,$0.40B,0,0.00%,$0.40B,$0.15B,35.98%,$0.40B,$0.10B,25.06%,$0.10B,$1.54B,7.33%,$0.10B,$0.77B,14.64%,$0.10B,$10.02B,1.11%,$0.16B,$2.45B,7.45%,$107,$18,$89,$0,$47,$66,$41,$-4,$37,$8,$30,$30,$29,$0,$0,$29,29,$1.02,$1.02,$448,$0,$0,$8077,$155,$830,$770,$170,$1940,$10017,$7533,$915,$30,$945,$8479,$0,$236,$-10,$1538,$10017,$59,$3,$9,$12,$9,$0,$0,$-3,$6,$77,$-7,$0,$14,$0,$-12,$-12,$-516,$-521,$160,$0,$160,$0,$0,$-7,$307,$460,$16,$3,$-7
2,2018-03-31,70.42,$47.76,1.47,$14.21,4.95,$7.33,9.61,$3.19,22.08,$7.04B,$6.80B,1.04,$0.65B,$1.36B,0.48,$0.39B,$0.34B,87.08%,$0.39B,$0.15B,38.76%,$0.39B,0,0.00%,$0.39B,0,0.00%,$0.39B,$0.14B,34.88%,$0.39B,$0.09B,23.26%,$0.09B,$1.36B,6.88%,$0.09B,$0.69B,13.88%,$0.09B,$8.81B,1.03%,$0.15B,$2.00B,7.60%,$98,$14,$83,$0,$46,$61,$36,$-1,$36,$7,$29,$29,$29,$0,$0,$28,28,$1.02,$1.02,$408,$0,$0,$7044,$147,$792,$663,$153,$1767,$8811,$6795,$645,$16,$662,$7456,$0,$210,$-9,$1355,$8811,$29,$5,$1,$6,$11,$0,$0,$-4,$7,$41,$-2,$0,$0,$0,$-9,$-9,$-173,$-183,$-50,$0,$-50,$0,$0,$-3,$162,$109,$-33,$1,$-3
3,2017-12-31,67.22,$47.28,1.42,$13.97,4.81,$7.34,9.16,$2.99,22.48,$6.92B,$6.63B,1.04,$0.70B,$1.34B,0.52,$0.35B,$0.31B,87.43%,$0.35B,$0.14B,39.14%,$0.35B,0,0.00%,$0.35B,0,0.00%,$0.35B,$0.12B,34.57%,$0.35B,$0.08B,21.71%,$0.08B,$1.34B,6.66%,$0.08B,$0.67B,13.11%,$0.08B,$8.68B,0.94%,$0.14B,$2.03B,7.64%,$101,$12,$89,$0,$45,$59,$42,$-5,$37,$18,$19,$19,$19,$0,$0,$25,26,$0.65,$0.66,$444,$0,$0,$6916,$148,$792,$665,$154,$1769,$8684,$6633,$695,$20,$716,$7348,$0,$184,$-0,$1336,$8684,$77,$6,$29,$35,$-17,$0,$0,$-12,$-28,$83,$-13,$0,$71,$0,$-103,$-103,$-617,$-662,$90,$0,$90,$27,$27,$-10,$399,$506,$-74,$5,$-10
4,2017-09-30,59.86,$46.09,1.3,$13.24,4.52,$8.68,6.89,$3.10,19.31,$7.13B,$6.87B,1.04,$0.71B,$1.28B,0.56,$0.31B,$0.27B,87.34%,$0.31B,$0.12B,38.31%,$0.31B,0,0.00%,$0.31B,0,0.00%,$0.31B,$0.11B,34.42%,$0.31B,$0.07B,23.05%,$0.07B,$1.28B,7.28%,$0.07B,$0.63B,13.87%,$0.07B,$8.89B,0.97%,$0.12B,$1.99B,7.38%,$97,$12,$85,$0,$45,$58,$39,$-3,$35,$12,$24,$24,$24,$0,$0,$28,28,$0.85,$0.84,$779,$0,$0,$7129,$156,$776,$654,$155,$1762,$8891,$6873,$711,$26,$737,$7610,$0,$168,$3,$1281,$8891,$57,$8,$12,$21,$-3,$0,$0,$-4,$-8,$70,$-12,$0,$119,$0,$-81,$-81,$-419,$-392,$97,$0,$97,$0,$0,$-7,$490,$580,$258,$3,$-7
5,2017-06-30,58.97,$45.33,1.3,$12.90,4.57,$9.67,6.1,$3.04,19.4,$6.82B,$6.67B,1.02,$0.61B,$1.26B,0.49,$0.27B,$0.24B,87.36%,$0.27B,$0.10B,37.55%,$0.27B,0,0.00%,$0.27B,0,0.00%,$0.27B,$0.09B,34.57%,$0.27B,$0.06B,22.68%,$0.06B,$1.26B,7.48%,$0.06B,$0.60B,13.64%,$0.06B,$8.59B,0.93%,$0.10B,$1.87B,7.16%,$91,$10,$80,$0,$46,$58,$33,$-6,$27,$9,$18,$18,$18,$0,$0,$28,28,$0.65,$0.65,$596,$0,$0,$6822,$151,$783,$656,$159,$1772,$8594,$6669,$612,$53,$665,$7334,$0,$147,$4,$1260,$8594,$34,$6,$7,$13,$-3,$0,$0,$-13,$-16,$31,$-2,$0,$131,$0,$-55,$-55,$-293,$-219,$-2,$0,$-2,$0,$0,$-5,$269,$263,$75,$2,$-5
6,2017-03-31,63.63,$36.38,1.75,$12.73,5.0,$10.31,6.17,$3.03,21.0,$5.19B,$4.72B,1.1,$0.59B,$0.69B,0.85,$0.24B,$0.21B,87.66%,$0.24B,$0.09B,36.60%,$0.24B,0,0.00%,$0.24B,0,0.00%,$0.24B,$0.08B,35.74%,$0.24B,$0.06B,23.40%,$0.06B,$0.69B,8.36%,$0.06B,$0.42B,14.27%,$0.06B,$6.02B,0.96%,$0.09B,$1.28B,6.88%,$61,$8,$52,$0,$29,$38,$23,$-0,$22,$7,$16,$16,$15,$0,$0,$19,19,$0.83,$0.82,$521,$0,$0,$5193,$88,$377,$272,$85,$830,$6023,$4722,$586,$26,$612,$5334,$0,$132,$0,$688,$6023,$16,$3,$3,$6,$5,$0,$0,$1,$6,$27,$-0,$0,$0,$0,$-30,$-30,$-130,$-160,$-0,$0,$-0,$0,$0,$-2,$145,$143,$10,$1,$-2
7,2016-12-31,61.65,$35.63,1.73,$12.59,4.9,$10.09,6.11,$2.88,21.41,$5.06B,$4.58B,1.11,$0.59B,$0.67B,0.87,$0.23B,$0.20B,88.70%,$0.23B,$0.08B,35.65%,$0.23B,0,0.00%,$0.23B,0,0.00%,$0.23B,$0.08B,35.22%,$0.23B,$0.05B,22.61%,$0.05B,$0.67B,8.12%,$0.05B,$0.40B,14.17%,$0.05B,$5.85B,0.94%,$0.08B,$1.26B,6.83%,$59,$7,$52,$0,$28,$36,$23,$-1,$22,$7,$15,$15,$14,$0,$0,$18,18,$0.80,$0.79,$508,$0,$0,$5057,$90,$343,$272,$81,$796,$5853,$4577,$586,$17,$603,$5180,$0,$118,$-1,$672,$5853,$54,$4,$15,$20,$3,$0,$0,$5,$7,$80,$-6,$0,$-2,$0,$-19,$-19,$-583,$-609,$218,$0,$218,$20,$-4,$-6,$533,$741,$212,$5,$-6
8,2016-09-30,43.54,$34.79,1.25,$12.38,3.52,$8.01,5.43,$2.67,16.31,$4.93B,$4.42B,1.12,$0.60B,$0.64B,0.93,$0.22B,$0.20B,88.79%,$0.22B,$0.08B,34.08%,$0.22B,0,0.00%,$0.22B,0,0.00%,$0.22B,$0.08B,33.63%,$0.22B,$0.05B,21.52%,$0.05B,$0.64B,7.70%,$0.05B,$0.37B,13.75%,$0.05B,$5.67B,0.90%,$0.08B,$1.24B,6.70%,$58,$7,$51,$0,$28,$36,$22,$-0,$22,$7,$15,$15,$14,$0,$0,$18,18,$0.78,$0.78,$590,$0,$0,$4926,$90,$294,$273,$79,$741,$5667,$4416,$596,$11,$607,$5024,$0,$105,$4,$643,$5667,$39,$2,$13,$15,$5,$0,$0,$1,$7,$61,$-4,$0,$-2,$0,$56,$56,$-386,$-337,$228,$0,$228,$0,$-24,$-4,$372,$572,$296,$5,$-4
9,2016-06-30,42.22,$34.08,1.24,$12.01,3.52,$6.59,6.41,$2.36,17.89,$4.68B,$4.21B,1.11,$0.60B,$0.63B,0.95,$0.21B,$0.19B,89.15%,$0.21B,$0.07B,31.13%,$0.21B,0,0.00%,$0.21B,0,0.00%,$0.21B,$0.07B,30.66%,$0.21B,$0.04B,19.81%,$0.04B,$0.63B,6.95%,$0.04B,$0.36B,12.42%,$0.04B,$5.45B,0.83%,$0.07B,$1.23B,6.26%,$57,$6,$51,$0,$33,$39,$18,$-0,$18,$6,$12,$12,$12,$0,$0,$18,18,$0.64,$0.64,$449,$0,$0,$4682,$93,$314,$273,$79,$765,$5447,$4208,$596,$12,$609,$4817,$0,$92,$4,$630,$5447,$24,$5,$5,$10,$-2,$0,$0,$2,$0,$35,$-3,$0,$0,$0,$-235,$-235,$-14,$-252,$229,$0,$229,$0,$-24,$-3,$159,$361,$143,$4,$-3
