,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,0.31,$-1.00,-0.31,$2.53,0.12,$1.14,0.27,$-0.37,0.0,$0.17B,$0.10B,1.72,$0.64B,$-0.08B,-8.56,$0.20B,$0.20B,100.00%,$0.20B,$-0.09B,-43.15%,$0.20B,$-0.09B,-43.15%,$0.20B,$-0.03B,-16.75%,$0.20B,$-0.06B,-31.98%,$0.20B,$-0.01B,-6.09%,$-0.01B,$-0.08B,20.43%,$-0.01B,$-0.50B,2.25%,$-0.01B,$0.71B,-1.52%,$-0.09B,$0.57B,-13.33%,$46,$0,$46,$0,$30,$34,$12,$11,$23,$1,$22,$20,$20,$16,$12,$72,176,$0.20,$-0.01,$88,$0,$40,$168,$5,$91,$424,$19,$544,$711,$97,$641,$6,$689,$786,$0,$-240,$-52,$-75,$711,$-23,$50,$4,$54,$16,$0,$0,$18,$19,$50,$-1,$-0,$-8,$0,$0,$0,$1,$-7,$-50,$0,$-50,$-0,$-0,$0,$-19,$-69,$-27,$-0,$0
1,2018-06-30,0.58,$-1.38,-0.42,$3.20,0.18,$0.78,0.75,$-10.03,0.0,$0.19B,$0.11B,1.78,$0.67B,$-0.09B,-7.12,$0.20B,$0.20B,100.00%,$0.20B,$-0.69B,-339.71%,$0.20B,$-0.69B,-339.71%,$0.20B,$-0.54B,-263.24%,$0.20B,$-0.70B,-341.18%,$0.20B,$-0.59B,-286.76%,$-0.59B,$-0.09B,983.19%,$-0.59B,$-0.51B,104.05%,$-0.59B,$0.73B,-66.12%,$-0.69B,$0.58B,-117.16%,$50,$0,$50,$0,$29,$145,$-95,$17,$-78,$-3,$-75,$-79,$-83,$-53,$-95,$66,66,$-1.26,$-1.26,$96,$0,$53,$194,$6,$91,$416,$19,$536,$730,$109,$671,$9,$715,$824,$0,$-261,$-51,$-94,$730,$-45,$46,$15,$61,$19,$0,$0,$5,$23,$39,$-1,$-0,$-5,$0,$0,$0,$1,$-4,$-38,$0,$-38,$-0,$-0,$0,$-15,$-54,$-19,$2,$0
2,2018-03-31,1.11,$-0.23,-4.78,$3.51,0.32,$0.51,2.16,$-8.07,0.0,$0.20B,$0.10B,2.03,$0.72B,$-0.02B,-48.3,$0.22B,$0.22B,100.00%,$0.22B,$-0.58B,-269.44%,$0.22B,$-0.58B,-269.44%,$0.22B,$-0.46B,-213.89%,$0.22B,$-0.63B,-293.06%,$0.22B,$-0.46B,-212.50%,$-0.46B,$-0.02B,-485.71%,$-0.46B,$-0.55B,77.34%,$-0.46B,$0.85B,-40.85%,$-0.58B,$0.70B,-78.28%,$49,$0,$49,$0,$34,$33,$16,$17,$32,$2,$31,$28,$25,$20,$16,$59,82,$0.43,$0.11,$96,$0,$57,$200,$6,$91,$533,$18,$652,$852,$98,$716,$10,$768,$867,$0,$-182,$-45,$-15,$852,$31,$5,$-24,$-19,$19,$0,$0,$2,$9,$21,$-0,$-0,$-4,$0,$0,$0,$1,$-3,$-27,$0,$-27,$-0,$-0,$0,$-12,$-39,$-19,$1,$0
3,2017-12-31,1.29,$-0.68,-1.9,$3.95,0.33,$0.44,2.91,$-8.67,0.0,$0.23B,$0.11B,2.07,$0.76B,$-0.05B,-14.84,$0.23B,$0.23B,100.00%,$0.23B,$-0.56B,-249.56%,$0.23B,$-0.56B,-249.56%,$0.23B,$-0.44B,-195.58%,$0.23B,$-0.65B,-288.50%,$0.23B,$-0.49B,-216.37%,$-0.49B,$-0.05B,-219.53%,$-0.49B,$-0.58B,78.08%,$-0.49B,$0.87B,-35.31%,$-0.56B,$0.71B,-64.86%,$52,$0,$52,$0,$41,$71,$-18,$-22,$-40,$-67,$26,$3,$26,$-16,$-18,$57,57,$0.35,$0.36,$115,$0,$52,$233,$6,$91,$530,$6,$637,$871,$113,$756,$11,$809,$921,$0,$-224,$-51,$-51,$871,$-557,$123,$466,$589,$-6,$0,$0,$-42,$-30,$2,$-1,$2,$330,$0,$0,$0,$-1,$331,$-591,$73,$-517,$-1,$-1,$0,$99,$-419,$-83,$9,$0
4,2017-09-30,5.69,$-1.35,-4.2,$4.15,1.37,$2.73,2.09,$-14.36,0.0,$0.42B,$0.61B,0.69,$0.46B,$-0.08B,-5.92,$0.23B,$0.23B,100.00%,$0.23B,$-0.93B,-400.86%,$0.23B,$-0.93B,-400.86%,$0.23B,$-0.79B,-339.91%,$0.23B,$-1.02B,-438.63%,$0.23B,$-0.81B,-348.93%,$-0.81B,$-0.08B,-226.30%,$-0.81B,$-0.61B,124.84%,$-0.81B,$1.09B,-48.72%,$-0.93B,$0.38B,-85.69%,$53,$0,$53,$0,$22,$649,$-596,$-15,$-610,$-30,$-581,$-551,$-553,$-488,$-596,$57,57,$-9.67,$-9.67,$331,$0,$23,$419,$6,$114,$532,$8,$667,$1086,$607,$460,$13,$556,$1164,$0,$-248,$-50,$-78,$1086,$-584,$121,$509,$630,$-5,$0,$0,$-7,$-50,$-4,$-1,$-0,$330,$0,$0,$0,$-1,$328,$-368,$73,$-294,$-1,$-1,$0,$-28,$-323,$4,$4,$0
5,2017-06-30,6.91,$9.13,0.76,$4.28,1.61,$4.17,1.66,$-4.42,0.0,$0.40B,$0.39B,1.02,$0.66B,$0.52B,1.27,$0.24B,$0.24B,100.00%,$0.24B,$-0.31B,-127.92%,$0.24B,$-0.31B,-127.92%,$0.24B,$-0.27B,-110.83%,$0.24B,$-0.39B,-160.83%,$0.24B,$-0.25B,-102.08%,$-0.25B,$0.52B,-41.93%,$-0.25B,$-0.64B,31.31%,$-0.25B,$1.69B,-12.18%,$-0.31B,$1.19B,-20.42%,$62,$0,$62,$0,$27,$46,$16,$-31,$-15,$-6,$-10,$-14,$43,$22,$16,$57,58,$0.75,$0.74,$313,$0,$21,$395,$7,$115,$1158,$10,$1291,$1686,$386,$663,$11,$778,$1164,$0,$304,$-57,$522,$1686,$-3,$13,$22,$35,$-1,$0,$0,$-5,$-13,$19,$-1,$-0,$335,$0,$0,$0,$-1,$333,$-344,$0,$-344,$-1,$-1,$0,$-20,$-366,$-14,$5,$0
6,2017-03-31,7.52,$8.72,0.86,$4.55,1.65,$4.96,1.52,$-4.89,0.0,$0.61B,$0.54B,1.12,$0.71B,$0.50B,1.42,$0.25B,$0.25B,100.00%,$0.25B,$-0.29B,-115.85%,$0.25B,$-0.29B,-115.85%,$0.25B,$-0.24B,-97.56%,$0.25B,$-0.35B,-142.28%,$0.25B,$-0.28B,-112.20%,$-0.28B,$0.50B,-43.07%,$-0.28B,$-0.68B,29.82%,$-0.28B,$1.90B,-12.51%,$-0.29B,$1.21B,-16.64%,$59,$0,$59,$0,$25,$25,$34,$-21,$13,$6,$7,$4,$-5,$40,$34,$57,57,$-0.09,$-0.09,$208,$0,$337,$605,$6,$98,$1177,$10,$1292,$1897,$540,$706,$18,$858,$1398,$0,$252,$-68,$498,$1897,$7,$7,$9,$16,$2,$0,$0,$4,$-12,$11,$-0,$-0,$-2,$0,$0,$0,$1,$-1,$-113,$0,$-113,$-1,$-1,$0,$0,$-113,$-103,$2,$0
7,2016-12-31,9.34,$8.67,1.08,$4.87,1.92,$5.41,1.73,$-4.43,0.0,$0.71B,$0.26B,2.75,$1.09B,$0.50B,2.21,$0.26B,$0.26B,100.00%,$0.26B,$-0.27B,-107.06%,$0.26B,$-0.27B,-107.06%,$0.26B,$-0.22B,-87.84%,$0.26B,$-0.34B,-132.16%,$0.26B,$-0.25B,-98.82%,$-0.25B,$0.50B,-36.10%,$-0.25B,$-0.68B,23.66%,$-0.25B,$2.01B,-10.66%,$-0.27B,$1.59B,-14.08%,$59,$0,$59,$0,$37,$447,$-388,$-22,$-410,$-103,$-307,$-300,$-298,$-366,$-388,$52,52,$-5.71,$-5.69,$314,$0,$334,$713,$7,$99,$1175,$11,$1293,$2006,$259,$1094,$15,$1252,$1511,$0,$258,$-70,$495,$2006,$-258,$49,$279,$328,$-7,$0,$0,$36,$52,$122,$-2,$3,$157,$0,$0,$0,$12,$170,$-137,$0,$-137,$-1,$-1,$0,$-173,$-310,$-21,$7,$0
8,2016-09-30,8.12,$14.62,0.56,$3.48,2.34,$7.04,1.15,$-4.57,0.0,$0.37B,$0.14B,2.58,$1.21B,$0.82B,1.48,$0.18B,$0.18B,100.00%,$0.18B,$-0.32B,-174.86%,$0.18B,$-0.32B,-174.86%,$0.18B,$-0.25B,-134.97%,$0.18B,$-0.37B,-203.83%,$0.18B,$-0.21B,-116.94%,$-0.21B,$0.82B,-28.41%,$-0.21B,$-1.14B,17.77%,$-0.21B,$2.46B,-8.60%,$-0.32B,$2.04B,-15.47%,$60,$0,$60,$0,$30,$29,$31,$-5,$26,$9,$17,$14,$15,$38,$31,$56,57,$0.27,$0.27,$240,$0,$40,$370,$7,$100,$1958,$21,$2086,$2457,$144,$1214,$23,$1490,$1634,$0,$558,$-55,$822,$2457,$49,$27,$15,$42,$-7,$0,$0,$2,$-12,$79,$-1,$1,$65,$0,$0,$0,$10,$75,$-88,$0,$-88,$-1,$-1,$0,$-115,$-204,$-48,$4,$0
9,2016-06-30,6.76,$14.32,0.47,$4.31,1.57,$8.45,0.8,$-4.97,0.0,$0.35B,$0.15B,2.35,$1.28B,$0.75B,1.71,$0.21B,$0.21B,100.00%,$0.21B,$-0.32B,-150.93%,$0.21B,$-0.32B,-150.93%,$0.21B,$-0.25B,-115.42%,$0.21B,$-0.39B,-184.11%,$0.21B,$-0.23B,-109.35%,$-0.23B,$0.75B,-29.35%,$-0.23B,$-1.21B,18.41%,$-0.23B,$2.47B,-8.95%,$-0.32B,$2.02B,-15.47%,$68,$0,$68,$0,$30,$30,$38,$-17,$21,$7,$14,$11,$12,$48,$38,$49,51,$0.24,$0.23,$215,$0,$42,$353,$7,$128,$1955,$23,$2114,$2466,$150,$1275,$24,$1569,$1719,$0,$542,$-58,$748,$2466,$32,$20,$18,$38,$-12,$0,$0,$-8,$-13,$57,$-1,$1,$29,$0,$0,$0,$6,$36,$-52,$0,$-52,$-1,$-1,$0,$-82,$-134,$-40,$3,$0
