,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,5.25,$1.28,4.1,$62.69,0.08,$-4.81,0.0,$0.17,30.88,$0.33B,$0.37B,0.9,$0.00B,$0.03B,0.0,$1.55B,$0.24B,15.63%,$1.55B,$0.01B,0.52%,$1.55B,$0.01B,0.52%,$1.55B,$0.03B,2.00%,$1.55B,$0.01B,0.58%,$1.55B,$0.01B,0.32%,$0.01B,$0.03B,5.68%,$0.01B,$0.02B,6.49%,$0.01B,$0.40B,1.12%,$0.01B,$0.03B,9.09%,$393,$325,$68,$0,$51,$382,$10,$0,$11,$2,$9,$9,$8,$16,$10,$25,25,$0.33,$0.33,$74,$0,$166,$329,$36,$7,$11,$11,$71,$400,$367,$0,$1,$1,$368,$0,$-173,$-5,$31,$400,$5,$23,$12,$35,$-7,$0,$0,$-39,$-33,$7,$-21,$0,$-0,$19,$0,$19,$0,$-2,$0,$0,$0,$-2,$-2,$-14,$-10,$-27,$-22,$4,$-14
1,2018-04-30,5.35,$1.08,4.94,$63.75,0.08,$-4.43,0.0,$-0.57,0.0,$0.31B,$0.36B,0.87,$0.00B,$0.03B,0.0,$1.55B,$0.23B,14.97%,$1.55B,$0.00B,0.13%,$1.55B,$0.00B,0.13%,$1.55B,$0.02B,1.55%,$1.55B,$0.00B,0.06%,$1.55B,$-0.01B,-0.84%,$-0.01B,$0.03B,-10.92%,$-0.01B,$0.02B,-12.06%,$-0.01B,$0.39B,-2.74%,$0.00B,$0.03B,1.68%,$365,$307,$58,$0,$54,$367,$-2,$-1,$-2,$1,$-3,$-3,$-3,$4,$-2,$25,25,$-0.14,$-0.14,$61,$0,$174,$314,$37,$7,$11,$11,$74,$388,$360,$0,$1,$1,$361,$0,$-179,$-5,$27,$388,$-3,$17,$8,$26,$3,$0,$0,$-20,$-38,$-15,$-16,$0,$0,$14,$0,$14,$0,$-2,$0,$0,$0,$-0,$-0,$-12,$-10,$-22,$-39,$3,$-12
2,2018-01-31,9.07,$5.89,1.54,$64.99,0.14,$-3.87,0.0,$-0.64,0.0,$0.36B,$0.36B,1.0,$0.00B,$0.15B,0.0,$1.56B,$0.23B,14.73%,$1.56B,$-0.00B,-0.19%,$1.56B,$-0.00B,-0.19%,$1.56B,$0.02B,1.22%,$1.56B,$-0.00B,-0.26%,$1.56B,$-0.02B,-0.96%,$-0.02B,$0.15B,-10.02%,$-0.02B,$0.14B,-10.83%,$-0.02B,$0.50B,-3.01%,$-0.00B,$0.15B,-2.00%,$396,$337,$59,$0,$53,$396,$-0,$1,$0,$-2,$2,$2,$2,$5,$-0,$25,25,$0.06,$0.06,$100,$0,$169,$357,$89,$24,$11,$14,$147,$504,$356,$0,$2,$2,$358,$0,$-173,$-3,$146,$504,$-0,$11,$6,$17,$-5,$0,$0,$-19,$-44,$-27,$-11,$0,$0,$12,$0,$12,$0,$1,$0,$0,$0,$-0,$-0,$-9,$-1,$-10,$-36,$2,$-9
3,2017-10-31,10.81,$5.96,1.81,$64.98,0.17,$-2.84,0.0,$-0.66,0.0,$0.34B,$0.34B,1.01,$0.00B,$0.15B,0.0,$1.53B,$0.23B,14.87%,$1.53B,0,0.00%,$1.53B,0,0.00%,$1.53B,$0.02B,1.44%,$1.53B,$-0.00B,-0.07%,$1.53B,$-0.02B,-1.05%,$-0.02B,$0.15B,-10.67%,$-0.02B,$0.14B,-11.55%,$-0.02B,$0.49B,-3.28%,$0.00B,$0.15B,0.00%,$394,$337,$57,$0,$51,$393,$0,$-0,$-0,$1,$-2,$-2,$-2,$6,$0,$25,25,$-0.08,$-0.08,$107,$0,$141,$342,$89,$26,$11,$9,$146,$488,$338,$0,$2,$2,$340,$0,$-170,$-3,$148,$488,$-2,$6,$3,$8,$-14,$0,$0,$-14,$-37,$-31,$-5,$0,$0,$4,$0,$4,$0,$-1,$0,$0,$0,$-0,$-0,$-5,$-0,$-5,$-37,$1,$-5
4,2017-07-31,11.97,$6.22,1.92,$65.12,0.18,$-1.38,0.0,$0.38,31.49,$0.37B,$0.36B,1.02,$0.00B,$0.16B,0.0,$1.50B,$0.23B,15.05%,$1.50B,$0.01B,0.33%,$1.50B,$0.01B,0.33%,$1.50B,$0.03B,1.73%,$1.50B,$0.01B,0.47%,$1.50B,$0.01B,0.53%,$0.01B,$0.16B,5.32%,$0.01B,$0.14B,5.77%,$0.01B,$0.52B,1.65%,$0.01B,$0.16B,3.32%,$395,$337,$58,$0,$49,$391,$4,$-0,$3,$13,$-9,$-9,$-10,$9,$4,$23,23,$-0.45,$-0.44,$149,$0,$143,$371,$89,$27,$11,$9,$148,$519,$363,$0,$2,$2,$364,$0,$-163,$-2,$155,$519,$10,$22,$1,$23,$-18,$0,$0,$-13,$-14,$19,$-23,$0,$-2,$-15,$0,$-15,$0,$-40,$0,$0,$0,$25,$25,$-18,$-0,$7,$-13,$4,$-18
5,2017-04-30,12.12,$6.32,1.92,$64.31,0.19,$0.13,91.85,$1.27,9.54,$0.33B,$0.33B,0.98,$0.00B,$0.15B,0.0,$1.48B,$0.23B,15.39%,$1.48B,$0.01B,0.47%,$1.48B,$0.01B,0.47%,$1.48B,$0.03B,1.90%,$1.48B,$0.01B,0.88%,$1.48B,$0.03B,1.97%,$0.03B,$0.15B,20.32%,$0.03B,$0.14B,22.10%,$0.03B,$0.49B,6.15%,$0.01B,$0.15B,4.90%,$370,$315,$55,$0,$46,$377,$-7,$-0,$-7,$-2,$-4,$-4,$-5,$-1,$-7,$23,23,$-0.21,$-0.21,$226,$0,$19,$327,$90,$24,$12,$8,$158,$485,$333,$0,$2,$2,$334,$0,$-149,$-5,$150,$485,$19,$16,$-12,$4,$-19,$0,$0,$-12,$-22,$1,$-17,$0,$-2,$-8,$-9,$-16,$0,$-35,$0,$0,$0,$10,$10,$-13,$0,$-3,$-38,$3,$-13
6,2017-01-31,15.09,$6.36,2.37,$63.92,0.24,$1.81,8.32,$1.67,9.04,$0.31B,$0.31B,0.98,$0.00B,$0.15B,0.0,$1.46B,$0.23B,16.03%,$1.46B,$0.02B,1.37%,$1.46B,$0.02B,1.37%,$1.46B,$0.04B,2.74%,$1.46B,$0.03B,1.78%,$1.46B,$0.04B,2.60%,$0.04B,$0.15B,27.49%,$0.04B,$0.14B,30.22%,$0.04B,$0.46B,8.13%,$0.02B,$0.15B,14.47%,$368,$311,$57,$0,$47,$364,$3,$-0,$3,$2,$1,$1,$1,$8,$3,$23,23,$0.04,$0.04,$220,$0,$14,$305,$89,$24,$12,$7,$154,$459,$311,$0,$2,$2,$313,$0,$-140,$-6,$147,$459,$24,$11,$-11,$-1,$-8,$0,$0,$-1,$-24,$-1,$-11,$0,$-2,$-0,$-8,$-9,$0,$-21,$0,$0,$0,$-1,$-1,$-9,$0,$-9,$-32,$2,$-9
7,2016-10-31,13.92,$6.50,2.14,$64.69,0.22,$3.01,4.63,$1.81,7.69,$0.32B,$0.32B,1.0,$0.00B,$0.15B,0.0,$1.47B,$0.24B,16.28%,$1.47B,$0.02B,1.56%,$1.47B,$0.02B,1.56%,$1.47B,$0.04B,2.92%,$1.47B,$0.03B,2.04%,$1.47B,$0.04B,2.78%,$0.04B,$0.15B,30.71%,$0.04B,$0.14B,34.10%,$0.04B,$0.47B,8.78%,$0.02B,$0.15B,17.23%,$369,$313,$56,$0,$45,$364,$5,$3,$8,$-14,$22,$22,$22,$10,$5,$23,23,$0.97,$0.96,$231,$0,$13,$319,$87,$22,$12,$7,$153,$472,$320,$0,$2,$2,$322,$0,$-136,$-7,$150,$472,$22,$5,$-14,$-8,$-13,$0,$0,$-1,$-8,$5,$-6,$0,$0,$-5,$-8,$-13,$0,$-18,$0,$0,$0,$0,$0,$-4,$1,$-3,$-18,$1,$-4
8,2016-07-31,11.74,$5.39,2.18,$65.57,0.18,$3.37,3.48,$1.03,11.4,$0.34B,$0.34B,0.99,$0.00B,$0.12B,0.0,$1.50B,$0.25B,16.71%,$1.50B,$0.03B,1.74%,$1.50B,$0.03B,1.74%,$1.50B,$0.05B,3.07%,$1.50B,$0.03B,1.94%,$1.50B,$0.02B,1.54%,$0.02B,$0.12B,17.69%,$0.02B,$0.11B,19.83%,$0.02B,$0.47B,4.94%,$0.03B,$0.12B,20.00%,$368,$309,$59,$0,$55,$362,$6,$3,$9,$-2,$11,$11,$11,$11,$6,$23,23,$0.48,$0.48,$157,$0,$120,$339,$87,$14,$11,$8,$131,$470,$344,$0,$2,$2,$345,$0,$-154,$-4,$124,$470,$25,$21,$0,$21,$1,$0,$0,$13,$4,$49,$-18,$0,$6,$-14,$1,$-13,$10,$-16,$-6,$0,$-6,$-5,$-5,$-17,$1,$-28,$-1,$3,$-17
9,2016-04-30,9.87,$5.72,1.73,$66.89,0.15,$2.11,4.67,$0.60,16.45,$0.34B,$0.34B,1.0,$0.00B,$0.13B,0.0,$1.53B,$0.26B,16.75%,$1.53B,$0.03B,1.76%,$1.53B,$0.03B,1.76%,$1.53B,$0.05B,3.06%,$1.53B,$0.03B,1.69%,$1.53B,$0.01B,0.85%,$0.01B,$0.13B,9.79%,$0.01B,$0.12B,11.06%,$0.01B,$0.47B,2.77%,$0.03B,$0.13B,20.34%,$355,$293,$62,$0,$52,$349,$6,$0,$6,$1,$5,$5,$4,$11,$6,$23,23,$0.19,$0.19,$248,$0,$14,$337,$90,$12,$15,$8,$133,$469,$335,$0,$2,$2,$338,$0,$-160,$-1,$132,$469,$14,$16,$9,$24,$2,$0,$0,$12,$-1,$36,$-14,$0,$0,$-7,$1,$-7,$5,$-16,$-6,$0,$-6,$-5,$-5,$-13,$-2,$-26,$-9,$2,$-13
