,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,150.66,$26.81,5.62,$31.63,4.76,$11.79,12.78,$5.23,28.81,$1.16B,$0.36B,3.21,$0.85B,$2.06B,0.41,$2.46B,$1.11B,45.01%,$2.46B,$0.57B,23.01%,$2.46B,$0.57B,23.01%,$2.46B,$0.65B,26.31%,$2.46B,$0.52B,21.34%,$2.46B,$0.41B,16.54%,$0.41B,$2.06B,20.42%,$0.41B,$-0.04B,-334.85%,$0.41B,$3.56B,11.66%,$0.57B,$2.91B,19.86%,$623,$343,$280,$0,$130,$478,$145,$-12,$133,$27,$106,$106,$106,$164,$145,$77,78,$1.39,$1.37,$492,$287,$51,$1155,$277,$0,$2104,$18,$2400,$3555,$360,$848,$155,$1134,$1494,$1,$2277,$-114,$2061,$3555,$312,$60,$23,$83,$-34,$-28,$-4,$-4,$-70,$326,$-40,$-4,$-20,$0,$0,$0,$-1,$-65,$-11,$0,$-11,$-24,$-24,$-95,$-5,$-135,$116,$20,$-95
1,2018-06-30,136.06,$25.89,5.26,$31.03,4.39,$11.64,11.69,$4.94,27.54,$1.11B,$0.35B,3.21,$0.86B,$1.99B,0.43,$2.41B,$1.08B,45.01%,$2.41B,$0.55B,22.73%,$2.41B,$0.55B,22.73%,$2.41B,$0.63B,26.18%,$2.41B,$0.51B,20.99%,$2.41B,$0.38B,15.96%,$0.38B,$1.99B,19.94%,$0.38B,$-0.10B,-211.86%,$0.38B,$3.48B,11.22%,$0.55B,$2.85B,19.61%,$634,$347,$287,$0,$138,$487,$148,$-11,$137,$30,$107,$107,$107,$168,$148,$77,78,$1.40,$1.38,$459,$284,$41,$1114,$268,$0,$2084,$18,$2370,$3483,$347,$859,$161,$1147,$1494,$1,$2203,$-126,$1989,$3483,$206,$41,$13,$55,$-40,$-28,$5,$15,$-68,$192,$-21,$-4,$0,$0,$0,$0,$-1,$-26,$0,$0,$0,$-6,$-6,$-62,$-4,$-72,$83,$13,$-62
2,2018-03-31,141.63,$26.23,5.4,$30.28,4.68,$11.41,12.41,$4.64,30.52,$1.07B,$0.32B,3.38,$0.86B,$2.02B,0.43,$2.35B,$1.05B,44.90%,$2.35B,$0.52B,22.35%,$2.35B,$0.52B,22.35%,$2.35B,$0.61B,25.97%,$2.35B,$0.48B,20.51%,$2.35B,$0.36B,15.39%,$0.36B,$2.02B,19.41%,$0.36B,$-0.11B,-145.13%,$0.36B,$3.49B,10.75%,$0.52B,$2.88B,19.19%,$612,$336,$277,$0,$138,$476,$137,$-7,$130,$31,$99,$99,$99,$158,$137,$76,78,$1.29,$1.27,$413,$284,$44,$1069,$267,$0,$2131,$18,$2416,$3485,$316,$860,$161,$1152,$1469,$1,$2163,$-66,$2017,$3485,$99,$21,$7,$29,$-31,$-21,$8,$15,$-56,$72,$-10,$0,$0,$0,$0,$0,$-0,$-10,$0,$0,$0,$7,$7,$-29,$-4,$-26,$37,$8,$-29
3,2017-12-31,130.8,$24.60,5.32,$29.60,4.42,$11.59,11.29,$4.36,30.0,$1.00B,$0.36B,2.78,$0.86B,$1.89B,0.46,$2.29B,$1.03B,44.91%,$2.29B,$0.50B,21.99%,$2.29B,$0.50B,21.99%,$2.29B,$0.59B,25.71%,$2.29B,$0.46B,19.90%,$2.29B,$0.34B,14.78%,$0.34B,$1.89B,19.14%,$0.34B,$-0.23B,-102.89%,$0.34B,$3.40B,10.32%,$0.50B,$2.75B,18.91%,$586,$325,$261,$0,$131,$451,$135,$-12,$124,$30,$94,$94,$94,$156,$135,$76,77,$1.23,$1.21,$376,$260,$74,$1004,$258,$0,$2119,$18,$2396,$3400,$361,$859,$156,$1152,$1513,$1,$2058,$-90,$1887,$3400,$337,$86,$-12,$74,$-16,$1,$13,$4,$22,$433,$-38,$0,$-16,$0,$0,$0,$-1,$-55,$-168,$0,$-168,$-6,$-6,$-111,$8,$-277,$140,$24,$-111
4,2017-09-30,120.04,$23.62,5.08,$28.94,4.15,$11.20,10.72,$3.90,30.78,$0.96B,$0.34B,2.84,$0.88B,$1.81B,0.48,$2.23B,$1.00B,44.73%,$2.23B,$0.45B,20.35%,$2.23B,$0.45B,20.35%,$2.23B,$0.54B,24.20%,$2.23B,$0.40B,18.11%,$2.23B,$0.30B,13.49%,$0.30B,$1.81B,17.91%,$0.30B,$-0.28B,-74.97%,$0.30B,$3.32B,9.36%,$0.45B,$2.69B,17.38%,$574,$317,$258,$0,$131,$448,$127,$-13,$114,$30,$84,$84,$84,$148,$127,$76,78,$1.09,$1.08,$303,$267,$78,$955,$251,$0,$2095,$17,$2362,$3318,$337,$875,$123,$1171,$1507,$1,$1993,$-97,$1810,$3318,$244,$65,$25,$90,$-28,$-5,$4,$-17,$-37,$297,$-23,$0,$0,$0,$0,$0,$-0,$-23,$-149,$0,$-149,$-4,$-4,$-83,$-1,$-237,$67,$18,$-83
5,2017-06-30,111.31,$22.53,4.94,$28.42,3.92,$10.99,10.13,$3.73,29.84,$0.86B,$0.31B,2.74,$0.89B,$1.73B,0.51,$2.19B,$0.97B,44.40%,$2.19B,$0.44B,19.98%,$2.19B,$0.44B,19.98%,$2.19B,$0.52B,23.96%,$2.19B,$0.39B,17.79%,$2.19B,$0.29B,13.12%,$0.29B,$1.73B,17.75%,$0.29B,$-0.37B,-60.64%,$0.29B,$3.22B,8.97%,$0.44B,$2.62B,16.78%,$573,$316,$257,$0,$132,$448,$125,$-12,$113,$30,$84,$84,$84,$147,$125,$76,77,$1.10,$1.08,$218,$265,$71,$861,$254,$0,$2092,$16,$2363,$3224,$314,$888,$123,$1183,$1497,$1,$1937,$-129,$1727,$3224,$160,$43,$18,$61,$-31,$-5,$6,$-9,$-48,$173,$-20,$0,$0,$0,$0,$0,$0,$-19,$-133,$0,$-133,$3,$3,$-55,$-1,$-186,$-18,$12,$-55
6,2017-03-31,91.78,$21.44,4.28,$28.18,3.26,$10.86,8.45,$3.64,25.21,$0.82B,$0.28B,2.96,$0.95B,$1.64B,0.58,$2.16B,$0.96B,44.27%,$2.16B,$0.43B,19.69%,$2.16B,$0.43B,19.69%,$2.16B,$0.51B,23.71%,$2.16B,$0.38B,17.56%,$2.16B,$0.28B,12.89%,$0.28B,$1.64B,17.89%,$0.28B,$-0.43B,-58.68%,$0.28B,$3.16B,8.79%,$0.43B,$2.59B,16.46%,$554,$303,$251,$0,$130,$438,$116,$-11,$104,$29,$76,$76,$76,$137,$116,$76,77,$0.99,$0.99,$216,$258,$55,$824,$250,$0,$2074,$16,$2340,$3164,$278,$950,$122,$1244,$1522,$1,$1911,$-178,$1641,$3164,$76,$21,$9,$30,$-20,$-3,$5,$8,$-21,$85,$-10,$0,$0,$0,$0,$0,$1,$-10,$-67,$0,$-67,$-1,$-1,$-26,$-5,$-99,$-20,$6,$-26
7,2016-12-31,88.07,$20.20,4.36,$27.53,3.2,$10.69,8.24,$3.54,24.88,$0.82B,$0.31B,2.66,$1.01B,$1.54B,0.66,$2.11B,$0.93B,44.01%,$2.11B,$0.41B,19.55%,$2.11B,$0.41B,19.55%,$2.11B,$0.50B,23.66%,$2.11B,$0.37B,17.46%,$2.11B,$0.27B,12.83%,$0.27B,$1.54B,17.80%,$0.27B,$-0.52B,-57.91%,$0.27B,$3.16B,8.56%,$0.41B,$2.56B,15.96%,$530,$298,$232,$0,$123,$445,$86,$-13,$73,$15,$57,$57,$57,$108,$86,$76,77,$0.75,$0.74,$236,$253,$61,$823,$248,$0,$2068,$16,$2332,$3155,$309,$1014,$121,$1302,$1611,$1,$1835,$-202,$1544,$3155,$271,$88,$36,$124,$0,$33,$0,$-23,$5,$400,$-38,$0,$-471,$0,$0,$0,$-0,$-509,$181,$0,$181,$-27,$-27,$-103,$-5,$47,$-92,$20,$-103
8,2016-09-30,91.14,$20.38,4.47,$27.03,3.37,$10.05,9.07,$3.67,24.83,$0.86B,$0.31B,2.81,$1.10B,$1.56B,0.71,$2.08B,$0.92B,44.22%,$2.08B,$0.43B,20.69%,$2.08B,$0.43B,20.69%,$2.08B,$0.52B,24.77%,$2.08B,$0.39B,18.48%,$2.08B,$0.28B,13.54%,$0.28B,$1.56B,18.84%,$0.28B,$-0.57B,-70.99%,$0.28B,$3.26B,9.16%,$0.43B,$2.65B,17.11%,$530,$299,$231,$0,$119,$421,$110,$-10,$99,$29,$70,$70,$70,$132,$110,$76,77,$0.92,$0.91,$239,$276,$55,$857,$261,$0,$2125,$19,$2405,$3262,$305,$1100,$120,$1402,$1708,$1,$1803,$-148,$1555,$3262,$214,$65,$27,$93,$-2,$22,$-17,$-23,$-22,$284,$-29,$0,$-477,$0,$0,$0,$-0,$-506,$258,$0,$258,$-34,$-34,$-77,$-5,$142,$-89,$15,$-77
9,2016-06-30,79.65,$19.64,4.05,$26.62,2.99,$9.68,8.23,$3.78,21.07,$0.97B,$0.30B,3.26,$1.05B,$1.50B,0.7,$2.06B,$0.91B,44.39%,$2.06B,$0.44B,21.54%,$2.06B,$0.44B,21.54%,$2.06B,$0.53B,25.62%,$2.06B,$0.40B,19.35%,$2.06B,$0.29B,14.20%,$0.29B,$1.50B,19.92%,$0.29B,$-0.37B,-90.47%,$0.29B,$3.11B,9.79%,$0.44B,$2.55B,18.26%,$550,$306,$244,$0,$130,$436,$114,$-10,$104,$28,$76,$76,$76,$136,$114,$76,77,$1.00,$0.99,$361,$258,$54,$969,$251,$0,$1871,$19,$2140,$3109,$298,$1054,$108,$1315,$1612,$1,$1759,$-154,$1497,$3109,$144,$43,$19,$62,$-23,$11,$-3,$-19,$-47,$159,$-17,$0,$-222,$0,$0,$0,$0,$-239,$214,$0,$214,$-39,$-39,$-51,$-5,$119,$33,$12,$-51
