,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,62.67,$0.00,0.0,0,0.0,0,0.0,0,0.0,$0.94B,$1.20B,0.78,$1.95B,$-1.16B,-1.68,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$-1.16B,0.00%,$0.00B,$-2.15B,0.00%,$0.00B,$3.15B,0.00%,$0.00B,$0.78B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$233,$3,$22,$939,$0,$136,$989,$599,$1792,$3148,$1202,$1946,$140,$3108,$4310,$150,$1094,$0,$-1162,$3148,$234,$54,$0,$54,$0,$0,$0,$0,$-117,$286,$-16,$0,$-1,$0,$0,$-29,$-56,$-102,$0,$65,$65,$0,$-3,$-130,$-1,$-69,$102,$0,$0
1,2017-12-31,62.76,$0.00,0.0,0,0.0,0,0.0,0,0.0,$0.84B,$1.30B,0.64,$1.89B,$-0.85B,-2.22,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$-0.85B,0.00%,$0.00B,$-2.32B,0.00%,$0.00B,$3.18B,0.00%,$0.00B,$1.04B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$168,$3,$16,$839,$837,$141,$1467,$247,$2748,$3175,$1304,$1893,$672,$2722,$4026,$154,$1405,$0,$-851,$3175,$593,$139,$0,$139,$0,$0,$0,$0,$-27,$634,$-44,$0,$-38,$0,$0,$-10,$-171,$-263,$0,$153,$0,$0,$-3,$-593,$-3,$-446,$-59,$0,$0
2,2017-06-30,54.51,$0.00,0.0,0,0.0,0,0.0,0,0.0,$0.83B,$1.14B,0.73,$2.11B,$-1.10B,-1.92,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$-1.10B,0.00%,$0.00B,$-2.47B,0.00%,$0.00B,$3.12B,0.00%,$0.00B,$1.01B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$166,$3,$15,$828,$0,$157,$1373,$291,$1873,$3123,$1139,$2106,$699,$3081,$4220,$148,$1088,$0,$-1097,$3123,$219,$64,$0,$64,$0,$0,$0,$0,$-194,$251,$-22,$0,$-47,$0,$0,$-20,$-90,$-179,$0,$395,$395,$0,$-3,$-531,$-3,$-142,$-50,$0,$0
3,2016-12-31,43.28,$0.00,0.0,0,0.0,0,0.0,0,0.0,$0.78B,$1.13B,0.69,$1.61B,$-0.76B,-2.12,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$-0.76B,0.00%,$0.00B,$-2.05B,0.00%,$0.00B,$2.93B,0.00%,$0.00B,$0.85B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$206,$3,$20,$778,$807,$111,$1292,$279,$2537,$2927,$1134,$1606,$695,$2552,$3686,$141,$1392,$0,$-759,$2927,$417,$127,$0,$127,$0,$0,$0,$0,$78,$752,$-37,$0,$-14,$0,$0,$12,$-177,$-216,$0,$109,$144,$0,$-10,$-1693,$-6,$-1456,$-981,$0,$0
4,2015-12-31,38.29,$0.00,0.0,0,0.0,0,0.0,0,0.0,$1.61B,$1.37B,1.17,$1.24B,$0.32B,3.88,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$0.32B,0.00%,$0.00B,$-0.91B,0.00%,$0.00B,$3.77B,0.00%,$0.00B,$1.56B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$1137,$3,$0,$1606,$953,$136,$1226,$324,$2688,$3769,$1369,$1239,$707,$2081,$3450,$169,$2653,$0,$319,$3769,$1224,$96,$0,$96,$0,$0,$0,$0,$11,$628,$1235,$0,$-462,$0,$0,$-22,$-162,$589,$0,$-355,$458,$0,$-47,$-188,$22,$-110,$1043,$0,$0
5,2015-06-30,39.7,$0.00,0.0,0,0.0,0,0.0,0,0.0,$1.14B,$1.41B,0.81,$1.39B,$-0.50B,-2.81,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$-0.50B,0.00%,$0.00B,$-1.61B,0.00%,$0.00B,$3.24B,0.00%,$0.00B,$0.90B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$205,$3,$306,$1142,$0,$128,$1117,$318,$1634,$3235,$1406,$1390,$791,$2324,$3730,$179,$1841,$0,$-495,$3235,$368,$49,$0,$49,$0,$0,$0,$0,$0,$227,$-27,$0,$0,$0,$0,$0,$-167,$-194,$0,$-208,$-208,$0,$0,$-125,$375,$42,$44,$0,$0
6,2014-12-31,38.78,$0.00,0.0,0,0.0,0,0.0,0,0.0,$0.62B,$0.94B,0.66,$1.57B,$-0.72B,-2.19,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$-0.72B,0.00%,$0.00B,$-1.36B,0.00%,$0.00B,$2.82B,0.00%,$0.00B,$0.85B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$164,$3,$5,$624,$1371,$116,$643,$607,$2824,$2818,$943,$1569,$876,$2592,$3535,$178,$1636,$0,$-717,$2818,$392,$96,$0,$96,$0,$0,$0,$0,$774,$543,$123,$0,$0,$0,$0,$0,$0,$123,$0,$0,$0,$0,$-110,$-943,$317,$-736,$-79,$0,$0
7,2014-06-30,43.25,$0.00,0.0,$2.44,17.76,$2.15,20.08,$0.48,90.99,$0.90B,$0.77B,1.16,$1.33B,$-0.09B,-14.94,$0.48B,$0.28B,57.23%,$0.48B,$0.14B,28.51%,$0.48B,$0.14B,28.51%,$0.48B,$0.16B,33.68%,$0.48B,$0.12B,25.21%,$0.48B,$0.10B,19.63%,$0.10B,$-0.09B,66.67%,$0.10B,$-0.68B,-25.69%,$0.10B,$3.05B,3.02%,$0.14B,$1.24B,9.83%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$313,$3,$48,$899,$0,$115,$593,$254,$1059,$3047,$773,$1330,$788,$2363,$3136,$194,$2294,$0,$-89,$3047,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
8,2013-12-31,34.32,$0.00,0.0,$4.60,7.45,$3.75,9.14,$1.28,26.89,$0.59B,$0.81B,0.72,$1.27B,$-0.07B,-17.15,$0.96B,$0.56B,58.73%,$0.96B,$0.30B,31.45%,$0.96B,$0.30B,31.45%,$0.96B,$0.35B,36.47%,$0.96B,$0.27B,28.42%,$0.96B,$0.27B,28.11%,$0.27B,$-0.07B,70.05%,$0.27B,$-0.59B,-292.39%,$0.27B,$2.95B,8.41%,$0.30B,$1.20B,20.54%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$135,$4,$12,$586,$0,$85,$518,$487,$1198,$2953,$814,$1269,$769,$2213,$3027,$189,$2334,$0,$-74,$2953,$374,$85,$0,$85,$0,$0,$0,$0,$60,$624,$301,$0,$-7,$0,$0,$0,$-119,$175,$0,$-1,$0,$0,$-322,$-534,$0,$-857,$-61,$0,$0
9,2013-06-30,26.75,$0.00,0.0,$6.91,3.87,$4.59,5.83,$1.87,14.28,$0.93B,$0.75B,1.23,$1.21B,$0.42B,2.9,$1.43B,$0.84B,58.63%,$1.43B,$0.47B,32.89%,$1.43B,$0.47B,32.89%,$1.43B,$0.54B,37.87%,$1.43B,$0.45B,31.56%,$1.43B,$0.39B,27.35%,$0.39B,$0.42B,67.30%,$0.39B,$-0.08B,313.25%,$0.39B,$3.33B,12.16%,$0.47B,$1.62B,31.46%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$401,$4,$0,$927,$0,$87,$491,$587,$1326,$3332,$754,$1206,$850,$2162,$2916,$172,$2819,$0,$416,$3332,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
