,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,367.06,$24.45,15.01,$21.87,16.78,$11.62,31.59,$4.61,79.62,$4.26B,$1.74B,2.46,$0.86B,$3.59B,0.24,$3.24B,$2.25B,69.44%,$3.24B,$0.92B,28.25%,$3.24B,$0.92B,28.25%,$3.24B,$1.12B,34.44%,$3.24B,$0.91B,28.03%,$3.24B,$0.68B,21.09%,$0.68B,$3.59B,21.43%,$0.68B,$2.57B,31.03%,$0.68B,$6.76B,11.69%,$0.92B,$4.45B,22.56%,$853,$256,$597,$159,$197,$612,$241,$-9,$232,$44,$188,$188,$199,$296,$241,$147,149,$1.35,$1.33,$3389,$374,$0,$4262,$1060,$0,$1026,$325,$2497,$6759,$1735,$860,$352,$1430,$3165,$2,$2872,$-2,$3594,$6759,$585,$155,$114,$269,$-24,$-40,$13,$-6,$-12,$842,$-231,$0,$-100,$-12,$-1122,$-1134,$0,$-1465,$735,$0,$735,$-58,$-58,$0,$71,$748,$121,$146,$0
1,2018-06-30,279.29,$22.80,12.25,$20.97,13.32,$9.86,28.31,$4.39,63.62,$3.34B,$1.22B,2.74,$0.72B,$3.35B,0.22,$3.10B,$2.14B,68.85%,$3.10B,$0.86B,27.58%,$3.10B,$0.86B,27.58%,$3.10B,$1.05B,33.86%,$3.10B,$0.85B,27.45%,$3.10B,$0.65B,20.88%,$0.65B,$3.35B,21.55%,$0.65B,$2.32B,31.82%,$0.65B,$5.85B,11.95%,$0.86B,$4.07B,21.64%,$830,$255,$575,$151,$197,$603,$227,$5,$232,$32,$200,$200,$209,$280,$227,$147,148,$1.42,$1.41,$2512,$362,$0,$3337,$1036,$0,$1036,$334,$2514,$5851,$1217,$723,$343,$1283,$2500,$2,$2673,$-1,$3351,$5851,$397,$100,$76,$176,$12,$-28,$1,$-19,$-17,$550,$-167,$0,$-100,$-9,$-249,$-258,$0,$-525,$0,$0,$0,$22,$22,$0,$75,$97,$119,$98,$0
2,2018-03-31,236.42,$20.90,11.31,$19.87,11.9,$8.60,27.5,$3.85,61.41,$3.19B,$1.18B,2.71,$0.71B,$3.07B,0.23,$2.94B,$2.00B,67.98%,$2.94B,$0.77B,26.29%,$2.94B,$0.77B,26.29%,$2.94B,$0.96B,32.70%,$2.94B,$0.76B,25.92%,$2.94B,$0.57B,19.31%,$0.57B,$3.07B,19.91%,$0.57B,$2.13B,29.92%,$0.57B,$5.54B,10.95%,$0.77B,$3.78B,19.75%,$782,$244,$538,$137,$183,$564,$218,$3,$221,$24,$197,$197,$208,$265,$218,$147,148,$1.42,$1.41,$2373,$350,$0,$3194,$983,$0,$943,$322,$2348,$5542,$1180,$710,$364,$1289,$2469,$2,$2464,$-1,$3073,$5542,$197,$47,$37,$84,$11,$-17,$2,$2,$-20,$255,$-90,$0,$0,$-3,$105,$102,$0,$12,$0,$0,$0,$21,$21,$0,$46,$67,$335,$48,$0
3,2017-12-31,218.49,$18.70,11.68,$18.65,11.71,$8.06,27.11,$4.96,44.05,$2.98B,$0.75B,4.0,$1.18B,$2.75B,0.43,$2.75B,$1.83B,66.35%,$2.75B,$0.61B,22.02%,$2.75B,$0.61B,22.02%,$2.75B,$0.79B,28.78%,$2.75B,$1.04B,37.90%,$2.75B,$0.73B,26.38%,$0.73B,$2.75B,26.72%,$0.73B,$1.80B,41.35%,$0.73B,$5.26B,14.70%,$0.61B,$3.93B,15.68%,$778,$236,$542,$137,$175,$548,$230,$-6,$224,$166,$58,$58,$68,$276,$230,$146,148,$0.47,$0.46,$2145,$333,$0,$2980,$931,$0,$946,$312,$2277,$5257,$746,$1182,$360,$1762,$2508,$2,$2256,$-1,$2749,$5257,$678,$186,$-185,$1,$-26,$-33,$10,$163,$195,$875,$-310,$-2,$278,$-29,$-99,$-128,$-52,$-214,$5,$0,$5,$-180,$-180,$0,$-1,$-176,$490,$164,$0
4,2017-09-30,199.2,$19.55,10.19,$17.58,11.33,$7.75,25.71,$5.34,37.3,$2.81B,$0.67B,4.22,$1.18B,$2.86B,0.41,$2.59B,$1.70B,65.68%,$2.59B,$0.52B,20.02%,$2.59B,$0.52B,20.02%,$2.59B,$0.71B,27.19%,$2.59B,$0.95B,36.75%,$2.59B,$0.78B,30.16%,$0.78B,$2.86B,30.10%,$0.78B,$1.90B,48.34%,$0.78B,$5.05B,16.65%,$0.52B,$4.04B,13.98%,$714,$232,$482,$134,$167,$533,$181,$-6,$175,$23,$152,$152,$163,$230,$181,$146,148,$1.12,$1.11,$2041,$327,$0,$2805,$862,$0,$956,$306,$2241,$5046,$665,$1180,$222,$1526,$2191,$2,$2188,$0,$2855,$5046,$621,$140,$-254,$-114,$1,$-27,$12,$34,$76,$581,$-234,$-2,$278,$-25,$136,$111,$-52,$101,$2,$0,$2,$-113,$-113,$0,$44,$-67,$619,$123,$0
5,2017-06-30,173.52,$18.60,9.33,$16.86,10.29,$7.70,22.55,$5.10,34.02,$2.64B,$0.68B,3.88,$1.17B,$2.72B,0.43,$2.49B,$1.65B,66.25%,$2.49B,$0.50B,20.07%,$2.49B,$0.50B,20.07%,$2.49B,$0.68B,27.31%,$2.49B,$0.93B,37.49%,$2.49B,$0.75B,30.09%,$0.75B,$2.72B,30.36%,$0.75B,$1.75B,51.06%,$0.75B,$4.86B,16.65%,$0.50B,$3.88B,14.08%,$662,$228,$434,$130,$161,$519,$143,$-2,$141,$21,$120,$120,$128,$189,$143,$146,147,$0.87,$0.87,$1893,$309,$0,$2643,$837,$0,$967,$308,$2215,$4858,$682,$1169,$212,$1461,$2143,$2,$2025,$0,$2715,$4858,$468,$91,$-275,$-184,$14,$-9,$0,$21,$67,$346,$-152,$0,$278,$-25,$149,$124,$-52,$198,$5,$0,$5,$-70,$-70,$0,$3,$-62,$484,$89,$0
6,2017-03-31,170.64,$17.47,9.77,$16.41,10.4,$7.86,21.7,$5.05,33.79,$2.52B,$0.72B,3.49,$1.06B,$2.55B,0.41,$2.42B,$1.64B,67.53%,$2.42B,$0.52B,21.37%,$2.42B,$0.52B,21.37%,$2.42B,$0.69B,28.59%,$2.42B,$0.95B,39.11%,$2.42B,$0.74B,30.53%,$0.74B,$2.55B,31.89%,$0.74B,$1.57B,56.85%,$0.74B,$4.60B,17.32%,$0.52B,$3.61B,15.39%,$598,$230,$368,$145,$171,$546,$52,$451,$503,$155,$348,$348,$367,$97,$52,$146,147,$2.50,$2.48,$1778,$299,$0,$2517,$734,$0,$978,$286,$2081,$4598,$721,$1055,$212,$1326,$2047,$2,$1897,$-1,$2551,$4598,$348,$45,$-294,$-249,$16,$1,$-3,$5,$71,$168,$-83,$0,$278,$-7,$27,$20,$-52,$163,$0,$0,$0,$-79,$-79,$0,$-7,$-86,$246,$50,$0
7,2016-12-31,128.04,$15.55,8.24,$16.20,7.9,$7.59,16.86,$3.13,40.91,$2.32B,$0.71B,3.29,$1.06B,$2.27B,0.47,$2.40B,$1.67B,69.47%,$2.40B,$0.59B,24.48%,$2.40B,$0.59B,24.48%,$2.40B,$0.76B,31.61%,$2.40B,$0.56B,23.39%,$2.40B,$0.46B,19.31%,$0.46B,$2.27B,21.04%,$0.46B,$1.25B,39.75%,$0.46B,$4.28B,11.37%,$0.59B,$3.33B,18.13%,$619,$200,$419,$129,$147,$476,$143,$-9,$134,$27,$107,$107,$124,$189,$143,$147,148,$0.77,$0.78,$1559,$300,$0,$2318,$713,$0,$1019,$108,$1963,$4281,$705,$1056,$206,$1306,$2011,$2,$1485,$-1,$2270,$4281,$428,$171,$223,$394,$3,$-30,$-2,$-3,$-56,$779,$-260,$-11,$-18,$-14,$-212,$-226,$0,$-515,$5,$0,$5,$-195,$-195,$0,$-106,$-296,$-34,$129,$0
8,2016-09-30,181.66,$15.79,11.5,$15.99,11.36,$8.40,21.62,$2.99,60.76,$2.28B,$0.63B,3.62,$1.04B,$2.32B,0.45,$2.37B,$1.66B,69.89%,$2.37B,$0.59B,24.80%,$2.37B,$0.59B,24.80%,$2.37B,$0.76B,31.89%,$2.37B,$0.56B,23.70%,$2.37B,$0.44B,18.73%,$0.44B,$2.32B,21.19%,$0.44B,$1.29B,41.99%,$0.44B,$4.23B,11.32%,$0.59B,$3.36B,18.83%,$607,$181,$426,$126,$139,$446,$161,$-7,$154,$37,$117,$117,$129,$204,$161,$147,148,$0.88,$0.87,$1536,$312,$0,$2278,$634,$0,$1032,$102,$1950,$4228,$629,$1041,$204,$1279,$1908,$2,$1362,$1,$2320,$4228,$321,$125,$160,$285,$5,$-42,$-7,$12,$-89,$517,$-178,$-11,$-18,$-9,$-125,$-134,$0,$-341,$5,$0,$5,$-60,$-60,$0,$-96,$-151,$26,$102,$0
9,2016-06-30,140.38,$14.60,9.62,$15.57,9.02,$8.20,17.13,$2.91,48.24,$2.14B,$0.58B,3.69,$1.03B,$2.14B,0.48,$2.31B,$1.62B,69.97%,$2.31B,$0.57B,24.55%,$2.31B,$0.57B,24.55%,$2.31B,$0.74B,31.76%,$2.31B,$0.54B,23.21%,$2.31B,$0.43B,18.71%,$0.43B,$2.14B,21.66%,$0.43B,$1.10B,45.15%,$0.43B,$3.99B,11.39%,$0.57B,$3.17B,18.82%,$600,$176,$424,$125,$148,$438,$162,$-5,$157,$41,$116,$116,$120,$203,$162,$147,148,$0.83,$0.82,$1425,$311,$0,$2143,$511,$0,$1044,$100,$1842,$3985,$582,$1031,$199,$1264,$1845,$2,$1233,$2,$2140,$3985,$204,$82,$95,$177,$13,$-41,$8,$8,$-43,$341,$-121,$0,$-18,$-6,$145,$139,$0,$0,$2,$0,$2,$-68,$-68,$0,$-94,$-160,$183,$67,$0
