,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,3.45,$2.17,1.59,$0.05,66.22,$-3.56,0.0,$-0.86,0.0,$0.11B,$0.01B,13.11,$0.00B,$0.10B,0.0,$0.00B,$0.00B,50.00%,$0.00B,$-0.06B,-2750.00%,$0.00B,$-0.06B,-2750.00%,$0.00B,$-0.06B,-2750.00%,$0.00B,$-0.05B,-2650.00%,$0.00B,$-0.05B,-2650.00%,$-0.05B,$0.10B,-43.35%,$-0.05B,$0.10B,-43.35%,$-0.05B,$0.11B,-40.23%,$-0.06B,$0.10B,-44.99%,$0,$0,$0,$11,$4,$15,$-15,$1,$-14,$0,$-14,$-14,$-14,$-15,$-15,$48,48,$-0.29,$-0.29,$107,$1,$0,$112,$0,$0,$0,$0,$1,$113,$9,$0,$0,$0,$9,$0,$-277,$-0,$104,$113,$-41,$-0,$6,$6,$-0,$-1,$0,$2,$-5,$-40,$-0,$0,$0,$30,$0,$30,$0,$30,$0,$0,$0,$0,$0,$0,$0,$0,$-10,$6,$0
1,2018-06-30,4.55,$2.42,1.88,$0.06,72.63,$-4.18,0.0,$-1.38,0.0,$0.12B,$0.01B,15.69,$0.00B,$0.12B,0.0,$0.00B,$0.00B,66.67%,$0.00B,$-0.05B,-1800.00%,$0.00B,$-0.05B,-1800.00%,$0.00B,$-0.05B,-1800.00%,$0.00B,$-0.05B,-1733.33%,$0.00B,$-0.05B,-1733.33%,$-0.05B,$0.12B,-46.43%,$-0.05B,$0.12B,-46.43%,$-0.05B,$0.13B,-42.28%,$-0.05B,$0.12B,-48.21%,$1,$0,$1,$11,$4,$15,$-14,$1,$-14,$0,$-14,$-14,$-14,$-14,$-14,$48,48,$-0.29,$-0.29,$120,$1,$0,$124,$1,$0,$0,$0,$1,$125,$8,$0,$0,$0,$8,$0,$-263,$-0,$117,$125,$-27,$-0,$4,$4,$-0,$-0,$1,$3,$-4,$-27,$-0,$0,$0,$22,$0,$22,$0,$22,$0,$0,$0,$0,$0,$0,$0,$0,$-5,$4,$0
2,2018-03-31,3.3,$2.68,1.23,$0.08,43.72,$-4.39,0.0,$-1.63,0.0,$0.14B,$0.01B,21.18,$0.00B,$0.13B,0.0,$0.00B,$0.00B,66.67%,$0.00B,$-0.05B,-1800.00%,$0.00B,$-0.05B,-1800.00%,$0.00B,$-0.05B,-1800.00%,$0.00B,$-0.05B,-1733.33%,$0.00B,$-0.05B,-1733.33%,$-0.05B,$0.13B,-51.36%,$-0.05B,$0.13B,-51.36%,$-0.05B,$0.14B,-45.41%,$-0.05B,$0.13B,-53.33%,$1,$0,$0,$10,$4,$14,$-14,$1,$-13,$0,$-13,$-13,$-13,$-14,$-14,$48,48,$-0.28,$-0.28,$131,$1,$0,$135,$1,$0,$0,$0,$1,$135,$6,$0,$0,$0,$6,$0,$-249,$-0,$129,$135,$-13,$-0,$3,$3,$0,$0,$0,$2,$-6,$-16,$-0,$0,$0,$10,$0,$10,$0,$10,$0,$0,$0,$0,$0,$0,$0,$0,$-6,$3,$0
3,2017-12-31,3.9,$2.90,1.35,$0.28,13.95,$-4.50,0.0,$-1.85,0.0,$0.15B,$0.02B,10.55,$0.00B,$0.14B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.05B,-757.14%,$0.01B,$-0.05B,-757.14%,$0.01B,$-0.05B,-757.14%,$0.01B,$-0.05B,-742.86%,$0.01B,$-0.05B,-742.86%,$-0.05B,$0.14B,-57.62%,$-0.05B,$0.14B,-57.62%,$-0.05B,$0.15B,-49.17%,$-0.05B,$0.14B,-58.73%,$0,$0,$0,$9,$4,$13,$-12,$0,$-12,$0,$-12,$-12,$-12,$-12,$-12,$30,30,$-0.19,$-0.19,$147,$1,$0,$153,$0,$0,$0,$0,$1,$154,$15,$0,$0,$0,$15,$0,$-236,$-0,$139,$154,$-52,$0,$9,$9,$-0,$-0,$-2,$-8,$-10,$-53,$-0,$0,$0,$-7,$0,$-7,$0,$-7,$0,$0,$0,$87,$87,$0,$0,$87,$27,$9,$0
4,2017-09-30,10.35,$2.44,4.24,$0.36,28.88,$-4.35,0.0,$-2.13,0.0,$0.08B,$0.02B,5.0,$0.00B,$0.06B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.06B,-622.22%,$0.01B,$-0.06B,-622.22%,$0.01B,$-0.06B,-611.11%,$0.01B,$-0.05B,-600.00%,$0.01B,$-0.05B,-600.00%,$-0.05B,$0.06B,-68.14%,$-0.05B,$0.06B,-68.14%,$-0.05B,$0.08B,-56.40%,$-0.06B,$0.06B,-70.66%,$1,$0,$1,$10,$4,$14,$-14,$0,$-13,$0,$-13,$-13,$-13,$-14,$-14,$26,26,$-0.52,$-0.52,$70,$1,$0,$77,$1,$0,$0,$1,$1,$78,$15,$0,$0,$0,$15,$0,$-224,$-0,$63,$78,$-40,$0,$7,$7,$-0,$-0,$-2,$-3,$-4,$-37,$-0,$0,$0,$26,$0,$26,$0,$26,$0,$0,$0,$1,$1,$0,$0,$1,$-11,$7,$0
5,2017-06-30,9.75,$2.87,3.39,$0.73,13.31,$-4.40,0.0,$-2.21,0.0,$0.09B,$0.02B,5.21,$0.00B,$0.07B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$-0.06B,-343.75%,$0.02B,$-0.06B,-343.75%,$0.02B,$-0.05B,-337.50%,$0.02B,$-0.05B,-331.25%,$0.02B,$-0.05B,-331.25%,$-0.05B,$0.07B,-58.73%,$-0.05B,$0.07B,-58.73%,$-0.05B,$0.09B,-49.19%,$-0.06B,$0.07B,-60.94%,$1,$0,$1,$11,$4,$15,$-14,$0,$-14,$0,$-14,$-14,$-14,$-14,$-14,$26,26,$-0.54,$-0.54,$87,$1,$0,$90,$1,$0,$0,$1,$1,$91,$17,$0,$0,$0,$17,$0,$-210,$-0,$74,$91,$-26,$0,$4,$5,$0,$-0,$-0,$1,$2,$-20,$-0,$0,$0,$16,$0,$16,$0,$16,$0,$0,$0,$0,$0,$0,$0,$0,$-4,$4,$0
6,2017-03-31,6.8,$3.33,2.04,$0.76,8.94,$-4.63,0.0,$-2.38,0.0,$0.10B,$0.02B,6.72,$0.00B,$0.09B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$-0.06B,-343.75%,$0.02B,$-0.06B,-343.75%,$0.02B,$-0.05B,-337.50%,$0.02B,$-0.05B,-331.25%,$0.02B,$-0.05B,-331.25%,$-0.05B,$0.09B,-56.68%,$-0.05B,$0.09B,-56.68%,$-0.05B,$0.10B,-48.40%,$-0.06B,$0.09B,-58.82%,$5,$0,$5,$14,$4,$18,$-13,$0,$-13,$0,$-13,$-13,$-13,$-13,$-13,$25,25,$-0.50,$-0.50,$96,$1,$0,$99,$1,$0,$0,$0,$1,$100,$15,$0,$0,$0,$15,$0,$-197,$-0,$85,$100,$-13,$0,$2,$2,$-0,$0,$-1,$1,$-1,$-11,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$-11,$2,$0
7,2016-12-31,5.5,$3.75,1.47,$0.64,8.62,$-4.79,0.0,$-2.49,0.0,$0.11B,$0.02B,5.92,$0.00B,$0.10B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.06B,-423.08%,$0.01B,$-0.06B,-423.08%,$0.01B,$-0.05B,-415.38%,$0.01B,$-0.05B,-400.00%,$0.01B,$-0.05B,-400.00%,$-0.05B,$0.10B,-53.61%,$-0.05B,$0.10B,-53.61%,$-0.05B,$0.11B,-46.95%,$-0.06B,$0.10B,-56.70%,$2,$0,$2,$12,$4,$17,$-15,$0,$-14,$0,$-14,$-14,$-14,$-14,$-15,$22,22,$-0.55,$-0.55,$107,$1,$0,$114,$0,$0,$0,$0,$0,$114,$19,$0,$0,$0,$19,$0,$-184,$-0,$95,$114,$-54,$0,$9,$10,$0,$-1,$1,$-1,$8,$-36,$-0,$0,$0,$-62,$0,$-62,$0,$-62,$0,$0,$0,$30,$30,$0,$0,$30,$-68,$9,$0
8,2016-09-30,7.58,$4.22,1.8,$0.60,12.58,$-5.13,0.0,$-2.52,0.0,$0.13B,$0.02B,7.33,$0.00B,$0.11B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.05B,-433.33%,$0.01B,$-0.05B,-433.33%,$0.01B,$-0.05B,-433.33%,$0.01B,$-0.05B,-416.67%,$0.01B,$-0.05B,-416.67%,$-0.05B,$0.11B,-49.75%,$-0.05B,$0.11B,-49.75%,$-0.05B,$0.13B,-44.94%,$-0.05B,$0.11B,-51.74%,$8,$0,$8,$11,$10,$21,$-13,$0,$-12,$0,$-12,$-12,$-12,$-13,$-13,$21,21,$-0.60,$-0.60,$112,$1,$0,$125,$0,$0,$0,$0,$0,$126,$17,$0,$1,$1,$18,$0,$-169,$0,$107,$126,$-39,$0,$7,$7,$-7,$-1,$1,$-0,$1,$-31,$-0,$0,$0,$-42,$0,$-42,$0,$-42,$0,$0,$0,$31,$31,$0,$0,$31,$-42,$7,$0
9,2016-06-30,8.16,$4.32,1.89,$0.44,18.58,$-5.13,0.0,$-2.29,0.0,$0.10B,$0.01B,9.12,$0.00B,$0.09B,0.0,$0.01B,$0.01B,88.89%,$0.01B,$-0.05B,-511.11%,$0.01B,$-0.05B,-511.11%,$0.01B,$-0.05B,-511.11%,$0.01B,$-0.05B,-500.00%,$0.01B,$-0.05B,-500.00%,$-0.05B,$0.09B,-43.48%,$-0.05B,$0.09B,-43.48%,$-0.05B,$0.10B,-40.45%,$-0.05B,$0.09B,-44.44%,$1,$0,$1,$11,$4,$16,$-14,$0,$-14,$0,$-14,$-14,$-14,$-14,$-14,$20,20,$-0.71,$-0.71,$93,$1,$0,$97,$0,$0,$0,$0,$0,$98,$11,$0,$0,$0,$11,$0,$-157,$0,$87,$98,$-27,$0,$5,$5,$1,$-1,$0,$-2,$2,$-20,$-0,$0,$0,$-42,$0,$-42,$0,$-42,$0,$0,$0,$0,$0,$0,$0,$0,$-62,$5,$0
