,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,69.08,$8.47,8.15,$8.48,8.14,$0.13,547.82,$-0.52,0.0,$1.70B,$0.42B,4.03,$0.02B,$1.80B,0.01,$1.80B,$1.71B,94.99%,$1.80B,$-0.09B,-4.78%,$1.80B,$-0.09B,-4.78%,$1.80B,$-0.03B,-1.78%,$1.80B,$-0.10B,-5.73%,$1.80B,$-0.11B,-6.12%,$-0.11B,$1.80B,-6.48%,$-0.11B,$1.43B,-8.37%,$-0.11B,$2.52B,-4.62%,$-0.09B,$1.82B,-5.01%,$450,$25,$425,$293,$97,$419,$31,$-0,$31,$2,$29,$29,$29,$45,$31,$213,216,$0.14,$0.14,$1375,$6,$0,$1700,$301,$121,$376,$16,$820,$2520,$422,$17,$277,$295,$717,$0,$-1947,$-10,$1803,$2520,$40,$41,$152,$192,$19,$3,$28,$-21,$20,$252,$-48,$0,$0,$7,$-9,$-2,$0,$-50,$0,$0,$0,$20,$20,$0,$-10,$11,$213,$111,$0
1,2018-06-30,67.0,$8.16,8.21,$8.20,8.17,$-1.24,0.0,$-0.49,0.0,$1.60B,$0.37B,4.34,$0.02B,$1.73B,0.01,$1.73B,$1.64B,94.91%,$1.73B,$-0.10B,-5.90%,$1.73B,$-0.10B,-5.90%,$1.73B,$-0.05B,-2.89%,$1.73B,$-0.09B,-5.26%,$1.73B,$-0.10B,-5.95%,$-0.10B,$1.73B,-6.10%,$-0.10B,$1.35B,-7.94%,$-0.10B,$2.40B,-4.39%,$-0.10B,$1.75B,-5.98%,$522,$25,$497,$298,$108,$438,$83,$-29,$54,$2,$52,$52,$52,$97,$83,$212,215,$0.25,$0.24,$1198,$6,$0,$1598,$268,$131,$382,$12,$799,$2397,$368,$17,$279,$296,$664,$0,$-1976,$-10,$1733,$2397,$11,$27,$99,$126,$-50,$2,$8,$-24,$-84,$53,$-23,$0,$0,$-0,$-9,$-9,$0,$-32,$0,$0,$0,$18,$18,$0,$-10,$8,$29,$73,$0
2,2018-03-31,83.33,$7.68,10.85,$7.36,11.32,$-1.91,0.0,$-0.79,0.0,$1.47B,$0.38B,3.86,$0.02B,$1.63B,0.01,$1.53B,$1.45B,94.59%,$1.53B,$-0.18B,-11.60%,$1.53B,$-0.18B,-11.60%,$1.53B,$-0.13B,-8.28%,$1.53B,$-0.15B,-10.04%,$1.53B,$-0.17B,-10.89%,$-0.17B,$1.63B,-11.05%,$-0.17B,$1.24B,-14.97%,$-0.17B,$2.31B,-7.75%,$-0.18B,$1.65B,-11.63%,$382,$18,$364,$303,$121,$449,$-67,$27,$-40,$1,$-41,$-41,$-41,$-54,$-67,$212,212,$-0.19,$-0.19,$1171,$5,$0,$1470,$265,$166,$387,$11,$836,$2306,$381,$17,$280,$297,$678,$0,$-2028,$-10,$1628,$2306,$-41,$13,$20,$34,$46,$2,$6,$-19,$28,$21,$-13,$0,$0,$-7,$-9,$-16,$0,$-29,$0,$0,$0,$3,$3,$0,$0,$3,$-5,$36,$0
3,2017-12-31,94.71,$7.72,12.27,$7.52,12.59,$-2.94,0.0,$-1.56,0.0,$1.51B,$0.38B,4.01,$0.02B,$1.63B,0.01,$1.54B,$1.46B,94.79%,$1.54B,$-0.24B,-15.89%,$1.54B,$-0.24B,-15.89%,$1.54B,$-0.19B,-12.43%,$1.54B,$-0.31B,-20.31%,$1.54B,$-0.31B,-20.38%,$-0.31B,$1.63B,-23.26%,$-0.31B,$1.24B,-33.13%,$-0.31B,$2.30B,-15.80%,$-0.24B,$1.65B,-17.79%,$444,$22,$422,$447,$98,$577,$-133,$-16,$-148,$1,$-150,$-150,$-150,$-120,$-133,$205,205,$-0.68,$-0.68,$1170,$6,$0,$1505,$260,$134,$392,$3,$798,$2303,$375,$17,$280,$297,$672,$0,$-1990,$-7,$1631,$2303,$-313,$52,$232,$284,$-118,$5,$-8,$-31,$-64,$-93,$-111,$0,$0,$-115,$-124,$-239,$0,$-350,$0,$0,$0,$716,$716,$0,$-26,$690,$247,$133,$0
4,2017-09-30,116.74,$8.33,14.01,$7.03,16.59,$-1.00,0.0,$-0.80,0.0,$1.54B,$0.32B,4.82,$0.02B,$1.76B,0.01,$1.42B,$1.34B,94.57%,$1.42B,$-0.07B,-4.87%,$1.42B,$-0.07B,-4.87%,$1.42B,$-0.01B,-0.78%,$1.42B,$-0.16B,-10.93%,$1.42B,$-0.15B,-10.86%,$-0.15B,$1.76B,-14.77%,$-0.15B,$1.36B,-24.19%,$-0.15B,$2.37B,-8.49%,$-0.07B,$1.78B,-5.62%,$382,$22,$359,$270,$91,$367,$15,$28,$43,$7,$36,$36,$36,$27,$15,$207,213,$0.17,$0.17,$1281,$3,$0,$1541,$247,$169,$398,$8,$833,$2374,$320,$24,$273,$297,$617,$0,$-1840,$13,$1758,$2374,$-164,$39,$167,$206,$-50,$5,$-6,$-32,$-46,$-4,$-86,$0,$0,$3,$-124,$-121,$0,$-207,$0,$0,$0,$708,$708,$0,$-21,$686,$476,$99,$0
5,2017-06-30,125.91,$4.99,25.21,$6.63,19.0,$-0.03,0.0,$-0.78,0.0,$0.85B,$0.29B,2.88,$0.02B,$1.03B,0.02,$1.31B,$1.23B,94.33%,$1.31B,$-0.06B,-4.75%,$1.31B,$-0.06B,-4.75%,$1.31B,$0.00B,0.08%,$1.31B,$-0.16B,-12.26%,$1.31B,$-0.15B,-11.72%,$-0.15B,$1.03B,-22.00%,$-0.15B,$0.62B,-53.87%,$-0.15B,$1.64B,-9.52%,$-0.06B,$1.05B,-5.99%,$326,$20,$306,$202,$90,$319,$7,$-17,$-9,$3,$-12,$-12,$-12,$20,$7,$205,205,$-0.06,$-0.06,$609,$3,$0,$845,$219,$144,$403,$16,$795,$1639,$293,$23,$296,$319,$613,$0,$-1876,$11,$1027,$1639,$-200,$27,$159,$187,$-21,$4,$-7,$-33,$-44,$-57,$-51,$0,$0,$-1,$-124,$-125,$0,$-176,$0,$0,$0,$49,$49,$0,$-17,$32,$-201,$64,$0
6,2017-03-31,133.67,$4.72,28.31,$6.31,21.18,$0.64,208.6,$-0.54,0.0,$0.82B,$0.31B,2.69,$0.04B,$0.97B,0.04,$1.23B,$1.16B,94.61%,$1.23B,$-0.02B,-1.96%,$1.23B,$-0.02B,-1.96%,$1.23B,$0.04B,3.10%,$1.23B,$-0.12B,-9.47%,$1.23B,$-0.11B,-8.73%,$-0.11B,$0.97B,-20.86%,$-0.11B,$0.56B,-111.46%,$-0.11B,$1.61B,-6.89%,$-0.02B,$1.01B,-2.39%,$384,$15,$369,$408,$87,$517,$-133,$-65,$-198,$-11,$-187,$-187,$-187,$-118,$-133,$195,195,$-0.96,$-0.96,$512,$4,$0,$819,$193,$158,$409,$13,$788,$1607,$305,$42,$295,$337,$641,$0,$-1864,$5,$966,$1607,$-187,$15,$98,$113,$-96,$1,$11,$-25,$-100,$-174,$-21,$0,$0,$6,$-124,$-118,$0,$-139,$0,$0,$0,$34,$34,$0,$-12,$22,$-291,$31,$0
7,2016-12-31,100.27,$2.22,45.14,$5.71,17.55,$2.11,47.41,$0.54,185.69,$0.99B,$0.27B,3.64,$0.65B,$0.42B,1.55,$1.10B,$1.05B,94.84%,$1.10B,$0.15B,13.13%,$1.10B,$0.15B,13.13%,$1.10B,$0.20B,18.39%,$1.10B,$0.11B,9.60%,$1.10B,$0.10B,9.42%,$0.10B,$0.42B,31.66%,$0.10B,$0.01B,756.36%,$0.10B,$1.64B,7.29%,$0.15B,$1.07B,14.98%,$326,$20,$307,$162,$96,$284,$42,$-33,$9,$1,$9,$9,$9,$60,$42,$188,194,$0.04,$0.05,$809,$4,$0,$994,$168,$32,$414,$16,$644,$1639,$274,$651,$294,$946,$1219,$0,$-1675,$-3,$419,$1639,$104,$58,$117,$176,$-24,$4,$44,$-26,$25,$305,$-120,$0,$-143,$31,$0,$31,$0,$-232,$0,$0,$0,$50,$50,$0,$9,$59,$131,$96,$0
8,2016-09-30,94.29,$1.97,47.98,$5.33,17.68,$1.50,62.73,$0.78,120.88,$0.89B,$0.24B,3.69,$0.64B,$0.37B,1.74,$1.02B,$0.97B,95.30%,$1.02B,$0.17B,16.44%,$1.02B,$0.17B,16.44%,$1.02B,$0.22B,21.43%,$1.02B,$0.15B,14.97%,$1.02B,$0.15B,14.68%,$0.15B,$0.37B,56.29%,$0.15B,$-0.05B,271.49%,$0.15B,$1.54B,11.83%,$0.17B,$1.01B,18.71%,$269,$20,$249,$143,$76,$247,$22,$16,$38,$1,$37,$37,$37,$39,$22,$188,194,$0.20,$0.19,$717,$4,$0,$887,$152,$56,$420,$15,$658,$1544,$241,$643,$290,$934,$1174,$0,$-1684,$0,$370,$1544,$95,$41,$59,$100,$-7,$4,$26,$-23,$15,$210,$-104,$0,$-143,$51,$0,$51,$0,$-196,$0,$0,$0,$32,$32,$0,$12,$45,$59,$69,$0
9,2016-06-30,79.98,$1.58,50.58,$4.98,16.06,$0.94,84.78,$0.37,216.16,$0.79B,$0.20B,3.98,$0.64B,$0.30B,2.14,$0.94B,$0.91B,96.17%,$0.94B,$0.15B,15.52%,$0.94B,$0.15B,15.52%,$0.94B,$0.19B,20.30%,$0.94B,$0.08B,7.97%,$0.94B,$0.07B,7.76%,$0.07B,$0.30B,37.20%,$0.07B,$-0.13B,81.11%,$0.07B,$1.42B,6.55%,$0.15B,$0.93B,17.74%,$246,$12,$234,$120,$67,$202,$45,$-9,$35,$1,$34,$34,$34,$57,$45,$188,193,$0.18,$0.18,$629,$6,$0,$792,$139,$31,$425,$15,$626,$1418,$199,$635,$286,$922,$1121,$0,$-1721,$1,$297,$1418,$58,$24,$48,$72,$-3,$2,$9,$-14,$-16,$115,$-88,$0,$-145,$46,$0,$46,$0,$-187,$0,$0,$0,$24,$24,$0,$14,$38,$-34,$42,$0
