,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,27.68,$26.59,1.04,$568.83,0.05,$-10.49,0.0,$-1.42,0.0,$4.33B,$3.28B,1.32,$0.71B,$1.78B,0.4,$38.63B,$0.99B,2.55%,$38.63B,$0.08B,0.20%,$38.63B,$0.08B,0.20%,$38.63B,$0.25B,0.65%,$38.63B,$0.01B,0.02%,$38.63B,$-0.10B,-0.25%,$-0.10B,$1.78B,-5.38%,$-0.10B,$0.44B,-22.42%,$-0.10B,$6.01B,-1.66%,$0.08B,$2.49B,3.10%,$10430,$10163,$267,$0,$189,$10351,$78,$-16,$62,$23,$39,$39,$38,$99,$78,$68,68,$0.57,$0.56,$142,$679,$321,$4328,$339,$0,$1341,$0,$1680,$6008,$3283,$707,$237,$943,$4227,$1,$1580,$-157,$1781,$6008,$99,$59,$18,$77,$-776,$-177,$554,$-87,$-492,$-316,$-45,$0,$-21,$0,$0,$0,$365,$299,$-178,$0,$-178,$-20,$-20,$-12,$-2,$-212,$-230,$8,$-12
1,2018-06-30,20.41,$26.18,0.78,$540.04,0.04,$-8.52,0.0,$-2.55,0.0,$4.08B,$3.01B,1.35,$0.73B,$1.78B,0.41,$36.75B,$0.96B,2.61%,$36.75B,$0.06B,0.17%,$36.75B,$0.06B,0.17%,$36.75B,$0.24B,0.64%,$36.75B,$-0.01B,-0.03%,$36.75B,$-0.17B,-0.47%,$-0.17B,$1.78B,-9.53%,$-0.17B,$0.43B,-37.70%,$-0.17B,$5.76B,-3.05%,$0.06B,$2.51B,2.30%,$10151,$9905,$246,$0,$185,$10090,$61,$-20,$42,$12,$29,$29,$29,$81,$61,$68,68,$0.42,$0.42,$188,$559,$318,$4077,$335,$0,$1345,$0,$1680,$5757,$3014,$732,$237,$968,$3982,$1,$1546,$-146,$1775,$5757,$61,$38,$7,$46,$-500,$-57,$301,$-55,$-335,$-229,$-29,$0,$-21,$0,$0,$0,$250,$200,$-145,$0,$-145,$0,$0,$-8,$-2,$-155,$-185,$6,$-8
2,2018-03-31,24.48,$26.16,0.94,$508.46,0.05,$-5.20,0.0,$-2.53,0.0,$3.77B,$2.67B,1.41,$0.80B,$1.77B,0.45,$34.68B,$0.94B,2.72%,$34.68B,$0.05B,0.15%,$34.68B,$0.05B,0.15%,$34.68B,$0.23B,0.65%,$34.68B,$-0.02B,-0.05%,$34.68B,$-0.17B,-0.49%,$-0.17B,$1.77B,-9.19%,$-0.17B,$0.41B,-33.86%,$-0.17B,$5.47B,-3.10%,$0.05B,$2.57B,1.84%,$9181,$8938,$243,$0,$186,$9124,$57,$-19,$39,$7,$31,$31,$31,$76,$57,$68,68,$0.46,$0.46,$153,$590,$303,$3771,$335,$0,$1366,$0,$1702,$5472,$2670,$801,$230,$1031,$3701,$1,$1522,$-126,$1771,$5472,$31,$19,$2,$21,$-71,$-85,$-51,$-44,$-281,$-229,$-15,$0,$-22,$0,$0,$0,$124,$86,$-76,$0,$-76,$0,$0,$-4,$-1,$-81,$-219,$4,$-4
3,2017-12-31,27.99,$25.67,1.09,$491.66,0.06,$-0.82,0.0,$-2.54,0.0,$3.94B,$2.72B,1.45,$0.89B,$1.74B,0.51,$33.70B,$0.93B,2.77%,$33.70B,$0.05B,0.13%,$33.70B,$0.05B,0.13%,$33.70B,$0.22B,0.66%,$33.70B,$-0.02B,-0.06%,$33.70B,$-0.17B,-0.51%,$-0.17B,$1.74B,-8.95%,$-0.17B,$0.42B,-30.62%,$-0.17B,$5.59B,-3.13%,$0.05B,$2.62B,1.53%,$8872,$8642,$230,$0,$196,$8989,$-117,$-19,$-137,$57,$-194,$-194,$-193,$-4,$-117,$68,68,$-2.83,$-2.82,$372,$505,$293,$3940,$330,$0,$1318,$0,$1647,$5588,$2719,$885,$247,$1131,$3850,$1,$1493,$-127,$1738,$5588,$-170,$178,$68,$246,$-367,$-44,$451,$-77,$129,$205,$-54,$0,$-121,$0,$0,$0,$-5,$-180,$-277,$0,$-277,$-62,$-62,$-16,$-6,$-362,$-326,$21,$-16
4,2017-09-30,33.6,$28.59,1.18,$473.02,0.07,$-0.62,0.0,$0.35,96.01,$4.03B,$2.47B,1.63,$1.13B,$1.94B,0.58,$32.62B,$0.92B,2.83%,$32.62B,$0.19B,0.57%,$32.62B,$0.19B,0.57%,$32.62B,$0.28B,0.84%,$32.62B,$0.12B,0.36%,$32.62B,$0.02B,0.07%,$0.02B,$1.94B,1.22%,$0.02B,$0.57B,3.86%,$0.02B,$5.72B,0.44%,$0.19B,$3.06B,6.07%,$8543,$8303,$240,$0,$179,$8482,$61,$-17,$45,$83,$-38,$-38,$-39,$82,$61,$68,68,$-0.57,$-0.57,$546,$523,$318,$4025,$332,$0,$1366,$0,$1698,$5723,$2466,$1128,$193,$1321,$3787,$1,$1694,$-125,$1936,$5723,$23,$64,$83,$147,$-493,$-70,$254,$-54,$-362,$-191,$-38,$0,$-95,$0,$0,$0,$236,$103,$8,$0,$8,$-62,$-62,$-12,$-6,$-73,$-153,$15,$-12
5,2017-06-30,38.1,$29.07,1.31,$454.23,0.08,$5.49,6.94,$1.53,24.9,$3.59B,$2.13B,1.69,$1.05B,$1.99B,0.53,$31.47B,$0.92B,2.93%,$31.47B,$0.18B,0.58%,$31.47B,$0.18B,0.58%,$31.47B,$0.27B,0.87%,$31.47B,$0.12B,0.38%,$31.47B,$0.11B,0.34%,$0.11B,$1.99B,5.38%,$0.11B,$0.63B,15.38%,$0.11B,$5.29B,2.01%,$0.18B,$3.04B,5.96%,$8086,$7855,$231,$0,$180,$8035,$51,$-16,$35,$5,$30,$30,$30,$72,$51,$68,69,$0.44,$0.44,$576,$442,$285,$3589,$328,$0,$1369,$0,$1697,$5286,$2129,$1046,$117,$1163,$3292,$1,$1732,$-128,$1994,$5286,$61,$43,$-3,$40,$-48,$15,$13,$-2,$-102,$-1,$-32,$0,$-88,$0,$0,$0,$156,$36,$-119,$0,$-119,$-32,$-32,$-8,$-4,$-164,$-123,$9,$-8
6,2017-03-31,35.86,$28.39,1.26,$431.28,0.08,$8.50,4.22,$1.52,23.59,$3.59B,$2.10B,1.71,$1.07B,$1.98B,0.54,$30.02B,$0.91B,3.03%,$30.02B,$0.18B,0.59%,$30.02B,$0.18B,0.59%,$30.02B,$0.27B,0.88%,$30.02B,$0.12B,0.41%,$30.02B,$0.11B,0.35%,$0.11B,$1.98B,5.40%,$0.11B,$0.62B,13.81%,$0.11B,$5.26B,2.06%,$0.18B,$3.04B,5.95%,$8194,$7963,$231,$0,$181,$8144,$50,$-14,$36,$5,$31,$31,$31,$73,$50,$69,69,$0.46,$0.45,$619,$460,$254,$3589,$317,$0,$1357,$0,$1674,$5264,$2095,$1066,$128,$1193,$3288,$1,$1707,$-138,$1976,$5264,$31,$23,$-4,$19,$57,$1,$-45,$56,$14,$64,$-10,$0,$-88,$0,$0,$0,$73,$-25,$-104,$0,$-104,$-11,$-11,$-4,$-1,$-120,$-79,$4,$-4
7,2016-12-31,45.34,$27.75,1.63,$387.02,0.12,$9.49,4.78,$1.82,24.91,$3.84B,$2.18B,1.76,$1.17B,$1.94B,0.6,$27.02B,$0.90B,3.33%,$27.02B,$0.19B,0.70%,$27.02B,$0.19B,0.70%,$27.02B,$0.27B,1.00%,$27.02B,$0.14B,0.53%,$27.02B,$0.13B,0.47%,$0.13B,$1.94B,6.48%,$0.13B,$0.68B,15.03%,$0.13B,$5.41B,2.57%,$0.19B,$3.11B,6.48%,$7792,$7570,$222,$0,$204,$7768,$24,$-22,$2,$0,$2,$2,$2,$48,$24,$69,70,$0.03,$0.03,$699,$458,$290,$3837,$311,$0,$1265,$0,$1576,$5413,$2183,$1171,$119,$1290,$3473,$1,$1679,$-155,$1940,$5413,$126,$82,$-21,$62,$-507,$-50,$423,$278,$17,$205,$-36,$0,$-431,$0,$0,$0,$38,$-429,$408,$0,$408,$-41,$-41,$-17,$-9,$341,$116,$19,$-17
8,2016-09-30,45.63,$28.08,1.62,$370.63,0.12,$12.68,3.6,$2.53,18.03,$3.75B,$1.95B,1.93,$1.11B,$1.98B,0.56,$25.96B,$0.91B,3.49%,$25.96B,$0.23B,0.89%,$25.96B,$0.23B,0.89%,$25.96B,$0.31B,1.19%,$25.96B,$0.20B,0.77%,$25.96B,$0.17B,0.65%,$0.17B,$1.98B,8.71%,$0.17B,$0.84B,18.93%,$0.17B,$5.15B,3.61%,$0.23B,$3.09B,8.24%,$7400,$7163,$237,$0,$177,$7342,$58,$-10,$48,$5,$43,$43,$43,$80,$58,$69,70,$0.62,$0.61,$872,$485,$276,$3753,$260,$0,$1140,$0,$1400,$5153,$1948,$1110,$117,$1228,$3176,$1,$1681,$-138,$1977,$5153,$124,$58,$-19,$39,$-212,$-89,$213,$290,$57,$220,$-29,$0,$-237,$0,$0,$0,$7,$-259,$360,$0,$360,$-18,$-18,$-13,$-3,$326,$290,$15,$-13
9,2016-06-30,46.78,$27.75,1.69,$375.26,0.12,$14.03,3.33,$2.63,17.79,$3.52B,$1.91B,1.84,$0.77B,$1.95B,0.39,$26.37B,$0.90B,3.40%,$26.37B,$0.24B,0.91%,$26.37B,$0.24B,0.91%,$26.37B,$0.31B,1.18%,$26.37B,$0.21B,0.80%,$26.37B,$0.17B,0.65%,$0.17B,$1.95B,8.87%,$0.17B,$0.94B,18.91%,$0.17B,$4.75B,3.66%,$0.24B,$2.72B,8.80%,$6633,$6415,$219,$0,$171,$6588,$46,$-9,$37,$7,$30,$30,$30,$64,$46,$70,70,$0.43,$0.43,$737,$374,$327,$3515,$221,$0,$1013,$0,$1234,$4749,$1912,$768,$116,$884,$2795,$1,$1643,$-119,$1953,$4749,$81,$37,$6,$43,$-230,$-10,$190,$229,$77,$201,$-23,$0,$-20,$0,$0,$0,$7,$-37,$20,$0,$20,$-18,$-18,$-8,$-4,$-11,$155,$9,$-8
