,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,47.29,$15.66,3.02,$14.58,3.24,$6.58,7.19,$3.21,14.73,$29.59B,$19.57B,1.51,$24.82B,$71.48B,0.35,$69.24B,$43.26B,62.47%,$69.24B,$22.41B,32.37%,$69.24B,$22.41B,32.37%,$69.24B,$31.15B,44.98%,$69.24B,$23.72B,34.25%,$69.24B,$15.17B,21.91%,$15.17B,$71.48B,21.62%,$15.17B,$34.97B,45.31%,$15.17B,$128.24B,11.99%,$22.41B,$96.31B,23.59%,$19163,$6803,$12360,$3428,$1605,$11814,$7349,$-207,$7142,$744,$6398,$6398,$6398,$9623,$7349,$4574,4648,$1.40,$1.38,$13186,$7401,$3546,$29590,$47071,$11113,$36513,$3955,$98652,$128242,$19574,$24823,$5998,$37185,$56759,$25492,$47094,$-1103,$71483,$128242,$15858,$6592,$606,$7198,$-449,$-362,$430,$1733,$-524,$22532,$-11291,$0,$365,$3621,$-1976,$1645,$-138,$-9419,$-1505,$1707,$202,$-7919,$-7919,$-4173,$-1249,$-13139,$-26,$1203,$-4173
1,2018-06-30,49.41,$15.19,3.25,$13.80,3.58,$5.64,8.75,$2.77,17.84,$27.60B,$17.57B,1.57,$24.63B,$70.05B,0.35,$66.23B,$40.96B,61.85%,$66.23B,$20.21B,30.51%,$66.23B,$20.21B,30.51%,$66.23B,$28.72B,43.36%,$66.23B,$22.51B,33.98%,$66.23B,$13.29B,20.06%,$13.29B,$70.05B,18.97%,$13.29B,$33.60B,40.14%,$13.29B,$125.97B,10.53%,$20.21B,$94.68B,21.15%,$16962,$6543,$10419,$3371,$1725,$11689,$5273,$256,$5529,$523,$5006,$5006,$5006,$7395,$5273,$4649,4747,$1.08,$1.05,$12225,$7344,$3398,$27603,$45914,$12316,$36449,$3690,$98369,$125972,$17571,$24632,$6438,$38354,$55925,$25470,$45666,$-1089,$70047,$125972,$9460,$4318,$15,$4333,$369,$-303,$274,$1674,$-96,$13697,$-7440,$0,$548,$1190,$-237,$953,$-45,$-5984,$-1169,$1991,$822,$-5487,$-5487,$-2800,$-1067,$-8532,$-819,$820,$-2800
2,2018-03-31,51.47,$15.06,3.42,$13.28,3.88,$5.13,10.04,$2.30,22.38,$31.63B,$19.96B,1.59,$24.77B,$70.17B,0.35,$64.03B,$39.64B,61.91%,$64.03B,$18.77B,29.32%,$64.03B,$18.77B,29.32%,$64.03B,$27.15B,42.41%,$64.03B,$21.55B,33.65%,$64.03B,$11.09B,17.32%,$11.09B,$70.17B,15.92%,$11.09B,$33.46B,30.70%,$11.09B,$128.60B,8.85%,$18.77B,$94.94B,19.56%,$16066,$6335,$9731,$3311,$1900,$11596,$4470,$541,$5011,$557,$4454,$4454,$4454,$6666,$4470,$4674,4790,$0.95,$0.93,$16197,$7146,$3408,$31630,$43735,$12916,$36701,$3614,$96966,$128596,$19961,$24770,$6362,$38470,$58431,$26430,$44418,$-683,$70165,$128596,$4454,$2196,$-209,$1987,$102,$-96,$73,$777,$-157,$6284,$-2910,$0,$0,$-4505,$-859,$-5364,$3483,$-4791,$-327,$2142,$1815,$-1625,$-1625,$-1400,$-162,$-1372,$121,$433,$-1400
3,2017-12-31,45.32,$14.73,3.08,$12.96,3.5,$4.82,9.4,$1.98,22.89,$29.50B,$17.42B,1.69,$25.04B,$69.02B,0.36,$62.76B,$39.07B,62.25%,$62.76B,$17.94B,28.58%,$62.76B,$17.94B,28.58%,$62.76B,$26.07B,41.53%,$62.76B,$20.35B,32.43%,$62.76B,$9.60B,15.30%,$9.60B,$69.02B,13.94%,$9.60B,$31.89B,24.84%,$9.60B,$123.25B,7.87%,$17.94B,$94.06B,19.06%,$17053,$6304,$10749,$3316,$1864,$11732,$5321,$714,$6035,$6722,$-687,$-687,$-687,$7461,$5321,$4701,4835,$-0.15,$-0.14,$14002,$6983,$2908,$29500,$41109,$12291,$37134,$3215,$93749,$123249,$17421,$25037,$4657,$36809,$54230,$26074,$42083,$862,$69019,$123249,$9601,$8129,$796,$8925,$-781,$-1300,$191,$317,$3584,$22110,$-11778,$0,$-11375,$3962,$2613,$6575,$816,$-15762,$-364,$0,$-364,$-2845,$-2845,$-5072,$-194,$-8475,$-2127,$1358,$-5072
4,2017-09-30,37.17,$15.16,2.45,$12.79,2.91,$5.18,7.17,$2.86,13.0,$33.15B,$20.69B,1.6,$27.50B,$70.94B,0.39,$62.08B,$38.43B,61.89%,$62.08B,$17.14B,27.61%,$62.08B,$17.14B,27.61%,$62.08B,$25.06B,40.37%,$62.08B,$18.76B,30.21%,$62.08B,$13.85B,22.31%,$13.85B,$70.94B,20.32%,$13.85B,$33.49B,33.50%,$13.85B,$127.09B,11.59%,$17.14B,$98.43B,18.57%,$16149,$6085,$10064,$3209,$1661,$11008,$5141,$789,$5930,$1414,$4516,$4516,$4516,$7196,$5141,$4688,4821,$0.96,$0.94,$17504,$6929,$2767,$33154,$39472,$9903,$37447,$7112,$93934,$127088,$20689,$27498,$5022,$35463,$56152,$26547,$42779,$1610,$70936,$127088,$10288,$5989,$-138,$5851,$-1128,$-1245,$171,$315,$-1270,$14869,$-7709,$0,$-11375,$5502,$1981,$7483,$1069,$-10532,$6214,$-5,$6209,$-2974,$-2974,$-3794,$-263,$-822,$3515,$1051,$-3794
5,2017-06-30,32.69,$14.60,2.24,$12.67,2.58,$5.25,6.23,$2.61,12.52,$40.62B,$18.78B,2.16,$27.86B,$68.63B,0.41,$61.71B,$38.34B,62.13%,$61.71B,$16.46B,26.68%,$61.71B,$16.46B,26.68%,$61.71B,$24.25B,39.30%,$61.71B,$17.15B,27.78%,$61.71B,$12.71B,20.60%,$12.71B,$68.63B,19.20%,$12.71B,$45.66B,29.63%,$12.71B,$122.11B,10.98%,$16.46B,$96.48B,18.39%,$14763,$5667,$9096,$3262,$1850,$10921,$3842,$730,$4572,$1764,$2808,$2808,$2808,$5830,$3842,$4710,4845,$0.60,$0.58,$25929,$6324,$2967,$40617,$38130,$10385,$22969,$10006,$81490,$122107,$18782,$27855,$4343,$34700,$53482,$25781,$41670,$1174,$68625,$122107,$5772,$3934,$804,$4738,$-618,$-760,$425,$-413,$-1905,$8605,$-4730,$0,$924,$-1984,$1429,$-555,$145,$-4216,$6578,$-12,$6566,$-2112,$-2112,$-2516,$-200,$1738,$6127,$725,$-2516
6,2017-03-31,34.69,$14.20,2.44,$12.41,2.8,$5.33,6.51,$2.30,15.08,$36.06B,$21.31B,1.69,$20.68B,$66.84B,0.31,$60.48B,$37.22B,61.54%,$60.48B,$13.94B,23.05%,$60.48B,$13.94B,23.05%,$60.48B,$21.66B,35.81%,$60.48B,$14.24B,23.55%,$60.48B,$11.23B,18.57%,$11.23B,$66.84B,17.45%,$11.23B,$43.59B,28.17%,$11.23B,$115.65B,9.96%,$13.94B,$87.52B,16.07%,$14796,$5636,$9160,$3311,$2099,$11164,$3632,$183,$3815,$851,$2964,$2964,$2964,$5578,$3632,$4723,4881,$0.63,$0.61,$17295,$5801,$8041,$36058,$36911,$11980,$23256,$7443,$79590,$115648,$21305,$20678,$4536,$27499,$48804,$25890,$40091,$863,$66844,$115648,$2964,$1946,$439,$2385,$-105,$-232,$188,$-452,$-1451,$3898,$-1952,$0,$0,$-1567,$-1746,$-3313,$2487,$-2778,$0,$435,$435,$-913,$-913,$-1229,$-39,$-1746,$-626,$397,$-1229
7,2016-12-31,34.64,$14.00,2.47,$12.19,2.84,$5.48,6.32,$2.11,16.42,$35.51B,$20.30B,1.75,$20.65B,$66.23B,0.31,$59.39B,$36.19B,60.94%,$59.39B,$12.87B,21.68%,$59.39B,$12.87B,21.68%,$59.39B,$20.66B,34.80%,$59.39B,$12.94B,21.78%,$59.39B,$10.32B,17.37%,$10.32B,$66.23B,16.38%,$10.32B,$42.63B,27.69%,$10.32B,$113.33B,9.36%,$12.87B,$86.88B,15.04%,$16374,$6269,$10105,$3280,$2158,$11848,$4526,$-86,$4440,$878,$3562,$3562,$3562,$6456,$4526,$4730,4875,$0.76,$0.74,$17099,$5553,$8166,$35508,$36171,$10896,$23593,$7159,$77819,$113327,$20302,$20649,$4420,$26799,$47101,$25373,$40747,$106,$66226,$113327,$10316,$7790,$3155,$10945,$65,$119,$182,$394,$547,$21808,$-9625,$0,$-15470,$4324,$-6380,$-2056,$1334,$-25817,$1234,$0,$1234,$-1479,$-1479,$-4925,$-569,$-5739,$-9748,$1444,$-4925
8,2016-09-30,35.78,$13.32,2.69,$11.87,3.01,$5.37,6.66,$2.12,16.88,$36.22B,$20.09B,1.8,$24.04B,$63.12B,0.38,$57.93B,$35.68B,61.59%,$57.93B,$12.65B,21.83%,$57.93B,$12.65B,21.83%,$57.93B,$20.65B,35.65%,$57.93B,$12.80B,22.10%,$57.93B,$10.37B,17.90%,$10.37B,$63.12B,16.81%,$10.37B,$39.72B,27.25%,$10.37B,$112.22B,9.67%,$12.65B,$87.16B,15.03%,$15778,$5795,$9983,$3069,$2006,$11316,$4462,$-144,$4318,$940,$3378,$3378,$3378,$6390,$4462,$4734,4877,$0.71,$0.69,$17769,$5783,$7712,$36216,$34707,$10211,$23392,$7691,$76001,$112217,$20093,$24043,$3755,$29009,$49102,$25070,$37645,$400,$63115,$112217,$6754,$5860,$2320,$8180,$-100,$-118,$188,$-333,$-1276,$13658,$-6095,$0,$-15151,$2842,$-5062,$-2220,$1093,$-22373,$2734,$426,$3160,$-1030,$-1030,$-3692,$-279,$-1841,$-10556,$1136,$-3692
9,2016-06-30,30.85,$12.98,2.38,$11.61,2.66,$5.58,5.52,$2.07,14.9,$31.19B,$18.71B,1.67,$24.05B,$61.37B,0.39,$56.61B,$34.80B,61.48%,$56.61B,$12.38B,21.86%,$56.61B,$12.38B,21.86%,$56.61B,$20.73B,36.62%,$56.61B,$12.73B,22.49%,$56.61B,$10.10B,17.84%,$10.10B,$61.37B,16.78%,$10.10B,$33.55B,26.14%,$10.10B,$109.83B,9.73%,$12.38B,$85.42B,15.16%,$13533,$5560,$7973,$3145,$2007,$12215,$1318,$352,$1670,$340,$1330,$1330,$1330,$3235,$1318,$4729,4866,$0.28,$0.27,$17689,$5800,$3273,$31188,$33804,$8961,$27813,$8065,$78643,$109831,$18711,$24053,$4407,$29753,$48464,$24317,$37130,$-80,$61367,$109831,$3376,$3932,$1871,$5803,$734,$-104,$375,$-546,$-1279,$7900,$-3632,$0,$-14619,$501,$-2671,$-2170,$731,$-19690,$2734,$1416,$4150,$-1070,$-1070,$-2461,$-252,$367,$-11423,$812,$-2461
