,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,7.92,$4.09,1.93,$21.36,0.37,$1.03,7.72,$-0.88,0.0,$0.40B,$0.25B,1.6,$0.18B,$0.21B,0.86,$1.13B,$0.26B,23.30%,$1.13B,$-0.04B,-3.27%,$1.13B,$-0.04B,-3.27%,$1.13B,$0.01B,0.53%,$1.13B,$-0.05B,-3.97%,$1.13B,$-0.05B,-4.24%,$-0.05B,$0.21B,-18.55%,$-0.05B,$0.03B,-110.34%,$-0.05B,$0.66B,-7.41%,$-0.04B,$0.39B,-9.91%,$271,$207,$64,$0,$56,$314,$-43,$-2,$-45,$-0,$-45,$-45,$-45,$-12,$-43,$52,52,$-0.87,$-0.87,$28,$57,$43,$398,$79,$0,$181,$3,$264,$662,$249,$181,$7,$201,$450,$0,$78,$-23,$212,$662,$-47,$39,$21,$60,$6,$-16,$20,$-8,$-3,$10,$-8,$0,$0,$0,$0,$0,$0,$-8,$0,$23,$23,$-25,$-25,$0,$-1,$-3,$-3,$4,$0
1,2018-06-30,8.69,$4.99,1.74,$21.34,0.41,$0.49,17.66,$0.13,66.85,$0.35B,$0.34B,1.04,$0.03B,$0.26B,0.12,$1.15B,$0.27B,23.63%,$1.15B,$0.02B,1.56%,$1.15B,$0.02B,1.56%,$1.15B,$0.03B,2.87%,$1.15B,$0.01B,0.96%,$1.15B,$0.00B,0.35%,$0.00B,$0.26B,1.43%,$0.00B,$0.03B,8.00%,$0.00B,$0.64B,0.62%,$0.02B,$0.29B,4.67%,$282,$217,$65,$0,$59,$280,$2,$-2,$0,$1,$-0,$-0,$-0,$6,$2,$52,52,$-0.01,$-0.01,$28,$41,$26,$349,$68,$0,$224,$2,$295,$644,$336,$31,$7,$50,$387,$0,$123,$-21,$258,$644,$-2,$7,$3,$11,$22,$-0,$-19,$9,$14,$23,$-5,$0,$0,$0,$0,$0,$0,$-5,$0,$8,$8,$-25,$-25,$0,$-1,$-18,$-2,$3,$0
2,2018-03-31,9.05,$5.26,1.72,$20.97,0.43,$-0.01,0.0,$0.22,41.14,$0.37B,$0.22B,1.7,$0.12B,$0.28B,0.43,$1.15B,$0.28B,24.11%,$1.15B,$0.03B,2.26%,$1.15B,$0.03B,2.26%,$1.15B,$0.04B,3.48%,$1.15B,$0.02B,1.65%,$1.15B,$0.01B,0.70%,$0.01B,$0.28B,2.82%,$0.01B,$0.05B,15.53%,$0.01B,$0.63B,1.25%,$0.03B,$0.40B,6.31%,$275,$208,$66,$0,$61,$273,$1,$-2,$-1,$1,$-2,$-2,$-2,$5,$1,$54,54,$-0.03,$-0.03,$43,$39,$34,$366,$37,$0,$227,$2,$268,$634,$216,$119,$7,$138,$354,$0,$123,$-16,$280,$634,$-2,$4,$2,$6,$24,$2,$-21,$3,$30,$34,$-3,$0,$0,$0,$0,$0,$0,$-3,$0,$-11,$-11,$-8,$-8,$0,$-0,$-19,$13,$1,$0
3,2017-12-31,10.03,$5.26,1.91,$20.69,0.48,$-0.65,0.0,$0.35,28.66,$0.38B,$0.22B,1.76,$0.13B,$0.29B,0.45,$1.14B,$0.28B,24.25%,$1.14B,$0.03B,2.99%,$1.14B,$0.03B,2.99%,$1.14B,$0.05B,4.13%,$1.14B,$0.03B,2.46%,$1.14B,$0.02B,1.41%,$0.02B,$0.29B,5.70%,$0.02B,$0.06B,33.68%,$0.02B,$0.65B,2.54%,$0.03B,$0.41B,8.34%,$305,$237,$69,$0,$61,$302,$3,$-2,$1,$2,$-1,$-1,$-1,$7,$3,$54,55,$-0.01,$-0.01,$31,$41,$38,$383,$37,$0,$228,$2,$267,$650,$217,$128,$7,$148,$365,$0,$124,$-19,$285,$650,$16,$13,$12,$26,$-42,$-4,$18,$-14,$-26,$16,$-12,$0,$0,$0,$0,$0,$0,$-12,$0,$20,$20,$-8,$-8,$0,$-17,$-5,$-0,$7,$0
4,2017-09-30,11.25,$5.41,2.08,$20.17,0.56,$-0.76,0.0,$0.41,27.44,$0.38B,$0.21B,1.86,$0.15B,$0.29B,0.51,$1.11B,$0.28B,24.84%,$1.11B,$0.04B,3.61%,$1.11B,$0.04B,3.61%,$1.11B,$0.05B,4.70%,$1.11B,$0.03B,3.07%,$1.11B,$0.02B,1.99%,$0.02B,$0.29B,8.00%,$0.02B,$0.06B,54.66%,$0.02B,$0.66B,3.57%,$0.04B,$0.44B,10.08%,$289,$217,$72,$0,$57,$277,$12,$-1,$11,$4,$7,$7,$7,$15,$12,$54,55,$0.13,$0.13,$28,$49,$32,$384,$37,$0,$235,$1,$275,$659,$206,$149,$2,$161,$367,$0,$127,$-13,$292,$659,$17,$9,$7,$16,$-36,$-18,$7,$-11,$-50,$-17,$-10,$0,$0,$0,$0,$0,$0,$-10,$0,$43,$43,$-8,$-8,$0,$-12,$23,$-3,$5,$0
5,2017-06-30,11.6,$5.15,2.25,$20.05,0.58,$-0.90,0.0,$0.35,33.14,$0.34B,$0.21B,1.63,$0.12B,$0.28B,0.43,$1.10B,$0.27B,24.68%,$1.10B,$0.04B,3.37%,$1.10B,$0.04B,3.37%,$1.10B,$0.05B,4.64%,$1.10B,$0.03B,2.82%,$1.10B,$0.02B,1.73%,$0.02B,$0.28B,7.13%,$0.02B,$0.04B,61.79%,$0.02B,$0.62B,3.14%,$0.04B,$0.39B,9.62%,$280,$210,$70,$0,$55,$270,$10,$-2,$8,$3,$4,$4,$4,$13,$10,$53,55,$0.08,$0.08,$24,$28,$21,$341,$36,$0,$235,$1,$274,$615,$209,$119,$2,$130,$339,$0,$120,$-15,$276,$615,$10,$6,$4,$10,$-27,$2,$3,$-1,$-22,$-2,$-7,$0,$0,$0,$0,$0,$0,$-7,$0,$12,$12,$-9,$-9,$0,$-2,$1,$-7,$3,$0
6,2017-03-31,9.96,$5.03,1.98,$20.02,0.5,$-0.88,0.0,$0.23,43.3,$0.33B,$0.20B,1.62,$0.11B,$0.27B,0.42,$1.09B,$0.27B,24.47%,$1.09B,$0.03B,2.58%,$1.09B,$0.03B,2.58%,$1.09B,$0.04B,4.05%,$1.09B,$0.02B,2.12%,$1.09B,$0.01B,1.20%,$0.01B,$0.27B,5.00%,$0.01B,$0.04B,55.32%,$0.01B,$0.60B,2.17%,$0.03B,$0.38B,7.43%,$264,$200,$65,$0,$54,$255,$9,$-1,$8,$2,$6,$6,$6,$12,$9,$54,55,$0.11,$0.10,$30,$30,$21,$328,$34,$0,$234,$1,$271,$598,$203,$114,$2,$126,$328,$0,$115,$-19,$270,$598,$6,$3,$1,$4,$-5,$-0,$-8,$-1,$-10,$0,$-3,$0,$0,$0,$0,$0,$0,$-3,$0,$6,$6,$-4,$-4,$0,$-0,$1,$-1,$1,$0
7,2016-12-31,9.85,$4.85,2.03,$20.29,0.49,$-1.37,0.0,$0.09,109.44,$0.32B,$0.21B,1.54,$0.11B,$0.26B,0.41,$1.09B,$0.26B,24.04%,$1.09B,$0.02B,1.83%,$1.09B,$0.02B,1.83%,$1.09B,$0.04B,3.38%,$1.09B,$0.01B,1.28%,$1.09B,$0.00B,0.37%,$0.00B,$0.26B,1.55%,$0.00B,$0.03B,21.92%,$0.00B,$0.59B,0.67%,$0.02B,$0.37B,5.33%,$274,$206,$68,$0,$54,$266,$9,$-1,$7,$3,$5,$5,$5,$12,$9,$54,54,$0.08,$0.08,$31,$36,$25,$324,$33,$0,$234,$2,$270,$594,$211,$107,$3,$121,$332,$0,$108,$-21,$262,$594,$4,$18,$19,$37,$-3,$6,$-38,$-8,$-30,$11,$-13,$0,$0,$0,$0,$0,$0,$-13,$0,$9,$9,$3,$3,$0,$-8,$4,$0,$6,$0
8,2016-09-30,9.42,$4.79,1.96,$20.36,0.46,$-0.78,0.0,$-0.75,0.0,$0.34B,$0.21B,1.64,$0.13B,$0.26B,0.52,$1.09B,$0.26B,23.58%,$1.09B,$-0.02B,-2.02%,$1.09B,$-0.02B,-2.02%,$1.09B,$0.03B,3.12%,$1.09B,$-0.03B,-2.66%,$1.09B,$-0.04B,-3.85%,$-0.04B,$0.26B,-16.45%,$-0.04B,$0.02B,-305.45%,$-0.04B,$0.61B,-6.96%,$-0.02B,$0.39B,-5.93%,$280,$212,$68,$0,$53,$271,$9,$-1,$8,$3,$4,$4,$4,$14,$9,$54,55,$0.08,$0.08,$21,$45,$31,$340,$32,$0,$238,$1,$273,$613,$208,$134,$2,$148,$355,$0,$106,$-16,$258,$613,$-1,$14,$16,$31,$-13,$-12,$-40,$4,$-54,$-24,$-11,$0,$0,$0,$0,$0,$0,$-11,$0,$34,$34,$2,$2,$0,$-12,$24,$-10,$4,$0
9,2016-06-30,8.27,$4.68,1.77,$20.21,0.41,$-0.52,0.0,$-0.74,0.0,$0.32B,$0.20B,1.57,$0.11B,$0.25B,0.45,$1.08B,$0.25B,23.53%,$1.08B,$-0.02B,-1.95%,$1.08B,$-0.02B,-1.95%,$1.08B,$0.03B,3.16%,$1.08B,$-0.03B,-2.79%,$1.08B,$-0.04B,-3.91%,$-0.04B,$0.25B,-15.83%,$-0.04B,$0.01B,-336.00%,$-0.04B,$0.59B,-6.82%,$-0.02B,$0.36B,-5.54%,$269,$204,$65,$0,$51,$268,$1,$-1,$0,$3,$-2,$-2,$-2,$6,$1,$53,53,$-0.04,$-0.04,$32,$36,$18,$318,$33,$0,$240,$1,$275,$594,$202,$112,$17,$141,$343,$0,$102,$-16,$251,$594,$-5,$9,$13,$22,$-2,$-3,$-34,$16,$-18,$-1,$-7,$0,$0,$0,$0,$0,$0,$-7,$0,$13,$13,$1,$1,$0,$-5,$9,$1,$2,$0
