,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,102.3,$29.90,3.42,$60.98,1.68,$8.03,12.74,$6.14,16.66,$6.08B,$4.32B,1.41,$3.74B,$7.34B,0.51,$15.39B,$4.75B,30.84%,$15.39B,$1.86B,12.06%,$15.39B,$1.86B,12.06%,$15.39B,$2.22B,14.44%,$15.39B,$1.61B,10.45%,$15.39B,$1.54B,10.02%,$1.54B,$7.34B,21.65%,$1.54B,$-2.33B,-59.26%,$1.54B,$18.31B,8.43%,$1.86B,$11.08B,17.40%,$4031,$2718,$1313,$0,$726,$3444,$587,$-57,$530,$-1,$531,$531,$515,$672,$587,$246,250,$2.09,$2.06,$1023,$1821,$487,$6083,$1673,$0,$9669,$880,$12222,$18305,$4324,$3740,$1080,$6637,$10961,$270,$9625,$-920,$7343,$18305,$1096,$273,$102,$375,$0,$0,$0,$-574,$-574,$897,$-251,$0,$-282,$0,$0,$0,$12,$-521,$24,$-6,$18,$-514,$-514,$-392,$20,$-869,$-527,$0,$-392
1,2018-06-30,89.73,$27.82,3.23,$59.12,1.52,$8.26,10.87,$5.51,16.28,$6.16B,$4.75B,1.3,$3.74B,$6.82B,0.55,$15.03B,$4.62B,30.70%,$15.03B,$1.78B,11.81%,$15.03B,$1.78B,11.81%,$15.03B,$2.14B,14.26%,$15.03B,$1.52B,10.14%,$15.03B,$1.40B,9.28%,$1.40B,$6.82B,19.92%,$1.40B,$-2.88B,-51.49%,$1.40B,$18.38B,7.68%,$1.78B,$10.56B,17.15%,$4358,$2964,$1394,$0,$753,$3717,$640,$-54,$587,$128,$459,$459,$448,$735,$640,$248,250,$1.81,$1.79,$970,$1733,$512,$6162,$1647,$0,$9706,$863,$12216,$18378,$4753,$3739,$1080,$6802,$11554,$270,$9110,$-905,$6824,$18378,$577,$188,$80,$267,$0,$0,$0,$-466,$-466,$378,$-163,$0,$-282,$0,$0,$0,$0,$-445,$24,$243,$267,$-500,$-500,$-257,$-1,$-491,$-580,$0,$-257
2,2018-03-31,85.09,$28.79,2.96,$56.74,1.5,$8.66,9.83,$5.10,16.68,$6.07B,$4.32B,1.41,$3.75B,$7.14B,0.53,$14.58B,$4.48B,30.70%,$14.58B,$1.69B,11.62%,$14.58B,$1.69B,11.62%,$14.58B,$2.05B,14.09%,$14.58B,$1.43B,9.80%,$14.58B,$1.31B,8.96%,$1.31B,$7.14B,18.67%,$1.31B,$-2.74B,-48.86%,$1.31B,$18.37B,7.25%,$1.69B,$10.89B,16.39%,$3385,$2420,$964,$0,$721,$3141,$243,$-77,$167,$33,$134,$134,$120,$337,$243,$250,253,$0.48,$0.48,$1175,$1779,$602,$6072,$1611,$0,$9875,$807,$12294,$18365,$4321,$3746,$1125,$6904,$11225,$273,$8904,$-627,$7140,$18365,$124,$93,$47,$140,$0,$0,$0,$-331,$-331,$-66,$-52,$0,$-202,$0,$-4,$-4,$0,$-258,$32,$248,$280,$-250,$-250,$-123,$-3,$-96,$-374,$0,$-123
3,2017-12-31,88.3,$28.89,3.06,$54.79,1.61,$8.83,10.0,$5.07,17.42,$6.12B,$4.83B,1.27,$2.96B,$7.21B,0.41,$14.20B,$4.39B,30.90%,$14.20B,$1.67B,11.73%,$14.20B,$1.67B,11.73%,$14.20B,$2.02B,14.22%,$14.20B,$1.42B,9.99%,$14.20B,$1.30B,9.18%,$1.30B,$7.21B,18.95%,$1.30B,$-2.47B,-48.47%,$1.30B,$18.17B,7.35%,$1.67B,$10.16B,16.32%,$3618,$2543,$1076,$0,$689,$3232,$387,$-62,$325,$-163,$488,$488,$460,$478,$387,$255,258,$1.81,$1.79,$1549,$1555,$537,$6119,$1551,$0,$9679,$824,$12054,$18173,$4828,$2957,$1139,$6138,$10966,$274,$8903,$-779,$7207,$18173,$1312,$353,$-62,$292,$-157,$-112,$167,$21,$-81,$1524,$-220,$0,$-158,$0,$0,$0,$3,$-375,$0,$-12,$-12,$-940,$-940,$-446,$-35,$-1433,$-165,$0,$-446
4,2017-09-30,87.82,$27.32,3.21,$53.61,1.64,$8.93,9.84,$4.01,21.9,$5.81B,$4.69B,1.24,$2.96B,$6.84B,0.43,$13.94B,$4.32B,31.01%,$13.94B,$1.63B,11.71%,$13.94B,$1.63B,11.71%,$13.94B,$1.98B,14.21%,$13.94B,$1.36B,9.76%,$13.94B,$1.04B,7.48%,$1.04B,$6.84B,15.43%,$1.04B,$-2.75B,-37.87%,$1.04B,$17.72B,5.94%,$1.63B,$9.80B,15.89%,$3671,$2490,$1181,$0,$675,$3164,$506,$-62,$445,$76,$368,$368,$367,$594,$506,$253,257,$1.45,$1.43,$1259,$1661,$426,$5814,$1529,$0,$9592,$788,$11909,$17723,$4689,$2956,$1023,$6190,$10878,$274,$8556,$-877,$6844,$17723,$855,$262,$147,$409,$0,$0,$0,$-391,$-391,$873,$-150,$0,$-60,$0,$0,$0,$4,$-206,$-8,$-4,$-12,$-911,$-911,$-334,$34,$-1223,$-456,$0,$-334
5,2017-06-30,89.53,$26.75,3.35,$52.94,1.69,$9.90,9.04,$4.02,22.27,$5.86B,$3.90B,1.5,$3.71B,$6.79B,0.55,$13.84B,$4.30B,31.06%,$13.84B,$1.64B,11.84%,$13.84B,$1.64B,11.84%,$13.84B,$1.99B,14.36%,$13.84B,$1.37B,9.88%,$13.84B,$1.05B,7.60%,$1.05B,$6.79B,15.59%,$1.05B,$-2.74B,-38.14%,$1.05B,$17.77B,6.00%,$1.64B,$10.50B,15.66%,$3908,$2653,$1255,$0,$698,$3351,$558,$-66,$492,$138,$354,$354,$359,$645,$558,$256,260,$1.40,$1.38,$1310,$1605,$344,$5855,$1510,$0,$9530,$879,$11919,$17774,$3904,$3705,$1124,$7076,$10980,$274,$8303,$-994,$6794,$17774,$483,$174,$71,$246,$0,$0,$0,$-323,$-323,$406,$-80,$0,$-40,$0,$0,$0,$1,$-119,$-8,$0,$-8,$-575,$-575,$-212,$28,$-767,$-405,$0,$-212
6,2017-03-31,79.31,$25.85,3.07,$51.99,1.53,$9.97,7.95,$5.50,14.42,$5.41B,$3.53B,1.53,$3.71B,$6.65B,0.56,$13.62B,$4.22B,31.02%,$13.62B,$1.59B,11.70%,$13.62B,$1.59B,11.70%,$13.62B,$1.94B,14.27%,$13.62B,$1.73B,12.68%,$13.62B,$1.44B,10.58%,$1.44B,$6.65B,21.60%,$1.44B,$-2.80B,-50.35%,$1.44B,$17.26B,8.26%,$1.59B,$10.37B,15.34%,$3001,$2126,$875,$0,$660,$2786,$215,$-59,$156,$29,$128,$128,$117,$302,$215,$259,263,$0.45,$0.45,$1323,$1600,$292,$5414,$1498,$0,$9452,$896,$11846,$17260,$3534,$3711,$1129,$7072,$10606,$273,$8048,$-1170,$6654,$17260,$121,$87,$42,$129,$0,$0,$0,$-293,$-293,$-43,$-35,$0,$-10,$0,$0,$0,$0,$-45,$0,$0,$0,$-250,$-250,$-110,$18,$-342,$-392,$0,$-110
7,2016-12-31,72.81,$25.94,2.81,$51.64,1.41,$10.09,7.22,$5.63,12.93,$5.58B,$3.59B,1.55,$3.71B,$6.72B,0.55,$13.51B,$4.20B,31.11%,$13.51B,$1.60B,11.87%,$13.51B,$1.60B,11.87%,$13.51B,$1.95B,14.46%,$13.51B,$1.74B,12.90%,$13.51B,$1.48B,10.93%,$1.48B,$6.72B,22.81%,$1.48B,$-2.73B,-47.29%,$1.48B,$17.40B,8.49%,$1.60B,$10.43B,15.74%,$3359,$2347,$1012,$0,$659,$3006,$353,$-85,$268,$64,$204,$204,$199,$440,$353,$259,262,$0.79,$0.77,$1715,$1386,$256,$5579,$1511,$0,$9444,$864,$11818,$17397,$3590,$3709,$1138,$7089,$10679,$272,$8019,$-1291,$6718,$17397,$1493,$352,$-306,$46,$-101,$27,$104,$-46,$-17,$1522,$-173,$0,$413,$0,$0,$0,$0,$240,$0,$-151,$-151,$-187,$-187,$-363,$-26,$-727,$978,$0,$-363
8,2016-09-30,65.59,$26.46,2.48,$51.22,1.28,$7.39,8.88,$5.76,11.39,$5.72B,$3.70B,1.54,$3.71B,$6.83B,0.54,$13.48B,$4.20B,31.16%,$13.48B,$1.64B,12.19%,$13.48B,$1.64B,12.19%,$13.48B,$2.00B,14.86%,$13.48B,$1.78B,13.22%,$13.48B,$1.51B,11.21%,$1.51B,$6.83B,24.14%,$1.51B,$-2.77B,-44.65%,$1.51B,$17.72B,8.78%,$1.64B,$10.54B,16.47%,$3568,$2413,$1155,$0,$643,$3056,$512,$-61,$451,$83,$368,$368,$377,$600,$512,$259,262,$1.45,$1.44,$1505,$1556,$293,$5715,$1549,$0,$9604,$852,$12005,$17720,$3703,$3709,$1146,$7185,$10889,$271,$7926,$-1033,$6831,$17720,$1290,$265,$-240,$25,$0,$0,$0,$-198,$-198,$1117,$-125,$0,$-9,$0,$423,$423,$0,$288,$0,$-151,$-151,$-250,$-250,$-259,$14,$-646,$768,$0,$-259
9,2016-06-30,61.18,$25.14,2.43,$50.59,1.21,$3.95,15.48,$5.44,11.25,$5.39B,$3.77B,1.43,$3.73B,$6.48B,0.58,$13.40B,$4.15B,31.00%,$13.40B,$1.61B,11.99%,$13.40B,$1.61B,11.99%,$13.40B,$1.97B,14.68%,$13.40B,$1.76B,13.16%,$13.40B,$1.44B,10.71%,$1.44B,$6.48B,23.91%,$1.44B,$-3.15B,-39.05%,$1.44B,$17.43B,8.33%,$1.61B,$10.20B,16.52%,$3688,$2507,$1182,$0,$668,$3175,$513,$338,$852,$93,$759,$759,$748,$601,$513,$259,262,$2.88,$2.86,$929,$1601,$365,$5393,$1561,$0,$9630,$847,$12038,$17431,$3767,$3725,$1127,$7185,$10953,$270,$7632,$-1054,$6478,$17431,$908,$176,$-341,$-165,$0,$0,$0,$-315,$-315,$428,$-81,$0,$-9,$0,$423,$423,$0,$333,$0,$-151,$-151,$-250,$-250,$-169,$-1,$-571,$192,$0,$-169
