,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,5.48,$5.67,0.97,$1.30,4.21,$-4.14,0.0,$0.99,5.54,$0.02B,$0.03B,0.72,$0.66B,$0.58B,1.15,$0.18B,$0.15B,85.71%,$0.18B,$-0.01B,-7.43%,$0.18B,$-0.01B,-7.43%,$0.18B,$0.07B,38.86%,$0.18B,$-0.02B,-10.86%,$0.18B,$0.12B,67.43%,$0.12B,$0.68B,17.65%,$0.12B,$0.68B,17.65%,$0.12B,$1.38B,8.12%,$-0.01B,$1.34B,-0.92%,$46,$6,$40,$0,$4,$44,$2,$1,$3,$0,$3,$3,$1,$21,$2,$119,133,$0.01,$0.01,$20,$0,$0,$20,$1328,$0,$0,$28,$1356,$1376,$28,$664,$0,$670,$698,$900,$-402,$2,$678,$1376,$4,$19,$-9,$10,$0,$0,$0,$1,$1,$15,$-6,$0,$0,$0,$0,$0,$50,$44,$-46,$6,$-40,$-1,$-1,$-10,$-3,$-54,$4,$0,$-8
1,2018-04-30,5.26,$5.75,0.92,$1.26,4.18,$-4.60,0.0,$0.87,6.05,$0.02B,$0.03B,0.56,$0.70B,$0.59B,1.2,$0.17B,$0.15B,85.29%,$0.17B,$-0.02B,-13.53%,$0.17B,$-0.02B,-13.53%,$0.17B,$0.07B,40.00%,$0.17B,$-0.04B,-22.35%,$0.17B,$0.10B,60.59%,$0.10B,$0.69B,15.86%,$0.10B,$0.69B,15.88%,$0.10B,$1.43B,6.96%,$-0.02B,$1.39B,-1.61%,$32,$7,$24,$0,$4,$54,$-22,$-4,$-27,$0,$-27,$-27,$-23,$-1,$-22,$120,135,$-0.19,$-0.19,$16,$0,$0,$16,$1380,$0,$0,$30,$1411,$1427,$29,$703,$0,$710,$739,$900,$-396,$2,$688,$1427,$128,$92,$-162,$-70,$0,$0,$0,$-2,$-9,$48,$-330,$0,$426,$0,$0,$0,$8,$104,$-126,$45,$-80,$-19,$-34,$-42,$-12,$-169,$-17,$2,$-34
2,2018-01-31,5.52,$6.03,0.92,$1.17,4.73,$-2.05,0.0,$1.29,4.28,$0.14B,$0.04B,4.02,$0.69B,$0.62B,1.11,$0.16B,$0.14B,87.97%,$0.16B,$-0.01B,-3.80%,$0.16B,$-0.01B,-3.80%,$0.16B,$0.08B,49.37%,$0.16B,$-0.01B,-8.86%,$0.16B,$0.15B,97.47%,$0.15B,$0.72B,24.19%,$0.15B,$0.72B,24.22%,$0.15B,$1.46B,10.33%,$-0.01B,$1.41B,-0.43%,$43,$5,$39,$0,$3,$41,$2,$3,$5,$0,$5,$5,$134,$22,$2,$120,134,$1.12,$1.12,$144,$0,$0,$144,$1290,$0,$0,$22,$1312,$1456,$36,$690,$0,$697,$732,$910,$-365,$0,$723,$1456,$152,$70,$-179,$-109,$0,$0,$0,$2,$-1,$42,$-203,$0,$426,$0,$0,$0,$-103,$120,$-104,$10,$-94,$-7,$-23,$-32,$-20,$-168,$-6,$1,$-25
3,2017-10-31,5.63,$4.87,1.16,$1.14,4.94,$-0.68,0.0,$0.33,17.05,$0.05B,$0.03B,1.39,$0.93B,$0.49B,1.9,$0.16B,$0.14B,87.74%,$0.16B,$-0.00B,-0.65%,$0.16B,$-0.00B,-0.65%,$0.16B,$0.08B,49.03%,$0.16B,$-0.02B,-12.26%,$0.16B,$0.04B,25.16%,$0.04B,$0.59B,6.38%,$0.04B,$0.59B,6.40%,$0.04B,$1.55B,2.55%,$-0.00B,$1.51B,-0.07%,$54,$7,$47,$0,$3,$49,$5,$-4,$0,$0,$0,$0,$6,$26,$5,$120,135,$0.05,$0.05,$47,$0,$0,$47,$1472,$0,$0,$32,$1504,$1551,$34,$925,$0,$932,$966,$911,$-491,$0,$585,$1551,$-0,$50,$-16,$34,$-0,$0,$0,$-2,$-7,$27,$-150,$0,$36,$0,$0,$0,$19,$-95,$-49,$190,$142,$-6,$-28,$-24,$-8,$82,$14,$1,$-19
4,2017-07-31,5.91,$4.99,1.18,$1.11,5.34,$0.34,17.44,$0.35,16.89,$0.04B,$0.04B,1.0,$0.81B,$0.49B,1.65,$0.15B,$0.13B,88.16%,$0.15B,$0.01B,3.95%,$0.15B,$0.01B,3.95%,$0.15B,$0.08B,50.00%,$0.15B,$-0.02B,-11.84%,$0.15B,$0.04B,27.63%,$0.04B,$0.60B,6.69%,$0.04B,$0.60B,6.71%,$0.04B,$1.48B,2.69%,$0.01B,$1.41B,0.42%,$41,$6,$35,$0,$4,$49,$-8,$-8,$-16,$0,$-16,$-16,$-14,$21,$-8,$120,136,$-0.11,$-0.11,$24,$0,$0,$37,$1392,$0,$3,$6,$1445,$1482,$37,$807,$30,$844,$880,$913,$-489,$0,$602,$1482,$-13,$29,$1,$30,$0,$0,$0,$1,$-1,$16,$-69,$0,$0,$0,$0,$0,$0,$-69,$-24,$69,$45,$-10,$-10,$-11,$-1,$24,$-29,$0,$-8
5,2017-04-30,5.56,$5.25,1.06,$1.17,4.77,$0.83,6.73,$0.26,21.37,$0.06B,$0.04B,1.6,$0.67B,$0.53B,1.27,$0.16B,$0.14B,88.82%,$0.16B,$-0.03B,-18.63%,$0.16B,$-0.03B,-18.63%,$0.16B,$0.03B,16.15%,$0.16B,$-0.05B,-29.19%,$0.16B,$0.03B,19.25%,$0.03B,$0.64B,4.83%,$0.03B,$0.64B,4.85%,$0.03B,$1.48B,1.92%,$-0.03B,$1.30B,-2.02%,$20,$1,$18,$0,$5,$24,$-5,$2,$-3,$0,$-3,$-3,$28,$9,$-5,$121,137,$0.23,$0.23,$57,$0,$0,$57,$1121,$0,$0,$13,$1418,$1475,$36,$665,$131,$803,$838,$916,$-467,$0,$636,$1475,$31,$57,$-13,$44,$0,$0,$0,$-3,$-0,$74,$-12,$0,$237,$0,$0,$0,$-23,$202,$-192,$-10,$-201,$-5,$-34,$-67,$-12,$-314,$-38,$0,$-56
6,2017-01-31,5.98,$5.10,1.17,$1.06,5.62,$-0.82,0.0,$0.10,59.82,$0.07B,$0.04B,1.66,$0.89B,$0.51B,1.74,$0.15B,$0.13B,89.12%,$0.15B,$-0.03B,-21.77%,$0.15B,$-0.03B,-21.77%,$0.15B,$0.03B,17.69%,$0.15B,$-0.05B,-31.97%,$0.15B,$0.01B,7.48%,$0.01B,$0.62B,1.66%,$0.01B,$0.62B,1.67%,$0.01B,$1.61B,0.65%,$-0.03B,$1.51B,-2.04%,$40,$4,$36,$0,$4,$34,$7,$-6,$0,$0,$0,$0,$19,$20,$7,$121,137,$0.16,$0.16,$57,$0,$0,$69,$1382,$0,$2,$10,$1540,$1609,$41,$885,$54,$947,$988,$922,$-486,$0,$621,$1609,$-3,$42,$19,$62,$0,$0,$0,$-6,$-3,$56,$-32,$0,$113,$0,$0,$0,$0,$81,$-191,$140,$-51,$0,$-29,$-56,$-11,$-147,$-10,$1,$-47
7,2016-10-31,5.54,$5.35,1.03,$1.13,4.91,$-2.05,0.0,$0.24,23.07,$0.09B,$0.04B,2.14,$0.91B,$0.51B,1.78,$0.16B,$0.14B,89.03%,$0.16B,$-0.03B,-17.42%,$0.16B,$-0.03B,-17.42%,$0.16B,$0.03B,21.94%,$0.16B,$-0.04B,-27.10%,$0.16B,$0.03B,18.71%,$0.03B,$0.65B,4.24%,$0.03B,$0.65B,4.29%,$0.03B,$1.68B,1.70%,$-0.03B,$1.56B,-1.69%,$51,$6,$45,$0,$4,$39,$12,$-11,$1,$0,$1,$1,$9,$26,$12,$121,137,$0.07,$0.07,$69,$0,$0,$86,$1384,$0,$2,$10,$1593,$1679,$40,$910,$69,$988,$1028,$921,$-489,$0,$651,$1679,$-28,$29,$40,$69,$-1,$0,$0,$-2,$-5,$35,$-21,$0,$44,$0,$0,$0,$0,$24,$-41,$30,$-11,$0,$0,$-42,$-5,$-57,$2,$1,$-36
8,2016-07-31,5.9,$5.41,1.09,$1.09,5.4,$-3.05,0.0,$0.28,21.09,$0.07B,$0.04B,1.56,$0.91B,$0.52B,1.75,$0.15B,$0.13B,89.33%,$0.15B,$-0.03B,-20.67%,$0.15B,$-0.03B,-20.67%,$0.15B,$0.03B,20.67%,$0.15B,$-0.04B,-28.67%,$0.15B,$0.03B,22.67%,$0.03B,$0.66B,4.89%,$0.03B,$0.66B,4.99%,$0.03B,$1.69B,1.96%,$-0.03B,$1.57B,-1.94%,$50,$6,$44,$0,$4,$94,$-44,$-1,$-45,$0,$-45,$-45,$-25,$-29,$-44,$121,137,$-0.20,$-0.20,$54,$0,$0,$65,$1396,$0,$3,$7,$1626,$1692,$42,$908,$76,$992,$1034,$923,$-482,$0,$658,$1692,$-41,$15,$46,$60,$-2,$0,$0,$1,$-4,$16,$-3,$0,$0,$0,$0,$0,$0,$-2,$-5,$0,$-5,$0,$0,$-19,$-2,$-26,$-12,$0,$-16
9,2016-04-30,5.26,$5.93,0.89,$1.06,4.98,$-3.26,0.0,$0.49,10.74,$0.08B,$0.04B,1.9,$0.91B,$0.58B,1.57,$0.15B,$0.13B,89.66%,$0.15B,$0.02B,16.55%,$0.15B,$0.02B,16.55%,$0.15B,$0.09B,62.07%,$0.15B,$0.01B,4.14%,$0.15B,$0.06B,42.07%,$0.06B,$0.72B,8.54%,$0.06B,$0.72B,8.80%,$0.06B,$1.76B,3.36%,$0.02B,$1.63B,1.48%,$6,$-0,$6,$0,$5,$13,$-7,$4,$-3,$0,$-3,$0,$8,$9,$-7,$123,137,$0.07,$0.07,$67,$0,$0,$75,$1442,$0,$4,$8,$1680,$1755,$40,$912,$77,$997,$1037,$922,$-442,$0,$718,$1755,$77,$65,$-64,$2,$0,$0,$0,$2,$-12,$66,$-231,$0,$366,$0,$0,$0,$-1,$134,$3,$-68,$-65,$-34,$-34,$-72,$-13,$-183,$18,$2,$-60
