,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,14.55,$11.14,1.31,$29.03,0.5,$-5.20,0.0,$-1.83,0.0,$0.41B,$0.20B,2.05,$0.25B,$0.37B,0.68,$0.98B,$0.27B,27.40%,$0.98B,$-0.03B,-2.56%,$0.98B,$-0.03B,-2.56%,$0.98B,$0.00B,0.41%,$0.98B,$-0.05B,-5.11%,$0.98B,$-0.06B,-6.24%,$-0.06B,$0.37B,-15.24%,$-0.06B,$-0.05B,214.04%,$-0.06B,$0.96B,-5.91%,$-0.03B,$0.62B,-3.87%,$245,$179,$66,$0,$70,$250,$-5,$-3,$-8,$4,$-12,$-12,$-12,$3,$-5,$33,34,$-0.36,$-0.36,$118,$142,$32,$409,$76,$0,$420,$58,$554,$963,$200,$250,$143,$393,$593,$9,$144,$23,$370,$963,$-43,$22,$1,$24,$6,$-23,$8,$-2,$-31,$-50,$-8,$0,$0,$0,$0,$0,$3,$-5,$0,$-1,$-1,$0,$0,$-1,$0,$-2,$-58,$0,$-1
1,2018-06-30,18.59,$11.59,1.6,$29.31,0.63,$-5.32,0.0,$-2.04,0.0,$0.42B,$0.20B,2.1,$0.25B,$0.39B,0.64,$0.98B,$0.27B,27.74%,$0.98B,$-0.03B,-2.64%,$0.98B,$-0.03B,-2.64%,$0.98B,$0.00B,0.20%,$0.98B,$-0.06B,-5.79%,$0.98B,$-0.07B,-6.91%,$-0.07B,$0.39B,-16.32%,$-0.07B,$-0.04B,453.33%,$-0.07B,$1.03B,-6.45%,$-0.03B,$0.63B,-3.94%,$246,$179,$67,$0,$74,$253,$-7,$-7,$-14,$3,$-17,$-17,$-17,$0,$-7,$33,34,$-0.50,$-0.50,$122,$137,$33,$417,$77,$0,$423,$113,$613,$1030,$199,$247,$199,$446,$645,$9,$157,$27,$385,$1030,$-31,$15,$3,$18,$-2,$-17,$3,$-1,$-34,$-47,$-4,$0,$0,$0,$0,$0,$-0,$-4,$0,$-1,$-1,$0,$0,$-1,$0,$-1,$-54,$0,$-1
2,2018-03-31,17.38,$12.76,1.36,$29.10,0.6,$-5.49,0.0,$-2.26,0.0,$0.45B,$0.21B,2.1,$0.24B,$0.42B,0.58,$0.97B,$0.27B,27.88%,$0.97B,$-0.04B,-3.60%,$0.97B,$-0.04B,-3.60%,$0.97B,$-0.01B,-0.82%,$0.97B,$-0.06B,-6.58%,$0.97B,$-0.08B,-7.72%,$-0.08B,$0.42B,-17.56%,$-0.08B,$-0.02B,4285.71%,$-0.08B,$1.07B,-7.13%,$-0.04B,$0.67B,-5.25%,$237,$171,$67,$0,$71,$242,$-5,$-7,$-12,$2,$-14,$-14,$-14,$2,$-5,$33,34,$-0.43,$-0.43,$151,$132,$34,$445,$79,$0,$441,$102,$622,$1067,$212,$244,$188,$432,$645,$9,$173,$49,$423,$1067,$-14,$8,$2,$9,$-1,$-9,$3,$-1,$-20,$-25,$-2,$0,$0,$0,$0,$0,$-0,$-2,$0,$-0,$-0,$0,$0,$-0,$0,$-0,$-26,$0,$-0
3,2017-12-31,16.81,$12.89,1.3,$29.18,0.58,$-5.72,0.0,$-2.35,0.0,$0.46B,$0.22B,2.1,$0.24B,$0.42B,0.57,$0.97B,$0.27B,27.82%,$0.97B,$-0.04B,-4.24%,$0.97B,$-0.04B,-4.24%,$0.97B,$-0.02B,-1.55%,$0.97B,$-0.07B,-6.83%,$0.97B,$-0.08B,-8.07%,$-0.08B,$0.42B,-18.44%,$-0.08B,$-0.01B,-1075.86%,$-0.08B,$1.07B,-7.78%,$-0.04B,$0.67B,-6.42%,$250,$182,$68,$0,$73,$258,$-8,$-8,$-16,$2,$-18,$-18,$-18,$-1,$-8,$33,33,$-0.53,$-0.53,$177,$122,$32,$457,$80,$0,$432,$98,$609,$1066,$218,$241,$183,$425,$643,$9,$188,$37,$423,$1066,$-77,$26,$9,$35,$2,$22,$-2,$-1,$16,$-26,$-14,$0,$0,$0,$0,$0,$-0,$-15,$0,$79,$79,$16,$16,$-2,$-5,$88,$52,$0,$-2
4,2017-09-30,15.7,$13.27,1.18,$29.21,0.54,$-6.56,0.0,$-2.35,0.0,$0.46B,$0.20B,2.28,$0.24B,$0.44B,0.55,$0.96B,$0.27B,28.01%,$0.96B,$-0.04B,-4.15%,$0.96B,$-0.04B,-4.15%,$0.96B,$-0.02B,-1.56%,$0.96B,$-0.06B,-6.54%,$0.96B,$-0.08B,-8.09%,$-0.08B,$0.44B,-18.45%,$-0.08B,$0.00B,-445.71%,$-0.08B,$1.06B,-8.11%,$-0.04B,$0.68B,-6.51%,$251,$180,$71,$0,$76,$257,$-6,$-9,$-15,$3,$-19,$-19,$-19,$1,$-6,$33,33,$-0.57,$-0.57,$156,$144,$31,$459,$77,$0,$432,$87,$596,$1055,$201,$239,$179,$418,$619,$9,$206,$33,$436,$1055,$-59,$19,$10,$29,$-3,$1,$-12,$-1,$-23,$-53,$-7,$0,$0,$0,$0,$0,$-0,$-8,$0,$79,$79,$15,$15,$-1,$-5,$88,$32,$0,$-1
5,2017-06-30,13.16,$12.95,1.02,$29.91,0.44,$-6.47,0.0,$-1.93,0.0,$0.47B,$0.21B,2.27,$0.24B,$0.43B,0.55,$0.98B,$0.27B,27.73%,$0.98B,$-0.03B,-3.16%,$0.98B,$-0.03B,-3.16%,$0.98B,$-0.01B,-0.82%,$0.98B,$-0.05B,-4.99%,$0.98B,$-0.06B,-6.52%,$-0.06B,$0.43B,-14.88%,$-0.06B,$0.02B,-209.84%,$-0.06B,$1.02B,-6.84%,$-0.03B,$0.66B,-5.15%,$234,$168,$65,$0,$76,$249,$-16,$-6,$-21,$2,$-24,$-24,$-24,$-10,$-16,$33,33,$-0.72,$-0.72,$160,$153,$31,$471,$77,$0,$410,$60,$547,$1018,$208,$236,$149,$385,$593,$9,$225,$6,$426,$1018,$-40,$12,$5,$17,$-5,$-13,$-2,$-0,$-27,$-50,$-5,$0,$0,$0,$0,$0,$-0,$-6,$0,$80,$80,$14,$14,$-1,$-4,$90,$36,$0,$-1
6,2017-03-31,11.85,$12.43,0.95,$31.33,0.38,$-6.56,0.0,$-1.57,0.0,$0.38B,$0.21B,1.82,$0.15B,$0.41B,0.36,$1.02B,$0.28B,27.50%,$1.02B,$-0.02B,-2.05%,$1.02B,$-0.02B,-2.05%,$1.02B,$0.00B,0.20%,$1.02B,$-0.04B,-3.72%,$1.02B,$-0.05B,-5.09%,$-0.05B,$0.41B,-11.77%,$-0.05B,$0.02B,-123.08%,$-0.05B,$0.87B,-5.63%,$-0.02B,$0.55B,-3.54%,$232,$167,$65,$0,$73,$242,$-11,$-4,$-14,$3,$-17,$-17,$-17,$-5,$-11,$32,33,$-0.52,$-0.52,$77,$145,$35,$381,$75,$0,$389,$23,$488,$869,$209,$147,$105,$252,$462,$9,$249,$-18,$407,$869,$-17,$6,$-0,$6,$-6,$-9,$4,$-4,$-19,$-30,$-3,$0,$0,$0,$0,$0,$0,$-3,$0,$-14,$-14,$0,$0,$-0,$0,$-14,$-47,$0,$-0
7,2016-12-31,12.99,$13.02,1.0,$32.15,0.4,$-6.77,0.0,$-1.32,0.0,$0.41B,$0.22B,1.85,$0.15B,$0.42B,0.35,$1.05B,$0.28B,27.10%,$1.05B,$-0.02B,-1.43%,$1.05B,$-0.02B,-1.43%,$1.05B,$0.01B,0.67%,$1.05B,$-0.03B,-2.96%,$1.05B,$-0.04B,-4.20%,$-0.04B,$0.42B,-9.59%,$-0.04B,$0.03B,-78.57%,$-0.04B,$0.90B,-4.62%,$-0.02B,$0.57B,-2.45%,$247,$178,$69,$0,$75,$254,$-7,$-6,$-13,$5,$-18,$-18,$-18,$-1,$-7,$32,33,$-0.54,$-0.54,$124,$136,$32,$409,$75,$0,$390,$30,$495,$904,$221,$146,$114,$260,$481,$9,$266,$-19,$422,$904,$-43,$22,$1,$23,$10,$-10,$-14,$-5,$-37,$-57,$-10,$0,$14,$0,$0,$0,$-0,$4,$0,$119,$119,$7,$7,$-2,$-6,$119,$64,$0,$-2
8,2016-09-30,11.09,$14.34,0.77,$33.25,0.33,$-4.41,0.0,$-0.87,0.0,$0.44B,$0.23B,1.98,$0.16B,$0.47B,0.34,$1.08B,$0.30B,27.31%,$1.08B,$-0.01B,-0.55%,$1.08B,$-0.01B,-0.55%,$1.08B,$0.02B,1.38%,$1.08B,$-0.02B,-1.57%,$1.08B,$-0.03B,-2.68%,$-0.03B,$0.47B,-6.18%,$-0.03B,$0.06B,-44.44%,$-0.03B,$0.95B,-3.10%,$-0.01B,$0.62B,-1.00%,$268,$195,$73,$0,$78,$266,$3,$-3,$-1,$4,$-5,$-5,$-5,$8,$3,$32,33,$-0.15,$-0.15,$138,$147,$32,$444,$77,$0,$409,$21,$507,$951,$225,$158,$103,$261,$486,$9,$284,$7,$465,$951,$-25,$16,$-3,$13,$5,$-17,$-8,$-5,$-37,$-49,$-7,$0,$14,$0,$0,$0,$-0,$7,$0,$119,$119,$7,$7,$-1,$-6,$119,$78,$0,$-1
9,2016-06-30,12.05,$14.55,0.83,$33.70,0.36,$-3.25,0.0,$-0.96,0.0,$0.46B,$0.23B,1.96,$0.16B,$0.47B,0.33,$1.10B,$0.30B,27.36%,$1.10B,$-0.01B,-0.82%,$1.10B,$-0.01B,-0.82%,$1.10B,$0.01B,1.09%,$1.10B,$-0.02B,-1.55%,$1.10B,$-0.03B,-2.91%,$-0.03B,$0.47B,-6.73%,$-0.03B,$0.06B,-45.55%,$-0.03B,$0.97B,-3.50%,$-0.01B,$0.63B,-1.56%,$275,$201,$74,$0,$79,$281,$-6,$-4,$-10,$2,$-12,$-12,$-12,$-0,$-6,$32,33,$-0.36,$-0.36,$125,$148,$35,$457,$77,$0,$411,$27,$515,$973,$233,$156,$110,$267,$500,$9,$290,$10,$473,$973,$-20,$10,$3,$14,$-11,$-12,$-3,$-6,$-47,$-54,$-4,$0,$0,$0,$0,$0,$-0,$-4,$0,$120,$120,$7,$7,$-1,$-6,$121,$65,$0,$-1
