,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,0.86,$0.39,2.23,$0.80,1.08,$-7.31,0.0,$-1.51,0.0,$0.01B,$0.02B,0.47,$0.01B,$0.01B,1.03,$0.01B,$0.00B,20.00%,$0.01B,$-0.04B,-800.00%,$0.01B,$-0.04B,-800.00%,$0.01B,$-0.02B,-460.00%,$0.01B,$-0.04B,-820.00%,$0.01B,$-0.04B,-840.00%,$-0.04B,$0.02B,-188.76%,$-0.04B,$-0.02B,270.97%,$-0.04B,$0.05B,-90.32%,$-0.04B,$0.03B,-120.30%,$1,$1,$0,$1,$5,$8,$-7,$0,$-6,$0,$-6,$-6,$-6,$-6,$-7,$12,12,$-0.51,$-0.51,$1,$3,$0,$8,$1,$0,$37,$1,$39,$46,$16,$11,$0,$11,$27,$0,$-82,$0,$19,$46,$-19,$2,$1,$4,$-1,$-0,$-1,$-2,$-2,$-18,$-0,$0,$0,$0,$0,$0,$0,$-0,$1,$1,$1,$6,$15,$0,$1,$18,$-0,$1,$0
1,2018-06-30,1.42,$0.47,3.03,$0.95,1.5,$-6.83,0.0,$-0.46,0.0,$0.01B,$0.01B,0.56,$0.01B,$0.01B,0.77,$0.01B,$0.00B,40.00%,$0.01B,$-0.04B,-800.00%,$0.01B,$-0.04B,-800.00%,$0.01B,$-0.02B,-400.00%,$0.01B,$-0.04B,-840.00%,$0.01B,$-0.03B,-620.00%,$-0.03B,$0.02B,-121.57%,$-0.03B,$-0.02B,185.07%,$-0.03B,$0.05B,-62.00%,$-0.04B,$0.03B,-109.59%,$1,$1,$0,$2,$6,$8,$-7,$-1,$-8,$0,$-8,$-8,$-9,$-6,$-7,$11,11,$-0.76,$-0.76,$2,$3,$0,$7,$1,$0,$38,$0,$39,$46,$12,$11,$0,$11,$23,$0,$-76,$0,$23,$46,$-13,$1,$1,$2,$-0,$-1,$-2,$-1,$-4,$-15,$-0,$0,$0,$0,$0,$0,$0,$-0,$1,$0,$1,$6,$15,$0,$1,$17,$2,$1,$0
2,2018-03-31,2.93,$2.67,1.09,$1.79,1.64,$-7.01,0.0,$-1.50,0.0,$0.01B,$0.01B,1.16,$0.01B,$0.02B,0.52,$0.01B,$0.00B,60.00%,$0.01B,$-0.04B,-700.00%,$0.01B,$-0.04B,-700.00%,$0.01B,$-0.02B,-320.00%,$0.01B,$-0.04B,-720.00%,$0.01B,$-0.02B,-480.00%,$-0.02B,$0.03B,-131.51%,$-0.02B,$-0.01B,165.52%,$-0.02B,$0.05B,-60.38%,$-0.04B,$0.04B,-130.84%,$1,$0,$0,$1,$5,$6,$-5,$-1,$-6,$0,$-6,$-6,$-7,$-4,$-5,$9,9,$-0.75,$-0.75,$8,$2,$0,$11,$1,$0,$38,$0,$39,$50,$9,$11,$0,$11,$20,$0,$-68,$0,$30,$50,$-6,$1,$1,$1,$0,$-0,$-4,$-0,$-5,$-10,$-0,$0,$0,$0,$0,$0,$0,$-0,$1,$0,$1,$6,$15,$0,$1,$17,$7,$0,$0
3,2017-12-31,2.1,$0.37,5.69,$2.56,0.82,$-6.20,0.0,$-5.70,0.0,$0.00B,$0.02B,0.25,$0.01B,$0.02B,0.64,$0.01B,$0.00B,80.00%,$0.01B,$-0.03B,-680.00%,$0.01B,$-0.03B,-680.00%,$0.01B,$-0.02B,-320.00%,$0.01B,$-0.04B,-700.00%,$0.01B,$-0.02B,-440.00%,$-0.02B,$0.02B,-237.84%,$-0.02B,$-0.02B,157.14%,$-0.02B,$0.04B,-77.88%,$-0.03B,$0.03B,-222.95%,$2,$1,$1,$1,$5,$22,$-21,$-1,$-21,$-1,$-20,$-20,$-20,$-7,$-21,$3,3,$-2.15,$-1.97,$1,$2,$0,$4,$1,$0,$39,$0,$40,$44,$15,$11,$0,$11,$26,$0,$-62,$0,$17,$44,$-22,$18,$-10,$8,$-0,$0,$4,$-0,$4,$-10,$0,$0,$-2,$0,$0,$0,$0,$-1,$-2,$3,$0,$11,$11,$0,$-0,$11,$-0,$1,$0
4,2017-09-30,3.0,$7.03,0.43,$2.07,1.45,$-22.68,0.0,$-9.90,0.0,$0.00B,$0.02B,0.27,$0.01B,$0.03B,0.35,$0.00B,$0.00B,100.00%,$0.00B,$-0.02B,-533.33%,$0.00B,$-0.02B,-533.33%,$0.00B,$-0.01B,-400.00%,$0.00B,$-0.02B,-600.00%,$0.00B,$-0.01B,-200.00%,$-0.01B,$0.03B,-133.33%,$-0.01B,$-0.02B,64.86%,$-0.01B,$0.06B,-32.88%,$-0.02B,$0.04B,-200.00%,$1,$0,$1,$1,$4,$8,$-7,$-0,$-7,$-12,$5,$5,$5,$-3,$-7,$4,4,$1.29,$1.11,$1,$2,$0,$4,$1,$0,$55,$0,$56,$60,$16,$11,$0,$12,$28,$0,$-42,$0,$32,$60,$-2,$4,$-12,$-7,$-0,$0,$5,$0,$5,$-4,$0,$0,$-2,$0,$0,$0,$0,$-2,$-2,$2,$-0,$6,$6,$0,$0,$5,$-1,$1,$0
5,2017-06-30,7.94,$-5.37,-1.48,$1.89,4.2,$-37.37,0.0,$-15.44,0.0,$0.00B,$0.01B,0.38,$0.00B,$-0.01B,-0.13,$0.00B,$0.00B,100.00%,$0.00B,$-0.01B,-600.00%,$0.00B,$-0.01B,-600.00%,$0.00B,$-0.01B,-600.00%,$0.00B,$-0.01B,-700.00%,$0.00B,$-0.01B,-700.00%,$-0.01B,$-0.01B,400.00%,$-0.01B,$-0.01B,400.00%,$-0.01B,$0.01B,-311.11%,$-0.01B,$-0.01B,533.33%,$1,$0,$1,$1,$2,$3,$-2,$1,$-2,$0,$-2,$-2,$-2,$-2,$-2,$1,1,$-1.84,$-1.84,$3,$0,$0,$4,$1,$0,$0,$0,$1,$5,$10,$1,$0,$1,$11,$0,$-47,$0,$-6,$5,$-7,$0,$0,$1,$-0,$0,$3,$2,$4,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$-1,$2,$1,$2,$2,$0,$-0,$3,$1,$0,$0
6,2017-03-31,15.0,$-6.44,-2.33,$1.01,14.81,$-48.09,0.0,$-18.89,0.0,$0.00B,$0.01B,0.31,$0.00B,$-0.01B,-0.22,$0.00B,$0.00B,100.00%,$0.00B,$-0.01B,-1300.00%,$0.00B,$-0.01B,-1300.00%,$0.00B,$-0.01B,-1300.00%,$0.00B,$-0.02B,-1600.00%,$0.00B,$-0.02B,-1600.00%,$-0.02B,$-0.01B,1066.67%,$-0.02B,$-0.01B,1066.67%,$-0.02B,$0.00B,-320.00%,$-0.01B,$-0.01B,inf%,$1,$0,$1,$1,$3,$5,$-4,$-1,$-5,$0,$-5,$-5,$-5,$-4,$-4,$1,1,$-4.95,$-4.95,$1,$0,$0,$3,$1,$0,$0,$0,$1,$4,$8,$1,$0,$1,$10,$0,$-45,$0,$-6,$4,$-5,$0,$1,$1,$-0,$0,$1,$2,$3,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$-0,$1,$1,$0,$-0,$0,$-0,$0,$0
7,2016-12-31,10.74,$-2.63,-4.09,$0.20,52.9,$-55.21,0.0,$-20.39,0.0,$0.00B,$0.00B,0.61,$0.00B,$-0.00B,-0.74,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$-0.00B,-1200.00%,$-0.02B,$-0.00B,-1200.00%,$-0.02B,$0.00B,-214.29%,$-0.01B,$-0.00B,-400.00%,$0,$0,$0,$2,$2,$3,$-3,$-0,$-4,$0,$-4,$-4,$-4,$-3,$-3,$1,1,$-4.05,$-4.05,$1,$0,$0,$3,$1,$0,$0,$0,$1,$4,$4,$2,$0,$2,$6,$0,$-40,$0,$-2,$4,$-15,$1,$1,$1,$0,$-0,$-0,$-1,$-1,$-14,$-0,$0,$0,$0,$0,$0,$2,$2,$-2,$0,$-2,$9,$9,$0,$-1,$5,$-7,$1,$0
8,2016-09-30,19.2,$-0.35,-55.44,$0.30,64.43,$-70.22,0.0,$-22.49,0.0,$0.00B,$0.00B,1.32,$0.00B,$0.00B,-8.32,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$0.00B,-545.45%,$-0.02B,$0.00B,-545.45%,$-0.02B,$0.01B,-166.67%,$-0.01B,$0.00B,-254.55%,$0,$0,$0,$2,$1,$3,$-3,$-0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$1,1,$-4.50,$-4.50,$3,$0,$0,$4,$1,$0,$0,$0,$1,$5,$3,$2,$0,$2,$5,$0,$-37,$0,$-0,$5,$-11,$0,$0,$1,$0,$-0,$-0,$-1,$-2,$-12,$-0,$0,$0,$0,$0,$0,$2,$2,$-2,$0,$-2,$7,$7,$0,$-1,$4,$-6,$0,$0
9,2016-06-30,27.6,$2.17,12.73,$0.37,73.73,$-73.71,0.0,$-23.39,0.0,$0.01B,$0.00B,1.7,$0.00B,$0.00B,1.72,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$0.00B,-315.79%,$-0.02B,$0.00B,-315.79%,$-0.02B,$0.01B,-125.00%,$-0.01B,$0.00B,-169.70%,$0,$0,$0,$2,$1,$3,$-3,$-0,$-4,$0,$-4,$-4,$-4,$-3,$-3,$1,1,$-5.25,$-5.25,$4,$0,$0,$5,$1,$0,$0,$1,$2,$7,$3,$3,$0,$3,$6,$0,$-33,$0,$2,$7,$-8,$0,$0,$1,$0,$-0,$-0,$-1,$-1,$-8,$-0,$0,$0,$0,$0,$0,$2,$2,$-2,$0,$-2,$6,$6,$0,$-1,$3,$-4,$0,$0
