,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,160.08,$17.71,9.04,$20.22,7.92,$11.31,14.15,$4.04,39.62,$0.46B,$0.42B,1.09,$0.00B,$1.37B,0.0,$1.57B,$0.68B,43.15%,$1.57B,$0.40B,25.37%,$1.57B,$0.40B,25.37%,$1.57B,$0.55B,35.18%,$1.57B,$0.40B,25.30%,$1.57B,$0.39B,25.11%,$0.39B,$1.37B,30.97%,$0.39B,$0.28B,216.78%,$0.39B,$2.03B,19.97%,$0.40B,$1.37B,30.07%,$393,$220,$172,$24,$45,$289,$103,$0,$103,$20,$84,$84,$84,$142,$103,$77,78,$1.08,$1.08,$115,$0,$0,$458,$286,$0,$1092,$120,$1575,$2033,$420,$0,$14,$244,$665,$1,$1968,$0,$1369,$2033,$84,$39,$3,$41,$99,$0,$-10,$-81,$22,$147,$-24,$-28,$0,$0,$0,$0,$0,$-52,$0,$0,$0,$2,$2,$0,$-13,$-11,$83,$0,$0
1,2018-06-30,130.36,$17.14,7.6,$19.81,6.58,$11.47,11.37,$4.86,26.82,$0.47B,$0.48B,1.0,$0.00B,$1.32B,0.0,$1.54B,$0.66B,43.07%,$1.54B,$0.39B,25.50%,$1.54B,$0.39B,25.50%,$1.54B,$0.54B,35.33%,$1.54B,$0.39B,25.44%,$1.54B,$0.38B,24.53%,$0.38B,$1.32B,31.69%,$0.38B,$0.23B,275.18%,$0.38B,$2.04B,19.70%,$0.39B,$1.32B,31.59%,$416,$236,$179,$24,$51,$312,$104,$-1,$103,$21,$82,$82,$82,$143,$104,$77,78,$1.06,$1.05,$31,$0,$0,$474,$287,$0,$1092,$110,$1564,$2037,$476,$0,$13,$239,$714,$1,$1913,$0,$1323,$2037,$377,$152,$-41,$111,$-9,$0,$11,$-92,$-76,$412,$-40,$-110,$-137,$0,$-5,$-5,$0,$-292,$0,$-50,$-50,$-41,$-41,$-105,$-7,$-204,$-83,$12,$-105
2,2018-03-31,120.58,$15.83,7.62,$19.35,6.23,$10.71,11.26,$4.59,26.27,$0.36B,$0.29B,1.25,$0.11B,$1.22B,0.09,$1.51B,$0.65B,42.99%,$1.51B,$0.39B,25.71%,$1.51B,$0.39B,25.71%,$1.51B,$0.53B,35.48%,$1.51B,$0.39B,25.71%,$1.51B,$0.36B,23.92%,$0.36B,$1.22B,32.24%,$0.36B,$0.14B,341.23%,$0.36B,$1.91B,19.13%,$0.39B,$1.33B,32.78%,$385,$222,$163,$23,$44,$288,$96,$-1,$96,$23,$72,$72,$72,$135,$96,$77,78,$0.94,$0.93,$57,$0,$0,$362,$261,$0,$1088,$100,$1543,$1905,$289,$105,$12,$393,$682,$1,$1800,$0,$1223,$1905,$291,$112,$-64,$48,$113,$0,$-0,$-224,$-105,$235,$-18,$-79,$-137,$0,$-5,$-5,$0,$-239,$0,$55,$55,$-24,$-24,$-76,$-7,$-53,$-57,$8,$-76
3,2017-12-31,116.23,$15.20,7.65,$18.93,6.14,$10.11,11.5,$4.43,26.24,$0.37B,$0.35B,1.05,$0.10B,$1.17B,0.09,$1.47B,$0.63B,42.81%,$1.47B,$0.38B,25.78%,$1.47B,$0.38B,25.78%,$1.47B,$0.52B,35.48%,$1.47B,$0.38B,25.71%,$1.47B,$0.35B,23.61%,$0.35B,$1.17B,32.71%,$0.35B,$0.08B,374.19%,$0.35B,$1.92B,19.05%,$0.38B,$1.27B,34.11%,$375,$212,$163,$22,$46,$279,$95,$-0,$95,$-60,$156,$156,$156,$132,$95,$77,78,$2.01,$2.01,$58,$0,$0,$370,$272,$0,$1090,$91,$1547,$1917,$354,$100,$12,$389,$743,$1,$1756,$0,$1174,$1917,$219,$73,$-70,$3,$116,$0,$5,$-153,$-45,$177,$-12,$-53,$-137,$0,$0,$0,$0,$-202,$0,$50,$50,$-27,$-27,$-48,$-7,$-32,$-57,$5,$-48
4,2017-09-30,101.88,$13.44,7.58,$18.55,5.49,$9.87,10.32,$3.17,32.14,$0.40B,$0.42B,0.97,$0.00B,$1.04B,0.0,$1.45B,$0.62B,42.68%,$1.45B,$0.37B,25.83%,$1.45B,$0.37B,25.83%,$1.45B,$0.52B,35.57%,$1.45B,$0.37B,25.69%,$1.45B,$0.25B,17.33%,$0.25B,$1.04B,24.77%,$0.25B,$0.10B,299.70%,$0.25B,$1.80B,14.12%,$0.37B,$1.04B,35.59%,$361,$204,$157,$21,$41,$264,$97,$-0,$97,$30,$67,$67,$67,$133,$97,$77,78,$0.87,$0.86,$104,$0,$0,$404,$274,$0,$940,$85,$1392,$1796,$415,$0,$8,$344,$759,$1,$1625,$0,$1038,$1796,$67,$36,$3,$40,$102,$0,$2,$-91,$32,$139,$-4,$-26,$-10,$0,$0,$0,$0,$-40,$0,$-50,$-50,$-28,$-28,$-24,$-7,$-109,$-11,$0,$-24
5,2017-06-30,102.63,$13.33,7.7,$18.28,5.62,$9.47,10.84,$3.14,32.69,$0.52B,$0.47B,1.1,$0.05B,$1.03B,0.05,$1.43B,$0.61B,42.67%,$1.43B,$0.37B,25.70%,$1.43B,$0.37B,25.70%,$1.43B,$0.51B,35.47%,$1.43B,$0.37B,25.56%,$1.43B,$0.25B,17.18%,$0.25B,$1.03B,24.67%,$0.25B,$0.11B,338.14%,$0.25B,$1.91B,13.97%,$0.37B,$1.08B,35.57%,$384,$219,$164,$23,$43,$285,$99,$-0,$99,$34,$65,$65,$65,$134,$99,$78,78,$0.84,$0.83,$115,$0,$0,$520,$283,$0,$927,$83,$1389,$1909,$471,$50,$8,$406,$877,$1,$1585,$0,$1032,$1909,$246,$140,$47,$187,$-22,$0,$-8,$-34,$-75,$357,$-41,$-106,$6,$0,$0,$0,$0,$-142,$0,$50,$50,$-124,$-124,$-92,$-5,$-171,$44,$11,$-92
6,2017-03-31,91.71,$13.04,7.04,$17.98,5.1,$9.35,9.81,$3.37,27.21,$0.30B,$0.27B,1.11,$0.05B,$1.01B,0.05,$1.42B,$0.61B,43.04%,$1.42B,$0.39B,27.28%,$1.42B,$0.39B,27.28%,$1.42B,$0.53B,37.10%,$1.42B,$0.38B,27.07%,$1.42B,$0.27B,18.73%,$0.27B,$1.01B,26.82%,$0.27B,$0.09B,397.00%,$0.27B,$1.69B,15.25%,$0.39B,$1.06B,38.10%,$354,$207,$147,$21,$40,$265,$89,$-0,$88,$28,$60,$60,$60,$124,$89,$78,78,$0.77,$0.77,$43,$0,$0,$299,$285,$0,$927,$77,$1388,$1687,$270,$50,$8,$405,$675,$1,$1545,$0,$1012,$1687,$181,$104,$24,$128,$114,$0,$-9,$-204,$-110,$199,$-27,$-79,$2,$0,$0,$0,$0,$-103,$0,$50,$50,$-99,$-99,$-68,$-5,$-123,$-27,$7,$-68
7,2016-12-31,87.17,$12.51,6.97,$17.65,4.94,$8.32,10.48,$3.28,26.58,$0.32B,$0.33B,0.99,$0.05B,$0.97B,0.05,$1.39B,$0.60B,43.11%,$1.39B,$0.38B,27.04%,$1.39B,$0.38B,27.04%,$1.39B,$0.51B,36.80%,$1.39B,$0.37B,26.83%,$1.39B,$0.26B,18.58%,$0.26B,$0.97B,26.64%,$0.26B,$0.05B,534.02%,$0.26B,$1.72B,14.87%,$0.38B,$1.02B,37.34%,$349,$198,$150,$21,$41,$260,$89,$-0,$88,$30,$59,$59,$59,$124,$89,$78,78,$0.76,$0.75,$64,$0,$0,$324,$289,$0,$924,$77,$1394,$1718,$329,$50,$8,$418,$747,$1,$1509,$0,$971,$1718,$121,$69,$14,$83,$108,$0,$1,$-136,$-40,$164,$-17,$-53,$0,$0,$0,$0,$0,$-70,$0,$50,$50,$-101,$-101,$-44,$-5,$-100,$-6,$4,$-44
8,2016-09-30,83.73,$12.45,6.72,$17.36,4.82,$7.32,11.44,$3.27,25.61,$0.34B,$0.38B,0.9,$0.00B,$0.97B,0.0,$1.38B,$0.59B,43.03%,$1.38B,$0.37B,27.07%,$1.38B,$0.37B,27.07%,$1.38B,$0.51B,36.72%,$1.38B,$0.37B,26.92%,$1.38B,$0.26B,18.80%,$0.26B,$0.97B,27.05%,$0.26B,$0.05B,790.84%,$0.26B,$1.73B,14.89%,$0.37B,$0.97B,37.02%,$345,$195,$150,$20,$39,$254,$91,$-0,$91,$29,$62,$62,$62,$126,$91,$78,79,$0.79,$0.79,$85,$0,$0,$343,$293,$0,$918,$75,$1389,$1732,$379,$0,$10,$380,$760,$1,$1472,$0,$973,$1732,$62,$34,$9,$43,$105,$0,$-8,$-73,$28,$133,$-28,$-4,$0,$0,$0,$0,$0,$-32,$0,$-0,$-0,$-60,$-60,$-22,$-5,$-87,$14,$1,$-22
9,2016-06-30,85.15,$12.66,6.73,$16.97,5.02,$7.10,11.99,$3.12,27.29,$0.43B,$0.44B,0.97,$0.00B,$1.00B,0.0,$1.36B,$0.58B,42.88%,$1.36B,$0.36B,26.79%,$1.36B,$0.36B,26.79%,$1.36B,$0.49B,36.31%,$1.36B,$0.36B,26.57%,$1.36B,$0.25B,18.30%,$0.25B,$1.00B,26.03%,$0.25B,$0.08B,877.88%,$0.25B,$1.82B,14.29%,$0.36B,$1.00B,36.20%,$367,$205,$162,$24,$41,$250,$117,$-0,$116,$32,$84,$84,$84,$151,$117,$79,80,$1.06,$1.06,$70,$0,$0,$432,$299,$0,$915,$70,$1384,$1816,$444,$0,$9,$376,$819,$1,$1431,$0,$996,$1816,$249,$130,$31,$161,$-14,$0,$5,$-25,$-43,$366,$-53,$-108,$26,$0,$0,$0,$0,$-136,$0,$-53,$-53,$-169,$-169,$-84,$-3,$-308,$-78,$11,$-84
