,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,16.8,$8.80,1.91,$1.77,9.47,$1.43,11.79,$1.09,15.41,$0.21B,$0.00B,0.0,$0.24B,$0.53B,0.45,$0.12B,$0.06B,51.30%,$0.12B,$0.03B,23.48%,$0.12B,$0.03B,23.48%,$0.12B,$0.04B,33.04%,$0.12B,$0.05B,39.13%,$0.12B,$0.07B,61.74%,$0.07B,$0.53B,12.58%,$0.07B,$0.53B,12.58%,$0.07B,$0.87B,7.93%,$0.03B,$0.77B,3.38%,$24,$14,$9,$0,$0,$22,$2,$-0,$2,$-3,$5,$5,$5,$4,$2,$61,61,$0.09,$0.09,$201,$0,$0,$210,$361,$0,$0,$300,$661,$871,$0,$239,$50,$336,$336,$331,$188,$-0,$534,$871,$32,$7,$-5,$2,$0,$0,$0,$7,$12,$46,$-15,$0,$0,$0,$65,$65,$1,$51,$8,$0,$8,$-93,$-93,$0,$-1,$-86,$11,$0,$0
1,2018-06-30,17.95,$8.89,2.02,$1.87,9.59,$1.21,14.79,$1.08,16.62,$0.22B,$0.00B,0.0,$0.24B,$0.55B,0.43,$0.13B,$0.06B,49.60%,$0.13B,$0.03B,24.00%,$0.13B,$0.03B,24.00%,$0.13B,$0.04B,32.80%,$0.13B,$0.05B,41.60%,$0.13B,$0.07B,57.60%,$0.07B,$0.55B,12.57%,$0.07B,$0.55B,12.57%,$0.07B,$0.88B,7.93%,$0.03B,$0.79B,3.72%,$50,$14,$37,$0,$0,$21,$29,$3,$33,$7,$26,$26,$26,$32,$29,$64,64,$0.41,$0.41,$215,$0,$0,$222,$351,$0,$0,$311,$662,$884,$0,$236,$49,$334,$334,$425,$182,$-1,$550,$884,$27,$5,$-2,$2,$0,$0,$0,$2,$8,$38,$-6,$0,$0,$0,$61,$61,$0,$56,$5,$0,$5,$-72,$-72,$0,$-0,$-68,$26,$0,$0
2,2018-03-31,18.85,$8.92,2.11,$1.51,12.52,$1.12,16.88,$0.82,22.99,$0.22B,$0.00B,0.0,$0.23B,$0.58B,0.4,$0.11B,$0.04B,33.96%,$0.11B,$0.01B,5.66%,$0.11B,$0.01B,5.66%,$0.11B,$0.02B,15.09%,$0.11B,$0.04B,33.96%,$0.11B,$0.06B,53.77%,$0.06B,$0.58B,9.50%,$0.06B,$0.58B,9.50%,$0.06B,$0.91B,6.05%,$0.01B,$0.81B,0.72%,$20,$12,$8,$0,$0,$20,$-1,$1,$0,$-0,$1,$1,$1,$2,$-1,$65,65,$0.01,$0.01,$203,$0,$0,$216,$344,$0,$0,$345,$689,$906,$0,$232,$44,$324,$324,$425,$156,$-1,$581,$906,$1,$2,$2,$4,$0,$0,$0,$-3,$-3,$2,$0,$0,$0,$0,$21,$21,$0,$22,$-0,$0,$-0,$-14,$-14,$0,$0,$-14,$11,$0,$0
3,2017-12-31,18.05,$8.99,2.01,$1.39,13.03,$1.10,16.35,$0.87,20.75,$0.21B,$0.00B,0.0,$0.23B,$0.59B,0.39,$0.10B,$0.03B,32.00%,$0.10B,$0.00B,2.00%,$0.10B,$0.00B,2.00%,$0.10B,$0.01B,11.00%,$0.10B,$0.04B,42.00%,$0.10B,$0.06B,60.00%,$0.06B,$0.59B,9.69%,$0.06B,$0.59B,9.69%,$0.06B,$0.92B,6.20%,$0.00B,$0.83B,0.24%,$21,$16,$5,$0,$0,$23,$-3,$12,$10,$-29,$38,$38,$39,$-0,$-3,$71,71,$0.55,$0.55,$192,$0,$0,$206,$344,$0,$0,$371,$715,$921,$0,$232,$47,$328,$328,$425,$154,$-1,$593,$921,$59,$9,$-32,$-23,$0,$0,$0,$1,$20,$56,$-29,$0,$0,$0,$73,$73,$1,$44,$0,$0,$0,$-147,$-147,$0,$-2,$-149,$-49,$0,$0
4,2017-09-30,18.85,$8.52,2.21,$1.34,14.02,$0.84,22.57,$0.33,57.12,$0.18B,$0.00B,0.0,$0.23B,$0.57B,0.41,$0.10B,$0.03B,33.67%,$0.10B,$0.00B,4.08%,$0.10B,$0.00B,4.08%,$0.10B,$0.01B,12.24%,$0.10B,$0.04B,37.76%,$0.10B,$0.02B,24.49%,$0.02B,$0.57B,3.74%,$0.02B,$0.57B,3.74%,$0.02B,$0.92B,2.42%,$0.00B,$0.80B,0.46%,$34,$22,$12,$0,$0,$29,$5,$4,$9,$3,$6,$6,$6,$7,$5,$70,70,$0.08,$0.08,$167,$0,$0,$175,$347,$0,$0,$398,$745,$920,$0,$232,$50,$353,$353,$572,$116,$-1,$567,$920,$21,$6,$-5,$1,$0,$0,$0,$1,$27,$49,$-28,$0,$0,$0,$40,$40,$1,$13,$1,$0,$1,$-136,$-136,$0,$-1,$-137,$-75,$0,$0
5,2017-06-30,18.75,$9.15,2.05,$1.23,15.29,$0.63,29.91,$0.29,64.66,$0.26B,$0.00B,0.0,$0.23B,$0.66B,0.35,$0.09B,$0.03B,32.97%,$0.09B,$0.00B,1.10%,$0.09B,$0.00B,1.10%,$0.09B,$0.01B,9.89%,$0.09B,$0.03B,35.16%,$0.09B,$0.02B,23.08%,$0.02B,$0.66B,3.14%,$0.02B,$0.66B,3.14%,$0.02B,$1.02B,2.08%,$0.00B,$0.89B,0.11%,$31,$20,$11,$0,$0,$26,$5,$12,$17,$6,$11,$11,$11,$7,$5,$72,72,$0.15,$0.15,$247,$0,$0,$255,$344,$0,$0,$421,$765,$1020,$0,$232,$61,$362,$362,$572,$110,$-1,$658,$1020,$15,$4,$-10,$-6,$0,$0,$0,$11,$37,$46,$-17,$0,$0,$0,$17,$17,$0,$0,$0,$0,$0,$-40,$-40,$0,$0,$-40,$6,$0,$0
6,2017-03-31,17.05,$9.10,1.87,$1.20,14.24,$0.35,49.25,$0.16,106.56,$0.25B,$0.00B,0.0,$0.23B,$0.66B,0.35,$0.09B,$0.03B,32.22%,$0.09B,$-0.00B,-2.22%,$0.09B,$-0.00B,-2.22%,$0.09B,$0.01B,6.67%,$0.09B,$0.02B,20.00%,$0.09B,$0.01B,13.33%,$0.01B,$0.66B,1.79%,$0.01B,$0.66B,1.79%,$0.01B,$1.01B,1.20%,$-0.00B,$0.89B,-0.22%,$14,$10,$4,$0,$0,$18,$-5,$11,$6,$2,$4,$4,$4,$-3,$-5,$74,74,$0.06,$0.06,$217,$0,$0,$252,$331,$0,$0,$425,$756,$1007,$0,$232,$48,$350,$350,$572,$99,$3,$658,$1007,$4,$2,$-5,$-3,$0,$0,$0,$6,$6,$7,$-5,$0,$0,$0,$8,$8,$0,$3,$0,$0,$0,$-34,$-34,$0,$-0,$-34,$-24,$0,$0
7,2016-12-31,19.0,$9.24,2.06,$1.29,14.78,$0.38,50.48,$0.22,86.36,$0.28B,$0.00B,0.0,$0.23B,$0.69B,0.34,$0.10B,$0.03B,34.38%,$0.10B,$0.00B,2.08%,$0.10B,$0.00B,2.08%,$0.10B,$0.01B,10.42%,$0.10B,$0.02B,25.00%,$0.10B,$0.02B,17.71%,$0.02B,$0.69B,2.52%,$0.02B,$0.69B,2.52%,$0.02B,$1.03B,1.71%,$0.00B,$0.92B,0.22%,$19,$12,$6,$0,$0,$20,$-1,$5,$5,$2,$3,$3,$3,$1,$-1,$74,74,$0.03,$0.03,$241,$0,$0,$276,$324,$0,$0,$428,$752,$1028,$0,$231,$41,$341,$341,$572,$95,$3,$687,$1028,$15,$9,$25,$33,$0,$0,$0,$-11,$-36,$13,$-5,$0,$0,$0,$25,$25,$1,$21,$-0,$0,$-0,$-15,$-15,$0,$10,$-6,$28,$0,$0
8,2016-09-30,18.38,$9.05,2.03,$1.27,14.42,$0.42,44.18,$0.15,122.53,$0.18B,$0.00B,0.0,$0.23B,$0.67B,0.34,$0.10B,$0.03B,34.69%,$0.10B,$-0.00B,-1.02%,$0.10B,$-0.00B,-1.02%,$0.10B,$0.01B,7.14%,$0.10B,$0.02B,15.31%,$0.10B,$0.01B,11.22%,$0.01B,$0.67B,1.64%,$0.01B,$0.67B,1.64%,$0.01B,$0.99B,1.12%,$-0.00B,$0.90B,-0.11%,$27,$18,$9,$0,$0,$26,$2,$2,$4,$1,$3,$3,$3,$4,$2,$74,74,$0.04,$0.04,$165,$0,$0,$180,$322,$0,$0,$484,$806,$986,$0,$230,$43,$313,$313,$572,$92,$1,$673,$986,$13,$6,$-1,$6,$0,$0,$0,$-10,$-8,$11,$-4,$0,$0,$0,$-40,$-40,$1,$-43,$-0,$0,$-0,$-15,$-15,$0,$0,$-15,$-47,$0,$0
9,2016-06-30,17.72,$9.00,1.97,$1.21,14.63,$0.69,25.81,$0.14,126.57,$0.20B,$0.00B,0.0,$0.23B,$0.67B,0.34,$0.10B,$0.04B,35.35%,$0.10B,$-0.01B,-5.05%,$0.10B,$-0.01B,-5.05%,$0.10B,$0.00B,3.03%,$0.10B,$0.02B,15.15%,$0.10B,$0.01B,11.11%,$0.01B,$0.67B,1.64%,$0.01B,$0.67B,1.64%,$0.01B,$0.98B,1.11%,$-0.01B,$0.90B,-0.55%,$30,$20,$10,$0,$0,$27,$2,$0,$3,$1,$2,$2,$2,$4,$2,$74,74,$0.02,$0.02,$183,$0,$0,$199,$320,$0,$0,$466,$786,$984,$0,$230,$48,$316,$316,$892,$89,$-1,$669,$984,$10,$4,$2,$7,$0,$0,$0,$-6,$-5,$12,$-3,$0,$0,$0,$-23,$-23,$0,$-26,$-0,$0,$-0,$-15,$-15,$0,$0,$-15,$-29,$0,$0
