,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1.9,$-0.65,-2.91,$5.17,0.37,$0.49,3.88,$-0.79,0.0,$0.10B,$0.09B,1.01,$0.01B,$-0.01B,-1.12,$0.08B,$0.03B,32.50%,$0.08B,0,0.00%,$0.08B,0,0.00%,$0.08B,$0.01B,6.25%,$0.08B,$-0.00B,-1.25%,$0.08B,$-0.01B,-17.50%,$-0.01B,$-0.01B,280.00%,$-0.01B,$-0.08B,18.60%,$-0.01B,$0.17B,-7.35%,$0.00B,$0.00B,0.00%,$15,$9,$6,$0,$6,$16,$-0,$-0,$-1,$0,$-1,$-1,$-4,$1,$-0,$15,15,$-0.23,$-0.23,$10,$0,$79,$95,$6,$0,$69,$2,$76,$171,$94,$11,$5,$87,$182,$0,$-31,$0,$-10,$171,$-0,$4,$1,$5,$1,$0,$0,$-1,$1,$6,$-2,$0,$0,$0,$0,$0,$6,$4,$-8,$0,$-8,$0,$0,$0,$0,$-8,$1,$0,$0
1,2018-06-30,1.95,$-0.34,-5.69,$5.04,0.39,$0.31,6.37,$-0.77,0.0,$0.11B,$0.11B,1.01,$0.01B,$-0.01B,-2.28,$0.08B,$0.03B,32.91%,$0.08B,0,0.00%,$0.08B,0,0.00%,$0.08B,$0.01B,6.33%,$0.08B,0,0.00%,$0.08B,$-0.01B,-16.46%,$-0.01B,$-0.01B,650.00%,$-0.01B,$-0.08B,17.81%,$-0.01B,$0.19B,-6.80%,$0.00B,$0.01B,0.00%,$15,$8,$7,$0,$6,$13,$2,$-0,$2,$0,$2,$2,$-2,$3,$2,$15,15,$-0.10,$-0.10,$11,$0,$98,$114,$5,$0,$70,$2,$77,$191,$112,$12,$5,$84,$196,$0,$-30,$0,$-5,$191,$1,$2,$1,$3,$1,$0,$0,$-1,$1,$5,$-2,$0,$0,$0,$0,$0,$2,$0,$-3,$0,$-3,$0,$0,$0,$0,$-3,$2,$0,$0
2,2018-03-31,2.45,$-0.25,-9.78,$4.92,0.5,$0.17,14.61,$-0.93,0.0,$0.13B,$0.13B,1.0,$0.01B,$-0.00B,-3.23,$0.08B,$0.03B,32.05%,$0.08B,$-0.00B,-3.85%,$0.08B,$-0.00B,-3.85%,$0.08B,$0.00B,2.56%,$0.08B,$-0.00B,-3.85%,$0.08B,$-0.02B,-19.23%,$-0.02B,$-0.00B,-3000.00%,$-0.02B,$-0.08B,21.05%,$-0.02B,$0.21B,-7.81%,$-0.00B,$0.01B,-22.22%,$16,$8,$8,$0,$6,$16,$0,$-0,$-0,$0,$-0,$-0,$-3,$1,$0,$16,16,$-0.21,$-0.21,$9,$0,$114,$129,$5,$0,$71,$2,$77,$206,$129,$12,$5,$81,$210,$0,$-31,$0,$-4,$206,$-0,$1,$0,$2,$1,$0,$0,$-0,$0,$2,$-1,$0,$0,$0,$0,$0,$-16,$-17,$15,$0,$15,$0,$0,$0,$0,$15,$-0,$0,$0
3,2017-12-31,2.54,$-0.05,-50.3,$4.77,0.53,$0.17,14.56,$-0.86,0.0,$0.12B,$0.12B,1.0,$0.01B,$-0.00B,-16.06,$0.08B,$0.02B,31.58%,$0.08B,$-0.00B,-2.63%,$0.08B,$-0.00B,-2.63%,$0.08B,$0.00B,3.95%,$0.08B,$-0.00B,-2.63%,$0.08B,$-0.01B,-17.11%,$-0.01B,$-0.00B,-371.43%,$-0.01B,$-0.07B,18.84%,$-0.01B,$0.19B,-6.70%,$-0.00B,$0.01B,-11.94%,$34,$29,$5,$0,$5,$36,$-2,$-0,$-2,$0,$-2,$-2,$-5,$-0,$-2,$16,16,$-0.31,$-0.31,$9,$0,$101,$117,$4,$0,$72,$1,$77,$194,$117,$13,$5,$78,$195,$0,$-31,$0,$-1,$194,$-3,$5,$2,$6,$-1,$0,$0,$-1,$-1,$2,$-2,$0,$0,$0,$0,$0,$-0,$-2,$-7,$0,$-7,$0,$1,$0,$-0,$-6,$-6,$1,$0
4,2017-09-30,1.85,$0.14,12.81,$3.66,0.51,$0.21,8.89,$-0.74,0.0,$0.10B,$0.10B,1.01,$0.01B,$0.00B,5.69,$0.06B,$0.03B,42.37%,$0.06B,0,0.00%,$0.06B,0,0.00%,$0.06B,$0.00B,6.78%,$0.06B,0,0.00%,$0.06B,$-0.01B,-16.95%,$-0.01B,$0.00B,-160.00%,$-0.01B,$-0.07B,14.87%,$-0.01B,$0.17B,-5.20%,$0.00B,$0.02B,0.00%,$14,$8,$6,$0,$5,$14,$-0,$-0,$-0,$0,$-0,$-0,$-3,$1,$-0,$16,16,$-0.20,$-0.20,$9,$0,$83,$98,$3,$0,$72,$0,$76,$174,$97,$13,$5,$75,$172,$0,$-31,$0,$2,$174,$-1,$3,$1,$4,$1,$0,$0,$-2,$-1,$2,$-2,$0,$0,$0,$0,$0,$4,$3,$-11,$0,$-11,$0,$1,$0,$-0,$-10,$-6,$1,$0
5,2017-06-30,2.1,$0.34,6.24,$3.66,0.57,$0.22,9.47,$-0.69,0.0,$0.12B,$0.12B,1.01,$0.01B,$0.01B,2.5,$0.06B,$0.02B,40.00%,$0.06B,$-0.00B,-1.67%,$0.06B,$-0.00B,-1.67%,$0.06B,$0.00B,5.00%,$0.06B,$-0.00B,-1.67%,$0.06B,$-0.01B,-16.67%,$-0.01B,$0.01B,-114.29%,$-0.01B,$-0.07B,15.27%,$-0.01B,$0.19B,-5.28%,$-0.00B,$0.02B,-4.44%,$14,$8,$6,$0,$5,$14,$-1,$-0,$-1,$0,$-1,$-1,$-4,$0,$-1,$16,16,$-0.25,$-0.25,$10,$0,$102,$117,$3,$0,$73,$0,$77,$194,$116,$13,$5,$72,$188,$0,$-30,$0,$5,$194,$-1,$2,$0,$3,$1,$0,$0,$-3,$-0,$2,$-1,$0,$0,$0,$0,$0,$1,$0,$-7,$0,$-7,$0,$1,$0,$-0,$-6,$-4,$0,$0
6,2017-03-31,2.35,$0.54,4.31,$3.58,0.66,$0.25,9.56,$-0.88,0.0,$0.14B,$0.14B,1.01,$0.01B,$0.01B,1.55,$0.06B,$0.02B,37.93%,$0.06B,$-0.01B,-12.07%,$0.06B,$-0.01B,-12.07%,$0.06B,$-0.00B,-5.17%,$0.06B,$-0.01B,-12.07%,$0.06B,$-0.01B,-22.41%,$-0.01B,$0.01B,-115.56%,$-0.01B,$-0.07B,20.39%,$-0.01B,$0.21B,-7.09%,$-0.01B,$0.02B,-28.28%,$14,$7,$7,$0,$5,$13,$1,$-0,$1,$0,$1,$1,$-1,$2,$1,$17,17,$-0.09,$-0.09,$10,$0,$124,$137,$2,$0,$74,$1,$77,$214,$136,$13,$5,$70,$206,$0,$-29,$0,$8,$214,$1,$1,$0,$1,$2,$0,$0,$-3,$-1,$1,$-0,$0,$0,$0,$0,$0,$-17,$-17,$11,$0,$11,$0,$0,$0,$-0,$11,$-5,$0,$0
7,2016-12-31,2.25,$0.58,3.91,$3.52,0.64,$0.28,7.98,$-0.91,0.0,$0.11B,$0.11B,1.05,$0.01B,$0.01B,1.35,$0.06B,$0.02B,33.93%,$0.06B,$-0.01B,-16.07%,$0.06B,$-0.01B,-16.07%,$0.06B,$-0.01B,-8.93%,$0.06B,$-0.01B,-16.07%,$0.06B,$-0.01B,-25.00%,$-0.01B,$0.01B,-101.82%,$-0.01B,$-0.07B,23.73%,$-0.01B,$0.19B,-8.13%,$-0.01B,$0.02B,-33.33%,$17,$12,$6,$0,$5,$17,$0,$-0,$-0,$-0,$-0,$-0,$-2,$1,$0,$16,16,$-0.11,$-0.11,$15,$0,$84,$110,$2,$0,$75,$0,$78,$187,$105,$14,$5,$72,$177,$0,$-29,$0,$10,$187,$-8,$4,$1,$5,$-1,$0,$0,$6,$5,$2,$-1,$-1,$1,$0,$0,$0,$-1,$-2,$-2,$0,$-2,$0,$13,$0,$-4,$7,$7,$0,$0
8,2016-09-30,2.69,$0.69,3.9,$3.29,0.82,$0.41,6.62,$-0.89,0.0,$0.08B,$0.09B,0.94,$0.01B,$0.01B,1.14,$0.05B,$0.02B,35.29%,$0.05B,$-0.01B,-17.65%,$0.05B,$-0.01B,-17.65%,$0.05B,$-0.01B,-9.80%,$0.05B,$-0.01B,-17.65%,$0.05B,$-0.01B,-27.45%,$-0.01B,$0.01B,-86.15%,$-0.01B,$-0.06B,25.93%,$-0.01B,$0.16B,-8.60%,$-0.01B,$0.03B,-30.51%,$15,$10,$5,$0,$5,$16,$-1,$-0,$-1,$0,$-1,$-1,$-3,$0,$-1,$18,18,$-0.16,$-0.16,$8,$0,$68,$84,$2,$0,$76,$0,$78,$163,$90,$14,$5,$61,$151,$0,$-28,$0,$12,$163,$-8,$3,$1,$4,$1,$0,$0,$4,$5,$1,$-1,$-0,$1,$0,$0,$0,$4,$4,$-5,$0,$-5,$0,$3,$0,$-3,$-6,$-0,$0,$0
9,2016-06-30,2.28,$0.85,2.7,$3.18,0.72,$0.58,3.96,$-0.85,0.0,$0.09B,$0.10B,0.91,$0.01B,$0.02B,0.82,$0.05B,$0.02B,36.96%,$0.05B,$-0.01B,-17.39%,$0.05B,$-0.01B,-17.39%,$0.05B,$-0.00B,-8.70%,$0.05B,$-0.01B,-17.39%,$0.05B,$-0.01B,-28.26%,$-0.01B,$0.02B,-70.27%,$-0.01B,$-0.06B,26.13%,$-0.01B,$0.17B,-8.43%,$-0.01B,$0.03B,-25.40%,$12,$8,$4,$0,$4,$19,$-7,$-0,$-7,$-2,$-6,$-6,$-7,$-6,$-7,$15,15,$-0.45,$-0.45,$7,$0,$76,$91,$2,$0,$76,$0,$79,$169,$100,$12,$5,$55,$154,$0,$-27,$0,$15,$169,$-7,$2,$-1,$1,$1,$0,$0,$-0,$8,$2,$-0,$-0,$1,$0,$0,$0,$1,$1,$-1,$0,$-1,$0,$0,$0,$-3,$-4,$-1,$0,$0
